,date,value,name_B08FBFYNJ5
167,2021-04-28,6834.0,Grow Bags
168,2021-04-29,6082.0,Grow Bags
169,2021-04-30,6082.0,Grow Bags
170,2021-05-01,6082.0,Grow Bags
171,2021-05-02,11205.0,Grow Bags
172,2021-05-03,11205.0,Grow Bags
173,2021-05-04,11205.0,Grow Bags
174,2021-05-05,13112.0,Grow Bags
175,2021-05-06,13112.0,Grow Bags
176,2021-05-07,13112.0,Grow Bags
177,2021-05-08,12676.0,Grow Bags
178,2021-05-09,12676.0,Grow Bags
179,2021-05-10,12676.0,Grow Bags
180,2021-05-11,8826.0,Grow Bags
181,2021-05-12,8826.0,Grow Bags
182,2021-05-13,8714.0,Grow Bags
183,2021-05-14,8714.0,Grow Bags
184,2021-05-15,8073.0,Grow Bags
185,2021-05-16,7526.0,Grow Bags
186,2021-05-17,7526.0,Grow Bags
187,2021-05-18,7526.0,Grow Bags
188,2021-05-19,7789.0,Grow Bags
189,2021-05-20,6202.0,Grow Bags
190,2021-05-21,6202.0,Grow Bags
191,2021-05-22,9648.0,Grow Bags
192,2021-05-23,9648.0,Grow Bags
193,2021-05-24,14738.0,Grow Bags
194,2021-05-25,14738.0,Grow Bags
195,2021-05-26,14738.0,Grow Bags
196,2021-05-27,14738.0,Grow Bags
197,2021-05-28,9638.0,Grow Bags
198,2021-05-29,9638.0,Grow Bags
199,2021-05-30,9638.0,Grow Bags
200,2021-05-31,9638.0,Grow Bags
201,2021-06-01,9638.0,Grow Bags
202,2021-06-02,10660.0,Grow Bags
203,2021-06-03,10660.0,Grow Bags
204,2021-06-04,7490.0,Grow Bags
205,2021-06-05,7039.0,Grow Bags
206,2021-06-06,7039.0,Grow Bags
207,2021-06-07,11392.0,Grow Bags
208,2021-06-08,11392.0,Grow Bags
209,2021-06-09,9630.0,Grow Bags
210,2021-06-10,10236.0,Grow Bags
211,2021-06-11,10236.0,Grow Bags
212,2021-06-12,10236.0,Grow Bags
213,2021-06-13,8080.0,Grow Bags
214,2021-06-14,8080.0,Grow Bags
215,2021-06-15,8206.0,Grow Bags
216,2021-06-16,8206.0,Grow Bags
217,2021-06-17,8206.0,Grow Bags
218,2021-06-18,8206.0,Grow Bags
219,2021-06-19,6894.0,Grow Bags
220,2021-06-20,9181.0,Grow Bags
221,2021-06-21,9181.0,Grow Bags
222,2021-06-22,9181.0,Grow Bags
223,2021-06-23,12610.0,Grow Bags
224,2021-06-24,11295.0,Grow Bags
225,2021-06-25,11295.0,Grow Bags
226,2021-06-26,7698.0,Grow Bags
227,2021-06-27,7698.0,Grow Bags
228,2021-06-28,7698.0,Grow Bags
229,2021-06-29,7642.0,Grow Bags
230,2021-06-30,8193.0,Grow Bags
231,2021-07-01,6832.0,Grow Bags
232,2021-07-02,6832.0,Grow Bags
233,2021-07-03,5680.0,Grow Bags
234,2021-07-04,5680.0,Grow Bags
235,2021-07-05,6709.0,Grow Bags
236,2021-07-06,6709.0,Grow Bags
237,2021-07-07,6709.0,Grow Bags
238,2021-07-08,6709.0,Grow Bags
239,2021-07-09,9962.0,Grow Bags
240,2021-07-10,12658.0,Grow Bags
