,date,value,name_B08KG6HTL6
150,2021-03-06,8896.0,Earplugs
151,2021-03-07,8896.0,Earplugs
152,2021-03-08,8896.0,Earplugs
153,2021-03-09,8896.0,Earplugs
154,2021-03-10,8896.0,Earplugs
155,2021-03-11,8469.0,Earplugs
156,2021-03-12,8469.0,Earplugs
157,2021-03-13,8469.0,Earplugs
158,2021-03-14,8469.0,Earplugs
159,2021-03-15,8469.0,Earplugs
160,2021-03-16,7809.0,Earplugs
161,2021-03-17,9748.0,Earplugs
162,2021-03-18,9748.0,Earplugs
163,2021-03-19,9748.0,Earplugs
164,2021-03-20,9748.0,Earplugs
165,2021-03-21,9748.0,Earplugs
166,2021-03-22,9793.0,Earplugs
167,2021-03-23,8195.0,Earplugs
168,2021-03-24,8463.0,Earplugs
169,2021-03-25,7387.0,Earplugs
170,2021-03-26,7387.0,Earplugs
171,2021-03-27,7387.0,Earplugs
172,2021-03-28,7387.0,Earplugs
173,2021-03-29,10161.0,Earplugs
174,2021-03-30,8557.0,Earplugs
175,2021-03-31,8661.0,Earplugs
176,2021-04-01,8661.0,Earplugs
177,2021-04-02,8661.0,Earplugs
178,2021-04-03,9597.0,Earplugs
179,2021-04-04,9597.0,Earplugs
180,2021-04-05,9840.0,Earplugs
181,2021-04-06,9840.0,Earplugs
182,2021-04-07,9840.0,Earplugs
183,2021-04-08,7622.0,Earplugs
184,2021-04-09,7622.0,Earplugs
185,2021-04-10,7622.0,Earplugs
186,2021-04-11,7622.0,Earplugs
187,2021-04-12,7622.0,Earplugs
188,2021-04-13,8435.0,Earplugs
189,2021-04-14,8435.0,Earplugs
190,2021-04-15,8435.0,Earplugs
191,2021-04-16,8435.0,Earplugs
192,2021-04-17,8435.0,Earplugs
193,2021-04-18,8435.0,Earplugs
194,2021-04-19,8435.0,Earplugs
195,2021-04-20,7801.0,Earplugs
196,2021-04-21,7801.0,Earplugs
197,2021-04-22,7686.0,Earplugs
198,2021-04-23,6724.0,Earplugs
199,2021-04-24,6724.0,Earplugs
200,2021-04-25,6724.0,Earplugs
201,2021-04-26,9178.0,Earplugs
202,2021-04-27,8652.0,Earplugs
203,2021-04-28,8652.0,Earplugs
204,2021-04-29,8652.0,Earplugs
205,2021-04-30,8652.0,Earplugs
206,2021-05-01,8652.0,Earplugs
207,2021-05-02,8652.0,Earplugs
208,2021-05-03,9095.0,Earplugs
209,2021-05-04,9095.0,Earplugs
210,2021-05-05,9095.0,Earplugs
211,2021-05-06,9095.0,Earplugs
212,2021-05-07,8090.0,Earplugs
213,2021-05-08,7831.0,Earplugs
214,2021-05-09,7827.0,Earplugs
215,2021-05-10,7827.0,Earplugs
216,2021-05-11,6520.0,Earplugs
217,2021-05-12,6520.0,Earplugs
218,2021-05-13,7513.0,Earplugs
219,2021-05-14,6082.0,Earplugs
220,2021-05-15,6082.0,Earplugs
221,2021-05-16,7213.0,Earplugs
222,2021-05-17,7213.0,Earplugs
223,2021-05-18,6972.0,Earplugs
224,2021-05-19,6972.0,Earplugs
225,2021-05-20,7191.0,Earplugs
226,2021-05-21,7148.0,Earplugs
227,2021-05-22,7148.0,Earplugs
228,2021-05-23,7148.0,Earplugs
229,2021-05-24,8359.0,Earplugs
230,2021-05-25,7267.0,Earplugs
231,2021-05-26,7267.0,Earplugs
232,2021-05-27,7800.0,Earplugs
233,2021-05-28,8072.0,Earplugs
234,2021-05-29,8072.0,Earplugs
235,2021-05-30,10388.0,Earplugs
236,2021-05-31,10388.0,Earplugs
237,2021-06-01,9752.0,Earplugs
238,2021-06-02,9752.0,Earplugs
239,2021-06-03,6672.0,Earplugs
240,2021-06-04,6672.0,Earplugs
241,2021-06-05,6672.0,Earplugs
242,2021-06-06,7790.0,Earplugs
243,2021-06-07,7790.0,Earplugs
244,2021-06-08,7790.0,Earplugs
245,2021-06-09,6349.0,Earplugs
246,2021-06-10,6349.0,Earplugs
247,2021-06-11,6349.0,Earplugs
248,2021-06-12,6349.0,Earplugs
249,2021-06-13,6349.0,Earplugs
250,2021-06-14,6349.0,Earplugs
251,2021-06-15,7506.0,Earplugs
252,2021-06-16,7270.0,Earplugs
253,2021-06-17,7270.0,Earplugs
254,2021-06-18,7270.0,Earplugs
255,2021-06-19,7270.0,Earplugs
256,2021-06-20,9076.0,Earplugs
257,2021-06-21,9856.0,Earplugs
258,2021-06-22,10032.0,Earplugs
259,2021-06-23,10032.0,Earplugs
260,2021-06-24,10032.0,Earplugs
261,2021-06-25,10032.0,Earplugs
262,2021-06-26,8152.0,Earplugs
263,2021-06-27,8152.0,Earplugs
264,2021-06-28,8262.0,Earplugs
265,2021-06-29,9790.0,Earplugs
266,2021-06-30,9790.0,Earplugs
267,2021-07-01,9790.0,Earplugs
268,2021-07-02,7467.0,Earplugs
269,2021-07-03,7467.0,Earplugs
270,2021-07-04,7467.0,Earplugs
271,2021-07-05,7467.0,Earplugs
272,2021-07-06,9752.0,Earplugs
273,2021-07-07,8238.0,Earplugs
274,2021-07-08,7120.0,Earplugs
275,2021-07-09,7120.0,Earplugs
276,2021-07-10,7385.0,Earplugs
277,2021-07-11,8933.0,Earplugs
