,date,value,name_B089HTQ26L
176,2020-11-29,5489.0,Book Stands
177,2020-11-30,5489.0,Book Stands
178,2020-12-01,5489.0,Book Stands
179,2020-12-02,5489.0,Book Stands
180,2020-12-03,10045.0,Book Stands
181,2020-12-04,6908.0,Book Stands
182,2020-12-05,6908.0,Book Stands
183,2020-12-06,6331.0,Book Stands
184,2020-12-07,5016.0,Book Stands
185,2020-12-08,5016.0,Book Stands
186,2020-12-09,7156.0,Book Stands
187,2020-12-10,7156.0,Book Stands
188,2020-12-11,7156.0,Book Stands
189,2020-12-12,4532.0,Book Stands
190,2020-12-13,4532.0,Book Stands
191,2020-12-14,4749.0,Book Stands
192,2020-12-15,4749.0,Book Stands
193,2020-12-16,4477.0,Book Stands
194,2020-12-17,4477.0,Book Stands
195,2020-12-18,4477.0,Book Stands
196,2020-12-19,4477.0,Book Stands
197,2020-12-20,4477.0,Book Stands
198,2020-12-21,4108.0,Book Stands
199,2020-12-22,4108.0,Book Stands
200,2020-12-23,4108.0,Book Stands
201,2020-12-24,4108.0,Book Stands
202,2020-12-25,4108.0,Book Stands
203,2020-12-26,4290.0,Book Stands
204,2020-12-27,4290.0,Book Stands
205,2020-12-28,4290.0,Book Stands
206,2020-12-29,4290.0,Book Stands
207,2020-12-30,4290.0,Book Stands
208,2020-12-31,4290.0,Book Stands
209,2021-01-01,5565.0,Book Stands
210,2021-01-02,5565.0,Book Stands
211,2021-01-03,5565.0,Book Stands
212,2021-01-04,5565.0,Book Stands
213,2021-01-05,4324.0,Book Stands
214,2021-01-06,4715.0,Book Stands
215,2021-01-07,5153.0,Book Stands
216,2021-01-08,5153.0,Book Stands
217,2021-01-09,4866.0,Book Stands
218,2021-01-10,4866.0,Book Stands
219,2021-01-11,4866.0,Book Stands
220,2021-01-12,4866.0,Book Stands
221,2021-01-13,4866.0,Book Stands
222,2021-01-14,5236.0,Book Stands
223,2021-01-15,5236.0,Book Stands
224,2021-01-16,5236.0,Book Stands
225,2021-01-17,3652.0,Book Stands
226,2021-01-18,3652.0,Book Stands
227,2021-01-19,3652.0,Book Stands
228,2021-01-20,4081.0,Book Stands
229,2021-01-21,4081.0,Book Stands
230,2021-01-22,5149.0,Book Stands
231,2021-01-23,5149.0,Book Stands
232,2021-01-24,5149.0,Book Stands
233,2021-01-25,5075.0,Book Stands
234,2021-01-26,5516.0,Book Stands
235,2021-01-27,6063.0,Book Stands
236,2021-01-28,6063.0,Book Stands
237,2021-01-29,5554.0,Book Stands
238,2021-01-30,6381.0,Book Stands
239,2021-01-31,6381.0,Book Stands
240,2021-02-01,6381.0,Book Stands
241,2021-02-02,4889.0,Book Stands
242,2021-02-03,5455.0,Book Stands
243,2021-02-04,5455.0,Book Stands
244,2021-02-05,5455.0,Book Stands
245,2021-02-06,8207.0,Book Stands
246,2021-02-07,8207.0,Book Stands
247,2021-02-08,8207.0,Book Stands
248,2021-02-09,6455.0,Book Stands
249,2021-02-10,6455.0,Book Stands
250,2021-02-11,6455.0,Book Stands
251,2021-02-12,6374.0,Book Stands
252,2021-02-13,7389.0,Book Stands
253,2021-02-14,7389.0,Book Stands
254,2021-02-15,7389.0,Book Stands
255,2021-02-16,5527.0,Book Stands
256,2021-02-17,7248.0,Book Stands
257,2021-02-18,7248.0,Book Stands
258,2021-02-19,7248.0,Book Stands
259,2021-02-20,7248.0,Book Stands
260,2021-02-21,5816.0,Book Stands
261,2021-02-22,5816.0,Book Stands
262,2021-02-23,8254.0,Book Stands
263,2021-02-24,8254.0,Book Stands
264,2021-02-25,8203.0,Book Stands
265,2021-02-26,8203.0,Book Stands
266,2021-02-27,8203.0,Book Stands
267,2021-02-28,8203.0,Book Stands
268,2021-03-01,8203.0,Book Stands
269,2021-03-02,6839.0,Book Stands
270,2021-03-03,6839.0,Book Stands
271,2021-03-04,6839.0,Book Stands
272,2021-03-05,6839.0,Book Stands
273,2021-03-06,11915.0,Book Stands
274,2021-03-07,11915.0,Book Stands
275,2021-03-08,8286.0,Book Stands
276,2021-03-09,8286.0,Book Stands
277,2021-03-10,9342.0,Book Stands
278,2021-03-11,9342.0,Book Stands
279,2021-03-12,8762.0,Book Stands
280,2021-03-13,8762.0,Book Stands
281,2021-03-14,7111.0,Book Stands
282,2021-03-15,7305.0,Book Stands
283,2021-03-16,7305.0,Book Stands
284,2021-03-17,10574.0,Book Stands
285,2021-03-18,10574.0,Book Stands
286,2021-03-19,13378.0,Book Stands
287,2021-03-20,13378.0,Book Stands
288,2021-03-21,8666.0,Book Stands
289,2021-03-22,8666.0,Book Stands
290,2021-03-23,8666.0,Book Stands
291,2021-03-24,8666.0,Book Stands
292,2021-03-25,8190.0,Book Stands
293,2021-03-26,7991.0,Book Stands
294,2021-03-27,7991.0,Book Stands
295,2021-03-28,7991.0,Book Stands
296,2021-03-29,7991.0,Book Stands
297,2021-03-30,8803.0,Book Stands
298,2021-03-31,8803.0,Book Stands
299,2021-04-01,8803.0,Book Stands
300,2021-04-02,6493.0,Book Stands
301,2021-04-03,7950.0,Book Stands
302,2021-04-04,7950.0,Book Stands
303,2021-04-05,7950.0,Book Stands
304,2021-04-06,7950.0,Book Stands
305,2021-04-07,10918.0,Book Stands
306,2021-04-08,10918.0,Book Stands
307,2021-04-09,10918.0,Book Stands
308,2021-04-10,12063.0,Book Stands
309,2021-04-11,12063.0,Book Stands
310,2021-04-12,12063.0,Book Stands
311,2021-04-13,8191.0,Book Stands
312,2021-04-14,8191.0,Book Stands
313,2021-04-15,8191.0,Book Stands
314,2021-04-16,12952.0,Book Stands
315,2021-04-17,12952.0,Book Stands
316,2021-04-18,12952.0,Book Stands
317,2021-04-19,7981.0,Book Stands
318,2021-04-20,7981.0,Book Stands
319,2021-04-21,7981.0,Book Stands
320,2021-04-22,10955.0,Book Stands
321,2021-04-23,10955.0,Book Stands
322,2021-04-24,9302.0,Book Stands
323,2021-04-25,11030.0,Book Stands
324,2021-04-26,11030.0,Book Stands
325,2021-04-27,11030.0,Book Stands
326,2021-04-28,11030.0,Book Stands
327,2021-04-29,11030.0,Book Stands
328,2021-04-30,11030.0,Book Stands
329,2021-05-01,11030.0,Book Stands
330,2021-05-02,9866.0,Book Stands
331,2021-05-03,9866.0,Book Stands
332,2021-05-04,10509.0,Book Stands
333,2021-05-05,10509.0,Book Stands
334,2021-05-06,10509.0,Book Stands
335,2021-05-07,10509.0,Book Stands
336,2021-05-08,10509.0,Book Stands
337,2021-05-09,10509.0,Book Stands
338,2021-05-10,10509.0,Book Stands
339,2021-05-11,10509.0,Book Stands
340,2021-05-12,10509.0,Book Stands
341,2021-05-13,8343.0,Book Stands
342,2021-05-14,10840.0,Book Stands
343,2021-05-15,10840.0,Book Stands
344,2021-05-16,10840.0,Book Stands
345,2021-05-17,12493.0,Book Stands
346,2021-05-18,9758.0,Book Stands
347,2021-05-19,9758.0,Book Stands
348,2021-05-20,13174.0,Book Stands
349,2021-05-21,13174.0,Book Stands
350,2021-05-22,13174.0,Book Stands
351,2021-05-23,10263.0,Book Stands
352,2021-05-24,10263.0,Book Stands
353,2021-05-25,10263.0,Book Stands
354,2021-05-26,12395.0,Book Stands
355,2021-05-27,12395.0,Book Stands
356,2021-05-28,12180.0,Book Stands
357,2021-05-29,14216.0,Book Stands
358,2021-05-30,14216.0,Book Stands
359,2021-05-31,14216.0,Book Stands
360,2021-06-01,14216.0,Book Stands
361,2021-06-02,14216.0,Book Stands
362,2021-06-03,14216.0,Book Stands
363,2021-06-04,14029.0,Book Stands
364,2021-06-05,14029.0,Book Stands
365,2021-06-06,14029.0,Book Stands
366,2021-06-07,14029.0,Book Stands
367,2021-06-08,14029.0,Book Stands
368,2021-06-09,14424.0,Book Stands
369,2021-06-10,14424.0,Book Stands
370,2021-06-11,14424.0,Book Stands
371,2021-06-12,14424.0,Book Stands
372,2021-06-13,14424.0,Book Stands
373,2021-06-14,14424.0,Book Stands
374,2021-06-15,11914.0,Book Stands
375,2021-06-16,11914.0,Book Stands
376,2021-06-17,11565.0,Book Stands
377,2021-06-18,11565.0,Book Stands
378,2021-06-19,11565.0,Book Stands
379,2021-06-20,6831.0,Book Stands
380,2021-06-21,7555.0,Book Stands
381,2021-06-22,15790.0,Book Stands
382,2021-06-23,15790.0,Book Stands
383,2021-06-24,15790.0,Book Stands
384,2021-06-25,14329.0,Book Stands
385,2021-06-26,14329.0,Book Stands
386,2021-06-27,11997.0,Book Stands
387,2021-06-28,11997.0,Book Stands
388,2021-06-29,11997.0,Book Stands
389,2021-06-30,11997.0,Book Stands
390,2021-07-01,11997.0,Book Stands
391,2021-07-02,11997.0,Book Stands
392,2021-07-03,14727.0,Book Stands
393,2021-07-04,14727.0,Book Stands
394,2021-07-05,14727.0,Book Stands
395,2021-07-06,14727.0,Book Stands
396,2021-07-07,14727.0,Book Stands
397,2021-07-08,11270.0,Book Stands
398,2021-07-09,11270.0,Book Stands
399,2021-07-10,11270.0,Book Stands
400,2021-07-11,11079.0,Book Stands
