,date,value,name_B084L5VC48
262,2021-04-07,3132.0,All-Purpose Labels
263,2021-04-08,3308.0,All-Purpose Labels
264,2021-04-09,3308.0,All-Purpose Labels
265,2021-04-10,3308.0,All-Purpose Labels
266,2021-04-11,3308.0,All-Purpose Labels
267,2021-04-12,4920.0,All-Purpose Labels
268,2021-04-13,4920.0,All-Purpose Labels
269,2021-04-14,2479.0,All-Purpose Labels
270,2021-04-15,2479.0,All-Purpose Labels
271,2021-04-16,2943.0,All-Purpose Labels
272,2021-04-17,2943.0,All-Purpose Labels
273,2021-04-18,2943.0,All-Purpose Labels
274,2021-04-19,2943.0,All-Purpose Labels
275,2021-04-20,3612.0,All-Purpose Labels
276,2021-04-21,3612.0,All-Purpose Labels
277,2021-04-22,3500.0,All-Purpose Labels
278,2021-04-23,3500.0,All-Purpose Labels
279,2021-04-24,3490.0,All-Purpose Labels
280,2021-04-25,3490.0,All-Purpose Labels
281,2021-04-26,3490.0,All-Purpose Labels
282,2021-04-27,3766.0,All-Purpose Labels
283,2021-04-28,3766.0,All-Purpose Labels
284,2021-04-29,2936.0,All-Purpose Labels
285,2021-04-30,2936.0,All-Purpose Labels
286,2021-05-01,2936.0,All-Purpose Labels
287,2021-05-02,3962.0,All-Purpose Labels
288,2021-05-03,3962.0,All-Purpose Labels
289,2021-05-04,3962.0,All-Purpose Labels
290,2021-05-05,4736.0,All-Purpose Labels
291,2021-05-06,4736.0,All-Purpose Labels
292,2021-05-07,3491.0,All-Purpose Labels
293,2021-05-08,3491.0,All-Purpose Labels
294,2021-05-09,3491.0,All-Purpose Labels
295,2021-05-10,3491.0,All-Purpose Labels
296,2021-05-11,3275.0,All-Purpose Labels
297,2021-05-12,3275.0,All-Purpose Labels
298,2021-05-13,2969.0,All-Purpose Labels
299,2021-05-14,2969.0,All-Purpose Labels
300,2021-05-15,3169.0,All-Purpose Labels
301,2021-05-16,3169.0,All-Purpose Labels
302,2021-05-17,3169.0,All-Purpose Labels
303,2021-05-18,4188.0,All-Purpose Labels
304,2021-05-19,4188.0,All-Purpose Labels
305,2021-05-20,3341.0,All-Purpose Labels
306,2021-05-21,3341.0,All-Purpose Labels
307,2021-05-22,3782.0,All-Purpose Labels
308,2021-05-23,3782.0,All-Purpose Labels
309,2021-05-24,3782.0,All-Purpose Labels
310,2021-05-25,3480.0,All-Purpose Labels
311,2021-05-26,3744.0,All-Purpose Labels
312,2021-05-27,3744.0,All-Purpose Labels
313,2021-05-28,3704.0,All-Purpose Labels
314,2021-05-29,3704.0,All-Purpose Labels
315,2021-05-30,3704.0,All-Purpose Labels
316,2021-05-31,3520.0,All-Purpose Labels
317,2021-06-01,3520.0,All-Purpose Labels
318,2021-06-02,3005.0,All-Purpose Labels
319,2021-06-03,3005.0,All-Purpose Labels
320,2021-06-04,3181.0,All-Purpose Labels
321,2021-06-05,3380.0,All-Purpose Labels
322,2021-06-06,3380.0,All-Purpose Labels
323,2021-06-07,2878.0,All-Purpose Labels
324,2021-06-08,2878.0,All-Purpose Labels
325,2021-06-09,2878.0,All-Purpose Labels
326,2021-06-10,4175.0,All-Purpose Labels
327,2021-06-11,4175.0,All-Purpose Labels
328,2021-06-12,4175.0,All-Purpose Labels
329,2021-06-13,4175.0,All-Purpose Labels
330,2021-06-14,3272.0,All-Purpose Labels
331,2021-06-15,4227.0,All-Purpose Labels
332,2021-06-16,4142.0,All-Purpose Labels
333,2021-06-17,4142.0,All-Purpose Labels
334,2021-06-18,4001.0,All-Purpose Labels
335,2021-06-19,4001.0,All-Purpose Labels
336,2021-06-20,3639.0,All-Purpose Labels
337,2021-06-21,2882.0,All-Purpose Labels
338,2021-06-22,4464.0,All-Purpose Labels
339,2021-06-23,4464.0,All-Purpose Labels
340,2021-06-24,4464.0,All-Purpose Labels
341,2021-06-25,4590.0,All-Purpose Labels
342,2021-06-26,4590.0,All-Purpose Labels
343,2021-06-27,3274.0,All-Purpose Labels
344,2021-06-28,3328.0,All-Purpose Labels
345,2021-06-29,3328.0,All-Purpose Labels
346,2021-06-30,5096.0,All-Purpose Labels
347,2021-07-01,3525.0,All-Purpose Labels
348,2021-07-02,3525.0,All-Purpose Labels
349,2021-07-03,2730.0,All-Purpose Labels
350,2021-07-04,2730.0,All-Purpose Labels
351,2021-07-05,3300.0,All-Purpose Labels
352,2021-07-06,4678.0,All-Purpose Labels
353,2021-07-07,4678.0,All-Purpose Labels
354,2021-07-08,3861.0,All-Purpose Labels
355,2021-07-09,3861.0,All-Purpose Labels
356,2021-07-10,3956.0,All-Purpose Labels
357,2021-07-11,4562.0,All-Purpose Labels
