,date,value,name_B084C1F1PD
191,2020-08-16,19148.0,Kitchen Trash Cans
192,2020-08-17,12543.0,Kitchen Trash Cans
193,2020-08-18,12543.0,Kitchen Trash Cans
194,2020-08-19,18905.0,Kitchen Trash Cans
195,2020-08-20,18905.0,Kitchen Trash Cans
196,2020-08-21,17304.0,Kitchen Trash Cans
197,2020-08-22,17234.0,Kitchen Trash Cans
198,2020-08-23,17234.0,Kitchen Trash Cans
199,2020-08-24,21550.0,Kitchen Trash Cans
200,2020-08-25,21550.0,Kitchen Trash Cans
201,2020-08-26,21550.0,Kitchen Trash Cans
202,2020-08-27,18652.0,Kitchen Trash Cans
203,2020-08-28,18652.0,Kitchen Trash Cans
204,2020-08-29,22907.0,Kitchen Trash Cans
205,2020-08-30,22907.0,Kitchen Trash Cans
206,2020-08-31,17462.0,Kitchen Trash Cans
207,2020-09-01,17462.0,Kitchen Trash Cans
208,2020-09-02,17462.0,Kitchen Trash Cans
209,2020-09-03,17462.0,Kitchen Trash Cans
210,2020-09-04,14355.0,Kitchen Trash Cans
211,2020-09-05,14355.0,Kitchen Trash Cans
212,2020-09-06,14076.0,Kitchen Trash Cans
213,2020-09-07,14076.0,Kitchen Trash Cans
214,2020-09-08,13522.0,Kitchen Trash Cans
215,2020-09-09,13522.0,Kitchen Trash Cans
216,2020-09-10,13522.0,Kitchen Trash Cans
217,2020-09-11,13522.0,Kitchen Trash Cans
218,2020-09-12,18766.0,Kitchen Trash Cans
219,2020-09-13,18766.0,Kitchen Trash Cans
220,2020-09-14,18766.0,Kitchen Trash Cans
221,2020-09-15,17575.0,Kitchen Trash Cans
222,2020-09-16,17575.0,Kitchen Trash Cans
223,2020-09-17,17575.0,Kitchen Trash Cans
224,2020-09-18,39497.0,Kitchen Trash Cans
225,2020-09-19,39497.0,Kitchen Trash Cans
226,2020-09-20,39497.0,Kitchen Trash Cans
227,2020-09-21,39497.0,Kitchen Trash Cans
228,2020-09-22,39497.0,Kitchen Trash Cans
229,2020-09-23,39497.0,Kitchen Trash Cans
230,2020-09-24,108121.0,Kitchen Trash Cans
231,2020-09-25,108121.0,Kitchen Trash Cans
232,2020-09-26,108121.0,Kitchen Trash Cans
233,2020-09-27,108121.0,Kitchen Trash Cans
234,2020-09-28,29761.0,Kitchen Trash Cans
235,2020-09-29,25472.0,Kitchen Trash Cans
236,2020-09-30,25472.0,Kitchen Trash Cans
237,2020-10-01,41530.0,Kitchen Trash Cans
238,2020-10-02,41530.0,Kitchen Trash Cans
239,2020-10-03,36158.0,Kitchen Trash Cans
240,2020-10-04,43238.0,Kitchen Trash Cans
241,2020-10-05,30655.0,Kitchen Trash Cans
242,2020-10-06,30655.0,Kitchen Trash Cans
243,2020-10-07,19628.0,Kitchen Trash Cans
244,2020-10-08,19628.0,Kitchen Trash Cans
245,2020-10-09,19628.0,Kitchen Trash Cans
246,2020-10-10,19628.0,Kitchen Trash Cans
247,2020-10-11,19628.0,Kitchen Trash Cans
248,2020-10-12,16818.0,Kitchen Trash Cans
249,2020-10-13,12840.0,Kitchen Trash Cans
250,2020-10-14,17780.0,Kitchen Trash Cans
251,2020-10-15,18902.0,Kitchen Trash Cans
252,2020-10-16,18902.0,Kitchen Trash Cans
253,2020-10-17,19007.0,Kitchen Trash Cans
254,2020-10-18,14680.0,Kitchen Trash Cans
255,2020-10-19,14680.0,Kitchen Trash Cans
256,2020-10-20,15747.0,Kitchen Trash Cans
257,2020-10-21,14476.0,Kitchen Trash Cans
258,2020-10-22,14410.0,Kitchen Trash Cans
259,2020-10-23,14410.0,Kitchen Trash Cans
260,2020-10-24,13528.0,Kitchen Trash Cans
261,2020-10-25,16429.0,Kitchen Trash Cans
262,2020-10-26,16429.0,Kitchen Trash Cans
263,2020-10-27,16429.0,Kitchen Trash Cans
264,2020-10-28,16429.0,Kitchen Trash Cans
265,2020-10-29,25402.0,Kitchen Trash Cans
266,2020-10-30,25402.0,Kitchen Trash Cans
267,2020-10-31,25402.0,Kitchen Trash Cans
268,2020-11-01,25402.0,Kitchen Trash Cans
269,2020-11-02,25402.0,Kitchen Trash Cans
270,2020-11-03,54628.0,Kitchen Trash Cans
271,2020-11-04,35951.0,Kitchen Trash Cans
272,2020-11-05,35951.0,Kitchen Trash Cans
273,2020-11-06,35951.0,Kitchen Trash Cans
274,2020-11-07,35951.0,Kitchen Trash Cans
275,2020-11-08,35951.0,Kitchen Trash Cans
276,2020-11-09,35951.0,Kitchen Trash Cans
277,2020-11-10,14311.0,Kitchen Trash Cans
278,2020-11-11,14311.0,Kitchen Trash Cans
279,2020-11-12,14311.0,Kitchen Trash Cans
280,2020-11-13,14311.0,Kitchen Trash Cans
281,2020-11-14,14311.0,Kitchen Trash Cans
282,2020-11-15,25845.0,Kitchen Trash Cans
283,2020-11-16,25845.0,Kitchen Trash Cans
284,2020-11-17,25845.0,Kitchen Trash Cans
285,2020-11-18,25845.0,Kitchen Trash Cans
286,2020-11-19,40576.0,Kitchen Trash Cans
287,2020-11-20,40576.0,Kitchen Trash Cans
288,2020-11-21,40576.0,Kitchen Trash Cans
289,2020-11-22,44539.0,Kitchen Trash Cans
290,2020-11-23,32112.0,Kitchen Trash Cans
291,2020-11-24,32112.0,Kitchen Trash Cans
292,2020-11-25,32112.0,Kitchen Trash Cans
293,2020-11-26,32112.0,Kitchen Trash Cans
294,2020-11-27,43734.0,Kitchen Trash Cans
295,2020-11-28,43734.0,Kitchen Trash Cans
296,2020-11-29,43734.0,Kitchen Trash Cans
297,2020-11-30,43734.0,Kitchen Trash Cans
298,2020-12-01,54126.0,Kitchen Trash Cans
299,2020-12-02,48791.0,Kitchen Trash Cans
300,2020-12-03,48791.0,Kitchen Trash Cans
301,2020-12-04,43368.0,Kitchen Trash Cans
302,2020-12-05,43368.0,Kitchen Trash Cans
303,2020-12-06,43368.0,Kitchen Trash Cans
304,2020-12-07,45952.0,Kitchen Trash Cans
305,2020-12-08,45952.0,Kitchen Trash Cans
306,2020-12-09,37804.0,Kitchen Trash Cans
307,2020-12-10,35911.0,Kitchen Trash Cans
308,2020-12-11,35911.0,Kitchen Trash Cans
309,2020-12-12,35911.0,Kitchen Trash Cans
310,2020-12-13,35911.0,Kitchen Trash Cans
311,2020-12-14,35911.0,Kitchen Trash Cans
312,2020-12-15,22999.0,Kitchen Trash Cans
313,2020-12-16,22999.0,Kitchen Trash Cans
314,2020-12-17,22999.0,Kitchen Trash Cans
315,2020-12-18,17155.0,Kitchen Trash Cans
316,2020-12-19,11444.0,Kitchen Trash Cans
317,2020-12-20,11444.0,Kitchen Trash Cans
318,2020-12-21,11444.0,Kitchen Trash Cans
319,2020-12-22,9232.0,Kitchen Trash Cans
320,2020-12-23,9232.0,Kitchen Trash Cans
321,2020-12-24,9232.0,Kitchen Trash Cans
322,2020-12-25,9232.0,Kitchen Trash Cans
323,2020-12-26,10337.0,Kitchen Trash Cans
324,2020-12-27,10337.0,Kitchen Trash Cans
325,2020-12-28,10337.0,Kitchen Trash Cans
326,2020-12-29,10337.0,Kitchen Trash Cans
327,2020-12-30,11350.0,Kitchen Trash Cans
328,2020-12-31,11350.0,Kitchen Trash Cans
329,2021-01-01,14241.0,Kitchen Trash Cans
330,2021-01-02,14241.0,Kitchen Trash Cans
331,2021-01-03,14241.0,Kitchen Trash Cans
332,2021-01-04,14241.0,Kitchen Trash Cans
333,2021-01-05,14111.0,Kitchen Trash Cans
334,2021-01-06,14111.0,Kitchen Trash Cans
335,2021-01-07,14111.0,Kitchen Trash Cans
336,2021-01-08,14360.0,Kitchen Trash Cans
337,2021-01-09,14360.0,Kitchen Trash Cans
338,2021-01-10,14360.0,Kitchen Trash Cans
339,2021-01-11,9608.0,Kitchen Trash Cans
340,2021-01-12,9608.0,Kitchen Trash Cans
341,2021-01-13,9062.0,Kitchen Trash Cans
342,2021-01-14,9062.0,Kitchen Trash Cans
343,2021-01-15,9062.0,Kitchen Trash Cans
344,2021-01-16,9062.0,Kitchen Trash Cans
345,2021-01-17,9062.0,Kitchen Trash Cans
346,2021-01-18,11984.0,Kitchen Trash Cans
347,2021-01-19,11984.0,Kitchen Trash Cans
348,2021-01-20,12628.0,Kitchen Trash Cans
349,2021-01-21,10517.0,Kitchen Trash Cans
350,2021-01-22,10517.0,Kitchen Trash Cans
