,date,value,name_B00MWU3EPY
353,2021-05-24,53392.0,Baby Bath
354,2021-05-25,53392.0,Baby Bath
355,2021-05-26,53392.0,Baby Bath
356,2021-05-27,53392.0,Baby Bath
357,2021-05-28,53392.0,Baby Bath
358,2021-05-29,44941.0,Baby Bath
359,2021-05-30,44941.0,Baby Bath
360,2021-05-31,44941.0,Baby Bath
361,2021-06-01,40167.0,Baby Bath
362,2021-06-02,40167.0,Baby Bath
363,2021-06-03,43233.0,Baby Bath
364,2021-06-04,43233.0,Baby Bath
365,2021-06-05,47677.0,Baby Bath
366,2021-06-06,47677.0,Baby Bath
367,2021-06-07,47677.0,Baby Bath
368,2021-06-08,47677.0,Baby Bath
369,2021-06-09,47677.0,Baby Bath
370,2021-06-10,47677.0,Baby Bath
371,2021-06-11,47677.0,Baby Bath
372,2021-06-12,50388.0,Baby Bath
373,2021-06-13,50388.0,Baby Bath
374,2021-06-14,50388.0,Baby Bath
375,2021-06-15,50388.0,Baby Bath
376,2021-06-16,43279.0,Baby Bath
377,2021-06-17,43279.0,Baby Bath
378,2021-06-18,43279.0,Baby Bath
379,2021-06-19,48917.0,Baby Bath
380,2021-06-20,48917.0,Baby Bath
381,2021-06-21,57442.0,Baby Bath
382,2021-06-22,44977.0,Baby Bath
383,2021-06-23,44977.0,Baby Bath
384,2021-06-24,44977.0,Baby Bath
385,2021-06-25,49524.0,Baby Bath
386,2021-06-26,56075.0,Baby Bath
387,2021-06-27,56075.0,Baby Bath
388,2021-06-28,56075.0,Baby Bath
389,2021-06-29,54673.0,Baby Bath
390,2021-06-30,54673.0,Baby Bath
391,2021-07-01,54673.0,Baby Bath
392,2021-07-02,54673.0,Baby Bath
393,2021-07-03,63878.0,Baby Bath
394,2021-07-04,63878.0,Baby Bath
395,2021-07-05,63878.0,Baby Bath
396,2021-07-06,52427.0,Baby Bath
397,2021-07-07,52427.0,Baby Bath
398,2021-07-08,52427.0,Baby Bath
399,2021-07-09,75807.0,Baby Bath
