,date,value,name_B08J9PR8GP
107,2021-01-05,4421.0,Bath Rugs
108,2021-01-06,4540.0,Bath Rugs
109,2021-01-07,4879.0,Bath Rugs
110,2021-01-08,5511.0,Bath Rugs
111,2021-01-09,6688.0,Bath Rugs
112,2021-01-10,6688.0,Bath Rugs
113,2021-01-11,3961.0,Bath Rugs
114,2021-01-12,3961.0,Bath Rugs
115,2021-01-13,4847.0,Bath Rugs
116,2021-01-14,5643.0,Bath Rugs
117,2021-01-15,5956.0,Bath Rugs
118,2021-01-16,8294.0,Bath Rugs
119,2021-01-17,8294.0,Bath Rugs
120,2021-01-18,6699.0,Bath Rugs
121,2021-01-19,6699.0,Bath Rugs
122,2021-01-20,6699.0,Bath Rugs
123,2021-01-21,7687.0,Bath Rugs
124,2021-01-22,8157.0,Bath Rugs
125,2021-01-23,6232.0,Bath Rugs
126,2021-01-24,6232.0,Bath Rugs
127,2021-01-25,7827.0,Bath Rugs
128,2021-01-26,8264.0,Bath Rugs
129,2021-01-27,7021.0,Bath Rugs
130,2021-01-28,7021.0,Bath Rugs
131,2021-01-29,8922.0,Bath Rugs
132,2021-01-30,8922.0,Bath Rugs
133,2021-01-31,8922.0,Bath Rugs
134,2021-02-01,8366.0,Bath Rugs
135,2021-02-02,10813.0,Bath Rugs
136,2021-02-03,7994.0,Bath Rugs
137,2021-02-04,8282.0,Bath Rugs
138,2021-02-05,8679.0,Bath Rugs
139,2021-02-06,5722.0,Bath Rugs
140,2021-02-07,8473.0,Bath Rugs
141,2021-02-08,7229.0,Bath Rugs
142,2021-02-09,9243.0,Bath Rugs
143,2021-02-10,11184.0,Bath Rugs
144,2021-02-11,11184.0,Bath Rugs
145,2021-02-12,11184.0,Bath Rugs
146,2021-02-13,11135.0,Bath Rugs
147,2021-02-14,7660.0,Bath Rugs
148,2021-02-15,7189.0,Bath Rugs
149,2021-02-16,7189.0,Bath Rugs
150,2021-02-17,8284.0,Bath Rugs
151,2021-02-18,7714.0,Bath Rugs
152,2021-02-19,7714.0,Bath Rugs
153,2021-02-20,7714.0,Bath Rugs
154,2021-02-21,8290.0,Bath Rugs
155,2021-02-22,6584.0,Bath Rugs
156,2021-02-23,9227.0,Bath Rugs
157,2021-02-24,6779.0,Bath Rugs
158,2021-02-25,8202.0,Bath Rugs
159,2021-02-26,8202.0,Bath Rugs
160,2021-02-27,8202.0,Bath Rugs
161,2021-02-28,8338.0,Bath Rugs
162,2021-03-01,7114.0,Bath Rugs
163,2021-03-02,6388.0,Bath Rugs
164,2021-03-03,6388.0,Bath Rugs
165,2021-03-04,8502.0,Bath Rugs
166,2021-03-05,9002.0,Bath Rugs
167,2021-03-06,6145.0,Bath Rugs
168,2021-03-07,9463.0,Bath Rugs
169,2021-03-08,9463.0,Bath Rugs
170,2021-03-09,10194.0,Bath Rugs
171,2021-03-10,14363.0,Bath Rugs
172,2021-03-11,10187.0,Bath Rugs
173,2021-03-12,8145.0,Bath Rugs
174,2021-03-13,8145.0,Bath Rugs
175,2021-03-14,14675.0,Bath Rugs
176,2021-03-15,14675.0,Bath Rugs
177,2021-03-16,14083.0,Bath Rugs
178,2021-03-17,14083.0,Bath Rugs
179,2021-03-18,12976.0,Bath Rugs
180,2021-03-19,12976.0,Bath Rugs
181,2021-03-20,16069.0,Bath Rugs
182,2021-03-21,16069.0,Bath Rugs
183,2021-03-22,16069.0,Bath Rugs
184,2021-03-23,14781.0,Bath Rugs
185,2021-03-24,14591.0,Bath Rugs
186,2021-03-25,17175.0,Bath Rugs
187,2021-03-26,17175.0,Bath Rugs
188,2021-03-27,17175.0,Bath Rugs
189,2021-03-28,15444.0,Bath Rugs
190,2021-03-29,15444.0,Bath Rugs
191,2021-03-30,15444.0,Bath Rugs
192,2021-03-31,24116.0,Bath Rugs
193,2021-04-01,22604.0,Bath Rugs
194,2021-04-02,28832.0,Bath Rugs
195,2021-04-03,28832.0,Bath Rugs
196,2021-04-04,28832.0,Bath Rugs
197,2021-04-05,28832.0,Bath Rugs
198,2021-04-06,28721.0,Bath Rugs
199,2021-04-07,10560.0,Bath Rugs
200,2021-04-08,10560.0,Bath Rugs
201,2021-04-09,15743.0,Bath Rugs
202,2021-04-10,7030.0,Bath Rugs
203,2021-04-11,7030.0,Bath Rugs
204,2021-04-12,14761.0,Bath Rugs
205,2021-04-13,14761.0,Bath Rugs
206,2021-04-14,23277.0,Bath Rugs
207,2021-04-15,23388.0,Bath Rugs
208,2021-04-16,23388.0,Bath Rugs
209,2021-04-17,23388.0,Bath Rugs
210,2021-04-18,23388.0,Bath Rugs
211,2021-04-19,29059.0,Bath Rugs
212,2021-04-20,9945.0,Bath Rugs
213,2021-04-21,9945.0,Bath Rugs
214,2021-04-22,11794.0,Bath Rugs
215,2021-04-23,14039.0,Bath Rugs
216,2021-04-24,14039.0,Bath Rugs
217,2021-04-25,9925.0,Bath Rugs
218,2021-04-26,15367.0,Bath Rugs
219,2021-04-27,15367.0,Bath Rugs
220,2021-04-28,18513.0,Bath Rugs
221,2021-04-29,2487.0,Bath Rugs
222,2021-04-30,2487.0,Bath Rugs
223,2021-05-01,5167.0,Bath Rugs
224,2021-05-02,7086.0,Bath Rugs
225,2021-05-03,11804.0,Bath Rugs
226,2021-05-04,11804.0,Bath Rugs
227,2021-05-05,27705.0,Bath Rugs
228,2021-05-06,26633.0,Bath Rugs
229,2021-05-07,26633.0,Bath Rugs
230,2021-05-08,27932.0,Bath Rugs
231,2021-05-09,27932.0,Bath Rugs
232,2021-05-10,32690.0,Bath Rugs
233,2021-05-11,24492.0,Bath Rugs
234,2021-05-12,24492.0,Bath Rugs
235,2021-05-13,24492.0,Bath Rugs
236,2021-05-14,24492.0,Bath Rugs
237,2021-05-15,24492.0,Bath Rugs
238,2021-05-16,24492.0,Bath Rugs
239,2021-05-17,29889.0,Bath Rugs
240,2021-05-18,29889.0,Bath Rugs
241,2021-05-19,29889.0,Bath Rugs
242,2021-05-20,31286.0,Bath Rugs
243,2021-05-21,44267.0,Bath Rugs
244,2021-05-22,44267.0,Bath Rugs
245,2021-05-23,44267.0,Bath Rugs
246,2021-05-24,48665.0,Bath Rugs
247,2021-05-25,51981.0,Bath Rugs
248,2021-05-26,51981.0,Bath Rugs
249,2021-05-27,51981.0,Bath Rugs
250,2021-05-28,51981.0,Bath Rugs
251,2021-05-29,45307.0,Bath Rugs
252,2021-05-30,45307.0,Bath Rugs
253,2021-05-31,45307.0,Bath Rugs
254,2021-06-01,45307.0,Bath Rugs
255,2021-06-02,44266.0,Bath Rugs
256,2021-06-03,44266.0,Bath Rugs
257,2021-06-04,44266.0,Bath Rugs
258,2021-06-05,44266.0,Bath Rugs
259,2021-06-06,44266.0,Bath Rugs
260,2021-06-07,59250.0,Bath Rugs
261,2021-06-08,59250.0,Bath Rugs
262,2021-06-09,36183.0,Bath Rugs
263,2021-06-10,36183.0,Bath Rugs
264,2021-06-11,36183.0,Bath Rugs
265,2021-06-12,34238.0,Bath Rugs
266,2021-06-13,34238.0,Bath Rugs
267,2021-06-14,34238.0,Bath Rugs
268,2021-06-15,34238.0,Bath Rugs
269,2021-06-16,34238.0,Bath Rugs
270,2021-06-17,59233.0,Bath Rugs
271,2021-06-18,46987.0,Bath Rugs
272,2021-06-19,46987.0,Bath Rugs
273,2021-06-20,46987.0,Bath Rugs
274,2021-06-21,35127.0,Bath Rugs
275,2021-06-22,35127.0,Bath Rugs
276,2021-06-23,33229.0,Bath Rugs
277,2021-06-24,30628.0,Bath Rugs
278,2021-06-25,17298.0,Bath Rugs
279,2021-06-26,17298.0,Bath Rugs
280,2021-06-27,16346.0,Bath Rugs
281,2021-06-28,16346.0,Bath Rugs
282,2021-06-29,16748.0,Bath Rugs
283,2021-06-30,18192.0,Bath Rugs
284,2021-07-01,16385.0,Bath Rugs
285,2021-07-02,16385.0,Bath Rugs
286,2021-07-03,17811.0,Bath Rugs
287,2021-07-04,17811.0,Bath Rugs
288,2021-07-05,25286.0,Bath Rugs
289,2021-07-06,27756.0,Bath Rugs
290,2021-07-07,29609.0,Bath Rugs
291,2021-07-08,39798.0,Bath Rugs
292,2021-07-09,39798.0,Bath Rugs
293,2021-07-10,26378.0,Bath Rugs
