,date,value,name_B086B717RV
300,2021-03-22,571.0,Training Pads
301,2021-03-23,940.0,Training Pads
302,2021-03-24,1231.0,Training Pads
303,2021-03-25,1231.0,Training Pads
304,2021-03-26,1222.0,Training Pads
305,2021-03-27,1222.0,Training Pads
306,2021-03-28,1322.0,Training Pads
307,2021-03-29,1322.0,Training Pads
308,2021-03-30,1262.0,Training Pads
309,2021-03-31,1262.0,Training Pads
310,2021-04-01,1262.0,Training Pads
311,2021-04-02,1573.0,Training Pads
312,2021-04-03,1573.0,Training Pads
313,2021-04-04,1309.0,Training Pads
314,2021-04-05,1309.0,Training Pads
315,2021-04-06,1309.0,Training Pads
316,2021-04-07,1431.0,Training Pads
317,2021-04-08,1431.0,Training Pads
318,2021-04-09,1531.0,Training Pads
319,2021-04-10,1515.0,Training Pads
320,2021-04-11,1515.0,Training Pads
321,2021-04-12,1489.0,Training Pads
322,2021-04-13,1489.0,Training Pads
323,2021-04-14,1662.0,Training Pads
324,2021-04-15,1662.0,Training Pads
325,2021-04-16,1497.0,Training Pads
326,2021-04-17,1497.0,Training Pads
327,2021-04-18,1497.0,Training Pads
328,2021-04-19,1602.0,Training Pads
329,2021-04-20,1602.0,Training Pads
330,2021-04-21,1498.0,Training Pads
331,2021-04-22,1498.0,Training Pads
332,2021-04-23,1355.0,Training Pads
333,2021-04-24,1355.0,Training Pads
334,2021-04-25,1522.0,Training Pads
335,2021-04-26,1652.0,Training Pads
336,2021-04-27,1652.0,Training Pads
337,2021-04-28,1532.0,Training Pads
338,2021-04-29,1532.0,Training Pads
339,2021-04-30,1532.0,Training Pads
340,2021-05-01,1532.0,Training Pads
341,2021-05-02,1780.0,Training Pads
342,2021-05-03,1780.0,Training Pads
343,2021-05-04,1666.0,Training Pads
344,2021-05-05,1666.0,Training Pads
345,2021-05-06,1666.0,Training Pads
346,2021-05-07,1525.0,Training Pads
347,2021-05-08,1525.0,Training Pads
348,2021-05-09,1611.0,Training Pads
349,2021-05-10,1611.0,Training Pads
350,2021-05-11,1491.0,Training Pads
351,2021-05-12,1491.0,Training Pads
352,2021-05-13,1661.0,Training Pads
353,2021-05-14,1661.0,Training Pads
354,2021-05-15,1378.0,Training Pads
355,2021-05-16,1378.0,Training Pads
356,2021-05-17,1378.0,Training Pads
357,2021-05-18,1531.0,Training Pads
358,2021-05-19,1531.0,Training Pads
359,2021-05-20,1488.0,Training Pads
360,2021-05-21,1488.0,Training Pads
361,2021-05-22,1646.0,Training Pads
362,2021-05-23,1646.0,Training Pads
363,2021-05-24,1657.0,Training Pads
364,2021-05-25,1657.0,Training Pads
365,2021-05-26,1552.0,Training Pads
366,2021-05-27,1552.0,Training Pads
367,2021-05-28,1318.0,Training Pads
368,2021-05-29,1318.0,Training Pads
369,2021-05-30,1089.0,Training Pads
370,2021-05-31,1089.0,Training Pads
371,2021-06-01,1089.0,Training Pads
372,2021-06-02,1291.0,Training Pads
373,2021-06-03,1291.0,Training Pads
374,2021-06-04,1196.0,Training Pads
375,2021-06-05,1196.0,Training Pads
376,2021-06-06,1275.0,Training Pads
377,2021-06-07,1275.0,Training Pads
378,2021-06-08,1518.0,Training Pads
379,2021-06-09,1518.0,Training Pads
380,2021-06-10,1464.0,Training Pads
381,2021-06-11,1464.0,Training Pads
382,2021-06-12,1464.0,Training Pads
383,2021-06-13,1424.0,Training Pads
384,2021-06-14,1622.0,Training Pads
385,2021-06-15,1622.0,Training Pads
386,2021-06-16,1622.0,Training Pads
387,2021-06-17,1622.0,Training Pads
388,2021-06-18,1370.0,Training Pads
389,2021-06-19,1370.0,Training Pads
390,2021-06-20,1370.0,Training Pads
391,2021-06-21,1506.0,Training Pads
392,2021-06-22,2118.0,Training Pads
393,2021-06-23,2118.0,Training Pads
394,2021-06-24,2118.0,Training Pads
395,2021-06-25,2118.0,Training Pads
396,2021-06-26,2118.0,Training Pads
397,2021-06-27,2118.0,Training Pads
398,2021-06-28,2118.0,Training Pads
399,2021-06-29,1372.0,Training Pads
400,2021-06-30,1372.0,Training Pads
401,2021-07-01,1419.0,Training Pads
402,2021-07-02,1419.0,Training Pads
403,2021-07-03,1306.0,Training Pads
404,2021-07-04,1306.0,Training Pads
405,2021-07-05,1345.0,Training Pads
406,2021-07-06,1614.0,Training Pads
407,2021-07-07,1614.0,Training Pads
408,2021-07-08,1546.0,Training Pads
409,2021-07-09,1546.0,Training Pads
410,2021-07-10,1574.0,Training Pads
