,date,value,name_B07SN3DSZS
131,2020-10-03,2220.0,Vest Harnesses
132,2020-10-04,1860.0,Vest Harnesses
133,2020-10-05,1860.0,Vest Harnesses
134,2020-10-06,1954.0,Vest Harnesses
135,2020-10-07,1954.0,Vest Harnesses
136,2020-10-08,1954.0,Vest Harnesses
137,2020-10-09,2087.0,Vest Harnesses
138,2020-10-10,2106.0,Vest Harnesses
139,2020-10-11,2106.0,Vest Harnesses
140,2020-10-12,1914.0,Vest Harnesses
141,2020-10-13,2217.0,Vest Harnesses
142,2020-10-14,2065.0,Vest Harnesses
143,2020-10-15,2168.0,Vest Harnesses
144,2020-10-16,1794.0,Vest Harnesses
145,2020-10-17,2368.0,Vest Harnesses
146,2020-10-18,2368.0,Vest Harnesses
147,2020-10-19,2141.0,Vest Harnesses
148,2020-10-20,1833.0,Vest Harnesses
149,2020-10-21,1833.0,Vest Harnesses
150,2020-10-22,1833.0,Vest Harnesses
151,2020-10-23,1833.0,Vest Harnesses
152,2020-10-24,1802.0,Vest Harnesses
153,2020-10-25,1728.0,Vest Harnesses
154,2020-10-26,1728.0,Vest Harnesses
155,2020-10-27,2065.0,Vest Harnesses
156,2020-10-28,2247.0,Vest Harnesses
157,2020-10-29,2277.0,Vest Harnesses
158,2020-10-30,2803.0,Vest Harnesses
159,2020-10-31,2464.0,Vest Harnesses
160,2020-11-01,2464.0,Vest Harnesses
161,2020-11-02,2602.0,Vest Harnesses
162,2020-11-03,2602.0,Vest Harnesses
163,2020-11-04,2785.0,Vest Harnesses
164,2020-11-05,2785.0,Vest Harnesses
165,2020-11-06,2812.0,Vest Harnesses
166,2020-11-07,2812.0,Vest Harnesses
167,2020-11-08,2812.0,Vest Harnesses
168,2020-11-09,2244.0,Vest Harnesses
169,2020-11-10,1924.0,Vest Harnesses
170,2020-11-11,1977.0,Vest Harnesses
171,2020-11-12,2256.0,Vest Harnesses
172,2020-11-13,2256.0,Vest Harnesses
173,2020-11-14,2256.0,Vest Harnesses
174,2020-11-15,2100.0,Vest Harnesses
175,2020-11-16,2100.0,Vest Harnesses
176,2020-11-17,2100.0,Vest Harnesses
177,2020-11-18,1772.0,Vest Harnesses
178,2020-11-19,1772.0,Vest Harnesses
179,2020-11-20,1748.0,Vest Harnesses
180,2020-11-21,1748.0,Vest Harnesses
181,2020-11-22,1748.0,Vest Harnesses
182,2020-11-23,1307.0,Vest Harnesses
183,2020-11-24,1654.0,Vest Harnesses
184,2020-11-25,2016.0,Vest Harnesses
185,2020-11-26,2217.0,Vest Harnesses
186,2020-11-27,2217.0,Vest Harnesses
187,2020-11-28,2217.0,Vest Harnesses
188,2020-11-29,2217.0,Vest Harnesses
189,2020-11-30,2292.0,Vest Harnesses
190,2020-12-01,2910.0,Vest Harnesses
191,2020-12-02,2910.0,Vest Harnesses
192,2020-12-03,2910.0,Vest Harnesses
193,2020-12-04,3173.0,Vest Harnesses
194,2020-12-05,3173.0,Vest Harnesses
195,2020-12-06,3427.0,Vest Harnesses
196,2020-12-07,3427.0,Vest Harnesses
197,2020-12-08,3225.0,Vest Harnesses
198,2020-12-09,3225.0,Vest Harnesses
199,2020-12-10,3225.0,Vest Harnesses
200,2020-12-11,2895.0,Vest Harnesses
201,2020-12-12,2895.0,Vest Harnesses
202,2020-12-13,2895.0,Vest Harnesses
203,2020-12-14,2617.0,Vest Harnesses
204,2020-12-15,2617.0,Vest Harnesses
205,2020-12-16,2957.0,Vest Harnesses
206,2020-12-17,2957.0,Vest Harnesses
207,2020-12-18,2957.0,Vest Harnesses
208,2020-12-19,3601.0,Vest Harnesses
209,2020-12-20,3601.0,Vest Harnesses
210,2020-12-21,3601.0,Vest Harnesses
211,2020-12-22,3601.0,Vest Harnesses
212,2020-12-23,3601.0,Vest Harnesses
213,2020-12-24,3601.0,Vest Harnesses
214,2020-12-25,3601.0,Vest Harnesses
215,2020-12-26,3601.0,Vest Harnesses
216,2020-12-27,3601.0,Vest Harnesses
217,2020-12-28,3601.0,Vest Harnesses
218,2020-12-29,3601.0,Vest Harnesses
219,2020-12-30,3601.0,Vest Harnesses
220,2020-12-31,3601.0,Vest Harnesses
221,2021-01-01,3601.0,Vest Harnesses
222,2021-01-02,3601.0,Vest Harnesses
223,2021-01-03,3601.0,Vest Harnesses
224,2021-01-04,3601.0,Vest Harnesses
225,2021-01-05,3601.0,Vest Harnesses
226,2021-01-06,3601.0,Vest Harnesses
227,2021-01-07,3601.0,Vest Harnesses
228,2021-01-08,3601.0,Vest Harnesses
229,2021-01-09,3601.0,Vest Harnesses
230,2021-01-10,3601.0,Vest Harnesses
231,2021-01-11,3601.0,Vest Harnesses
232,2021-01-12,3601.0,Vest Harnesses
233,2021-01-13,3601.0,Vest Harnesses
234,2021-01-14,3601.0,Vest Harnesses
235,2021-01-15,3601.0,Vest Harnesses
236,2021-01-16,3601.0,Vest Harnesses
237,2021-01-17,3601.0,Vest Harnesses
238,2021-01-18,3601.0,Vest Harnesses
239,2021-01-19,3601.0,Vest Harnesses
240,2021-01-20,3601.0,Vest Harnesses
241,2021-01-21,3601.0,Vest Harnesses
242,2021-01-22,3601.0,Vest Harnesses
243,2021-01-23,3601.0,Vest Harnesses
244,2021-01-24,3601.0,Vest Harnesses
245,2021-01-25,3601.0,Vest Harnesses
246,2021-01-26,3601.0,Vest Harnesses
247,2021-01-27,3601.0,Vest Harnesses
248,2021-01-28,3601.0,Vest Harnesses
249,2021-01-29,3601.0,Vest Harnesses
250,2021-01-30,3601.0,Vest Harnesses
251,2021-01-31,3601.0,Vest Harnesses
252,2021-02-01,3601.0,Vest Harnesses
253,2021-02-02,3601.0,Vest Harnesses
254,2021-02-03,3601.0,Vest Harnesses
255,2021-02-04,3601.0,Vest Harnesses
256,2021-02-05,3601.0,Vest Harnesses
257,2021-02-06,3601.0,Vest Harnesses
258,2021-02-07,3601.0,Vest Harnesses
259,2021-02-08,3601.0,Vest Harnesses
260,2021-02-09,3601.0,Vest Harnesses
261,2021-02-10,3601.0,Vest Harnesses
262,2021-02-11,3601.0,Vest Harnesses
263,2021-02-12,3601.0,Vest Harnesses
264,2021-02-13,3601.0,Vest Harnesses
265,2021-02-14,3601.0,Vest Harnesses
266,2021-02-15,3601.0,Vest Harnesses
267,2021-02-16,3601.0,Vest Harnesses
268,2021-02-17,3601.0,Vest Harnesses
269,2021-02-18,3601.0,Vest Harnesses
270,2021-02-19,3601.0,Vest Harnesses
271,2021-02-20,3601.0,Vest Harnesses
272,2021-02-21,3601.0,Vest Harnesses
273,2021-02-22,3601.0,Vest Harnesses
274,2021-02-23,3601.0,Vest Harnesses
275,2021-02-24,3601.0,Vest Harnesses
276,2021-02-25,3601.0,Vest Harnesses
277,2021-02-26,3601.0,Vest Harnesses
278,2021-02-27,3601.0,Vest Harnesses
279,2021-02-28,3601.0,Vest Harnesses
280,2021-03-01,3601.0,Vest Harnesses
281,2021-03-02,3601.0,Vest Harnesses
282,2021-03-03,3601.0,Vest Harnesses
283,2021-03-04,3601.0,Vest Harnesses
284,2021-03-05,3601.0,Vest Harnesses
285,2021-03-06,3601.0,Vest Harnesses
286,2021-03-07,3601.0,Vest Harnesses
287,2021-03-08,3601.0,Vest Harnesses
288,2021-03-09,3601.0,Vest Harnesses
289,2021-03-10,3601.0,Vest Harnesses
290,2021-03-11,3601.0,Vest Harnesses
291,2021-03-12,3601.0,Vest Harnesses
292,2021-03-13,3601.0,Vest Harnesses
293,2021-03-14,3601.0,Vest Harnesses
294,2021-03-15,3601.0,Vest Harnesses
295,2021-03-16,3601.0,Vest Harnesses
296,2021-03-17,3601.0,Vest Harnesses
297,2021-03-18,3601.0,Vest Harnesses
298,2021-03-19,3601.0,Vest Harnesses
299,2021-03-20,3601.0,Vest Harnesses
300,2021-03-21,3601.0,Vest Harnesses
301,2021-03-22,3601.0,Vest Harnesses
302,2021-03-23,3601.0,Vest Harnesses
303,2021-03-24,3601.0,Vest Harnesses
304,2021-03-25,3601.0,Vest Harnesses
305,2021-03-26,3601.0,Vest Harnesses
306,2021-03-27,3601.0,Vest Harnesses
307,2021-03-28,3601.0,Vest Harnesses
308,2021-03-29,3601.0,Vest Harnesses
309,2021-03-30,3601.0,Vest Harnesses
310,2021-03-31,3601.0,Vest Harnesses
311,2021-04-01,3601.0,Vest Harnesses
312,2021-04-02,3601.0,Vest Harnesses
313,2021-04-03,3601.0,Vest Harnesses
314,2021-04-04,3601.0,Vest Harnesses
315,2021-04-05,3601.0,Vest Harnesses
316,2021-04-06,3601.0,Vest Harnesses
317,2021-04-07,3601.0,Vest Harnesses
318,2021-04-08,3601.0,Vest Harnesses
319,2021-04-09,3601.0,Vest Harnesses
320,2021-04-10,3601.0,Vest Harnesses
321,2021-04-11,3601.0,Vest Harnesses
322,2021-04-12,1826.0,Vest Harnesses
323,2021-04-13,1826.0,Vest Harnesses
324,2021-04-14,1389.0,Vest Harnesses
325,2021-04-15,1389.0,Vest Harnesses
326,2021-04-16,1746.0,Vest Harnesses
327,2021-04-17,1746.0,Vest Harnesses
328,2021-04-18,1720.0,Vest Harnesses
329,2021-04-19,1720.0,Vest Harnesses
330,2021-04-20,1720.0,Vest Harnesses
331,2021-04-21,1703.0,Vest Harnesses
332,2021-04-22,1703.0,Vest Harnesses
333,2021-04-23,1950.0,Vest Harnesses
334,2021-04-24,1950.0,Vest Harnesses
335,2021-04-25,1721.0,Vest Harnesses
336,2021-04-26,1721.0,Vest Harnesses
337,2021-04-27,1721.0,Vest Harnesses
338,2021-04-28,1732.0,Vest Harnesses
339,2021-04-29,1732.0,Vest Harnesses
340,2021-04-30,1762.0,Vest Harnesses
341,2021-05-01,1762.0,Vest Harnesses
342,2021-05-02,1653.0,Vest Harnesses
343,2021-05-03,1653.0,Vest Harnesses
344,2021-05-04,1187.0,Vest Harnesses
345,2021-05-05,1187.0,Vest Harnesses
346,2021-05-06,1208.0,Vest Harnesses
347,2021-05-07,1208.0,Vest Harnesses
348,2021-05-08,1372.0,Vest Harnesses
349,2021-05-09,1372.0,Vest Harnesses
350,2021-05-10,1341.0,Vest Harnesses
351,2021-05-11,1344.0,Vest Harnesses
352,2021-05-12,1344.0,Vest Harnesses
353,2021-05-13,1608.0,Vest Harnesses
354,2021-05-14,1872.0,Vest Harnesses
355,2021-05-15,1751.0,Vest Harnesses
356,2021-05-16,1751.0,Vest Harnesses
357,2021-05-17,1751.0,Vest Harnesses
358,2021-05-18,1437.0,Vest Harnesses
359,2021-05-19,1437.0,Vest Harnesses
360,2021-05-20,1785.0,Vest Harnesses
361,2021-05-21,1785.0,Vest Harnesses
362,2021-05-22,1933.0,Vest Harnesses
363,2021-05-23,1933.0,Vest Harnesses
364,2021-05-24,1882.0,Vest Harnesses
