,date,value,name_B08PHXD26L
46,2021-01-23,6320.0,All-Purpose Cleaners
47,2021-01-24,6320.0,All-Purpose Cleaners
48,2021-01-25,8383.0,All-Purpose Cleaners
49,2021-01-26,7209.0,All-Purpose Cleaners
50,2021-01-27,8236.0,All-Purpose Cleaners
51,2021-01-28,8236.0,All-Purpose Cleaners
52,2021-01-29,8236.0,All-Purpose Cleaners
53,2021-01-30,6877.0,All-Purpose Cleaners
54,2021-01-31,6877.0,All-Purpose Cleaners
55,2021-02-01,6877.0,All-Purpose Cleaners
56,2021-02-02,5990.0,All-Purpose Cleaners
57,2021-02-03,5990.0,All-Purpose Cleaners
58,2021-02-04,5990.0,All-Purpose Cleaners
59,2021-02-05,6267.0,All-Purpose Cleaners
60,2021-02-06,6267.0,All-Purpose Cleaners
61,2021-02-07,6267.0,All-Purpose Cleaners
62,2021-02-08,5850.0,All-Purpose Cleaners
63,2021-02-09,5850.0,All-Purpose Cleaners
64,2021-02-10,6016.0,All-Purpose Cleaners
65,2021-02-11,6016.0,All-Purpose Cleaners
66,2021-02-12,6016.0,All-Purpose Cleaners
67,2021-02-13,6807.0,All-Purpose Cleaners
68,2021-02-14,6571.0,All-Purpose Cleaners
69,2021-02-15,6571.0,All-Purpose Cleaners
70,2021-02-16,5641.0,All-Purpose Cleaners
71,2021-02-17,5641.0,All-Purpose Cleaners
72,2021-02-18,11395.0,All-Purpose Cleaners
73,2021-02-19,17044.0,All-Purpose Cleaners
74,2021-02-20,23315.0,All-Purpose Cleaners
75,2021-02-21,21459.0,All-Purpose Cleaners
76,2021-02-22,21459.0,All-Purpose Cleaners
77,2021-02-23,4391.0,All-Purpose Cleaners
78,2021-02-24,30953.0,All-Purpose Cleaners
79,2021-02-25,35884.0,All-Purpose Cleaners
80,2021-02-26,35884.0,All-Purpose Cleaners
81,2021-02-27,35884.0,All-Purpose Cleaners
82,2021-02-28,48985.0,All-Purpose Cleaners
83,2021-03-01,40012.0,All-Purpose Cleaners
84,2021-03-02,40012.0,All-Purpose Cleaners
85,2021-03-03,11458.0,All-Purpose Cleaners
86,2021-03-04,39571.0,All-Purpose Cleaners
87,2021-03-05,39571.0,All-Purpose Cleaners
88,2021-03-06,25898.0,All-Purpose Cleaners
89,2021-03-07,25898.0,All-Purpose Cleaners
90,2021-03-08,9143.0,All-Purpose Cleaners
91,2021-03-09,8711.0,All-Purpose Cleaners
92,2021-03-10,8711.0,All-Purpose Cleaners
93,2021-03-11,5244.0,All-Purpose Cleaners
94,2021-03-12,5542.0,All-Purpose Cleaners
95,2021-03-13,5542.0,All-Purpose Cleaners
96,2021-03-14,5197.0,All-Purpose Cleaners
97,2021-03-15,5197.0,All-Purpose Cleaners
98,2021-03-16,5084.0,All-Purpose Cleaners
99,2021-03-17,5701.0,All-Purpose Cleaners
100,2021-03-18,5701.0,All-Purpose Cleaners
101,2021-03-19,5287.0,All-Purpose Cleaners
102,2021-03-20,5287.0,All-Purpose Cleaners
103,2021-03-21,5096.0,All-Purpose Cleaners
104,2021-03-22,5096.0,All-Purpose Cleaners
105,2021-03-23,5096.0,All-Purpose Cleaners
106,2021-03-24,5093.0,All-Purpose Cleaners
107,2021-03-25,5093.0,All-Purpose Cleaners
108,2021-03-26,5407.0,All-Purpose Cleaners
109,2021-03-27,5634.0,All-Purpose Cleaners
110,2021-03-28,5634.0,All-Purpose Cleaners
111,2021-03-29,5620.0,All-Purpose Cleaners
112,2021-03-30,4560.0,All-Purpose Cleaners
113,2021-03-31,4560.0,All-Purpose Cleaners
114,2021-04-01,4560.0,All-Purpose Cleaners
115,2021-04-02,6858.0,All-Purpose Cleaners
116,2021-04-03,6858.0,All-Purpose Cleaners
117,2021-04-04,6858.0,All-Purpose Cleaners
118,2021-04-05,4689.0,All-Purpose Cleaners
119,2021-04-06,4700.0,All-Purpose Cleaners
120,2021-04-07,4700.0,All-Purpose Cleaners
121,2021-04-08,4700.0,All-Purpose Cleaners
122,2021-04-09,5158.0,All-Purpose Cleaners
123,2021-04-10,5307.0,All-Purpose Cleaners
124,2021-04-11,5307.0,All-Purpose Cleaners
125,2021-04-12,4734.0,All-Purpose Cleaners
126,2021-04-13,4734.0,All-Purpose Cleaners
127,2021-04-14,4625.0,All-Purpose Cleaners
128,2021-04-15,4615.0,All-Purpose Cleaners
129,2021-04-16,5661.0,All-Purpose Cleaners
130,2021-04-17,5661.0,All-Purpose Cleaners
131,2021-04-18,4536.0,All-Purpose Cleaners
132,2021-04-19,5007.0,All-Purpose Cleaners
133,2021-04-20,5184.0,All-Purpose Cleaners
134,2021-04-21,5389.0,All-Purpose Cleaners
135,2021-04-22,5389.0,All-Purpose Cleaners
136,2021-04-23,5180.0,All-Purpose Cleaners
137,2021-04-24,5180.0,All-Purpose Cleaners
138,2021-04-25,4524.0,All-Purpose Cleaners
139,2021-04-26,4524.0,All-Purpose Cleaners
140,2021-04-27,4524.0,All-Purpose Cleaners
141,2021-04-28,5760.0,All-Purpose Cleaners
142,2021-04-29,5760.0,All-Purpose Cleaners
143,2021-04-30,5643.0,All-Purpose Cleaners
144,2021-05-01,5643.0,All-Purpose Cleaners
145,2021-05-02,5408.0,All-Purpose Cleaners
146,2021-05-03,4379.0,All-Purpose Cleaners
147,2021-05-04,5077.0,All-Purpose Cleaners
148,2021-05-05,5077.0,All-Purpose Cleaners
149,2021-05-06,5795.0,All-Purpose Cleaners
150,2021-05-07,6043.0,All-Purpose Cleaners
151,2021-05-08,6043.0,All-Purpose Cleaners
152,2021-05-09,4814.0,All-Purpose Cleaners
153,2021-05-10,4814.0,All-Purpose Cleaners
154,2021-05-11,5484.0,All-Purpose Cleaners
155,2021-05-12,5484.0,All-Purpose Cleaners
156,2021-05-13,6035.0,All-Purpose Cleaners
157,2021-05-14,6035.0,All-Purpose Cleaners
158,2021-05-15,6489.0,All-Purpose Cleaners
159,2021-05-16,6489.0,All-Purpose Cleaners
160,2021-05-17,4824.0,All-Purpose Cleaners
161,2021-05-18,4462.0,All-Purpose Cleaners
162,2021-05-19,5627.0,All-Purpose Cleaners
163,2021-05-20,5115.0,All-Purpose Cleaners
164,2021-05-21,5404.0,All-Purpose Cleaners
165,2021-05-22,4951.0,All-Purpose Cleaners
166,2021-05-23,4951.0,All-Purpose Cleaners
167,2021-05-24,4235.0,All-Purpose Cleaners
168,2021-05-25,4235.0,All-Purpose Cleaners
169,2021-05-26,4235.0,All-Purpose Cleaners
170,2021-05-27,5101.0,All-Purpose Cleaners
171,2021-05-28,5101.0,All-Purpose Cleaners
172,2021-05-29,6027.0,All-Purpose Cleaners
173,2021-05-30,6027.0,All-Purpose Cleaners
174,2021-05-31,6027.0,All-Purpose Cleaners
175,2021-06-01,4994.0,All-Purpose Cleaners
176,2021-06-02,4994.0,All-Purpose Cleaners
177,2021-06-03,6063.0,All-Purpose Cleaners
178,2021-06-04,6063.0,All-Purpose Cleaners
179,2021-06-05,6597.0,All-Purpose Cleaners
180,2021-06-06,6597.0,All-Purpose Cleaners
181,2021-06-07,4653.0,All-Purpose Cleaners
182,2021-06-08,4653.0,All-Purpose Cleaners
183,2021-06-09,5384.0,All-Purpose Cleaners
184,2021-06-10,5384.0,All-Purpose Cleaners
185,2021-06-11,5395.0,All-Purpose Cleaners
186,2021-06-12,5395.0,All-Purpose Cleaners
187,2021-06-13,6287.0,All-Purpose Cleaners
188,2021-06-14,5702.0,All-Purpose Cleaners
189,2021-06-15,5631.0,All-Purpose Cleaners
190,2021-06-16,5725.0,All-Purpose Cleaners
191,2021-06-17,5725.0,All-Purpose Cleaners
192,2021-06-18,5366.0,All-Purpose Cleaners
193,2021-06-19,5366.0,All-Purpose Cleaners
194,2021-06-20,4559.0,All-Purpose Cleaners
195,2021-06-21,4566.0,All-Purpose Cleaners
196,2021-06-22,6377.0,All-Purpose Cleaners
197,2021-06-23,6377.0,All-Purpose Cleaners
198,2021-06-24,6449.0,All-Purpose Cleaners
199,2021-06-25,6449.0,All-Purpose Cleaners
200,2021-06-26,6449.0,All-Purpose Cleaners
201,2021-06-27,6449.0,All-Purpose Cleaners
202,2021-06-28,4890.0,All-Purpose Cleaners
203,2021-06-29,5628.0,All-Purpose Cleaners
204,2021-06-30,5628.0,All-Purpose Cleaners
205,2021-07-01,5628.0,All-Purpose Cleaners
206,2021-07-02,5466.0,All-Purpose Cleaners
207,2021-07-03,5466.0,All-Purpose Cleaners
208,2021-07-04,5238.0,All-Purpose Cleaners
209,2021-07-05,4936.0,All-Purpose Cleaners
210,2021-07-06,4936.0,All-Purpose Cleaners
211,2021-07-07,5647.0,All-Purpose Cleaners
212,2021-07-08,5647.0,All-Purpose Cleaners
213,2021-07-09,5170.0,All-Purpose Cleaners
214,2021-07-10,5170.0,All-Purpose Cleaners
215,2021-07-11,5126.0,All-Purpose Cleaners
