,date,value,name_B08DJP1WJV
64,2021-04-10,83573.0,Baking & Cookie Sheets
65,2021-04-11,83573.0,Baking & Cookie Sheets
66,2021-04-12,144961.0,Baking & Cookie Sheets
67,2021-04-13,144961.0,Baking & Cookie Sheets
68,2021-04-14,166603.0,Baking & Cookie Sheets
69,2021-04-15,139461.0,Baking & Cookie Sheets
70,2021-04-16,139461.0,Baking & Cookie Sheets
71,2021-04-17,173949.0,Baking & Cookie Sheets
72,2021-04-18,50356.0,Baking & Cookie Sheets
73,2021-04-19,63860.0,Baking & Cookie Sheets
74,2021-04-20,76799.0,Baking & Cookie Sheets
75,2021-04-21,96826.0,Baking & Cookie Sheets
76,2021-04-22,144594.0,Baking & Cookie Sheets
77,2021-04-23,148507.0,Baking & Cookie Sheets
78,2021-04-24,148507.0,Baking & Cookie Sheets
79,2021-04-25,147470.0,Baking & Cookie Sheets
80,2021-04-26,128403.0,Baking & Cookie Sheets
81,2021-04-27,129192.0,Baking & Cookie Sheets
82,2021-04-28,92291.0,Baking & Cookie Sheets
83,2021-04-29,116238.0,Baking & Cookie Sheets
84,2021-04-30,116238.0,Baking & Cookie Sheets
85,2021-05-01,184629.0,Baking & Cookie Sheets
86,2021-05-02,203774.0,Baking & Cookie Sheets
87,2021-05-03,222917.0,Baking & Cookie Sheets
88,2021-05-04,131382.0,Baking & Cookie Sheets
89,2021-05-05,154293.0,Baking & Cookie Sheets
90,2021-05-06,185039.0,Baking & Cookie Sheets
91,2021-05-07,202321.0,Baking & Cookie Sheets
92,2021-05-08,232019.0,Baking & Cookie Sheets
93,2021-05-09,242237.0,Baking & Cookie Sheets
94,2021-05-10,247523.0,Baking & Cookie Sheets
95,2021-05-11,132766.0,Baking & Cookie Sheets
96,2021-05-12,187330.0,Baking & Cookie Sheets
97,2021-05-13,197749.0,Baking & Cookie Sheets
98,2021-05-14,197749.0,Baking & Cookie Sheets
99,2021-05-15,68222.0,Baking & Cookie Sheets
100,2021-05-16,68222.0,Baking & Cookie Sheets
101,2021-05-17,101087.0,Baking & Cookie Sheets
102,2021-05-18,139352.0,Baking & Cookie Sheets
103,2021-05-19,150879.0,Baking & Cookie Sheets
104,2021-05-20,170618.0,Baking & Cookie Sheets
105,2021-05-21,136779.0,Baking & Cookie Sheets
106,2021-05-22,161644.0,Baking & Cookie Sheets
107,2021-05-23,97325.0,Baking & Cookie Sheets
108,2021-05-24,115533.0,Baking & Cookie Sheets
109,2021-05-25,54554.0,Baking & Cookie Sheets
110,2021-05-26,84060.0,Baking & Cookie Sheets
111,2021-05-27,52134.0,Baking & Cookie Sheets
112,2021-05-28,33204.0,Baking & Cookie Sheets
113,2021-05-29,19420.0,Baking & Cookie Sheets
114,2021-05-30,24749.0,Baking & Cookie Sheets
115,2021-05-31,22586.0,Baking & Cookie Sheets
116,2021-06-01,17654.0,Baking & Cookie Sheets
117,2021-06-02,19883.0,Baking & Cookie Sheets
118,2021-06-03,18398.0,Baking & Cookie Sheets
119,2021-06-04,27093.0,Baking & Cookie Sheets
120,2021-06-05,28068.0,Baking & Cookie Sheets
121,2021-06-06,33544.0,Baking & Cookie Sheets
122,2021-06-07,44931.0,Baking & Cookie Sheets
123,2021-06-08,44427.0,Baking & Cookie Sheets
124,2021-06-09,56606.0,Baking & Cookie Sheets
125,2021-06-10,27173.0,Baking & Cookie Sheets
126,2021-06-11,28149.0,Baking & Cookie Sheets
127,2021-06-12,19585.0,Baking & Cookie Sheets
128,2021-06-13,16882.0,Baking & Cookie Sheets
129,2021-06-14,13721.0,Baking & Cookie Sheets
130,2021-06-15,20355.0,Baking & Cookie Sheets
131,2021-06-16,13317.0,Baking & Cookie Sheets
132,2021-06-17,14516.0,Baking & Cookie Sheets
133,2021-06-18,11955.0,Baking & Cookie Sheets
134,2021-06-19,13456.0,Baking & Cookie Sheets
135,2021-06-20,12119.0,Baking & Cookie Sheets
136,2021-06-21,13021.0,Baking & Cookie Sheets
137,2021-06-22,14082.0,Baking & Cookie Sheets
138,2021-06-23,17806.0,Baking & Cookie Sheets
139,2021-06-24,15568.0,Baking & Cookie Sheets
140,2021-06-25,14311.0,Baking & Cookie Sheets
141,2021-06-26,16955.0,Baking & Cookie Sheets
142,2021-06-27,28116.0,Baking & Cookie Sheets
143,2021-06-28,33655.0,Baking & Cookie Sheets
144,2021-06-29,32080.0,Baking & Cookie Sheets
145,2021-06-30,42943.0,Baking & Cookie Sheets
146,2021-07-01,26524.0,Baking & Cookie Sheets
147,2021-07-02,28318.0,Baking & Cookie Sheets
148,2021-07-03,37572.0,Baking & Cookie Sheets
149,2021-07-04,34324.0,Baking & Cookie Sheets
150,2021-07-05,28870.0,Baking & Cookie Sheets
151,2021-07-06,47723.0,Baking & Cookie Sheets
152,2021-07-07,39050.0,Baking & Cookie Sheets
153,2021-07-08,40457.0,Baking & Cookie Sheets
154,2021-07-09,40916.0,Baking & Cookie Sheets
