,date,value,name_B08PTNVV38
149,2021-05-06,3110.0,Accessories
150,2021-05-07,3110.0,Accessories
151,2021-05-08,2619.0,Accessories
152,2021-05-09,2177.0,Accessories
153,2021-05-10,2177.0,Accessories
154,2021-05-11,2031.0,Accessories
155,2021-05-12,2105.0,Accessories
156,2021-05-13,2105.0,Accessories
157,2021-05-14,1796.0,Accessories
158,2021-05-15,2256.0,Accessories
159,2021-05-16,2256.0,Accessories
160,2021-05-17,1638.0,Accessories
161,2021-05-18,1969.0,Accessories
162,2021-05-19,1969.0,Accessories
163,2021-05-20,2301.0,Accessories
164,2021-05-21,2549.0,Accessories
165,2021-05-22,2549.0,Accessories
166,2021-05-23,2549.0,Accessories
167,2021-05-24,2788.0,Accessories
168,2021-05-25,2788.0,Accessories
169,2021-05-26,3063.0,Accessories
170,2021-05-27,3083.0,Accessories
171,2021-05-28,3083.0,Accessories
172,2021-05-29,2905.0,Accessories
173,2021-05-30,3695.0,Accessories
174,2021-05-31,3695.0,Accessories
175,2021-06-01,3738.0,Accessories
176,2021-06-02,2789.0,Accessories
177,2021-06-03,2789.0,Accessories
178,2021-06-04,2983.0,Accessories
179,2021-06-05,2983.0,Accessories
180,2021-06-06,3021.0,Accessories
181,2021-06-07,3021.0,Accessories
182,2021-06-08,3467.0,Accessories
183,2021-06-09,2912.0,Accessories
184,2021-06-10,2912.0,Accessories
185,2021-06-11,3496.0,Accessories
186,2021-06-12,3496.0,Accessories
187,2021-06-13,3470.0,Accessories
188,2021-06-14,3470.0,Accessories
189,2021-06-15,3172.0,Accessories
190,2021-06-16,3172.0,Accessories
191,2021-06-17,3527.0,Accessories
192,2021-06-18,3527.0,Accessories
193,2021-06-19,3527.0,Accessories
194,2021-06-20,3889.0,Accessories
195,2021-06-21,2923.0,Accessories
196,2021-06-22,2923.0,Accessories
197,2021-06-23,4701.0,Accessories
198,2021-06-24,3390.0,Accessories
199,2021-06-25,3004.0,Accessories
200,2021-06-26,3004.0,Accessories
201,2021-06-27,3397.0,Accessories
202,2021-06-28,3806.0,Accessories
203,2021-06-29,3806.0,Accessories
204,2021-06-30,3763.0,Accessories
205,2021-07-01,4403.0,Accessories
206,2021-07-02,4403.0,Accessories
207,2021-07-03,3196.0,Accessories
208,2021-07-04,3763.0,Accessories
209,2021-07-05,3904.0,Accessories
210,2021-07-06,3904.0,Accessories
211,2021-07-07,3092.0,Accessories
212,2021-07-08,3092.0,Accessories
213,2021-07-09,2687.0,Accessories
214,2021-07-10,2229.0,Accessories
215,2021-07-11,2716.0,Accessories
