,date,value,name_B07L3P18PM
154,2020-07-29,13117.0,Back Braces
155,2020-07-30,13117.0,Back Braces
156,2020-07-31,13117.0,Back Braces
157,2020-08-01,13117.0,Back Braces
158,2020-08-02,13117.0,Back Braces
159,2020-08-03,11521.0,Back Braces
160,2020-08-04,11521.0,Back Braces
161,2020-08-05,11521.0,Back Braces
162,2020-08-06,11474.0,Back Braces
163,2020-08-07,11474.0,Back Braces
164,2020-08-08,11474.0,Back Braces
165,2020-08-09,17213.0,Back Braces
166,2020-08-10,17213.0,Back Braces
167,2020-08-11,21410.0,Back Braces
168,2020-08-12,21410.0,Back Braces
169,2020-08-13,23739.0,Back Braces
170,2020-08-14,23739.0,Back Braces
171,2020-08-15,23739.0,Back Braces
172,2020-08-16,23739.0,Back Braces
173,2020-08-17,23739.0,Back Braces
174,2020-08-18,23739.0,Back Braces
175,2020-08-19,24827.0,Back Braces
176,2020-08-20,24827.0,Back Braces
177,2020-08-21,28512.0,Back Braces
178,2020-08-22,22478.0,Back Braces
179,2020-08-23,22478.0,Back Braces
180,2020-08-24,24186.0,Back Braces
181,2020-08-25,24186.0,Back Braces
182,2020-08-26,24186.0,Back Braces
183,2020-08-27,24186.0,Back Braces
184,2020-08-28,24186.0,Back Braces
185,2020-08-29,24186.0,Back Braces
186,2020-08-30,20218.0,Back Braces
187,2020-08-31,20218.0,Back Braces
188,2020-09-01,20218.0,Back Braces
189,2020-09-02,21362.0,Back Braces
190,2020-09-03,21589.0,Back Braces
191,2020-09-04,21589.0,Back Braces
192,2020-09-05,21589.0,Back Braces
193,2020-09-06,21589.0,Back Braces
194,2020-09-07,24123.0,Back Braces
195,2020-09-08,24123.0,Back Braces
196,2020-09-09,24123.0,Back Braces
197,2020-09-10,24123.0,Back Braces
198,2020-09-11,24123.0,Back Braces
199,2020-09-12,19912.0,Back Braces
200,2020-09-13,19912.0,Back Braces
201,2020-09-14,18862.0,Back Braces
202,2020-09-15,18303.0,Back Braces
203,2020-09-16,18381.0,Back Braces
204,2020-09-17,18381.0,Back Braces
205,2020-09-18,17380.0,Back Braces
206,2020-09-19,16590.0,Back Braces
207,2020-09-20,16590.0,Back Braces
208,2020-09-21,15600.0,Back Braces
209,2020-09-22,15600.0,Back Braces
210,2020-09-23,15600.0,Back Braces
211,2020-09-24,15600.0,Back Braces
212,2020-09-25,15600.0,Back Braces
213,2020-09-26,15111.0,Back Braces
214,2020-09-27,15111.0,Back Braces
215,2020-09-28,15111.0,Back Braces
216,2020-09-29,15111.0,Back Braces
217,2020-09-30,12148.0,Back Braces
218,2020-10-01,12148.0,Back Braces
219,2020-10-02,12148.0,Back Braces
220,2020-10-03,10736.0,Back Braces
221,2020-10-04,10736.0,Back Braces
222,2020-10-05,10736.0,Back Braces
223,2020-10-06,16280.0,Back Braces
224,2020-10-07,16280.0,Back Braces
225,2020-10-08,16280.0,Back Braces
226,2020-10-09,11973.0,Back Braces
227,2020-10-10,10919.0,Back Braces
228,2020-10-11,10591.0,Back Braces
229,2020-10-12,8985.0,Back Braces
230,2020-10-13,10263.0,Back Braces
231,2020-10-14,10263.0,Back Braces
232,2020-10-15,10263.0,Back Braces
233,2020-10-16,10263.0,Back Braces
234,2020-10-17,8959.0,Back Braces
235,2020-10-18,8959.0,Back Braces
236,2020-10-19,9489.0,Back Braces
237,2020-10-20,11804.0,Back Braces
238,2020-10-21,9936.0,Back Braces
239,2020-10-22,9936.0,Back Braces
240,2020-10-23,9936.0,Back Braces
241,2020-10-24,10009.0,Back Braces
242,2020-10-25,8757.0,Back Braces
243,2020-10-26,8757.0,Back Braces
244,2020-10-27,10542.0,Back Braces
245,2020-10-28,10542.0,Back Braces
246,2020-10-29,9610.0,Back Braces
247,2020-10-30,11278.0,Back Braces
248,2020-10-31,12141.0,Back Braces
249,2020-11-01,12141.0,Back Braces
250,2020-11-02,8560.0,Back Braces
251,2020-11-03,10323.0,Back Braces
252,2020-11-04,10323.0,Back Braces
253,2020-11-05,10323.0,Back Braces
254,2020-11-06,10323.0,Back Braces
255,2020-11-07,9690.0,Back Braces
256,2020-11-08,9690.0,Back Braces
257,2020-11-09,9690.0,Back Braces
258,2020-11-10,9690.0,Back Braces
259,2020-11-11,9690.0,Back Braces
260,2020-11-12,11644.0,Back Braces
261,2020-11-13,11644.0,Back Braces
262,2020-11-14,11644.0,Back Braces
263,2020-11-15,13549.0,Back Braces
264,2020-11-16,13549.0,Back Braces
265,2020-11-17,13549.0,Back Braces
266,2020-11-18,13549.0,Back Braces
267,2020-11-19,13680.0,Back Braces
268,2020-11-20,13680.0,Back Braces
269,2020-11-21,13680.0,Back Braces
270,2020-11-22,13278.0,Back Braces
271,2020-11-23,13278.0,Back Braces
272,2020-11-24,11790.0,Back Braces
273,2020-11-25,10308.0,Back Braces
274,2020-11-26,10308.0,Back Braces
275,2020-11-27,10308.0,Back Braces
276,2020-11-28,7977.0,Back Braces
277,2020-11-29,7977.0,Back Braces
278,2020-11-30,7977.0,Back Braces
279,2020-12-01,6257.0,Back Braces
280,2020-12-02,6257.0,Back Braces
281,2020-12-03,6257.0,Back Braces
282,2020-12-04,13633.0,Back Braces
283,2020-12-05,13633.0,Back Braces
284,2020-12-06,13633.0,Back Braces
285,2020-12-07,13196.0,Back Braces
286,2020-12-08,13196.0,Back Braces
287,2020-12-09,13196.0,Back Braces
288,2020-12-10,13196.0,Back Braces
289,2020-12-11,13196.0,Back Braces
290,2020-12-12,16045.0,Back Braces
291,2020-12-13,16045.0,Back Braces
292,2020-12-14,16045.0,Back Braces
293,2020-12-15,16045.0,Back Braces
294,2020-12-16,30007.0,Back Braces
295,2020-12-17,30007.0,Back Braces
296,2020-12-18,30007.0,Back Braces
297,2020-12-19,30007.0,Back Braces
298,2020-12-20,41197.0,Back Braces
299,2020-12-21,41197.0,Back Braces
300,2020-12-22,46518.0,Back Braces
301,2020-12-23,48213.0,Back Braces
302,2020-12-24,47009.0,Back Braces
303,2020-12-25,47009.0,Back Braces
304,2020-12-26,47009.0,Back Braces
305,2020-12-27,47009.0,Back Braces
306,2020-12-28,47009.0,Back Braces
307,2020-12-29,61047.0,Back Braces
308,2020-12-30,29955.0,Back Braces
309,2020-12-31,29955.0,Back Braces
310,2021-01-01,22823.0,Back Braces
311,2021-01-02,22823.0,Back Braces
312,2021-01-03,22823.0,Back Braces
313,2021-01-04,42874.0,Back Braces
314,2021-01-05,42874.0,Back Braces
315,2021-01-06,42874.0,Back Braces
316,2021-01-07,18958.0,Back Braces
317,2021-01-08,18958.0,Back Braces
318,2021-01-09,18958.0,Back Braces
319,2021-01-10,17480.0,Back Braces
320,2021-01-11,17480.0,Back Braces
321,2021-01-12,17480.0,Back Braces
322,2021-01-13,14896.0,Back Braces
323,2021-01-14,14896.0,Back Braces
324,2021-01-15,12920.0,Back Braces
325,2021-01-16,12467.0,Back Braces
326,2021-01-17,10704.0,Back Braces
327,2021-01-18,10704.0,Back Braces
328,2021-01-19,13485.0,Back Braces
329,2021-01-20,11692.0,Back Braces
330,2021-01-21,10828.0,Back Braces
331,2021-01-22,10688.0,Back Braces
332,2021-01-23,9740.0,Back Braces
333,2021-01-24,9740.0,Back Braces
334,2021-01-25,10998.0,Back Braces
335,2021-01-26,10998.0,Back Braces
336,2021-01-27,10998.0,Back Braces
337,2021-01-28,10998.0,Back Braces
338,2021-01-29,11437.0,Back Braces
339,2021-01-30,11437.0,Back Braces
340,2021-01-31,11437.0,Back Braces
341,2021-02-01,25563.0,Back Braces
342,2021-02-02,25563.0,Back Braces
343,2021-02-03,25563.0,Back Braces
344,2021-02-04,25563.0,Back Braces
345,2021-02-05,25563.0,Back Braces
346,2021-02-06,25563.0,Back Braces
347,2021-02-07,25563.0,Back Braces
348,2021-02-08,14833.0,Back Braces
349,2021-02-09,14833.0,Back Braces
350,2021-02-10,14833.0,Back Braces
351,2021-02-11,14833.0,Back Braces
352,2021-02-12,14833.0,Back Braces
353,2021-02-13,11190.0,Back Braces
354,2021-02-14,11190.0,Back Braces
355,2021-02-15,11190.0,Back Braces
356,2021-02-16,14660.0,Back Braces
357,2021-02-17,14660.0,Back Braces
358,2021-02-18,14660.0,Back Braces
359,2021-02-19,13669.0,Back Braces
360,2021-02-20,11795.0,Back Braces
361,2021-02-21,11795.0,Back Braces
362,2021-02-22,11795.0,Back Braces
363,2021-02-23,7830.0,Back Braces
364,2021-02-24,7830.0,Back Braces
365,2021-02-25,9085.0,Back Braces
366,2021-02-26,9085.0,Back Braces
367,2021-02-27,9085.0,Back Braces
368,2021-02-28,9085.0,Back Braces
369,2021-03-01,18421.0,Back Braces
370,2021-03-02,18421.0,Back Braces
371,2021-03-03,15942.0,Back Braces
372,2021-03-04,15942.0,Back Braces
373,2021-03-05,15942.0,Back Braces
374,2021-03-06,15942.0,Back Braces
375,2021-03-07,15942.0,Back Braces
376,2021-03-08,16014.0,Back Braces
377,2021-03-09,16927.0,Back Braces
378,2021-03-10,16927.0,Back Braces
379,2021-03-11,16927.0,Back Braces
380,2021-03-12,16927.0,Back Braces
381,2021-03-13,16927.0,Back Braces
382,2021-03-14,18576.0,Back Braces
383,2021-03-15,17323.0,Back Braces
384,2021-03-16,14947.0,Back Braces
385,2021-03-17,14358.0,Back Braces
386,2021-03-18,14358.0,Back Braces
387,2021-03-19,14358.0,Back Braces
388,2021-03-20,11703.0,Back Braces
389,2021-03-21,11703.0,Back Braces
390,2021-03-22,11703.0,Back Braces
391,2021-03-23,11280.0,Back Braces
392,2021-03-24,10198.0,Back Braces
393,2021-03-25,9443.0,Back Braces
394,2021-03-26,9443.0,Back Braces
395,2021-03-27,9125.0,Back Braces
396,2021-03-28,9125.0,Back Braces
397,2021-03-29,9922.0,Back Braces
398,2021-03-30,8902.0,Back Braces
399,2021-03-31,8902.0,Back Braces
400,2021-04-01,8902.0,Back Braces
401,2021-04-02,10371.0,Back Braces
402,2021-04-03,10371.0,Back Braces
403,2021-04-04,10371.0,Back Braces
404,2021-04-05,13350.0,Back Braces
405,2021-04-06,13350.0,Back Braces
406,2021-04-07,13350.0,Back Braces
407,2021-04-08,12400.0,Back Braces
408,2021-04-09,12400.0,Back Braces
409,2021-04-10,12400.0,Back Braces
410,2021-04-11,18127.0,Back Braces
411,2021-04-12,18127.0,Back Braces
412,2021-04-13,18127.0,Back Braces
413,2021-04-14,16370.0,Back Braces
414,2021-04-15,16370.0,Back Braces
415,2021-04-16,16370.0,Back Braces
416,2021-04-17,16370.0,Back Braces
417,2021-04-18,16370.0,Back Braces
418,2021-04-19,23486.0,Back Braces
419,2021-04-20,25369.0,Back Braces
420,2021-04-21,20888.0,Back Braces
421,2021-04-22,21897.0,Back Braces
422,2021-04-23,20890.0,Back Braces
423,2021-04-24,20890.0,Back Braces
424,2021-04-25,20890.0,Back Braces
425,2021-04-26,29156.0,Back Braces
426,2021-04-27,32997.0,Back Braces
427,2021-04-28,32997.0,Back Braces
428,2021-04-29,32997.0,Back Braces
429,2021-04-30,20206.0,Back Braces
430,2021-05-01,20206.0,Back Braces
431,2021-05-02,20206.0,Back Braces
432,2021-05-03,20206.0,Back Braces
433,2021-05-04,20206.0,Back Braces
434,2021-05-05,22006.0,Back Braces
435,2021-05-06,21527.0,Back Braces
436,2021-05-07,21527.0,Back Braces
437,2021-05-08,21527.0,Back Braces
438,2021-05-09,21527.0,Back Braces
439,2021-05-10,13425.0,Back Braces
440,2021-05-11,13425.0,Back Braces
441,2021-05-12,13425.0,Back Braces
442,2021-05-13,14963.0,Back Braces
443,2021-05-14,14963.0,Back Braces
444,2021-05-15,14963.0,Back Braces
445,2021-05-16,13428.0,Back Braces
446,2021-05-17,13428.0,Back Braces
447,2021-05-18,11911.0,Back Braces
448,2021-05-19,12004.0,Back Braces
449,2021-05-20,12913.0,Back Braces
450,2021-05-21,12204.0,Back Braces
451,2021-05-22,12204.0,Back Braces
452,2021-05-23,12204.0,Back Braces
453,2021-05-24,14579.0,Back Braces
454,2021-05-25,11532.0,Back Braces
455,2021-05-26,11532.0,Back Braces
456,2021-05-27,11532.0,Back Braces
457,2021-05-28,10427.0,Back Braces
458,2021-05-29,9311.0,Back Braces
459,2021-05-30,9311.0,Back Braces
460,2021-05-31,9827.0,Back Braces
461,2021-06-01,9827.0,Back Braces
462,2021-06-02,10241.0,Back Braces
463,2021-06-03,10511.0,Back Braces
464,2021-06-04,8760.0,Back Braces
465,2021-06-05,8760.0,Back Braces
466,2021-06-06,8760.0,Back Braces
467,2021-06-07,10494.0,Back Braces
468,2021-06-08,10906.0,Back Braces
469,2021-06-09,10906.0,Back Braces
470,2021-06-10,10906.0,Back Braces
471,2021-06-11,8796.0,Back Braces
472,2021-06-12,8796.0,Back Braces
473,2021-06-13,7446.0,Back Braces
474,2021-06-14,7446.0,Back Braces
475,2021-06-15,7446.0,Back Braces
476,2021-06-16,7745.0,Back Braces
477,2021-06-17,7745.0,Back Braces
478,2021-06-18,6982.0,Back Braces
479,2021-06-19,6982.0,Back Braces
480,2021-06-20,7232.0,Back Braces
481,2021-06-21,7128.0,Back Braces
482,2021-06-22,5543.0,Back Braces
483,2021-06-23,5600.0,Back Braces
484,2021-06-24,5600.0,Back Braces
485,2021-06-25,5303.0,Back Braces
486,2021-06-26,5460.0,Back Braces
487,2021-06-27,5460.0,Back Braces
488,2021-06-28,5875.0,Back Braces
489,2021-06-29,7205.0,Back Braces
490,2021-06-30,7205.0,Back Braces
491,2021-07-01,5942.0,Back Braces
492,2021-07-02,5942.0,Back Braces
493,2021-07-03,5868.0,Back Braces
494,2021-07-04,5868.0,Back Braces
495,2021-07-05,6382.0,Back Braces
496,2021-07-06,5969.0,Back Braces
497,2021-07-07,6916.0,Back Braces
498,2021-07-08,6916.0,Back Braces
499,2021-07-09,6916.0,Back Braces
500,2021-07-10,6013.0,Back Braces
