,date,value,name_B07YZ5HGYC
406,2020-11-30,-1.0,Container Sets
407,2020-12-01,-1.0,Container Sets
408,2020-12-02,-1.0,Container Sets
409,2020-12-03,-1.0,Container Sets
410,2020-12-04,-1.0,Container Sets
411,2020-12-05,-1.0,Container Sets
412,2020-12-06,-1.0,Container Sets
413,2020-12-07,-1.0,Container Sets
414,2020-12-08,-1.0,Container Sets
415,2020-12-09,-1.0,Container Sets
416,2020-12-10,-1.0,Container Sets
417,2020-12-11,-1.0,Container Sets
418,2020-12-12,-1.0,Container Sets
419,2020-12-13,-1.0,Container Sets
420,2020-12-14,-1.0,Container Sets
421,2020-12-15,-1.0,Container Sets
422,2020-12-16,-1.0,Container Sets
423,2020-12-17,-1.0,Container Sets
424,2020-12-18,-1.0,Container Sets
425,2020-12-19,-1.0,Container Sets
426,2020-12-20,-1.0,Container Sets
427,2020-12-21,-1.0,Container Sets
428,2020-12-22,-1.0,Container Sets
429,2020-12-23,-1.0,Container Sets
430,2020-12-24,-1.0,Container Sets
431,2020-12-25,-1.0,Container Sets
432,2020-12-26,-1.0,Container Sets
433,2020-12-27,-1.0,Container Sets
434,2020-12-28,-1.0,Container Sets
435,2020-12-29,-1.0,Container Sets
436,2020-12-30,-1.0,Container Sets
437,2020-12-31,-1.0,Container Sets
438,2021-01-01,-1.0,Container Sets
439,2021-01-02,-1.0,Container Sets
440,2021-01-03,-1.0,Container Sets
441,2021-01-04,-1.0,Container Sets
442,2021-01-05,-1.0,Container Sets
443,2021-01-06,-1.0,Container Sets
444,2021-01-07,-1.0,Container Sets
445,2021-01-08,-1.0,Container Sets
446,2021-01-09,-1.0,Container Sets
447,2021-01-10,-1.0,Container Sets
448,2021-01-11,-1.0,Container Sets
449,2021-01-12,-1.0,Container Sets
450,2021-01-13,-1.0,Container Sets
451,2021-01-14,-1.0,Container Sets
452,2021-01-15,-1.0,Container Sets
453,2021-01-16,-1.0,Container Sets
454,2021-01-17,-1.0,Container Sets
455,2021-01-18,-1.0,Container Sets
456,2021-01-19,-1.0,Container Sets
457,2021-01-20,-1.0,Container Sets
458,2021-01-21,-1.0,Container Sets
459,2021-01-22,-1.0,Container Sets
460,2021-01-23,-1.0,Container Sets
461,2021-01-24,-1.0,Container Sets
462,2021-01-25,-1.0,Container Sets
463,2021-01-26,-1.0,Container Sets
464,2021-01-27,-1.0,Container Sets
465,2021-01-28,-1.0,Container Sets
466,2021-01-29,-1.0,Container Sets
467,2021-01-30,-1.0,Container Sets
468,2021-01-31,-1.0,Container Sets
469,2021-02-01,-1.0,Container Sets
470,2021-02-02,-1.0,Container Sets
471,2021-02-03,-1.0,Container Sets
472,2021-02-04,-1.0,Container Sets
473,2021-02-05,-1.0,Container Sets
474,2021-02-06,-1.0,Container Sets
475,2021-02-07,-1.0,Container Sets
476,2021-02-08,-1.0,Container Sets
477,2021-02-09,-1.0,Container Sets
478,2021-02-10,-1.0,Container Sets
479,2021-02-11,-1.0,Container Sets
480,2021-02-12,-1.0,Container Sets
481,2021-02-13,-1.0,Container Sets
482,2021-02-14,-1.0,Container Sets
483,2021-02-15,-1.0,Container Sets
484,2021-02-16,-1.0,Container Sets
485,2021-02-17,-1.0,Container Sets
486,2021-02-18,-1.0,Container Sets
487,2021-02-19,-1.0,Container Sets
488,2021-02-20,-1.0,Container Sets
489,2021-02-21,-1.0,Container Sets
490,2021-02-22,-1.0,Container Sets
491,2021-02-23,-1.0,Container Sets
492,2021-02-24,-1.0,Container Sets
493,2021-02-25,-1.0,Container Sets
494,2021-02-26,-1.0,Container Sets
495,2021-02-27,-1.0,Container Sets
496,2021-02-28,-1.0,Container Sets
497,2021-03-01,-1.0,Container Sets
498,2021-03-02,-1.0,Container Sets
499,2021-03-03,-1.0,Container Sets
500,2021-03-04,-1.0,Container Sets
501,2021-03-05,-1.0,Container Sets
502,2021-03-06,-1.0,Container Sets
503,2021-03-07,-1.0,Container Sets
504,2021-03-08,-1.0,Container Sets
505,2021-03-09,-1.0,Container Sets
506,2021-03-10,-1.0,Container Sets
507,2021-03-11,-1.0,Container Sets
508,2021-03-12,-1.0,Container Sets
509,2021-03-13,-1.0,Container Sets
510,2021-03-14,-1.0,Container Sets
511,2021-03-15,-1.0,Container Sets
512,2021-03-16,-1.0,Container Sets
513,2021-03-17,-1.0,Container Sets
514,2021-03-18,-1.0,Container Sets
515,2021-03-19,-1.0,Container Sets
516,2021-03-20,-1.0,Container Sets
517,2021-03-21,-1.0,Container Sets
518,2021-03-22,-1.0,Container Sets
519,2021-03-23,-1.0,Container Sets
520,2021-03-24,-1.0,Container Sets
521,2021-03-25,-1.0,Container Sets
522,2021-03-26,-1.0,Container Sets
523,2021-03-27,-1.0,Container Sets
524,2021-03-28,-1.0,Container Sets
525,2021-03-29,-1.0,Container Sets
526,2021-03-30,-1.0,Container Sets
527,2021-03-31,-1.0,Container Sets
528,2021-04-01,-1.0,Container Sets
529,2021-04-02,-1.0,Container Sets
530,2021-04-03,-1.0,Container Sets
531,2021-04-04,-1.0,Container Sets
532,2021-04-05,-1.0,Container Sets
533,2021-04-06,-1.0,Container Sets
534,2021-04-07,-1.0,Container Sets
535,2021-04-08,-1.0,Container Sets
536,2021-04-09,-1.0,Container Sets
537,2021-04-10,-1.0,Container Sets
538,2021-04-11,-1.0,Container Sets
539,2021-04-12,-1.0,Container Sets
540,2021-04-13,-1.0,Container Sets
541,2021-04-14,-1.0,Container Sets
542,2021-04-15,-1.0,Container Sets
543,2021-04-16,-1.0,Container Sets
544,2021-04-17,-1.0,Container Sets
545,2021-04-18,-1.0,Container Sets
546,2021-04-19,-1.0,Container Sets
547,2021-04-20,-1.0,Container Sets
548,2021-04-21,-1.0,Container Sets
549,2021-04-22,-1.0,Container Sets
550,2021-04-23,-1.0,Container Sets
551,2021-04-24,-1.0,Container Sets
552,2021-04-25,-1.0,Container Sets
553,2021-04-26,-1.0,Container Sets
554,2021-04-27,-1.0,Container Sets
555,2021-04-28,-1.0,Container Sets
556,2021-04-29,-1.0,Container Sets
557,2021-04-30,-1.0,Container Sets
558,2021-05-01,-1.0,Container Sets
559,2021-05-02,-1.0,Container Sets
560,2021-05-03,-1.0,Container Sets
561,2021-05-04,-1.0,Container Sets
562,2021-05-05,-1.0,Container Sets
563,2021-05-06,-1.0,Container Sets
564,2021-05-07,-1.0,Container Sets
565,2021-05-08,-1.0,Container Sets
566,2021-05-09,-1.0,Container Sets
567,2021-05-10,-1.0,Container Sets
568,2021-05-11,-1.0,Container Sets
569,2021-05-12,-1.0,Container Sets
570,2021-05-13,-1.0,Container Sets
571,2021-05-14,-1.0,Container Sets
572,2021-05-15,-1.0,Container Sets
573,2021-05-16,-1.0,Container Sets
574,2021-05-17,-1.0,Container Sets
575,2021-05-18,-1.0,Container Sets
576,2021-05-19,-1.0,Container Sets
577,2021-05-20,-1.0,Container Sets
578,2021-05-21,-1.0,Container Sets
579,2021-05-22,-1.0,Container Sets
580,2021-05-23,-1.0,Container Sets
581,2021-05-24,5502.0,Container Sets
582,2021-05-25,5502.0,Container Sets
583,2021-05-26,3293.0,Container Sets
584,2021-05-27,3293.0,Container Sets
585,2021-05-28,3293.0,Container Sets
586,2021-05-29,3516.0,Container Sets
587,2021-05-30,3516.0,Container Sets
588,2021-05-31,3516.0,Container Sets
589,2021-06-01,4961.0,Container Sets
590,2021-06-02,4961.0,Container Sets
591,2021-06-03,4173.0,Container Sets
592,2021-06-04,4069.0,Container Sets
593,2021-06-05,4069.0,Container Sets
594,2021-06-06,4069.0,Container Sets
595,2021-06-07,4925.0,Container Sets
596,2021-06-08,4925.0,Container Sets
597,2021-06-09,4925.0,Container Sets
598,2021-06-10,4090.0,Container Sets
599,2021-06-11,4068.0,Container Sets
600,2021-06-12,3874.0,Container Sets
601,2021-06-13,3874.0,Container Sets
602,2021-06-14,6362.0,Container Sets
603,2021-06-15,6362.0,Container Sets
604,2021-06-16,5531.0,Container Sets
605,2021-06-17,5531.0,Container Sets
606,2021-06-18,4768.0,Container Sets
607,2021-06-19,4768.0,Container Sets
608,2021-06-20,5124.0,Container Sets
609,2021-06-21,5781.0,Container Sets
610,2021-06-22,5781.0,Container Sets
611,2021-06-23,6188.0,Container Sets
612,2021-06-24,6188.0,Container Sets
613,2021-06-25,4033.0,Container Sets
614,2021-06-26,4033.0,Container Sets
615,2021-06-27,4033.0,Container Sets
616,2021-06-28,5540.0,Container Sets
617,2021-06-29,4470.0,Container Sets
618,2021-06-30,4470.0,Container Sets
619,2021-07-01,4039.0,Container Sets
620,2021-07-02,4039.0,Container Sets
621,2021-07-03,5185.0,Container Sets
622,2021-07-04,5185.0,Container Sets
623,2021-07-05,4785.0,Container Sets
624,2021-07-06,4785.0,Container Sets
625,2021-07-07,4557.0,Container Sets
626,2021-07-08,4602.0,Container Sets
627,2021-07-09,4602.0,Container Sets
628,2021-07-10,4602.0,Container Sets
629,2021-07-11,5940.0,Container Sets
