,date,value,name_B08MFQWF8T
61,2021-01-12,14693.0,Clothing Protectors
62,2021-01-13,16650.0,Clothing Protectors
63,2021-01-14,18726.0,Clothing Protectors
64,2021-01-15,18726.0,Clothing Protectors
65,2021-01-16,18726.0,Clothing Protectors
66,2021-01-17,18726.0,Clothing Protectors
67,2021-01-18,18726.0,Clothing Protectors
68,2021-01-19,14857.0,Clothing Protectors
69,2021-01-20,16886.0,Clothing Protectors
70,2021-01-21,16886.0,Clothing Protectors
71,2021-01-22,16886.0,Clothing Protectors
72,2021-01-23,16886.0,Clothing Protectors
73,2021-01-24,16886.0,Clothing Protectors
74,2021-01-25,16886.0,Clothing Protectors
75,2021-01-26,16886.0,Clothing Protectors
76,2021-01-27,16722.0,Clothing Protectors
77,2021-01-28,16722.0,Clothing Protectors
78,2021-01-29,16722.0,Clothing Protectors
79,2021-01-30,14161.0,Clothing Protectors
80,2021-01-31,14161.0,Clothing Protectors
81,2021-02-01,14161.0,Clothing Protectors
82,2021-02-02,14161.0,Clothing Protectors
83,2021-02-03,14161.0,Clothing Protectors
84,2021-02-04,14161.0,Clothing Protectors
85,2021-02-05,14161.0,Clothing Protectors
86,2021-02-06,12958.0,Clothing Protectors
87,2021-02-07,12958.0,Clothing Protectors
88,2021-02-08,12958.0,Clothing Protectors
89,2021-02-09,12958.0,Clothing Protectors
90,2021-02-10,14290.0,Clothing Protectors
91,2021-02-11,14290.0,Clothing Protectors
92,2021-02-12,14290.0,Clothing Protectors
93,2021-02-13,14439.0,Clothing Protectors
94,2021-02-14,14439.0,Clothing Protectors
95,2021-02-15,14439.0,Clothing Protectors
96,2021-02-16,14439.0,Clothing Protectors
97,2021-02-17,14439.0,Clothing Protectors
98,2021-02-18,16070.0,Clothing Protectors
99,2021-02-19,16070.0,Clothing Protectors
100,2021-02-20,17506.0,Clothing Protectors
101,2021-02-21,17506.0,Clothing Protectors
102,2021-02-22,17506.0,Clothing Protectors
103,2021-02-23,17506.0,Clothing Protectors
104,2021-02-24,14116.0,Clothing Protectors
105,2021-02-25,12446.0,Clothing Protectors
106,2021-02-26,12446.0,Clothing Protectors
107,2021-02-27,12446.0,Clothing Protectors
108,2021-02-28,14701.0,Clothing Protectors
109,2021-03-01,14701.0,Clothing Protectors
110,2021-03-02,14579.0,Clothing Protectors
111,2021-03-03,14579.0,Clothing Protectors
112,2021-03-04,14579.0,Clothing Protectors
113,2021-03-05,14900.0,Clothing Protectors
114,2021-03-06,14900.0,Clothing Protectors
115,2021-03-07,14900.0,Clothing Protectors
116,2021-03-08,16389.0,Clothing Protectors
117,2021-03-09,16389.0,Clothing Protectors
118,2021-03-10,15302.0,Clothing Protectors
119,2021-03-11,15302.0,Clothing Protectors
120,2021-03-12,15302.0,Clothing Protectors
121,2021-03-13,15302.0,Clothing Protectors
122,2021-03-14,15302.0,Clothing Protectors
123,2021-03-15,15302.0,Clothing Protectors
124,2021-03-16,12509.0,Clothing Protectors
125,2021-03-17,12509.0,Clothing Protectors
126,2021-03-18,18331.0,Clothing Protectors
127,2021-03-19,18331.0,Clothing Protectors
128,2021-03-20,18331.0,Clothing Protectors
129,2021-03-21,18331.0,Clothing Protectors
130,2021-03-22,18331.0,Clothing Protectors
131,2021-03-23,16332.0,Clothing Protectors
132,2021-03-24,16332.0,Clothing Protectors
133,2021-03-25,14215.0,Clothing Protectors
134,2021-03-26,14215.0,Clothing Protectors
135,2021-03-27,14215.0,Clothing Protectors
136,2021-03-28,14215.0,Clothing Protectors
137,2021-03-29,14215.0,Clothing Protectors
138,2021-03-30,14215.0,Clothing Protectors
139,2021-03-31,13641.0,Clothing Protectors
140,2021-04-01,13641.0,Clothing Protectors
141,2021-04-02,13641.0,Clothing Protectors
142,2021-04-03,13641.0,Clothing Protectors
143,2021-04-04,13641.0,Clothing Protectors
144,2021-04-05,13641.0,Clothing Protectors
145,2021-04-06,13641.0,Clothing Protectors
146,2021-04-07,11512.0,Clothing Protectors
147,2021-04-08,11512.0,Clothing Protectors
148,2021-04-09,11512.0,Clothing Protectors
149,2021-04-10,11512.0,Clothing Protectors
150,2021-04-11,11046.0,Clothing Protectors
151,2021-04-12,11046.0,Clothing Protectors
152,2021-04-13,11046.0,Clothing Protectors
153,2021-04-14,15414.0,Clothing Protectors
154,2021-04-15,15414.0,Clothing Protectors
155,2021-04-16,15414.0,Clothing Protectors
156,2021-04-17,15414.0,Clothing Protectors
157,2021-04-18,12439.0,Clothing Protectors
158,2021-04-19,12439.0,Clothing Protectors
159,2021-04-20,10010.0,Clothing Protectors
160,2021-04-21,10010.0,Clothing Protectors
161,2021-04-22,12451.0,Clothing Protectors
162,2021-04-23,10842.0,Clothing Protectors
163,2021-04-24,10842.0,Clothing Protectors
164,2021-04-25,10842.0,Clothing Protectors
165,2021-04-26,10842.0,Clothing Protectors
166,2021-04-27,8335.0,Clothing Protectors
167,2021-04-28,8335.0,Clothing Protectors
168,2021-04-29,8335.0,Clothing Protectors
169,2021-04-30,11284.0,Clothing Protectors
170,2021-05-01,11284.0,Clothing Protectors
171,2021-05-02,11284.0,Clothing Protectors
172,2021-05-03,11284.0,Clothing Protectors
173,2021-05-04,11284.0,Clothing Protectors
174,2021-05-05,11284.0,Clothing Protectors
175,2021-05-06,12297.0,Clothing Protectors
176,2021-05-07,12297.0,Clothing Protectors
177,2021-05-08,12521.0,Clothing Protectors
178,2021-05-09,12521.0,Clothing Protectors
179,2021-05-10,12521.0,Clothing Protectors
180,2021-05-11,12521.0,Clothing Protectors
181,2021-05-12,12521.0,Clothing Protectors
182,2021-05-13,10405.0,Clothing Protectors
183,2021-05-14,10405.0,Clothing Protectors
184,2021-05-15,10405.0,Clothing Protectors
185,2021-05-16,10405.0,Clothing Protectors
186,2021-05-17,10507.0,Clothing Protectors
187,2021-05-18,10507.0,Clothing Protectors
188,2021-05-19,13280.0,Clothing Protectors
189,2021-05-20,12330.0,Clothing Protectors
190,2021-05-21,9195.0,Clothing Protectors
191,2021-05-22,9195.0,Clothing Protectors
192,2021-05-23,10583.0,Clothing Protectors
193,2021-05-24,10583.0,Clothing Protectors
194,2021-05-25,10583.0,Clothing Protectors
195,2021-05-26,10054.0,Clothing Protectors
196,2021-05-27,10054.0,Clothing Protectors
197,2021-05-28,10298.0,Clothing Protectors
198,2021-05-29,12148.0,Clothing Protectors
199,2021-05-30,12148.0,Clothing Protectors
200,2021-05-31,12148.0,Clothing Protectors
201,2021-06-01,11186.0,Clothing Protectors
202,2021-06-02,12020.0,Clothing Protectors
203,2021-06-03,12020.0,Clothing Protectors
204,2021-06-04,11779.0,Clothing Protectors
205,2021-06-05,11779.0,Clothing Protectors
206,2021-06-06,12200.0,Clothing Protectors
207,2021-06-07,12200.0,Clothing Protectors
208,2021-06-08,11448.0,Clothing Protectors
209,2021-06-09,11448.0,Clothing Protectors
210,2021-06-10,12079.0,Clothing Protectors
211,2021-06-11,12079.0,Clothing Protectors
212,2021-06-12,13422.0,Clothing Protectors
213,2021-06-13,13422.0,Clothing Protectors
214,2021-06-14,13422.0,Clothing Protectors
215,2021-06-15,13422.0,Clothing Protectors
216,2021-06-16,15127.0,Clothing Protectors
217,2021-06-17,16742.0,Clothing Protectors
218,2021-06-18,16742.0,Clothing Protectors
219,2021-06-19,16742.0,Clothing Protectors
220,2021-06-20,13885.0,Clothing Protectors
221,2021-06-21,12204.0,Clothing Protectors
222,2021-06-22,11063.0,Clothing Protectors
223,2021-06-23,11063.0,Clothing Protectors
224,2021-06-24,11063.0,Clothing Protectors
225,2021-06-25,14447.0,Clothing Protectors
226,2021-06-26,18385.0,Clothing Protectors
227,2021-06-27,18385.0,Clothing Protectors
228,2021-06-28,14480.0,Clothing Protectors
229,2021-06-29,14480.0,Clothing Protectors
230,2021-06-30,14480.0,Clothing Protectors
231,2021-07-01,14480.0,Clothing Protectors
232,2021-07-02,21246.0,Clothing Protectors
233,2021-07-03,20563.0,Clothing Protectors
234,2021-07-04,20563.0,Clothing Protectors
235,2021-07-05,16639.0,Clothing Protectors
236,2021-07-06,17072.0,Clothing Protectors
237,2021-07-07,17072.0,Clothing Protectors
238,2021-07-08,17072.0,Clothing Protectors
239,2021-07-09,13780.0,Clothing Protectors
240,2021-07-10,19638.0,Clothing Protectors
