,date,value,name_B07S9F4Z4H
94,2020-06-18,377.0,Beads & Bead Assortments
95,2020-06-19,343.0,Beads & Bead Assortments
96,2020-06-20,241.0,Beads & Bead Assortments
97,2020-06-21,241.0,Beads & Bead Assortments
98,2020-06-22,241.0,Beads & Bead Assortments
99,2020-06-23,311.0,Beads & Bead Assortments
100,2020-06-24,312.0,Beads & Bead Assortments
101,2020-06-25,353.0,Beads & Bead Assortments
102,2020-06-26,353.0,Beads & Bead Assortments
103,2020-06-27,270.0,Beads & Bead Assortments
104,2020-06-28,270.0,Beads & Bead Assortments
105,2020-06-29,407.0,Beads & Bead Assortments
106,2020-06-30,407.0,Beads & Bead Assortments
107,2020-07-01,407.0,Beads & Bead Assortments
108,2020-07-02,289.0,Beads & Bead Assortments
109,2020-07-03,286.0,Beads & Bead Assortments
110,2020-07-04,335.0,Beads & Bead Assortments
111,2020-07-05,260.0,Beads & Bead Assortments
112,2020-07-06,279.0,Beads & Bead Assortments
113,2020-07-07,308.0,Beads & Bead Assortments
114,2020-07-08,275.0,Beads & Bead Assortments
115,2020-07-09,303.0,Beads & Bead Assortments
116,2020-07-10,347.0,Beads & Bead Assortments
117,2020-07-11,347.0,Beads & Bead Assortments
118,2020-07-12,354.0,Beads & Bead Assortments
119,2020-07-13,347.0,Beads & Bead Assortments
120,2020-07-14,307.0,Beads & Bead Assortments
121,2020-07-15,382.0,Beads & Bead Assortments
122,2020-07-16,382.0,Beads & Bead Assortments
123,2020-07-17,297.0,Beads & Bead Assortments
124,2020-07-18,321.0,Beads & Bead Assortments
125,2020-07-19,350.0,Beads & Bead Assortments
126,2020-07-20,350.0,Beads & Bead Assortments
127,2020-07-21,340.0,Beads & Bead Assortments
128,2020-07-22,313.0,Beads & Bead Assortments
129,2020-07-23,326.0,Beads & Bead Assortments
130,2020-07-24,271.0,Beads & Bead Assortments
131,2020-07-25,328.0,Beads & Bead Assortments
132,2020-07-26,328.0,Beads & Bead Assortments
133,2020-07-27,285.0,Beads & Bead Assortments
134,2020-07-28,285.0,Beads & Bead Assortments
135,2020-07-29,316.0,Beads & Bead Assortments
136,2020-07-30,353.0,Beads & Bead Assortments
137,2020-07-31,310.0,Beads & Bead Assortments
138,2020-08-01,323.0,Beads & Bead Assortments
139,2020-08-02,323.0,Beads & Bead Assortments
140,2020-08-03,341.0,Beads & Bead Assortments
141,2020-08-04,311.0,Beads & Bead Assortments
142,2020-08-05,321.0,Beads & Bead Assortments
143,2020-08-06,317.0,Beads & Bead Assortments
144,2020-08-07,303.0,Beads & Bead Assortments
145,2020-08-08,408.0,Beads & Bead Assortments
146,2020-08-09,408.0,Beads & Bead Assortments
147,2020-08-10,373.0,Beads & Bead Assortments
148,2020-08-11,339.0,Beads & Bead Assortments
149,2020-08-12,397.0,Beads & Bead Assortments
150,2020-08-13,407.0,Beads & Bead Assortments
151,2020-08-14,407.0,Beads & Bead Assortments
152,2020-08-15,359.0,Beads & Bead Assortments
153,2020-08-16,329.0,Beads & Bead Assortments
154,2020-08-17,348.0,Beads & Bead Assortments
155,2020-08-18,382.0,Beads & Bead Assortments
156,2020-08-19,395.0,Beads & Bead Assortments
157,2020-08-20,455.0,Beads & Bead Assortments
158,2020-08-21,397.0,Beads & Bead Assortments
159,2020-08-22,327.0,Beads & Bead Assortments
160,2020-08-23,344.0,Beads & Bead Assortments
161,2020-08-24,360.0,Beads & Bead Assortments
162,2020-08-25,360.0,Beads & Bead Assortments
163,2020-08-26,367.0,Beads & Bead Assortments
164,2020-08-27,372.0,Beads & Bead Assortments
165,2020-08-28,391.0,Beads & Bead Assortments
166,2020-08-29,351.0,Beads & Bead Assortments
167,2020-08-30,351.0,Beads & Bead Assortments
168,2020-08-31,381.0,Beads & Bead Assortments
169,2020-09-01,499.0,Beads & Bead Assortments
170,2020-09-02,416.0,Beads & Bead Assortments
171,2020-09-03,416.0,Beads & Bead Assortments
172,2020-09-04,343.0,Beads & Bead Assortments
173,2020-09-05,336.0,Beads & Bead Assortments
174,2020-09-06,353.0,Beads & Bead Assortments
175,2020-09-07,332.0,Beads & Bead Assortments
176,2020-09-08,393.0,Beads & Bead Assortments
177,2020-09-09,339.0,Beads & Bead Assortments
178,2020-09-10,474.0,Beads & Bead Assortments
179,2020-09-11,401.0,Beads & Bead Assortments
180,2020-09-12,388.0,Beads & Bead Assortments
181,2020-09-13,293.0,Beads & Bead Assortments
182,2020-09-14,415.0,Beads & Bead Assortments
183,2020-09-15,420.0,Beads & Bead Assortments
184,2020-09-16,420.0,Beads & Bead Assortments
185,2020-09-17,464.0,Beads & Bead Assortments
186,2020-09-18,316.0,Beads & Bead Assortments
187,2020-09-19,316.0,Beads & Bead Assortments
188,2020-09-20,316.0,Beads & Bead Assortments
189,2020-09-21,307.0,Beads & Bead Assortments
190,2020-09-22,465.0,Beads & Bead Assortments
191,2020-09-23,412.0,Beads & Bead Assortments
192,2020-09-24,302.0,Beads & Bead Assortments
193,2020-09-25,272.0,Beads & Bead Assortments
194,2020-09-26,272.0,Beads & Bead Assortments
195,2020-09-27,303.0,Beads & Bead Assortments
196,2020-09-28,408.0,Beads & Bead Assortments
197,2020-09-29,514.0,Beads & Bead Assortments
198,2020-09-30,514.0,Beads & Bead Assortments
199,2020-10-01,514.0,Beads & Bead Assortments
200,2020-10-02,323.0,Beads & Bead Assortments
201,2020-10-03,274.0,Beads & Bead Assortments
202,2020-10-04,274.0,Beads & Bead Assortments
203,2020-10-05,354.0,Beads & Bead Assortments
204,2020-10-06,354.0,Beads & Bead Assortments
205,2020-10-07,354.0,Beads & Bead Assortments
206,2020-10-08,330.0,Beads & Bead Assortments
207,2020-10-09,306.0,Beads & Bead Assortments
208,2020-10-10,265.0,Beads & Bead Assortments
209,2020-10-11,371.0,Beads & Bead Assortments
210,2020-10-12,396.0,Beads & Bead Assortments
211,2020-10-13,396.0,Beads & Bead Assortments
212,2020-10-14,612.0,Beads & Bead Assortments
213,2020-10-15,724.0,Beads & Bead Assortments
214,2020-10-16,828.0,Beads & Bead Assortments
215,2020-10-17,828.0,Beads & Bead Assortments
216,2020-10-18,431.0,Beads & Bead Assortments
217,2020-10-19,431.0,Beads & Bead Assortments
218,2020-10-20,431.0,Beads & Bead Assortments
219,2020-10-21,562.0,Beads & Bead Assortments
220,2020-10-22,444.0,Beads & Bead Assortments
221,2020-10-23,514.0,Beads & Bead Assortments
222,2020-10-24,514.0,Beads & Bead Assortments
223,2020-10-25,553.0,Beads & Bead Assortments
224,2020-10-26,553.0,Beads & Bead Assortments
225,2020-10-27,551.0,Beads & Bead Assortments
226,2020-10-28,497.0,Beads & Bead Assortments
227,2020-10-29,505.0,Beads & Bead Assortments
228,2020-10-30,428.0,Beads & Bead Assortments
229,2020-10-31,377.0,Beads & Bead Assortments
230,2020-11-01,377.0,Beads & Bead Assortments
231,2020-11-02,550.0,Beads & Bead Assortments
232,2020-11-03,526.0,Beads & Bead Assortments
233,2020-11-04,501.0,Beads & Bead Assortments
234,2020-11-05,480.0,Beads & Bead Assortments
235,2020-11-06,597.0,Beads & Bead Assortments
236,2020-11-07,497.0,Beads & Bead Assortments
237,2020-11-08,497.0,Beads & Bead Assortments
238,2020-11-09,497.0,Beads & Bead Assortments
239,2020-11-10,514.0,Beads & Bead Assortments
240,2020-11-11,514.0,Beads & Bead Assortments
241,2020-11-12,565.0,Beads & Bead Assortments
242,2020-11-13,350.0,Beads & Bead Assortments
243,2020-11-14,400.0,Beads & Bead Assortments
244,2020-11-15,400.0,Beads & Bead Assortments
245,2020-11-16,555.0,Beads & Bead Assortments
246,2020-11-17,577.0,Beads & Bead Assortments
247,2020-11-18,500.0,Beads & Bead Assortments
