,date,value,name_B01AOFZMYE
237,2020-01-21,2406.0,Container Sets
238,2020-01-22,2406.0,Container Sets
239,2020-01-23,3494.0,Container Sets
240,2020-01-24,3494.0,Container Sets
241,2020-01-25,3494.0,Container Sets
242,2020-01-26,1184.0,Container Sets
243,2020-01-27,1599.0,Container Sets
244,2020-01-28,1599.0,Container Sets
245,2020-01-29,1599.0,Container Sets
246,2020-01-30,2605.0,Container Sets
247,2020-01-31,2953.0,Container Sets
248,2020-02-01,2913.0,Container Sets
249,2020-02-02,2913.0,Container Sets
250,2020-02-03,2913.0,Container Sets
251,2020-02-04,3801.0,Container Sets
252,2020-02-05,3801.0,Container Sets
253,2020-02-06,3801.0,Container Sets
254,2020-02-07,3658.0,Container Sets
255,2020-02-08,3602.0,Container Sets
256,2020-02-09,3109.0,Container Sets
257,2020-02-10,3109.0,Container Sets
258,2020-02-11,3109.0,Container Sets
259,2020-02-12,3905.0,Container Sets
260,2020-02-13,3905.0,Container Sets
261,2020-02-14,4100.0,Container Sets
262,2020-02-15,4100.0,Container Sets
263,2020-02-16,2749.0,Container Sets
264,2020-02-17,2749.0,Container Sets
265,2020-02-18,2749.0,Container Sets
266,2020-02-19,3523.0,Container Sets
267,2020-02-20,3864.0,Container Sets
268,2020-02-21,2945.0,Container Sets
269,2020-02-22,2945.0,Container Sets
270,2020-02-23,2398.0,Container Sets
271,2020-02-24,2398.0,Container Sets
272,2020-02-25,2398.0,Container Sets
273,2020-02-26,2025.0,Container Sets
274,2020-02-27,2025.0,Container Sets
275,2020-02-28,2025.0,Container Sets
276,2020-02-29,2765.0,Container Sets
277,2020-03-01,2765.0,Container Sets
278,2020-03-02,2765.0,Container Sets
279,2020-03-03,2986.0,Container Sets
280,2020-03-04,2461.0,Container Sets
281,2020-03-05,2096.0,Container Sets
282,2020-03-06,2096.0,Container Sets
283,2020-03-07,2096.0,Container Sets
284,2020-03-08,-1.0,Container Sets
