,date,value,name_B08Q886NY9
133,2021-05-03,7625.0,Garden Netting
134,2021-05-04,7625.0,Garden Netting
135,2021-05-05,3844.0,Garden Netting
136,2021-05-06,3132.0,Garden Netting
137,2021-05-07,4230.0,Garden Netting
138,2021-05-08,4079.0,Garden Netting
139,2021-05-09,4079.0,Garden Netting
140,2021-05-10,5047.0,Garden Netting
141,2021-05-11,5047.0,Garden Netting
142,2021-05-12,4985.0,Garden Netting
143,2021-05-13,4985.0,Garden Netting
144,2021-05-14,5423.0,Garden Netting
145,2021-05-15,5423.0,Garden Netting
146,2021-05-16,4855.0,Garden Netting
147,2021-05-17,4855.0,Garden Netting
148,2021-05-18,4957.0,Garden Netting
149,2021-05-19,4957.0,Garden Netting
150,2021-05-20,4518.0,Garden Netting
151,2021-05-21,6272.0,Garden Netting
152,2021-05-22,6272.0,Garden Netting
153,2021-05-23,6272.0,Garden Netting
154,2021-05-24,7588.0,Garden Netting
155,2021-05-25,5466.0,Garden Netting
156,2021-05-26,8106.0,Garden Netting
157,2021-05-27,8106.0,Garden Netting
158,2021-05-28,6697.0,Garden Netting
159,2021-05-29,6697.0,Garden Netting
160,2021-05-30,6697.0,Garden Netting
161,2021-05-31,6845.0,Garden Netting
162,2021-06-01,6845.0,Garden Netting
163,2021-06-02,9029.0,Garden Netting
164,2021-06-03,9029.0,Garden Netting
165,2021-06-04,11153.0,Garden Netting
166,2021-06-05,11153.0,Garden Netting
167,2021-06-06,8335.0,Garden Netting
168,2021-06-07,9111.0,Garden Netting
169,2021-06-08,11291.0,Garden Netting
