,date,value,name_B077BMBT3C
274,2021-02-21,479.0,Flavonoids
275,2021-02-22,569.0,Flavonoids
276,2021-02-23,616.0,Flavonoids
277,2021-02-24,616.0,Flavonoids
278,2021-02-25,720.0,Flavonoids
279,2021-02-26,720.0,Flavonoids
280,2021-02-27,723.0,Flavonoids
281,2021-02-28,759.0,Flavonoids
282,2021-03-01,759.0,Flavonoids
283,2021-03-02,796.0,Flavonoids
284,2021-03-03,796.0,Flavonoids
285,2021-03-04,801.0,Flavonoids
286,2021-03-05,729.0,Flavonoids
287,2021-03-06,729.0,Flavonoids
288,2021-03-07,713.0,Flavonoids
289,2021-03-08,713.0,Flavonoids
290,2021-03-09,765.0,Flavonoids
291,2021-03-10,755.0,Flavonoids
292,2021-03-11,755.0,Flavonoids
293,2021-03-12,750.0,Flavonoids
294,2021-03-13,750.0,Flavonoids
295,2021-03-14,694.0,Flavonoids
296,2021-03-15,731.0,Flavonoids
297,2021-03-16,731.0,Flavonoids
298,2021-03-17,879.0,Flavonoids
299,2021-03-18,879.0,Flavonoids
300,2021-03-19,793.0,Flavonoids
301,2021-03-20,793.0,Flavonoids
302,2021-03-21,802.0,Flavonoids
303,2021-03-22,802.0,Flavonoids
304,2021-03-23,821.0,Flavonoids
305,2021-03-24,821.0,Flavonoids
306,2021-03-25,802.0,Flavonoids
307,2021-03-26,802.0,Flavonoids
308,2021-03-27,701.0,Flavonoids
309,2021-03-28,701.0,Flavonoids
310,2021-03-29,682.0,Flavonoids
311,2021-03-30,682.0,Flavonoids
312,2021-03-31,637.0,Flavonoids
313,2021-04-01,637.0,Flavonoids
314,2021-04-02,695.0,Flavonoids
315,2021-04-03,695.0,Flavonoids
316,2021-04-04,689.0,Flavonoids
317,2021-04-05,671.0,Flavonoids
318,2021-04-06,671.0,Flavonoids
319,2021-04-07,724.0,Flavonoids
320,2021-04-08,708.0,Flavonoids
321,2021-04-09,708.0,Flavonoids
322,2021-04-10,650.0,Flavonoids
323,2021-04-11,706.0,Flavonoids
324,2021-04-12,706.0,Flavonoids
325,2021-04-13,683.0,Flavonoids
326,2021-04-14,760.0,Flavonoids
327,2021-04-15,760.0,Flavonoids
328,2021-04-16,722.0,Flavonoids
329,2021-04-17,777.0,Flavonoids
330,2021-04-18,777.0,Flavonoids
331,2021-04-19,790.0,Flavonoids
332,2021-04-20,747.0,Flavonoids
333,2021-04-21,747.0,Flavonoids
334,2021-04-22,824.0,Flavonoids
335,2021-04-23,781.0,Flavonoids
336,2021-04-24,781.0,Flavonoids
337,2021-04-25,715.0,Flavonoids
338,2021-04-26,760.0,Flavonoids
339,2021-04-27,760.0,Flavonoids
340,2021-04-28,742.0,Flavonoids
341,2021-04-29,644.0,Flavonoids
342,2021-04-30,644.0,Flavonoids
343,2021-05-01,610.0,Flavonoids
344,2021-05-02,610.0,Flavonoids
345,2021-05-03,770.0,Flavonoids
346,2021-05-04,749.0,Flavonoids
347,2021-05-05,740.0,Flavonoids
348,2021-05-06,763.0,Flavonoids
349,2021-05-07,789.0,Flavonoids
350,2021-05-08,809.0,Flavonoids
351,2021-05-09,809.0,Flavonoids
352,2021-05-10,864.0,Flavonoids
353,2021-05-11,877.0,Flavonoids
354,2021-05-12,846.0,Flavonoids
355,2021-05-13,888.0,Flavonoids
356,2021-05-14,866.0,Flavonoids
357,2021-05-15,959.0,Flavonoids
358,2021-05-16,948.0,Flavonoids
359,2021-05-17,942.0,Flavonoids
360,2021-05-18,942.0,Flavonoids
361,2021-05-19,1011.0,Flavonoids
362,2021-05-20,997.0,Flavonoids
363,2021-05-21,860.0,Flavonoids
364,2021-05-22,860.0,Flavonoids
365,2021-05-23,848.0,Flavonoids
366,2021-05-24,866.0,Flavonoids
367,2021-05-25,904.0,Flavonoids
368,2021-05-26,904.0,Flavonoids
369,2021-05-27,948.0,Flavonoids
370,2021-05-28,948.0,Flavonoids
371,2021-05-29,890.0,Flavonoids
372,2021-05-30,950.0,Flavonoids
373,2021-05-31,930.0,Flavonoids
374,2021-06-01,958.0,Flavonoids
375,2021-06-02,917.0,Flavonoids
376,2021-06-03,982.0,Flavonoids
377,2021-06-04,915.0,Flavonoids
378,2021-06-05,980.0,Flavonoids
379,2021-06-06,980.0,Flavonoids
380,2021-06-07,1010.0,Flavonoids
381,2021-06-08,1000.0,Flavonoids
382,2021-06-09,994.0,Flavonoids
383,2021-06-10,1050.0,Flavonoids
384,2021-06-11,996.0,Flavonoids
385,2021-06-12,971.0,Flavonoids
386,2021-06-13,971.0,Flavonoids
387,2021-06-14,1177.0,Flavonoids
388,2021-06-15,1125.0,Flavonoids
389,2021-06-16,1201.0,Flavonoids
390,2021-06-17,1128.0,Flavonoids
391,2021-06-18,1109.0,Flavonoids
392,2021-06-19,1197.0,Flavonoids
393,2021-06-20,1124.0,Flavonoids
394,2021-06-21,1226.0,Flavonoids
395,2021-06-22,1608.0,Flavonoids
396,2021-06-23,1608.0,Flavonoids
397,2021-06-24,1299.0,Flavonoids
398,2021-06-25,1219.0,Flavonoids
399,2021-06-26,1080.0,Flavonoids
400,2021-06-27,1122.0,Flavonoids
401,2021-06-28,1090.0,Flavonoids
402,2021-06-29,1105.0,Flavonoids
403,2021-06-30,1063.0,Flavonoids
404,2021-07-01,1021.0,Flavonoids
405,2021-07-02,1126.0,Flavonoids
406,2021-07-03,1061.0,Flavonoids
407,2021-07-04,1061.0,Flavonoids
408,2021-07-05,967.0,Flavonoids
409,2021-07-06,1052.0,Flavonoids
410,2021-07-07,1012.0,Flavonoids
411,2021-07-08,967.0,Flavonoids
412,2021-07-09,878.0,Flavonoids
413,2021-07-10,935.0,Flavonoids
