,date,value,name_B07TK1S6C7
206,2021-01-11,5271.0,Fertilizers & Plant Food
207,2021-01-12,5286.0,Fertilizers & Plant Food
208,2021-01-13,5286.0,Fertilizers & Plant Food
209,2021-01-14,5286.0,Fertilizers & Plant Food
210,2021-01-15,3036.0,Fertilizers & Plant Food
211,2021-01-16,3036.0,Fertilizers & Plant Food
212,2021-01-17,3036.0,Fertilizers & Plant Food
213,2021-01-18,3180.0,Fertilizers & Plant Food
214,2021-01-19,3180.0,Fertilizers & Plant Food
215,2021-01-20,3180.0,Fertilizers & Plant Food
216,2021-01-21,3655.0,Fertilizers & Plant Food
217,2021-01-22,3655.0,Fertilizers & Plant Food
218,2021-01-23,2073.0,Fertilizers & Plant Food
219,2021-01-24,2073.0,Fertilizers & Plant Food
220,2021-01-25,2461.0,Fertilizers & Plant Food
221,2021-01-26,2461.0,Fertilizers & Plant Food
222,2021-01-27,2461.0,Fertilizers & Plant Food
223,2021-01-28,3552.0,Fertilizers & Plant Food
224,2021-01-29,3552.0,Fertilizers & Plant Food
225,2021-01-30,3552.0,Fertilizers & Plant Food
226,2021-01-31,2802.0,Fertilizers & Plant Food
227,2021-02-01,2802.0,Fertilizers & Plant Food
228,2021-02-02,2802.0,Fertilizers & Plant Food
229,2021-02-03,2284.0,Fertilizers & Plant Food
230,2021-02-04,2284.0,Fertilizers & Plant Food
231,2021-02-05,1318.0,Fertilizers & Plant Food
232,2021-02-06,1318.0,Fertilizers & Plant Food
233,2021-02-07,1318.0,Fertilizers & Plant Food
234,2021-02-08,1784.0,Fertilizers & Plant Food
235,2021-02-09,1784.0,Fertilizers & Plant Food
236,2021-02-10,1903.0,Fertilizers & Plant Food
237,2021-02-11,1903.0,Fertilizers & Plant Food
238,2021-02-12,1903.0,Fertilizers & Plant Food
239,2021-02-13,1822.0,Fertilizers & Plant Food
240,2021-02-14,1795.0,Fertilizers & Plant Food
241,2021-02-15,1795.0,Fertilizers & Plant Food
242,2021-02-16,1795.0,Fertilizers & Plant Food
243,2021-02-17,2602.0,Fertilizers & Plant Food
244,2021-02-18,2602.0,Fertilizers & Plant Food
245,2021-02-19,1798.0,Fertilizers & Plant Food
246,2021-02-20,1798.0,Fertilizers & Plant Food
247,2021-02-21,1870.0,Fertilizers & Plant Food
248,2021-02-22,1870.0,Fertilizers & Plant Food
249,2021-02-23,1870.0,Fertilizers & Plant Food
250,2021-02-24,1068.0,Fertilizers & Plant Food
251,2021-02-25,1068.0,Fertilizers & Plant Food
