,date,value,name_B0823VH891
305,2020-10-29,12172.0,Panels
306,2020-10-30,12172.0,Panels
307,2020-10-31,12172.0,Panels
308,2020-11-01,12172.0,Panels
309,2020-11-02,12172.0,Panels
310,2020-11-03,12172.0,Panels
311,2020-11-04,12172.0,Panels
312,2020-11-05,2260.0,Panels
313,2020-11-06,12875.0,Panels
314,2020-11-07,10174.0,Panels
315,2020-11-08,10174.0,Panels
316,2020-11-09,10174.0,Panels
317,2020-11-10,13098.0,Panels
318,2020-11-11,12160.0,Panels
319,2020-11-12,12982.0,Panels
320,2020-11-13,12982.0,Panels
321,2020-11-14,11679.0,Panels
322,2020-11-15,11679.0,Panels
323,2020-11-16,17567.0,Panels
324,2020-11-17,17567.0,Panels
325,2020-11-18,17567.0,Panels
326,2020-11-19,19953.0,Panels
327,2020-11-20,16143.0,Panels
328,2020-11-21,13927.0,Panels
329,2020-11-22,13927.0,Panels
330,2020-11-23,15096.0,Panels
331,2020-11-24,17881.0,Panels
332,2020-11-25,18931.0,Panels
333,2020-11-26,18931.0,Panels
334,2020-11-27,13847.0,Panels
335,2020-11-28,13847.0,Panels
336,2020-11-29,13847.0,Panels
337,2020-11-30,13847.0,Panels
338,2020-12-01,17900.0,Panels
339,2020-12-02,17900.0,Panels
340,2020-12-03,17900.0,Panels
341,2020-12-04,17079.0,Panels
342,2020-12-05,17079.0,Panels
343,2020-12-06,17079.0,Panels
344,2020-12-07,24015.0,Panels
345,2020-12-08,24015.0,Panels
346,2020-12-09,16403.0,Panels
347,2020-12-10,16403.0,Panels
348,2020-12-11,15719.0,Panels
349,2020-12-12,15719.0,Panels
350,2020-12-13,15719.0,Panels
351,2020-12-14,16753.0,Panels
352,2020-12-15,16753.0,Panels
353,2020-12-16,16753.0,Panels
354,2020-12-17,15983.0,Panels
355,2020-12-18,14413.0,Panels
356,2020-12-19,15678.0,Panels
357,2020-12-20,15678.0,Panels
358,2020-12-21,15678.0,Panels
359,2020-12-22,15678.0,Panels
