,date,value,name_B07TXBZW33
88,2020-08-29,10274.0,Filters
89,2020-08-30,10274.0,Filters
90,2020-08-31,11267.0,Filters
91,2020-09-01,11267.0,Filters
92,2020-09-02,11267.0,Filters
93,2020-09-03,13031.0,Filters
94,2020-09-04,13031.0,Filters
95,2020-09-05,13031.0,Filters
96,2020-09-06,13031.0,Filters
97,2020-09-07,13031.0,Filters
98,2020-09-08,13031.0,Filters
99,2020-09-09,5732.0,Filters
100,2020-09-10,5732.0,Filters
101,2020-09-11,5732.0,Filters
102,2020-09-12,4234.0,Filters
103,2020-09-13,4799.0,Filters
104,2020-09-14,4799.0,Filters
105,2020-09-15,4799.0,Filters
106,2020-09-16,5578.0,Filters
107,2020-09-17,5578.0,Filters
108,2020-09-18,5578.0,Filters
109,2020-09-19,5578.0,Filters
110,2020-09-20,5578.0,Filters
111,2020-09-21,5578.0,Filters
112,2020-09-22,5578.0,Filters
113,2020-09-23,4673.0,Filters
114,2020-09-24,4673.0,Filters
115,2020-09-25,4673.0,Filters
116,2020-09-26,4916.0,Filters
117,2020-09-27,5883.0,Filters
118,2020-09-28,5003.0,Filters
119,2020-09-29,5003.0,Filters
120,2020-09-30,5003.0,Filters
121,2020-10-01,6142.0,Filters
122,2020-10-02,6771.0,Filters
123,2020-10-03,6771.0,Filters
124,2020-10-04,6771.0,Filters
125,2020-10-05,6771.0,Filters
126,2020-10-06,7842.0,Filters
127,2020-10-07,7842.0,Filters
128,2020-10-08,7842.0,Filters
129,2020-10-09,5823.0,Filters
130,2020-10-10,5823.0,Filters
131,2020-10-11,5823.0,Filters
132,2020-10-12,5823.0,Filters
133,2020-10-13,5933.0,Filters
134,2020-10-14,4121.0,Filters
135,2020-10-15,4121.0,Filters
136,2020-10-16,6759.0,Filters
137,2020-10-17,7690.0,Filters
138,2020-10-18,7884.0,Filters
139,2020-10-19,7884.0,Filters
140,2020-10-20,7884.0,Filters
141,2020-10-21,7884.0,Filters
142,2020-10-22,12328.0,Filters
143,2020-10-23,12328.0,Filters
144,2020-10-24,13731.0,Filters
145,2020-10-25,13731.0,Filters
146,2020-10-26,13731.0,Filters
147,2020-10-27,13731.0,Filters
148,2020-10-28,7799.0,Filters
149,2020-10-29,7799.0,Filters
150,2020-10-30,7799.0,Filters
151,2020-10-31,7799.0,Filters
152,2020-11-01,6695.0,Filters
153,2020-11-02,6695.0,Filters
154,2020-11-03,6695.0,Filters
155,2020-11-04,6994.0,Filters
156,2020-11-05,6994.0,Filters
157,2020-11-06,7625.0,Filters
158,2020-11-07,7625.0,Filters
159,2020-11-08,7625.0,Filters
160,2020-11-09,5983.0,Filters
161,2020-11-10,5350.0,Filters
162,2020-11-11,5637.0,Filters
163,2020-11-12,5637.0,Filters
164,2020-11-13,5637.0,Filters
165,2020-11-14,5637.0,Filters
166,2020-11-15,5637.0,Filters
167,2020-11-16,5872.0,Filters
168,2020-11-17,6091.0,Filters
169,2020-11-18,6091.0,Filters
170,2020-11-19,6091.0,Filters
171,2020-11-20,6091.0,Filters
172,2020-11-21,7572.0,Filters
173,2020-11-22,7572.0,Filters
174,2020-11-23,7572.0,Filters
175,2020-11-24,6551.0,Filters
176,2020-11-25,6551.0,Filters
177,2020-11-26,6551.0,Filters
178,2020-11-27,6735.0,Filters
179,2020-11-28,6735.0,Filters
180,2020-11-29,6735.0,Filters
181,2020-11-30,6735.0,Filters
182,2020-12-01,8900.0,Filters
183,2020-12-02,8900.0,Filters
184,2020-12-03,8900.0,Filters
185,2020-12-04,8900.0,Filters
186,2020-12-05,8900.0,Filters
187,2020-12-06,7915.0,Filters
188,2020-12-07,8031.0,Filters
189,2020-12-08,8031.0,Filters
190,2020-12-09,7670.0,Filters
191,2020-12-10,7291.0,Filters
192,2020-12-11,6890.0,Filters
193,2020-12-12,8041.0,Filters
194,2020-12-13,8344.0,Filters
195,2020-12-14,8577.0,Filters
196,2020-12-15,9723.0,Filters
197,2020-12-16,10347.0,Filters
198,2020-12-17,12141.0,Filters
199,2020-12-18,16030.0,Filters
200,2020-12-19,16030.0,Filters
201,2020-12-20,10636.0,Filters
202,2020-12-21,12886.0,Filters
203,2020-12-22,7084.0,Filters
204,2020-12-23,7084.0,Filters
205,2020-12-24,6666.0,Filters
206,2020-12-25,5301.0,Filters
207,2020-12-26,5942.0,Filters
208,2020-12-27,5413.0,Filters
209,2020-12-28,5120.0,Filters
210,2020-12-29,6207.0,Filters
211,2020-12-30,5392.0,Filters
212,2020-12-31,7319.0,Filters
213,2021-01-01,4703.0,Filters
214,2021-01-02,5132.0,Filters
215,2021-01-03,5741.0,Filters
216,2021-01-04,5056.0,Filters
217,2021-01-05,4641.0,Filters
218,2021-01-06,6234.0,Filters
219,2021-01-07,4227.0,Filters
220,2021-01-08,4152.0,Filters
221,2021-01-09,3585.0,Filters
222,2021-01-10,4698.0,Filters
223,2021-01-11,5165.0,Filters
224,2021-01-12,6082.0,Filters
225,2021-01-13,6082.0,Filters
226,2021-01-14,6082.0,Filters
227,2021-01-15,5209.0,Filters
228,2021-01-16,5209.0,Filters
229,2021-01-17,5209.0,Filters
230,2021-01-18,6357.0,Filters
231,2021-01-19,6357.0,Filters
232,2021-01-20,5914.0,Filters
233,2021-01-21,5914.0,Filters
234,2021-01-22,5914.0,Filters
235,2021-01-23,5914.0,Filters
236,2021-01-24,5914.0,Filters
237,2021-01-25,7621.0,Filters
238,2021-01-26,8024.0,Filters
239,2021-01-27,4802.0,Filters
240,2021-01-28,5545.0,Filters
241,2021-01-29,5545.0,Filters
242,2021-01-30,9581.0,Filters
243,2021-01-31,8557.0,Filters
244,2021-02-01,6450.0,Filters
245,2021-02-02,7958.0,Filters
246,2021-02-03,7958.0,Filters
