,date,value,name_B083NRWPWL
71,2020-08-03,5734.0,Utility Carts
72,2020-08-04,4031.0,Utility Carts
73,2020-08-05,2689.0,Utility Carts
74,2020-08-06,2689.0,Utility Carts
75,2020-08-07,2176.0,Utility Carts
76,2020-08-08,2176.0,Utility Carts
77,2020-08-09,1970.0,Utility Carts
78,2020-08-10,1655.0,Utility Carts
79,2020-08-11,1623.0,Utility Carts
80,2020-08-12,1623.0,Utility Carts
81,2020-08-13,1607.0,Utility Carts
82,2020-08-14,1607.0,Utility Carts
83,2020-08-15,1449.0,Utility Carts
84,2020-08-16,1409.0,Utility Carts
85,2020-08-17,1409.0,Utility Carts
86,2020-08-18,2426.0,Utility Carts
87,2020-08-19,2426.0,Utility Carts
88,2020-08-20,2426.0,Utility Carts
89,2020-08-21,1536.0,Utility Carts
90,2020-08-22,1536.0,Utility Carts
91,2020-08-23,1794.0,Utility Carts
92,2020-08-24,1794.0,Utility Carts
93,2020-08-25,1794.0,Utility Carts
94,2020-08-26,868.0,Utility Carts
95,2020-08-27,796.0,Utility Carts
96,2020-08-28,796.0,Utility Carts
97,2020-08-29,796.0,Utility Carts
98,2020-08-30,811.0,Utility Carts
99,2020-08-31,865.0,Utility Carts
100,2020-09-01,865.0,Utility Carts
101,2020-09-02,1484.0,Utility Carts
102,2020-09-03,1484.0,Utility Carts
103,2020-09-04,1484.0,Utility Carts
104,2020-09-05,2184.0,Utility Carts
105,2020-09-06,2456.0,Utility Carts
106,2020-09-07,2456.0,Utility Carts
107,2020-09-08,2456.0,Utility Carts
108,2020-09-09,2127.0,Utility Carts
109,2020-09-10,2127.0,Utility Carts
110,2020-09-11,2127.0,Utility Carts
111,2020-09-12,1195.0,Utility Carts
112,2020-09-13,1195.0,Utility Carts
113,2020-09-14,1174.0,Utility Carts
114,2020-09-15,1246.0,Utility Carts
115,2020-09-16,1246.0,Utility Carts
116,2020-09-17,1246.0,Utility Carts
117,2020-09-18,1246.0,Utility Carts
118,2020-09-19,1336.0,Utility Carts
119,2020-09-20,1251.0,Utility Carts
120,2020-09-21,1139.0,Utility Carts
121,2020-09-22,1350.0,Utility Carts
122,2020-09-23,1508.0,Utility Carts
123,2020-09-24,1503.0,Utility Carts
124,2020-09-25,1503.0,Utility Carts
125,2020-09-26,1503.0,Utility Carts
126,2020-09-27,1245.0,Utility Carts
127,2020-09-28,1290.0,Utility Carts
128,2020-09-29,1290.0,Utility Carts
129,2020-09-30,1338.0,Utility Carts
130,2020-10-01,1338.0,Utility Carts
131,2020-10-02,1748.0,Utility Carts
132,2020-10-03,1748.0,Utility Carts
133,2020-10-04,1748.0,Utility Carts
134,2020-10-05,1748.0,Utility Carts
135,2020-10-06,4200.0,Utility Carts
136,2020-10-07,3767.0,Utility Carts
137,2020-10-08,4176.0,Utility Carts
138,2020-10-09,3372.0,Utility Carts
139,2020-10-10,3727.0,Utility Carts
140,2020-10-11,2594.0,Utility Carts
141,2020-10-12,2594.0,Utility Carts
142,2020-10-13,3008.0,Utility Carts
143,2020-10-14,3008.0,Utility Carts
144,2020-10-15,3008.0,Utility Carts
145,2020-10-16,3407.0,Utility Carts
146,2020-10-17,2888.0,Utility Carts
147,2020-10-18,1407.0,Utility Carts
148,2020-10-19,1407.0,Utility Carts
149,2020-10-20,1048.0,Utility Carts
150,2020-10-21,1048.0,Utility Carts
151,2020-10-22,625.0,Utility Carts
152,2020-10-23,557.0,Utility Carts
153,2020-10-24,636.0,Utility Carts
154,2020-10-25,636.0,Utility Carts
155,2020-10-26,497.0,Utility Carts
156,2020-10-27,869.0,Utility Carts
157,2020-10-28,869.0,Utility Carts
158,2020-10-29,1017.0,Utility Carts
159,2020-10-30,844.0,Utility Carts
160,2020-10-31,844.0,Utility Carts
161,2020-11-01,844.0,Utility Carts
162,2020-11-02,906.0,Utility Carts
163,2020-11-03,906.0,Utility Carts
164,2020-11-04,906.0,Utility Carts
165,2020-11-05,971.0,Utility Carts
166,2020-11-06,971.0,Utility Carts
167,2020-11-07,819.0,Utility Carts
168,2020-11-08,819.0,Utility Carts
169,2020-11-09,454.0,Utility Carts
170,2020-11-10,826.0,Utility Carts
171,2020-11-11,826.0,Utility Carts
172,2020-11-12,826.0,Utility Carts
173,2020-11-13,826.0,Utility Carts
174,2020-11-14,905.0,Utility Carts
175,2020-11-15,905.0,Utility Carts
176,2020-11-16,1006.0,Utility Carts
177,2020-11-17,1006.0,Utility Carts
178,2020-11-18,1006.0,Utility Carts
179,2020-11-19,1255.0,Utility Carts
180,2020-11-20,1356.0,Utility Carts
181,2020-11-21,1229.0,Utility Carts
182,2020-11-22,1229.0,Utility Carts
183,2020-11-23,1229.0,Utility Carts
184,2020-11-24,1219.0,Utility Carts
185,2020-11-25,1219.0,Utility Carts
186,2020-11-26,1219.0,Utility Carts
187,2020-11-27,591.0,Utility Carts
188,2020-11-28,591.0,Utility Carts
189,2020-11-29,591.0,Utility Carts
190,2020-11-30,361.0,Utility Carts
191,2020-12-01,361.0,Utility Carts
192,2020-12-02,534.0,Utility Carts
193,2020-12-03,716.0,Utility Carts
194,2020-12-04,716.0,Utility Carts
195,2020-12-05,716.0,Utility Carts
196,2020-12-06,563.0,Utility Carts
197,2020-12-07,563.0,Utility Carts
198,2020-12-08,688.0,Utility Carts
199,2020-12-09,664.0,Utility Carts
200,2020-12-10,621.0,Utility Carts
201,2020-12-11,611.0,Utility Carts
202,2020-12-12,594.0,Utility Carts
203,2020-12-13,505.0,Utility Carts
204,2020-12-14,496.0,Utility Carts
205,2020-12-15,550.0,Utility Carts
206,2020-12-16,540.0,Utility Carts
207,2020-12-17,540.0,Utility Carts
208,2020-12-18,678.0,Utility Carts
209,2020-12-19,678.0,Utility Carts
210,2020-12-20,584.0,Utility Carts
211,2020-12-21,579.0,Utility Carts
212,2020-12-22,686.0,Utility Carts
213,2020-12-23,825.0,Utility Carts
214,2020-12-24,896.0,Utility Carts
215,2020-12-25,688.0,Utility Carts
216,2020-12-26,404.0,Utility Carts
217,2020-12-27,316.0,Utility Carts
218,2020-12-28,382.0,Utility Carts
219,2020-12-29,511.0,Utility Carts
220,2020-12-30,563.0,Utility Carts
221,2020-12-31,627.0,Utility Carts
222,2021-01-01,625.0,Utility Carts
223,2021-01-02,508.0,Utility Carts
224,2021-01-03,399.0,Utility Carts
225,2021-01-04,474.0,Utility Carts
226,2021-01-05,699.0,Utility Carts
227,2021-01-06,840.0,Utility Carts
228,2021-01-07,766.0,Utility Carts
229,2021-01-08,923.0,Utility Carts
230,2021-01-09,736.0,Utility Carts
231,2021-01-10,736.0,Utility Carts
232,2021-01-11,576.0,Utility Carts
233,2021-01-12,804.0,Utility Carts
234,2021-01-13,793.0,Utility Carts
235,2021-01-14,793.0,Utility Carts
236,2021-01-15,690.0,Utility Carts
237,2021-01-16,690.0,Utility Carts
238,2021-01-17,690.0,Utility Carts
239,2021-01-18,511.0,Utility Carts
240,2021-01-19,511.0,Utility Carts
241,2021-01-20,1010.0,Utility Carts
242,2021-01-21,1010.0,Utility Carts
243,2021-01-22,1010.0,Utility Carts
244,2021-01-23,785.0,Utility Carts
245,2021-01-24,785.0,Utility Carts
246,2021-01-25,705.0,Utility Carts
247,2021-01-26,746.0,Utility Carts
248,2021-01-27,746.0,Utility Carts
249,2021-01-28,738.0,Utility Carts
250,2021-01-29,738.0,Utility Carts
251,2021-01-30,738.0,Utility Carts
252,2021-01-31,596.0,Utility Carts
253,2021-02-01,596.0,Utility Carts
254,2021-02-02,768.0,Utility Carts
255,2021-02-03,768.0,Utility Carts
256,2021-02-04,768.0,Utility Carts
257,2021-02-05,815.0,Utility Carts
258,2021-02-06,815.0,Utility Carts
259,2021-02-07,623.0,Utility Carts
260,2021-02-08,623.0,Utility Carts
261,2021-02-09,729.0,Utility Carts
262,2021-02-10,729.0,Utility Carts
263,2021-02-11,729.0,Utility Carts
264,2021-02-12,862.0,Utility Carts
265,2021-02-13,862.0,Utility Carts
266,2021-02-14,862.0,Utility Carts
267,2021-02-15,549.0,Utility Carts
268,2021-02-16,549.0,Utility Carts
269,2021-02-17,894.0,Utility Carts
270,2021-02-18,894.0,Utility Carts
271,2021-02-19,826.0,Utility Carts
272,2021-02-20,701.0,Utility Carts
273,2021-02-21,701.0,Utility Carts
274,2021-02-22,701.0,Utility Carts
275,2021-02-23,707.0,Utility Carts
276,2021-02-24,781.0,Utility Carts
277,2021-02-25,781.0,Utility Carts
278,2021-02-26,1219.0,Utility Carts
279,2021-02-27,1219.0,Utility Carts
280,2021-02-28,1209.0,Utility Carts
281,2021-03-01,1209.0,Utility Carts
282,2021-03-02,1209.0,Utility Carts
283,2021-03-03,1416.0,Utility Carts
284,2021-03-04,1416.0,Utility Carts
285,2021-03-05,1734.0,Utility Carts
286,2021-03-06,1734.0,Utility Carts
287,2021-03-07,1734.0,Utility Carts
288,2021-03-08,1301.0,Utility Carts
289,2021-03-09,1307.0,Utility Carts
290,2021-03-10,1307.0,Utility Carts
291,2021-03-11,1307.0,Utility Carts
292,2021-03-12,1311.0,Utility Carts
293,2021-03-13,1311.0,Utility Carts
294,2021-03-14,1311.0,Utility Carts
295,2021-03-15,966.0,Utility Carts
296,2021-03-16,966.0,Utility Carts
297,2021-03-17,966.0,Utility Carts
298,2021-03-18,960.0,Utility Carts
299,2021-03-19,960.0,Utility Carts
300,2021-03-20,960.0,Utility Carts
301,2021-03-21,998.0,Utility Carts
302,2021-03-22,998.0,Utility Carts
303,2021-03-23,1657.0,Utility Carts
304,2021-03-24,1657.0,Utility Carts
305,2021-03-25,1657.0,Utility Carts
306,2021-03-26,1619.0,Utility Carts
307,2021-03-27,887.0,Utility Carts
308,2021-03-28,887.0,Utility Carts
309,2021-03-29,887.0,Utility Carts
310,2021-03-30,1184.0,Utility Carts
311,2021-03-31,1184.0,Utility Carts
312,2021-04-01,1184.0,Utility Carts
313,2021-04-02,1305.0,Utility Carts
314,2021-04-03,1305.0,Utility Carts
315,2021-04-04,1119.0,Utility Carts
316,2021-04-05,1119.0,Utility Carts
317,2021-04-06,1087.0,Utility Carts
318,2021-04-07,1087.0,Utility Carts
319,2021-04-08,1087.0,Utility Carts
320,2021-04-09,1086.0,Utility Carts
321,2021-04-10,1086.0,Utility Carts
322,2021-04-11,1086.0,Utility Carts
323,2021-04-12,870.0,Utility Carts
324,2021-04-13,870.0,Utility Carts
325,2021-04-14,623.0,Utility Carts
326,2021-04-15,623.0,Utility Carts
327,2021-04-16,323.0,Utility Carts
328,2021-04-17,307.0,Utility Carts
329,2021-04-18,283.0,Utility Carts
330,2021-04-19,283.0,Utility Carts
331,2021-04-20,520.0,Utility Carts
332,2021-04-21,520.0,Utility Carts
333,2021-04-22,716.0,Utility Carts
334,2021-04-23,716.0,Utility Carts
335,2021-04-24,757.0,Utility Carts
336,2021-04-25,757.0,Utility Carts
337,2021-04-26,757.0,Utility Carts
338,2021-04-27,845.0,Utility Carts
339,2021-04-28,846.0,Utility Carts
340,2021-04-29,846.0,Utility Carts
341,2021-04-30,1009.0,Utility Carts
342,2021-05-01,1009.0,Utility Carts
343,2021-05-02,722.0,Utility Carts
344,2021-05-03,722.0,Utility Carts
345,2021-05-04,722.0,Utility Carts
346,2021-05-05,988.0,Utility Carts
347,2021-05-06,994.0,Utility Carts
348,2021-05-07,994.0,Utility Carts
349,2021-05-08,873.0,Utility Carts
350,2021-05-09,873.0,Utility Carts
351,2021-05-10,760.0,Utility Carts
352,2021-05-11,931.0,Utility Carts
353,2021-05-12,931.0,Utility Carts
354,2021-05-13,998.0,Utility Carts
355,2021-05-14,998.0,Utility Carts
356,2021-05-15,821.0,Utility Carts
357,2021-05-16,821.0,Utility Carts
358,2021-05-17,726.0,Utility Carts
359,2021-05-18,726.0,Utility Carts
360,2021-05-19,726.0,Utility Carts
361,2021-05-20,587.0,Utility Carts
362,2021-05-21,587.0,Utility Carts
363,2021-05-22,464.0,Utility Carts
364,2021-05-23,464.0,Utility Carts
365,2021-05-24,310.0,Utility Carts
366,2021-05-25,310.0,Utility Carts
367,2021-05-26,645.0,Utility Carts
368,2021-05-27,645.0,Utility Carts
369,2021-05-28,678.0,Utility Carts
370,2021-05-29,706.0,Utility Carts
371,2021-05-30,706.0,Utility Carts
372,2021-05-31,715.0,Utility Carts
373,2021-06-01,905.0,Utility Carts
374,2021-06-02,905.0,Utility Carts
375,2021-06-03,1235.0,Utility Carts
376,2021-06-04,1235.0,Utility Carts
377,2021-06-05,1235.0,Utility Carts
378,2021-06-06,1244.0,Utility Carts
379,2021-06-07,1244.0,Utility Carts
380,2021-06-08,2020.0,Utility Carts
381,2021-06-09,2020.0,Utility Carts
382,2021-06-10,1727.0,Utility Carts
383,2021-06-11,1727.0,Utility Carts
384,2021-06-12,1727.0,Utility Carts
385,2021-06-13,1727.0,Utility Carts
386,2021-06-14,1258.0,Utility Carts
387,2021-06-15,1258.0,Utility Carts
388,2021-06-16,1258.0,Utility Carts
389,2021-06-17,1628.0,Utility Carts
390,2021-06-18,1628.0,Utility Carts
391,2021-06-19,1446.0,Utility Carts
392,2021-06-20,1446.0,Utility Carts
393,2021-06-21,1321.0,Utility Carts
394,2021-06-22,1432.0,Utility Carts
395,2021-06-23,1432.0,Utility Carts
396,2021-06-24,1432.0,Utility Carts
397,2021-06-25,1477.0,Utility Carts
398,2021-06-26,1036.0,Utility Carts
399,2021-06-27,1036.0,Utility Carts
400,2021-06-28,1413.0,Utility Carts
401,2021-06-29,1571.0,Utility Carts
402,2021-06-30,1571.0,Utility Carts
403,2021-07-01,1136.0,Utility Carts
404,2021-07-02,1111.0,Utility Carts
405,2021-07-03,1060.0,Utility Carts
406,2021-07-04,1060.0,Utility Carts
407,2021-07-05,896.0,Utility Carts
408,2021-07-06,1079.0,Utility Carts
409,2021-07-07,1079.0,Utility Carts
410,2021-07-08,1079.0,Utility Carts
411,2021-07-09,1165.0,Utility Carts
412,2021-07-10,1165.0,Utility Carts
413,2021-07-11,1106.0,Utility Carts
