,date,value,name_B01LVW01CJ
316,2021-04-05,3723.0,Dogs
317,2021-04-06,3723.0,Dogs
318,2021-04-07,3212.0,Dogs
319,2021-04-08,2854.0,Dogs
320,2021-04-09,2854.0,Dogs
321,2021-04-10,2165.0,Dogs
322,2021-04-11,2165.0,Dogs
323,2021-04-12,2180.0,Dogs
324,2021-04-13,2180.0,Dogs
325,2021-04-14,2499.0,Dogs
326,2021-04-15,2499.0,Dogs
327,2021-04-16,2628.0,Dogs
328,2021-04-17,2503.0,Dogs
329,2021-04-18,2503.0,Dogs
330,2021-04-19,2736.0,Dogs
331,2021-04-20,2736.0,Dogs
332,2021-04-21,2877.0,Dogs
333,2021-04-22,3023.0,Dogs
334,2021-04-23,3023.0,Dogs
335,2021-04-24,3023.0,Dogs
336,2021-04-25,2689.0,Dogs
337,2021-04-26,2689.0,Dogs
338,2021-04-27,3538.0,Dogs
339,2021-04-28,3538.0,Dogs
340,2021-04-29,2809.0,Dogs
341,2021-04-30,2809.0,Dogs
342,2021-05-01,2809.0,Dogs
343,2021-05-02,3356.0,Dogs
344,2021-05-03,3356.0,Dogs
345,2021-05-04,2847.0,Dogs
346,2021-05-05,1946.0,Dogs
347,2021-05-06,1946.0,Dogs
348,2021-05-07,2955.0,Dogs
349,2021-05-08,2955.0,Dogs
350,2021-05-09,2871.0,Dogs
351,2021-05-10,2396.0,Dogs
352,2021-05-11,2021.0,Dogs
353,2021-05-12,2021.0,Dogs
354,2021-05-13,2021.0,Dogs
355,2021-05-14,2974.0,Dogs
356,2021-05-15,2974.0,Dogs
357,2021-05-16,2964.0,Dogs
358,2021-05-17,2760.0,Dogs
359,2021-05-18,2760.0,Dogs
360,2021-05-19,2691.0,Dogs
361,2021-05-20,2808.0,Dogs
362,2021-05-21,3082.0,Dogs
363,2021-05-22,3314.0,Dogs
364,2021-05-23,3452.0,Dogs
365,2021-05-24,3465.0,Dogs
366,2021-05-25,2824.0,Dogs
367,2021-05-26,3103.0,Dogs
368,2021-05-27,2773.0,Dogs
369,2021-05-28,2617.0,Dogs
370,2021-05-29,2740.0,Dogs
371,2021-05-30,2499.0,Dogs
372,2021-05-31,2143.0,Dogs
373,2021-06-01,1813.0,Dogs
374,2021-06-02,2163.0,Dogs
375,2021-06-03,2211.0,Dogs
376,2021-06-04,1597.0,Dogs
377,2021-06-05,1761.0,Dogs
378,2021-06-06,2036.0,Dogs
379,2021-06-07,2036.0,Dogs
380,2021-06-08,2050.0,Dogs
381,2021-06-09,2050.0,Dogs
382,2021-06-10,1912.0,Dogs
383,2021-06-11,1912.0,Dogs
384,2021-06-12,1326.0,Dogs
385,2021-06-13,1462.0,Dogs
386,2021-06-14,1484.0,Dogs
387,2021-06-15,1186.0,Dogs
388,2021-06-16,1373.0,Dogs
389,2021-06-17,1201.0,Dogs
390,2021-06-18,1201.0,Dogs
391,2021-06-19,1007.0,Dogs
392,2021-06-20,1007.0,Dogs
393,2021-06-21,970.0,Dogs
394,2021-06-22,1248.0,Dogs
395,2021-06-23,1248.0,Dogs
396,2021-06-24,1486.0,Dogs
397,2021-06-25,1219.0,Dogs
398,2021-06-26,1454.0,Dogs
399,2021-06-27,1202.0,Dogs
400,2021-06-28,1202.0,Dogs
401,2021-06-29,1202.0,Dogs
402,2021-06-30,1362.0,Dogs
403,2021-07-01,1362.0,Dogs
404,2021-07-02,487.0,Dogs
405,2021-07-03,487.0,Dogs
406,2021-07-04,651.0,Dogs
407,2021-07-05,651.0,Dogs
408,2021-07-06,784.0,Dogs
409,2021-07-07,1096.0,Dogs
410,2021-07-08,1062.0,Dogs
411,2021-07-09,1087.0,Dogs
412,2021-07-10,1087.0,Dogs
413,2021-07-11,1245.0,Dogs
