,date,value,name_B087ZFBJPB
141,2020-10-17,15086.0,Bed Pillows
142,2020-10-18,15086.0,Bed Pillows
143,2020-10-19,15086.0,Bed Pillows
144,2020-10-20,10084.0,Bed Pillows
145,2020-10-21,10084.0,Bed Pillows
146,2020-10-22,10866.0,Bed Pillows
147,2020-10-23,10866.0,Bed Pillows
148,2020-10-24,10866.0,Bed Pillows
149,2020-10-25,10866.0,Bed Pillows
150,2020-10-26,9196.0,Bed Pillows
151,2020-10-27,9196.0,Bed Pillows
152,2020-10-28,9196.0,Bed Pillows
153,2020-10-29,5239.0,Bed Pillows
154,2020-10-30,5239.0,Bed Pillows
155,2020-10-31,4475.0,Bed Pillows
156,2020-11-01,4475.0,Bed Pillows
157,2020-11-02,4475.0,Bed Pillows
158,2020-11-03,7768.0,Bed Pillows
159,2020-11-04,7541.0,Bed Pillows
160,2020-11-05,7541.0,Bed Pillows
161,2020-11-06,6818.0,Bed Pillows
162,2020-11-07,6818.0,Bed Pillows
163,2020-11-08,6818.0,Bed Pillows
164,2020-11-09,7666.0,Bed Pillows
165,2020-11-10,7666.0,Bed Pillows
166,2020-11-11,7308.0,Bed Pillows
167,2020-11-12,7308.0,Bed Pillows
168,2020-11-13,7308.0,Bed Pillows
169,2020-11-14,10126.0,Bed Pillows
170,2020-11-15,10126.0,Bed Pillows
171,2020-11-16,10528.0,Bed Pillows
172,2020-11-17,10564.0,Bed Pillows
173,2020-11-18,10564.0,Bed Pillows
174,2020-11-19,14971.0,Bed Pillows
175,2020-11-20,14971.0,Bed Pillows
176,2020-11-21,14971.0,Bed Pillows
177,2020-11-22,14971.0,Bed Pillows
178,2020-11-23,39113.0,Bed Pillows
179,2020-11-24,39113.0,Bed Pillows
180,2020-11-25,53031.0,Bed Pillows
181,2020-11-26,53031.0,Bed Pillows
182,2020-11-27,53031.0,Bed Pillows
183,2020-11-28,44485.0,Bed Pillows
184,2020-11-29,44485.0,Bed Pillows
185,2020-11-30,64005.0,Bed Pillows
186,2020-12-01,64005.0,Bed Pillows
187,2020-12-02,64005.0,Bed Pillows
188,2020-12-03,64005.0,Bed Pillows
189,2020-12-04,64005.0,Bed Pillows
190,2020-12-05,67983.0,Bed Pillows
191,2020-12-06,80118.0,Bed Pillows
192,2020-12-07,71386.0,Bed Pillows
193,2020-12-08,71386.0,Bed Pillows
194,2020-12-09,71386.0,Bed Pillows
195,2020-12-10,71386.0,Bed Pillows
196,2020-12-11,43641.0,Bed Pillows
197,2020-12-12,43641.0,Bed Pillows
198,2020-12-13,43641.0,Bed Pillows
199,2020-12-14,24452.0,Bed Pillows
200,2020-12-15,24452.0,Bed Pillows
201,2020-12-16,24452.0,Bed Pillows
202,2020-12-17,14117.0,Bed Pillows
203,2020-12-18,11992.0,Bed Pillows
204,2020-12-19,11992.0,Bed Pillows
205,2020-12-20,9476.0,Bed Pillows
206,2020-12-21,9476.0,Bed Pillows
207,2020-12-22,9476.0,Bed Pillows
208,2020-12-23,3685.0,Bed Pillows
209,2020-12-24,2863.0,Bed Pillows
210,2020-12-25,2779.0,Bed Pillows
211,2020-12-26,2103.0,Bed Pillows
212,2020-12-27,1399.0,Bed Pillows
213,2020-12-28,1211.0,Bed Pillows
214,2020-12-29,1723.0,Bed Pillows
215,2020-12-30,2486.0,Bed Pillows
216,2020-12-31,3055.0,Bed Pillows
217,2021-01-01,2907.0,Bed Pillows
218,2021-01-02,2907.0,Bed Pillows
219,2021-01-03,2999.0,Bed Pillows
220,2021-01-04,3639.0,Bed Pillows
221,2021-01-05,3639.0,Bed Pillows
222,2021-01-06,3216.0,Bed Pillows
223,2021-01-07,3836.0,Bed Pillows
224,2021-01-08,3836.0,Bed Pillows
225,2021-01-09,3553.0,Bed Pillows
226,2021-01-10,3553.0,Bed Pillows
227,2021-01-11,3553.0,Bed Pillows
228,2021-01-12,3779.0,Bed Pillows
229,2021-01-13,3779.0,Bed Pillows
230,2021-01-14,3779.0,Bed Pillows
231,2021-01-15,4770.0,Bed Pillows
232,2021-01-16,4770.0,Bed Pillows
233,2021-01-17,4770.0,Bed Pillows
234,2021-01-18,6418.0,Bed Pillows
235,2021-01-19,6418.0,Bed Pillows
236,2021-01-20,6418.0,Bed Pillows
237,2021-01-21,6418.0,Bed Pillows
238,2021-01-22,8770.0,Bed Pillows
239,2021-01-23,8770.0,Bed Pillows
240,2021-01-24,8965.0,Bed Pillows
241,2021-01-25,8965.0,Bed Pillows
242,2021-01-26,9989.0,Bed Pillows
243,2021-01-27,10474.0,Bed Pillows
244,2021-01-28,10474.0,Bed Pillows
245,2021-01-29,12465.0,Bed Pillows
246,2021-01-30,12465.0,Bed Pillows
247,2021-01-31,4222.0,Bed Pillows
248,2021-02-01,9032.0,Bed Pillows
249,2021-02-02,9032.0,Bed Pillows
250,2021-02-03,9032.0,Bed Pillows
251,2021-02-04,12420.0,Bed Pillows
252,2021-02-05,12420.0,Bed Pillows
253,2021-02-06,12420.0,Bed Pillows
254,2021-02-07,12420.0,Bed Pillows
255,2021-02-08,9644.0,Bed Pillows
256,2021-02-09,9644.0,Bed Pillows
257,2021-02-10,9644.0,Bed Pillows
258,2021-02-11,5393.0,Bed Pillows
259,2021-02-12,5393.0,Bed Pillows
260,2021-02-13,5393.0,Bed Pillows
261,2021-02-14,4270.0,Bed Pillows
262,2021-02-15,4728.0,Bed Pillows
263,2021-02-16,4728.0,Bed Pillows
264,2021-02-17,4728.0,Bed Pillows
265,2021-02-18,6035.0,Bed Pillows
266,2021-02-19,6035.0,Bed Pillows
267,2021-02-20,6035.0,Bed Pillows
268,2021-02-21,6460.0,Bed Pillows
269,2021-02-22,6460.0,Bed Pillows
270,2021-02-23,8390.0,Bed Pillows
271,2021-02-24,8390.0,Bed Pillows
272,2021-02-25,3264.0,Bed Pillows
273,2021-02-26,3264.0,Bed Pillows
274,2021-02-27,3342.0,Bed Pillows
275,2021-02-28,3342.0,Bed Pillows
276,2021-03-01,3318.0,Bed Pillows
277,2021-03-02,3318.0,Bed Pillows
278,2021-03-03,3318.0,Bed Pillows
279,2021-03-04,2455.0,Bed Pillows
280,2021-03-05,2641.0,Bed Pillows
281,2021-03-06,2146.0,Bed Pillows
282,2021-03-07,2146.0,Bed Pillows
283,2021-03-08,2146.0,Bed Pillows
284,2021-03-09,2104.0,Bed Pillows
285,2021-03-10,2206.0,Bed Pillows
286,2021-03-11,2206.0,Bed Pillows
287,2021-03-12,2286.0,Bed Pillows
288,2021-03-13,2286.0,Bed Pillows
289,2021-03-14,1555.0,Bed Pillows
290,2021-03-15,1672.0,Bed Pillows
291,2021-03-16,1672.0,Bed Pillows
292,2021-03-17,1547.0,Bed Pillows
293,2021-03-18,1547.0,Bed Pillows
294,2021-03-19,1547.0,Bed Pillows
295,2021-03-20,1516.0,Bed Pillows
296,2021-03-21,1516.0,Bed Pillows
297,2021-03-22,2012.0,Bed Pillows
298,2021-03-23,2656.0,Bed Pillows
299,2021-03-24,2718.0,Bed Pillows
300,2021-03-25,2718.0,Bed Pillows
301,2021-03-26,2718.0,Bed Pillows
302,2021-03-27,2775.0,Bed Pillows
303,2021-03-28,2775.0,Bed Pillows
304,2021-03-29,2696.0,Bed Pillows
305,2021-03-30,2696.0,Bed Pillows
306,2021-03-31,3268.0,Bed Pillows
307,2021-04-01,3145.0,Bed Pillows
308,2021-04-02,3145.0,Bed Pillows
309,2021-04-03,3436.0,Bed Pillows
310,2021-04-04,3227.0,Bed Pillows
311,2021-04-05,3010.0,Bed Pillows
312,2021-04-06,3010.0,Bed Pillows
313,2021-04-07,3010.0,Bed Pillows
314,2021-04-08,1926.0,Bed Pillows
315,2021-04-09,2342.0,Bed Pillows
316,2021-04-10,2342.0,Bed Pillows
317,2021-04-11,3047.0,Bed Pillows
318,2021-04-12,3047.0,Bed Pillows
319,2021-04-13,2421.0,Bed Pillows
320,2021-04-14,2421.0,Bed Pillows
321,2021-04-15,1525.0,Bed Pillows
322,2021-04-16,1585.0,Bed Pillows
323,2021-04-17,1585.0,Bed Pillows
324,2021-04-18,1621.0,Bed Pillows
325,2021-04-19,1493.0,Bed Pillows
326,2021-04-20,1493.0,Bed Pillows
327,2021-04-21,1717.0,Bed Pillows
328,2021-04-22,1606.0,Bed Pillows
329,2021-04-23,1607.0,Bed Pillows
330,2021-04-24,1709.0,Bed Pillows
331,2021-04-25,1709.0,Bed Pillows
332,2021-04-26,1740.0,Bed Pillows
333,2021-04-27,1751.0,Bed Pillows
334,2021-04-28,1751.0,Bed Pillows
335,2021-04-29,1752.0,Bed Pillows
336,2021-04-30,1752.0,Bed Pillows
337,2021-05-01,1730.0,Bed Pillows
338,2021-05-02,1730.0,Bed Pillows
339,2021-05-03,1739.0,Bed Pillows
340,2021-05-04,1739.0,Bed Pillows
341,2021-05-05,2104.0,Bed Pillows
342,2021-05-06,1793.0,Bed Pillows
343,2021-05-07,1793.0,Bed Pillows
344,2021-05-08,1998.0,Bed Pillows
345,2021-05-09,1998.0,Bed Pillows
346,2021-05-10,1947.0,Bed Pillows
347,2021-05-11,1947.0,Bed Pillows
348,2021-05-12,3147.0,Bed Pillows
349,2021-05-13,3147.0,Bed Pillows
350,2021-05-14,5464.0,Bed Pillows
351,2021-05-15,5464.0,Bed Pillows
352,2021-05-16,5464.0,Bed Pillows
353,2021-05-17,7607.0,Bed Pillows
354,2021-05-18,7607.0,Bed Pillows
355,2021-05-19,7836.0,Bed Pillows
356,2021-05-20,9139.0,Bed Pillows
357,2021-05-21,9139.0,Bed Pillows
358,2021-05-22,15876.0,Bed Pillows
359,2021-05-23,17497.0,Bed Pillows
360,2021-05-24,24598.0,Bed Pillows
361,2021-05-25,24598.0,Bed Pillows
362,2021-05-26,27112.0,Bed Pillows
363,2021-05-27,27112.0,Bed Pillows
364,2021-05-28,27112.0,Bed Pillows
365,2021-05-29,29073.0,Bed Pillows
366,2021-05-30,29073.0,Bed Pillows
367,2021-05-31,43900.0,Bed Pillows
368,2021-06-01,43900.0,Bed Pillows
369,2021-06-02,43900.0,Bed Pillows
370,2021-06-03,50541.0,Bed Pillows
371,2021-06-04,50541.0,Bed Pillows
372,2021-06-05,43204.0,Bed Pillows
373,2021-06-06,43204.0,Bed Pillows
374,2021-06-07,53764.0,Bed Pillows
375,2021-06-08,53764.0,Bed Pillows
376,2021-06-09,53764.0,Bed Pillows
377,2021-06-10,36894.0,Bed Pillows
378,2021-06-11,36894.0,Bed Pillows
379,2021-06-12,32641.0,Bed Pillows
380,2021-06-13,32641.0,Bed Pillows
381,2021-06-14,32641.0,Bed Pillows
382,2021-06-15,10117.0,Bed Pillows
383,2021-06-16,10871.0,Bed Pillows
384,2021-06-17,10871.0,Bed Pillows
385,2021-06-18,2707.0,Bed Pillows
386,2021-06-19,3023.0,Bed Pillows
387,2021-06-20,2383.0,Bed Pillows
388,2021-06-21,2467.0,Bed Pillows
389,2021-06-22,1464.0,Bed Pillows
390,2021-06-23,1464.0,Bed Pillows
391,2021-06-24,790.0,Bed Pillows
392,2021-06-25,866.0,Bed Pillows
393,2021-06-26,866.0,Bed Pillows
394,2021-06-27,1259.0,Bed Pillows
395,2021-06-28,1752.0,Bed Pillows
396,2021-06-29,2047.0,Bed Pillows
397,2021-06-30,2047.0,Bed Pillows
398,2021-07-01,1872.0,Bed Pillows
399,2021-07-02,1449.0,Bed Pillows
400,2021-07-03,1416.0,Bed Pillows
401,2021-07-04,1416.0,Bed Pillows
402,2021-07-05,2381.0,Bed Pillows
403,2021-07-06,2006.0,Bed Pillows
404,2021-07-07,2006.0,Bed Pillows
405,2021-07-08,1459.0,Bed Pillows
406,2021-07-09,1798.0,Bed Pillows
407,2021-07-10,1798.0,Bed Pillows
408,2021-07-11,1282.0,Bed Pillows
