,date,value,name_B07G8JB93W
319,2019-09-08,286747.0,Sets
320,2019-09-09,207551.0,Sets
321,2019-09-10,104587.0,Sets
322,2019-09-11,104587.0,Sets
323,2019-09-12,114782.0,Sets
324,2019-09-13,87966.0,Sets
325,2019-09-14,68194.0,Sets
326,2019-09-15,51431.0,Sets
327,2019-09-16,70145.0,Sets
328,2019-09-17,85151.0,Sets
329,2019-09-18,117049.0,Sets
330,2019-09-19,96525.0,Sets
331,2019-09-20,96525.0,Sets
332,2019-09-21,135205.0,Sets
333,2019-09-22,72668.0,Sets
334,2019-09-23,42975.0,Sets
335,2019-09-24,84480.0,Sets
336,2019-09-25,108245.0,Sets
337,2019-09-26,147477.0,Sets
338,2019-09-27,94541.0,Sets
339,2019-09-28,133968.0,Sets
340,2019-09-29,118816.0,Sets
341,2019-09-30,108926.0,Sets
342,2019-10-01,108926.0,Sets
343,2019-10-02,108926.0,Sets
344,2019-10-03,74527.0,Sets
345,2019-10-04,114747.0,Sets
346,2019-10-05,55430.0,Sets
347,2019-10-06,55430.0,Sets
348,2019-10-07,52987.0,Sets
349,2019-10-08,52987.0,Sets
350,2019-10-09,52987.0,Sets
351,2019-10-10,39198.0,Sets
352,2019-10-11,39198.0,Sets
353,2019-10-12,29961.0,Sets
354,2019-10-13,58173.0,Sets
355,2019-10-14,58535.0,Sets
356,2019-10-15,73320.0,Sets
357,2019-10-16,57575.0,Sets
358,2019-10-17,41411.0,Sets
359,2019-10-18,37326.0,Sets
360,2019-10-19,49187.0,Sets
361,2019-10-20,28988.0,Sets
362,2019-10-21,57605.0,Sets
363,2019-10-22,46643.0,Sets
364,2019-10-23,54608.0,Sets
365,2019-10-24,38020.0,Sets
366,2019-10-25,30989.0,Sets
367,2019-10-26,32663.0,Sets
368,2019-10-27,33740.0,Sets
369,2019-10-28,33873.0,Sets
370,2019-10-29,36712.0,Sets
371,2019-10-30,25949.0,Sets
372,2019-10-31,28931.0,Sets
373,2019-11-01,31915.0,Sets
374,2019-11-02,17354.0,Sets
375,2019-11-03,16346.0,Sets
376,2019-11-04,15747.0,Sets
377,2019-11-05,13792.0,Sets
378,2019-11-06,14574.0,Sets
379,2019-11-07,11264.0,Sets
380,2019-11-08,10407.0,Sets
381,2019-11-09,15644.0,Sets
382,2019-11-10,8216.0,Sets
383,2019-11-11,9762.0,Sets
384,2019-11-12,9762.0,Sets
385,2019-11-13,8503.0,Sets
386,2019-11-14,8081.0,Sets
387,2019-11-15,9316.0,Sets
388,2019-11-16,9316.0,Sets
389,2019-11-17,9316.0,Sets
390,2019-11-18,4968.0,Sets
391,2019-11-19,5977.0,Sets
392,2019-11-20,6501.0,Sets
393,2019-11-21,4671.0,Sets
394,2019-11-22,4671.0,Sets
395,2019-11-23,4671.0,Sets
396,2019-11-24,4671.0,Sets
397,2019-11-25,5380.0,Sets
398,2019-11-26,5737.0,Sets
399,2019-11-27,5035.0,Sets
400,2019-11-28,5035.0,Sets
401,2019-11-29,5035.0,Sets
402,2019-11-30,5035.0,Sets
403,2019-12-01,6487.0,Sets
404,2019-12-02,4564.0,Sets
405,2019-12-03,2513.0,Sets
406,2019-12-04,3153.0,Sets
407,2019-12-05,3493.0,Sets
408,2019-12-06,3493.0,Sets
409,2019-12-07,3493.0,Sets
410,2019-12-08,3493.0,Sets
411,2019-12-09,2644.0,Sets
412,2019-12-10,2293.0,Sets
413,2019-12-11,1355.0,Sets
