,date,value,name_B08Q4FFJMN
101,2021-04-14,78806.0,Footrests
102,2021-04-15,78806.0,Footrests
103,2021-04-16,78806.0,Footrests
104,2021-04-17,78806.0,Footrests
105,2021-04-18,78806.0,Footrests
106,2021-04-19,50844.0,Footrests
107,2021-04-20,50844.0,Footrests
108,2021-04-21,50844.0,Footrests
109,2021-04-22,50844.0,Footrests
110,2021-04-23,50844.0,Footrests
111,2021-04-24,50844.0,Footrests
112,2021-04-25,50158.0,Footrests
113,2021-04-26,49824.0,Footrests
114,2021-04-27,49824.0,Footrests
115,2021-04-28,49824.0,Footrests
116,2021-04-29,49824.0,Footrests
117,2021-04-30,49824.0,Footrests
118,2021-05-01,49824.0,Footrests
119,2021-05-02,49824.0,Footrests
120,2021-05-03,48216.0,Footrests
121,2021-05-04,48216.0,Footrests
122,2021-05-05,48216.0,Footrests
123,2021-05-06,48216.0,Footrests
124,2021-05-07,48216.0,Footrests
125,2021-05-08,33058.0,Footrests
126,2021-05-09,33058.0,Footrests
127,2021-05-10,33058.0,Footrests
128,2021-05-11,41231.0,Footrests
129,2021-05-12,41231.0,Footrests
130,2021-05-13,41231.0,Footrests
131,2021-05-14,41231.0,Footrests
132,2021-05-15,41231.0,Footrests
133,2021-05-16,41231.0,Footrests
134,2021-05-17,60349.0,Footrests
135,2021-05-18,60349.0,Footrests
136,2021-05-19,60349.0,Footrests
137,2021-05-20,81573.0,Footrests
138,2021-05-21,81573.0,Footrests
139,2021-05-22,81573.0,Footrests
140,2021-05-23,35791.0,Footrests
141,2021-05-24,35791.0,Footrests
142,2021-05-25,35791.0,Footrests
143,2021-05-26,102153.0,Footrests
144,2021-05-27,102153.0,Footrests
145,2021-05-28,102153.0,Footrests
146,2021-05-29,69040.0,Footrests
147,2021-05-30,69040.0,Footrests
148,2021-05-31,69040.0,Footrests
149,2021-06-01,62631.0,Footrests
150,2021-06-02,62631.0,Footrests
151,2021-06-03,62631.0,Footrests
152,2021-06-04,62631.0,Footrests
153,2021-06-05,70082.0,Footrests
154,2021-06-06,70082.0,Footrests
155,2021-06-07,53323.0,Footrests
156,2021-06-08,53323.0,Footrests
157,2021-06-09,53323.0,Footrests
158,2021-06-10,53323.0,Footrests
159,2021-06-11,53323.0,Footrests
160,2021-06-12,53323.0,Footrests
161,2021-06-13,37423.0,Footrests
162,2021-06-14,37423.0,Footrests
163,2021-06-15,37423.0,Footrests
164,2021-06-16,17345.0,Footrests
165,2021-06-17,17345.0,Footrests
166,2021-06-18,17345.0,Footrests
167,2021-06-19,7537.0,Footrests
168,2021-06-20,7537.0,Footrests
169,2021-06-21,7537.0,Footrests
170,2021-06-22,3408.0,Footrests
171,2021-06-23,3408.0,Footrests
172,2021-06-24,3408.0,Footrests
173,2021-06-25,1819.0,Footrests
174,2021-06-26,1259.0,Footrests
175,2021-06-27,1259.0,Footrests
176,2021-06-28,3935.0,Footrests
177,2021-06-29,3935.0,Footrests
178,2021-06-30,6259.0,Footrests
179,2021-07-01,6259.0,Footrests
180,2021-07-02,8410.0,Footrests
181,2021-07-03,8410.0,Footrests
182,2021-07-04,8410.0,Footrests
183,2021-07-05,8659.0,Footrests
184,2021-07-06,8659.0,Footrests
185,2021-07-07,8659.0,Footrests
186,2021-07-08,13711.0,Footrests
187,2021-07-09,13711.0,Footrests
188,2021-07-10,13711.0,Footrests
189,2021-07-11,18737.0,Footrests
