,date,value,name_B08MWXLPKK
177,2021-05-15,10246.0,Pool Hoses
178,2021-05-16,15757.0,Pool Hoses
179,2021-05-17,15757.0,Pool Hoses
180,2021-05-18,6709.0,Pool Hoses
181,2021-05-19,6709.0,Pool Hoses
182,2021-05-20,10237.0,Pool Hoses
183,2021-05-21,10237.0,Pool Hoses
184,2021-05-22,8859.0,Pool Hoses
185,2021-05-23,8859.0,Pool Hoses
186,2021-05-24,7929.0,Pool Hoses
187,2021-05-25,7929.0,Pool Hoses
188,2021-05-26,6764.0,Pool Hoses
189,2021-05-27,6764.0,Pool Hoses
190,2021-05-28,7276.0,Pool Hoses
191,2021-05-29,7743.0,Pool Hoses
192,2021-05-30,7743.0,Pool Hoses
193,2021-05-31,6506.0,Pool Hoses
194,2021-06-01,6506.0,Pool Hoses
195,2021-06-02,6793.0,Pool Hoses
196,2021-06-03,6793.0,Pool Hoses
197,2021-06-04,7730.0,Pool Hoses
198,2021-06-05,7730.0,Pool Hoses
199,2021-06-06,6692.0,Pool Hoses
200,2021-06-07,6692.0,Pool Hoses
201,2021-06-08,5633.0,Pool Hoses
202,2021-06-09,5633.0,Pool Hoses
203,2021-06-10,5398.0,Pool Hoses
204,2021-06-11,5398.0,Pool Hoses
205,2021-06-12,5398.0,Pool Hoses
206,2021-06-13,6213.0,Pool Hoses
207,2021-06-14,6213.0,Pool Hoses
208,2021-06-15,6213.0,Pool Hoses
209,2021-06-16,5992.0,Pool Hoses
210,2021-06-17,5992.0,Pool Hoses
211,2021-06-18,5499.0,Pool Hoses
212,2021-06-19,5499.0,Pool Hoses
213,2021-06-20,7858.0,Pool Hoses
214,2021-06-21,7858.0,Pool Hoses
215,2021-06-22,7858.0,Pool Hoses
216,2021-06-23,9097.0,Pool Hoses
217,2021-06-24,9097.0,Pool Hoses
218,2021-06-25,5501.0,Pool Hoses
219,2021-06-26,5501.0,Pool Hoses
220,2021-06-27,4857.0,Pool Hoses
221,2021-06-28,4857.0,Pool Hoses
222,2021-06-29,4971.0,Pool Hoses
223,2021-06-30,4971.0,Pool Hoses
224,2021-07-01,4981.0,Pool Hoses
225,2021-07-02,4981.0,Pool Hoses
226,2021-07-03,4981.0,Pool Hoses
227,2021-07-04,4677.0,Pool Hoses
228,2021-07-05,4677.0,Pool Hoses
229,2021-07-06,4792.0,Pool Hoses
230,2021-07-07,4792.0,Pool Hoses
231,2021-07-08,4792.0,Pool Hoses
232,2021-07-09,4709.0,Pool Hoses
233,2021-07-10,4709.0,Pool Hoses
234,2021-07-11,4615.0,Pool Hoses
