,date,value,name_B07W5YTF1F
61,2019-10-12,7108.0,Reusable Grocery Bags
62,2019-10-13,7108.0,Reusable Grocery Bags
63,2019-10-14,5401.0,Reusable Grocery Bags
64,2019-10-15,5401.0,Reusable Grocery Bags
65,2019-10-16,5664.0,Reusable Grocery Bags
66,2019-10-17,2743.0,Reusable Grocery Bags
67,2019-10-18,3981.0,Reusable Grocery Bags
68,2019-10-19,5242.0,Reusable Grocery Bags
69,2019-10-20,6575.0,Reusable Grocery Bags
70,2019-10-21,6290.0,Reusable Grocery Bags
71,2019-10-22,8138.0,Reusable Grocery Bags
72,2019-10-23,8138.0,Reusable Grocery Bags
73,2019-10-24,2203.0,Reusable Grocery Bags
74,2019-10-25,4826.0,Reusable Grocery Bags
75,2019-10-26,4826.0,Reusable Grocery Bags
76,2019-10-27,6013.0,Reusable Grocery Bags
77,2019-10-28,4468.0,Reusable Grocery Bags
78,2019-10-29,5038.0,Reusable Grocery Bags
79,2019-10-30,4768.0,Reusable Grocery Bags
80,2019-10-31,5260.0,Reusable Grocery Bags
81,2019-11-01,6612.0,Reusable Grocery Bags
82,2019-11-02,6612.0,Reusable Grocery Bags
83,2019-11-03,1000.0,Reusable Grocery Bags
84,2019-11-04,2097.0,Reusable Grocery Bags
85,2019-11-05,2917.0,Reusable Grocery Bags
86,2019-11-06,4280.0,Reusable Grocery Bags
87,2019-11-07,4280.0,Reusable Grocery Bags
88,2019-11-08,4280.0,Reusable Grocery Bags
89,2019-11-09,4280.0,Reusable Grocery Bags
90,2019-11-10,2413.0,Reusable Grocery Bags
91,2019-11-11,2413.0,Reusable Grocery Bags
92,2019-11-12,815.0,Reusable Grocery Bags
93,2019-11-13,2515.0,Reusable Grocery Bags
94,2019-11-14,3308.0,Reusable Grocery Bags
95,2019-11-15,4526.0,Reusable Grocery Bags
96,2019-11-16,4526.0,Reusable Grocery Bags
97,2019-11-17,4526.0,Reusable Grocery Bags
98,2019-11-18,4483.0,Reusable Grocery Bags
99,2019-11-19,5182.0,Reusable Grocery Bags
100,2019-11-20,5182.0,Reusable Grocery Bags
101,2019-11-21,5182.0,Reusable Grocery Bags
102,2019-11-22,3395.0,Reusable Grocery Bags
103,2019-11-23,3060.0,Reusable Grocery Bags
104,2019-11-24,3060.0,Reusable Grocery Bags
105,2019-11-25,2423.0,Reusable Grocery Bags
106,2019-11-26,2335.0,Reusable Grocery Bags
107,2019-11-27,2335.0,Reusable Grocery Bags
108,2019-11-28,2335.0,Reusable Grocery Bags
109,2019-11-29,2335.0,Reusable Grocery Bags
110,2019-11-30,2907.0,Reusable Grocery Bags
111,2019-12-01,2512.0,Reusable Grocery Bags
112,2019-12-02,2512.0,Reusable Grocery Bags
113,2019-12-03,1886.0,Reusable Grocery Bags
114,2019-12-04,1811.0,Reusable Grocery Bags
115,2019-12-05,1811.0,Reusable Grocery Bags
116,2019-12-06,1228.0,Reusable Grocery Bags
117,2019-12-07,1228.0,Reusable Grocery Bags
118,2019-12-08,1962.0,Reusable Grocery Bags
119,2019-12-09,1779.0,Reusable Grocery Bags
120,2019-12-10,1546.0,Reusable Grocery Bags
121,2019-12-11,1546.0,Reusable Grocery Bags
122,2019-12-12,1546.0,Reusable Grocery Bags
123,2019-12-13,1461.0,Reusable Grocery Bags
124,2019-12-14,1461.0,Reusable Grocery Bags
125,2019-12-15,1461.0,Reusable Grocery Bags
126,2019-12-16,1741.0,Reusable Grocery Bags
127,2019-12-17,1741.0,Reusable Grocery Bags
128,2019-12-18,2201.0,Reusable Grocery Bags
129,2019-12-19,2201.0,Reusable Grocery Bags
130,2019-12-20,1461.0,Reusable Grocery Bags
131,2019-12-21,1461.0,Reusable Grocery Bags
132,2019-12-22,1461.0,Reusable Grocery Bags
133,2019-12-23,1299.0,Reusable Grocery Bags
134,2019-12-24,1355.0,Reusable Grocery Bags
135,2019-12-25,1271.0,Reusable Grocery Bags
136,2019-12-26,1271.0,Reusable Grocery Bags
137,2019-12-27,1271.0,Reusable Grocery Bags
138,2019-12-28,1271.0,Reusable Grocery Bags
139,2019-12-29,1271.0,Reusable Grocery Bags
140,2019-12-30,423.0,Reusable Grocery Bags
141,2019-12-31,423.0,Reusable Grocery Bags
142,2020-01-01,423.0,Reusable Grocery Bags
143,2020-01-02,187.0,Reusable Grocery Bags
144,2020-01-03,213.0,Reusable Grocery Bags
145,2020-01-04,258.0,Reusable Grocery Bags
146,2020-01-05,258.0,Reusable Grocery Bags
147,2020-01-06,217.0,Reusable Grocery Bags
148,2020-01-07,217.0,Reusable Grocery Bags
149,2020-01-08,485.0,Reusable Grocery Bags
150,2020-01-09,485.0,Reusable Grocery Bags
151,2020-01-10,582.0,Reusable Grocery Bags
152,2020-01-11,582.0,Reusable Grocery Bags
153,2020-01-12,582.0,Reusable Grocery Bags
154,2020-01-13,341.0,Reusable Grocery Bags
155,2020-01-14,485.0,Reusable Grocery Bags
156,2020-01-15,485.0,Reusable Grocery Bags
157,2020-01-16,463.0,Reusable Grocery Bags
158,2020-01-17,463.0,Reusable Grocery Bags
159,2020-01-18,430.0,Reusable Grocery Bags
160,2020-01-19,430.0,Reusable Grocery Bags
161,2020-01-20,430.0,Reusable Grocery Bags
162,2020-01-21,391.0,Reusable Grocery Bags
163,2020-01-22,395.0,Reusable Grocery Bags
164,2020-01-23,395.0,Reusable Grocery Bags
165,2020-01-24,395.0,Reusable Grocery Bags
166,2020-01-25,395.0,Reusable Grocery Bags
167,2020-01-26,395.0,Reusable Grocery Bags
168,2020-01-27,272.0,Reusable Grocery Bags
169,2020-01-28,272.0,Reusable Grocery Bags
170,2020-01-29,272.0,Reusable Grocery Bags
171,2020-01-30,356.0,Reusable Grocery Bags
172,2020-01-31,356.0,Reusable Grocery Bags
173,2020-02-01,179.0,Reusable Grocery Bags
174,2020-02-02,231.0,Reusable Grocery Bags
175,2020-02-03,244.0,Reusable Grocery Bags
176,2020-02-04,244.0,Reusable Grocery Bags
177,2020-02-05,244.0,Reusable Grocery Bags
178,2020-02-06,385.0,Reusable Grocery Bags
179,2020-02-07,380.0,Reusable Grocery Bags
180,2020-02-08,333.0,Reusable Grocery Bags
181,2020-02-09,333.0,Reusable Grocery Bags
182,2020-02-10,333.0,Reusable Grocery Bags
183,2020-02-11,434.0,Reusable Grocery Bags
184,2020-02-12,353.0,Reusable Grocery Bags
185,2020-02-13,388.0,Reusable Grocery Bags
186,2020-02-14,388.0,Reusable Grocery Bags
187,2020-02-15,388.0,Reusable Grocery Bags
188,2020-02-16,354.0,Reusable Grocery Bags
189,2020-02-17,468.0,Reusable Grocery Bags
190,2020-02-18,442.0,Reusable Grocery Bags
191,2020-02-19,351.0,Reusable Grocery Bags
192,2020-02-20,351.0,Reusable Grocery Bags
193,2020-02-21,425.0,Reusable Grocery Bags
194,2020-02-22,316.0,Reusable Grocery Bags
195,2020-02-23,205.0,Reusable Grocery Bags
196,2020-02-24,205.0,Reusable Grocery Bags
197,2020-02-25,205.0,Reusable Grocery Bags
198,2020-02-26,320.0,Reusable Grocery Bags
199,2020-02-27,279.0,Reusable Grocery Bags
200,2020-02-28,302.0,Reusable Grocery Bags
201,2020-02-29,302.0,Reusable Grocery Bags
202,2020-03-01,143.0,Reusable Grocery Bags
203,2020-03-02,181.0,Reusable Grocery Bags
204,2020-03-03,181.0,Reusable Grocery Bags
205,2020-03-04,181.0,Reusable Grocery Bags
206,2020-03-05,173.0,Reusable Grocery Bags
207,2020-03-06,322.0,Reusable Grocery Bags
208,2020-03-07,322.0,Reusable Grocery Bags
209,2020-03-08,322.0,Reusable Grocery Bags
210,2020-03-09,-1.0,Reusable Grocery Bags
