,date,value,name_B084JF7ZGG
190,2020-08-17,580.0,Fitted Sheets
191,2020-08-18,798.0,Fitted Sheets
192,2020-08-19,911.0,Fitted Sheets
193,2020-08-20,930.0,Fitted Sheets
194,2020-08-21,763.0,Fitted Sheets
195,2020-08-22,706.0,Fitted Sheets
196,2020-08-23,651.0,Fitted Sheets
197,2020-08-24,580.0,Fitted Sheets
198,2020-08-25,580.0,Fitted Sheets
199,2020-08-26,673.0,Fitted Sheets
200,2020-08-27,757.0,Fitted Sheets
201,2020-08-28,766.0,Fitted Sheets
202,2020-08-29,766.0,Fitted Sheets
203,2020-08-30,638.0,Fitted Sheets
204,2020-08-31,638.0,Fitted Sheets
205,2020-09-01,775.0,Fitted Sheets
206,2020-09-02,754.0,Fitted Sheets
207,2020-09-03,767.0,Fitted Sheets
208,2020-09-04,767.0,Fitted Sheets
209,2020-09-05,767.0,Fitted Sheets
210,2020-09-06,688.0,Fitted Sheets
211,2020-09-07,721.0,Fitted Sheets
212,2020-09-08,614.0,Fitted Sheets
213,2020-09-09,486.0,Fitted Sheets
214,2020-09-10,486.0,Fitted Sheets
215,2020-09-11,577.0,Fitted Sheets
216,2020-09-12,531.0,Fitted Sheets
217,2020-09-13,512.0,Fitted Sheets
218,2020-09-14,548.0,Fitted Sheets
219,2020-09-15,548.0,Fitted Sheets
220,2020-09-16,548.0,Fitted Sheets
221,2020-09-17,779.0,Fitted Sheets
222,2020-09-18,779.0,Fitted Sheets
223,2020-09-19,1099.0,Fitted Sheets
224,2020-09-20,1099.0,Fitted Sheets
225,2020-09-21,1177.0,Fitted Sheets
226,2020-09-22,1310.0,Fitted Sheets
227,2020-09-23,1391.0,Fitted Sheets
228,2020-09-24,1436.0,Fitted Sheets
229,2020-09-25,1442.0,Fitted Sheets
230,2020-09-26,1442.0,Fitted Sheets
231,2020-09-27,1528.0,Fitted Sheets
232,2020-09-28,1449.0,Fitted Sheets
233,2020-09-29,1438.0,Fitted Sheets
234,2020-09-30,1670.0,Fitted Sheets
235,2020-10-01,2161.0,Fitted Sheets
236,2020-10-02,1551.0,Fitted Sheets
237,2020-10-03,1265.0,Fitted Sheets
238,2020-10-04,1158.0,Fitted Sheets
239,2020-10-05,1097.0,Fitted Sheets
240,2020-10-06,1105.0,Fitted Sheets
241,2020-10-07,1153.0,Fitted Sheets
242,2020-10-08,1202.0,Fitted Sheets
243,2020-10-09,1202.0,Fitted Sheets
244,2020-10-10,1202.0,Fitted Sheets
245,2020-10-11,1202.0,Fitted Sheets
246,2020-10-12,1202.0,Fitted Sheets
247,2020-10-13,1202.0,Fitted Sheets
248,2020-10-14,1092.0,Fitted Sheets
249,2020-10-15,875.0,Fitted Sheets
250,2020-10-16,874.0,Fitted Sheets
251,2020-10-17,959.0,Fitted Sheets
252,2020-10-18,1061.0,Fitted Sheets
253,2020-10-19,1151.0,Fitted Sheets
