,date,value,name_B08VP1Y66G
97,2021-05-17,11000.0,Shower Caddies
98,2021-05-18,13393.0,Shower Caddies
99,2021-05-19,13393.0,Shower Caddies
100,2021-05-20,10590.0,Shower Caddies
101,2021-05-21,15019.0,Shower Caddies
102,2021-05-22,14847.0,Shower Caddies
103,2021-05-23,14847.0,Shower Caddies
104,2021-05-24,14847.0,Shower Caddies
105,2021-05-25,15284.0,Shower Caddies
106,2021-05-26,15687.0,Shower Caddies
107,2021-05-27,15687.0,Shower Caddies
108,2021-05-28,17077.0,Shower Caddies
109,2021-05-29,13902.0,Shower Caddies
110,2021-05-30,15427.0,Shower Caddies
111,2021-05-31,18578.0,Shower Caddies
112,2021-06-01,18578.0,Shower Caddies
113,2021-06-02,10110.0,Shower Caddies
114,2021-06-03,12296.0,Shower Caddies
115,2021-06-04,11913.0,Shower Caddies
116,2021-06-05,9902.0,Shower Caddies
117,2021-06-06,9902.0,Shower Caddies
118,2021-06-07,11489.0,Shower Caddies
119,2021-06-08,11294.0,Shower Caddies
120,2021-06-09,9626.0,Shower Caddies
121,2021-06-10,13322.0,Shower Caddies
122,2021-06-11,9145.0,Shower Caddies
123,2021-06-12,9145.0,Shower Caddies
124,2021-06-13,6465.0,Shower Caddies
125,2021-06-14,6624.0,Shower Caddies
126,2021-06-15,6624.0,Shower Caddies
127,2021-06-16,8834.0,Shower Caddies
128,2021-06-17,5941.0,Shower Caddies
129,2021-06-18,5941.0,Shower Caddies
130,2021-06-19,6952.0,Shower Caddies
131,2021-06-20,8086.0,Shower Caddies
132,2021-06-21,5020.0,Shower Caddies
133,2021-06-22,7850.0,Shower Caddies
134,2021-06-23,7850.0,Shower Caddies
135,2021-06-24,7850.0,Shower Caddies
136,2021-06-25,6125.0,Shower Caddies
137,2021-06-26,6606.0,Shower Caddies
138,2021-06-27,6606.0,Shower Caddies
139,2021-06-28,6678.0,Shower Caddies
140,2021-06-29,6678.0,Shower Caddies
141,2021-06-30,4261.0,Shower Caddies
142,2021-07-01,3915.0,Shower Caddies
143,2021-07-02,3915.0,Shower Caddies
144,2021-07-03,3618.0,Shower Caddies
145,2021-07-04,3077.0,Shower Caddies
146,2021-07-05,3077.0,Shower Caddies
147,2021-07-06,2971.0,Shower Caddies
148,2021-07-07,3410.0,Shower Caddies
149,2021-07-08,4925.0,Shower Caddies
150,2021-07-09,4862.0,Shower Caddies
151,2021-07-10,4862.0,Shower Caddies
152,2021-07-11,4760.0,Shower Caddies
