,date,value,name_B07SHSHGD4
244,2021-01-21,2341.0,Vest Harnesses
245,2021-01-22,2341.0,Vest Harnesses
246,2021-01-23,2341.0,Vest Harnesses
247,2021-01-24,2341.0,Vest Harnesses
248,2021-01-25,2341.0,Vest Harnesses
249,2021-01-26,2341.0,Vest Harnesses
250,2021-01-27,2341.0,Vest Harnesses
251,2021-01-28,2341.0,Vest Harnesses
252,2021-01-29,2341.0,Vest Harnesses
253,2021-01-30,2341.0,Vest Harnesses
254,2021-01-31,2341.0,Vest Harnesses
255,2021-02-01,2341.0,Vest Harnesses
256,2021-02-02,2341.0,Vest Harnesses
257,2021-02-03,2341.0,Vest Harnesses
258,2021-02-04,2341.0,Vest Harnesses
259,2021-02-05,2341.0,Vest Harnesses
260,2021-02-06,2341.0,Vest Harnesses
261,2021-02-07,2341.0,Vest Harnesses
262,2021-02-08,2341.0,Vest Harnesses
263,2021-02-09,2341.0,Vest Harnesses
264,2021-02-10,2341.0,Vest Harnesses
265,2021-02-11,2341.0,Vest Harnesses
266,2021-02-12,2341.0,Vest Harnesses
267,2021-02-13,2341.0,Vest Harnesses
268,2021-02-14,2341.0,Vest Harnesses
269,2021-02-15,2341.0,Vest Harnesses
270,2021-02-16,2341.0,Vest Harnesses
271,2021-02-17,2341.0,Vest Harnesses
272,2021-02-18,2341.0,Vest Harnesses
273,2021-02-19,2341.0,Vest Harnesses
274,2021-02-20,2341.0,Vest Harnesses
275,2021-02-21,2341.0,Vest Harnesses
276,2021-02-22,2341.0,Vest Harnesses
277,2021-02-23,2341.0,Vest Harnesses
278,2021-02-24,2341.0,Vest Harnesses
279,2021-02-25,2341.0,Vest Harnesses
280,2021-02-26,2341.0,Vest Harnesses
281,2021-02-27,2341.0,Vest Harnesses
282,2021-02-28,2341.0,Vest Harnesses
283,2021-03-01,2341.0,Vest Harnesses
284,2021-03-02,2341.0,Vest Harnesses
285,2021-03-03,2341.0,Vest Harnesses
286,2021-03-04,2341.0,Vest Harnesses
287,2021-03-05,2341.0,Vest Harnesses
288,2021-03-06,2341.0,Vest Harnesses
289,2021-03-07,2341.0,Vest Harnesses
290,2021-03-08,2341.0,Vest Harnesses
291,2021-03-09,2341.0,Vest Harnesses
292,2021-03-10,2341.0,Vest Harnesses
293,2021-03-11,2341.0,Vest Harnesses
294,2021-03-12,2341.0,Vest Harnesses
295,2021-03-13,2341.0,Vest Harnesses
296,2021-03-14,2341.0,Vest Harnesses
297,2021-03-15,2341.0,Vest Harnesses
298,2021-03-16,2341.0,Vest Harnesses
299,2021-03-17,2341.0,Vest Harnesses
300,2021-03-18,2341.0,Vest Harnesses
301,2021-03-19,2341.0,Vest Harnesses
302,2021-03-20,2341.0,Vest Harnesses
303,2021-03-21,2341.0,Vest Harnesses
304,2021-03-22,2341.0,Vest Harnesses
305,2021-03-23,2341.0,Vest Harnesses
306,2021-03-24,2341.0,Vest Harnesses
307,2021-03-25,2341.0,Vest Harnesses
308,2021-03-26,2341.0,Vest Harnesses
309,2021-03-27,2341.0,Vest Harnesses
310,2021-03-28,2341.0,Vest Harnesses
311,2021-03-29,2341.0,Vest Harnesses
312,2021-03-30,2341.0,Vest Harnesses
313,2021-03-31,2341.0,Vest Harnesses
314,2021-04-01,2341.0,Vest Harnesses
315,2021-04-02,2341.0,Vest Harnesses
316,2021-04-03,2341.0,Vest Harnesses
317,2021-04-04,2341.0,Vest Harnesses
318,2021-04-05,2341.0,Vest Harnesses
319,2021-04-06,2341.0,Vest Harnesses
320,2021-04-07,2341.0,Vest Harnesses
321,2021-04-08,2341.0,Vest Harnesses
322,2021-04-09,2341.0,Vest Harnesses
323,2021-04-10,2341.0,Vest Harnesses
324,2021-04-11,2341.0,Vest Harnesses
325,2021-04-12,1161.0,Vest Harnesses
326,2021-04-13,1161.0,Vest Harnesses
327,2021-04-14,1161.0,Vest Harnesses
328,2021-04-15,1157.0,Vest Harnesses
329,2021-04-16,1157.0,Vest Harnesses
330,2021-04-17,1157.0,Vest Harnesses
331,2021-04-18,1113.0,Vest Harnesses
332,2021-04-19,1287.0,Vest Harnesses
333,2021-04-20,1441.0,Vest Harnesses
334,2021-04-21,1301.0,Vest Harnesses
335,2021-04-22,1301.0,Vest Harnesses
336,2021-04-23,1448.0,Vest Harnesses
337,2021-04-24,1327.0,Vest Harnesses
338,2021-04-25,1554.0,Vest Harnesses
339,2021-04-26,1554.0,Vest Harnesses
340,2021-04-27,1554.0,Vest Harnesses
341,2021-04-28,1514.0,Vest Harnesses
342,2021-04-29,1321.0,Vest Harnesses
343,2021-04-30,1321.0,Vest Harnesses
344,2021-05-01,1327.0,Vest Harnesses
345,2021-05-02,1327.0,Vest Harnesses
346,2021-05-03,1459.0,Vest Harnesses
347,2021-05-04,1551.0,Vest Harnesses
348,2021-05-05,1551.0,Vest Harnesses
349,2021-05-06,1427.0,Vest Harnesses
350,2021-05-07,1427.0,Vest Harnesses
351,2021-05-08,1263.0,Vest Harnesses
352,2021-05-09,1263.0,Vest Harnesses
353,2021-05-10,1615.0,Vest Harnesses
354,2021-05-11,1615.0,Vest Harnesses
355,2021-05-12,1380.0,Vest Harnesses
356,2021-05-13,1531.0,Vest Harnesses
357,2021-05-14,1531.0,Vest Harnesses
358,2021-05-15,1407.0,Vest Harnesses
359,2021-05-16,1407.0,Vest Harnesses
360,2021-05-17,1579.0,Vest Harnesses
361,2021-05-18,1579.0,Vest Harnesses
362,2021-05-19,1579.0,Vest Harnesses
363,2021-05-20,1585.0,Vest Harnesses
364,2021-05-21,1299.0,Vest Harnesses
365,2021-05-22,1387.0,Vest Harnesses
366,2021-05-23,1387.0,Vest Harnesses
367,2021-05-24,1581.0,Vest Harnesses
