,date,value,name_B0855WDT13
366,2021-02-28,96.0,Herbs
367,2021-03-01,79.0,Herbs
368,2021-03-02,79.0,Herbs
369,2021-03-03,79.0,Herbs
370,2021-03-04,116.0,Herbs
371,2021-03-05,129.0,Herbs
372,2021-03-06,112.0,Herbs
373,2021-03-07,104.0,Herbs
374,2021-03-08,104.0,Herbs
375,2021-03-09,104.0,Herbs
376,2021-03-10,133.0,Herbs
377,2021-03-11,133.0,Herbs
378,2021-03-12,155.0,Herbs
379,2021-03-13,155.0,Herbs
380,2021-03-14,155.0,Herbs
381,2021-03-15,146.0,Herbs
382,2021-03-16,146.0,Herbs
383,2021-03-17,181.0,Herbs
384,2021-03-18,181.0,Herbs
385,2021-03-19,213.0,Herbs
386,2021-03-20,213.0,Herbs
387,2021-03-21,213.0,Herbs
388,2021-03-22,218.0,Herbs
389,2021-03-23,218.0,Herbs
390,2021-03-24,262.0,Herbs
391,2021-03-25,227.0,Herbs
392,2021-03-26,254.0,Herbs
393,2021-03-27,251.0,Herbs
394,2021-03-28,258.0,Herbs
395,2021-03-29,238.0,Herbs
396,2021-03-30,238.0,Herbs
397,2021-03-31,238.0,Herbs
398,2021-04-01,238.0,Herbs
399,2021-04-02,238.0,Herbs
400,2021-04-03,238.0,Herbs
401,2021-04-04,238.0,Herbs
402,2021-04-05,238.0,Herbs
403,2021-04-06,238.0,Herbs
404,2021-04-07,238.0,Herbs
405,2021-04-08,238.0,Herbs
406,2021-04-09,238.0,Herbs
407,2021-04-10,238.0,Herbs
408,2021-04-11,238.0,Herbs
409,2021-04-12,238.0,Herbs
410,2021-04-13,238.0,Herbs
411,2021-04-14,238.0,Herbs
412,2021-04-15,238.0,Herbs
413,2021-04-16,238.0,Herbs
414,2021-04-17,238.0,Herbs
415,2021-04-18,238.0,Herbs
416,2021-04-19,238.0,Herbs
417,2021-04-20,238.0,Herbs
418,2021-04-21,238.0,Herbs
419,2021-04-22,238.0,Herbs
420,2021-04-23,238.0,Herbs
421,2021-04-24,238.0,Herbs
422,2021-04-25,238.0,Herbs
423,2021-04-26,238.0,Herbs
424,2021-04-27,238.0,Herbs
425,2021-04-28,238.0,Herbs
426,2021-04-29,238.0,Herbs
427,2021-04-30,238.0,Herbs
428,2021-05-01,238.0,Herbs
429,2021-05-02,238.0,Herbs
430,2021-05-03,238.0,Herbs
431,2021-05-04,238.0,Herbs
432,2021-05-05,238.0,Herbs
433,2021-05-06,238.0,Herbs
434,2021-05-07,238.0,Herbs
435,2021-05-08,238.0,Herbs
436,2021-05-09,238.0,Herbs
437,2021-05-10,238.0,Herbs
438,2021-05-11,238.0,Herbs
439,2021-05-12,238.0,Herbs
440,2021-05-13,274.0,Herbs
441,2021-05-14,324.0,Herbs
442,2021-05-15,324.0,Herbs
443,2021-05-16,331.0,Herbs
444,2021-05-17,331.0,Herbs
445,2021-05-18,403.0,Herbs
446,2021-05-19,446.0,Herbs
447,2021-05-20,514.0,Herbs
448,2021-05-21,514.0,Herbs
449,2021-05-22,508.0,Herbs
450,2021-05-23,541.0,Herbs
451,2021-05-24,577.0,Herbs
452,2021-05-25,577.0,Herbs
453,2021-05-26,596.0,Herbs
454,2021-05-27,596.0,Herbs
455,2021-05-28,596.0,Herbs
456,2021-05-29,397.0,Herbs
457,2021-05-30,404.0,Herbs
458,2021-05-31,405.0,Herbs
459,2021-06-01,484.0,Herbs
460,2021-06-02,528.0,Herbs
461,2021-06-03,548.0,Herbs
462,2021-06-04,548.0,Herbs
463,2021-06-05,507.0,Herbs
464,2021-06-06,507.0,Herbs
465,2021-06-07,507.0,Herbs
466,2021-06-08,764.0,Herbs
467,2021-06-09,746.0,Herbs
468,2021-06-10,746.0,Herbs
469,2021-06-11,955.0,Herbs
470,2021-06-12,955.0,Herbs
471,2021-06-13,955.0,Herbs
472,2021-06-14,828.0,Herbs
473,2021-06-15,530.0,Herbs
474,2021-06-16,530.0,Herbs
475,2021-06-17,778.0,Herbs
476,2021-06-18,778.0,Herbs
477,2021-06-19,887.0,Herbs
478,2021-06-20,800.0,Herbs
479,2021-06-21,697.0,Herbs
480,2021-06-22,697.0,Herbs
481,2021-06-23,697.0,Herbs
482,2021-06-24,411.0,Herbs
483,2021-06-25,433.0,Herbs
484,2021-06-26,433.0,Herbs
485,2021-06-27,446.0,Herbs
486,2021-06-28,584.0,Herbs
487,2021-06-29,602.0,Herbs
488,2021-06-30,602.0,Herbs
489,2021-07-01,576.0,Herbs
490,2021-07-02,576.0,Herbs
491,2021-07-03,631.0,Herbs
492,2021-07-04,773.0,Herbs
493,2021-07-05,773.0,Herbs
494,2021-07-06,719.0,Herbs
495,2021-07-07,719.0,Herbs
496,2021-07-08,719.0,Herbs
497,2021-07-09,613.0,Herbs
498,2021-07-10,695.0,Herbs
