,date,value,name_B08PKSQ1VX
84,2021-03-03,4279.0,Picnic Baskets
85,2021-03-04,3154.0,Picnic Baskets
86,2021-03-05,3505.0,Picnic Baskets
87,2021-03-06,3505.0,Picnic Baskets
88,2021-03-07,3505.0,Picnic Baskets
89,2021-03-08,5433.0,Picnic Baskets
90,2021-03-09,5433.0,Picnic Baskets
91,2021-03-10,3653.0,Picnic Baskets
92,2021-03-11,3653.0,Picnic Baskets
93,2021-03-12,3131.0,Picnic Baskets
94,2021-03-13,3131.0,Picnic Baskets
95,2021-03-14,3131.0,Picnic Baskets
96,2021-03-15,6515.0,Picnic Baskets
97,2021-03-16,7996.0,Picnic Baskets
98,2021-03-17,7996.0,Picnic Baskets
99,2021-03-18,7996.0,Picnic Baskets
100,2021-03-19,9294.0,Picnic Baskets
101,2021-03-20,9294.0,Picnic Baskets
102,2021-03-21,9294.0,Picnic Baskets
103,2021-03-22,9294.0,Picnic Baskets
104,2021-03-23,5627.0,Picnic Baskets
105,2021-03-24,4624.0,Picnic Baskets
106,2021-03-25,4784.0,Picnic Baskets
107,2021-03-26,6059.0,Picnic Baskets
108,2021-03-27,6059.0,Picnic Baskets
109,2021-03-28,6292.0,Picnic Baskets
110,2021-03-29,6292.0,Picnic Baskets
111,2021-03-30,6292.0,Picnic Baskets
112,2021-03-31,5337.0,Picnic Baskets
113,2021-04-01,5337.0,Picnic Baskets
114,2021-04-02,4533.0,Picnic Baskets
115,2021-04-03,4607.0,Picnic Baskets
116,2021-04-04,4124.0,Picnic Baskets
117,2021-04-05,3952.0,Picnic Baskets
118,2021-04-06,3228.0,Picnic Baskets
119,2021-04-07,3228.0,Picnic Baskets
120,2021-04-08,3184.0,Picnic Baskets
121,2021-04-09,3184.0,Picnic Baskets
122,2021-04-10,3184.0,Picnic Baskets
123,2021-04-11,3184.0,Picnic Baskets
124,2021-04-12,4955.0,Picnic Baskets
125,2021-04-13,3098.0,Picnic Baskets
126,2021-04-14,2791.0,Picnic Baskets
127,2021-04-15,2791.0,Picnic Baskets
128,2021-04-16,3217.0,Picnic Baskets
129,2021-04-17,3217.0,Picnic Baskets
130,2021-04-18,3217.0,Picnic Baskets
131,2021-04-19,4896.0,Picnic Baskets
132,2021-04-20,4896.0,Picnic Baskets
133,2021-04-21,3819.0,Picnic Baskets
134,2021-04-22,4041.0,Picnic Baskets
135,2021-04-23,4093.0,Picnic Baskets
136,2021-04-24,4093.0,Picnic Baskets
137,2021-04-25,6631.0,Picnic Baskets
138,2021-04-26,6631.0,Picnic Baskets
139,2021-04-27,4310.0,Picnic Baskets
140,2021-04-28,4310.0,Picnic Baskets
141,2021-04-29,4176.0,Picnic Baskets
142,2021-04-30,4176.0,Picnic Baskets
143,2021-05-01,4176.0,Picnic Baskets
144,2021-05-02,6446.0,Picnic Baskets
145,2021-05-03,6446.0,Picnic Baskets
146,2021-05-04,4765.0,Picnic Baskets
147,2021-05-05,4765.0,Picnic Baskets
148,2021-05-06,4765.0,Picnic Baskets
149,2021-05-07,3153.0,Picnic Baskets
150,2021-05-08,4274.0,Picnic Baskets
151,2021-05-09,4274.0,Picnic Baskets
152,2021-05-10,7096.0,Picnic Baskets
153,2021-05-11,6191.0,Picnic Baskets
154,2021-05-12,6191.0,Picnic Baskets
155,2021-05-13,3174.0,Picnic Baskets
156,2021-05-14,3427.0,Picnic Baskets
157,2021-05-15,3427.0,Picnic Baskets
158,2021-05-16,3427.0,Picnic Baskets
159,2021-05-17,4955.0,Picnic Baskets
160,2021-05-18,4955.0,Picnic Baskets
161,2021-05-19,2743.0,Picnic Baskets
162,2021-05-20,2702.0,Picnic Baskets
163,2021-05-21,2996.0,Picnic Baskets
164,2021-05-22,3464.0,Picnic Baskets
165,2021-05-23,3464.0,Picnic Baskets
166,2021-05-24,4837.0,Picnic Baskets
167,2021-05-25,4837.0,Picnic Baskets
168,2021-05-26,3218.0,Picnic Baskets
169,2021-05-27,3753.0,Picnic Baskets
170,2021-05-28,3665.0,Picnic Baskets
171,2021-05-29,3665.0,Picnic Baskets
172,2021-05-30,3328.0,Picnic Baskets
173,2021-05-31,3519.0,Picnic Baskets
174,2021-06-01,4934.0,Picnic Baskets
175,2021-06-02,4026.0,Picnic Baskets
176,2021-06-03,4026.0,Picnic Baskets
177,2021-06-04,4297.0,Picnic Baskets
178,2021-06-05,4297.0,Picnic Baskets
179,2021-06-06,4354.0,Picnic Baskets
180,2021-06-07,4144.0,Picnic Baskets
181,2021-06-08,3621.0,Picnic Baskets
182,2021-06-09,3144.0,Picnic Baskets
183,2021-06-10,3144.0,Picnic Baskets
184,2021-06-11,3088.0,Picnic Baskets
185,2021-06-12,3088.0,Picnic Baskets
186,2021-06-13,3088.0,Picnic Baskets
187,2021-06-14,4028.0,Picnic Baskets
188,2021-06-15,4028.0,Picnic Baskets
189,2021-06-16,4071.0,Picnic Baskets
190,2021-06-17,4330.0,Picnic Baskets
191,2021-06-18,4330.0,Picnic Baskets
192,2021-06-19,3220.0,Picnic Baskets
193,2021-06-20,4311.0,Picnic Baskets
194,2021-06-21,4320.0,Picnic Baskets
195,2021-06-22,2374.0,Picnic Baskets
196,2021-06-23,2290.0,Picnic Baskets
197,2021-06-24,2290.0,Picnic Baskets
198,2021-06-25,3597.0,Picnic Baskets
199,2021-06-26,4452.0,Picnic Baskets
200,2021-06-27,4452.0,Picnic Baskets
201,2021-06-28,5330.0,Picnic Baskets
202,2021-06-29,5330.0,Picnic Baskets
203,2021-06-30,6465.0,Picnic Baskets
204,2021-07-01,5152.0,Picnic Baskets
205,2021-07-02,3577.0,Picnic Baskets
206,2021-07-03,3577.0,Picnic Baskets
207,2021-07-04,3577.0,Picnic Baskets
208,2021-07-05,5531.0,Picnic Baskets
209,2021-07-06,4603.0,Picnic Baskets
210,2021-07-07,5344.0,Picnic Baskets
211,2021-07-08,4710.0,Picnic Baskets
212,2021-07-09,4615.0,Picnic Baskets
213,2021-07-10,4632.0,Picnic Baskets
