,date,value,name_B07CJNV97W
47,2020-07-14,9366.0,Bully Sticks
48,2020-07-15,9366.0,Bully Sticks
49,2020-07-16,13944.0,Bully Sticks
50,2020-07-17,13944.0,Bully Sticks
51,2020-07-18,13944.0,Bully Sticks
52,2020-07-19,13944.0,Bully Sticks
53,2020-07-20,9517.0,Bully Sticks
54,2020-07-21,8136.0,Bully Sticks
55,2020-07-22,8136.0,Bully Sticks
56,2020-07-23,8136.0,Bully Sticks
57,2020-07-24,7959.0,Bully Sticks
58,2020-07-25,6795.0,Bully Sticks
59,2020-07-26,6795.0,Bully Sticks
60,2020-07-27,6795.0,Bully Sticks
61,2020-07-28,9551.0,Bully Sticks
62,2020-07-29,9551.0,Bully Sticks
63,2020-07-30,9090.0,Bully Sticks
64,2020-07-31,9090.0,Bully Sticks
65,2020-08-01,5723.0,Bully Sticks
66,2020-08-02,5723.0,Bully Sticks
67,2020-08-03,5546.0,Bully Sticks
68,2020-08-04,7379.0,Bully Sticks
69,2020-08-05,7379.0,Bully Sticks
70,2020-08-06,7379.0,Bully Sticks
71,2020-08-07,7379.0,Bully Sticks
72,2020-08-08,7379.0,Bully Sticks
73,2020-08-09,7379.0,Bully Sticks
74,2020-08-10,7483.0,Bully Sticks
75,2020-08-11,7483.0,Bully Sticks
76,2020-08-12,7483.0,Bully Sticks
77,2020-08-13,6950.0,Bully Sticks
78,2020-08-14,6950.0,Bully Sticks
79,2020-08-15,6950.0,Bully Sticks
80,2020-08-16,6443.0,Bully Sticks
81,2020-08-17,6443.0,Bully Sticks
82,2020-08-18,6443.0,Bully Sticks
83,2020-08-19,6443.0,Bully Sticks
84,2020-08-20,6443.0,Bully Sticks
85,2020-08-21,6443.0,Bully Sticks
86,2020-08-22,7327.0,Bully Sticks
87,2020-08-23,7327.0,Bully Sticks
88,2020-08-24,7327.0,Bully Sticks
89,2020-08-25,8185.0,Bully Sticks
90,2020-08-26,8185.0,Bully Sticks
91,2020-08-27,7330.0,Bully Sticks
92,2020-08-28,7330.0,Bully Sticks
93,2020-08-29,7330.0,Bully Sticks
94,2020-08-30,7330.0,Bully Sticks
95,2020-08-31,8046.0,Bully Sticks
96,2020-09-01,8046.0,Bully Sticks
97,2020-09-02,8046.0,Bully Sticks
98,2020-09-03,6397.0,Bully Sticks
99,2020-09-04,8116.0,Bully Sticks
100,2020-09-05,8116.0,Bully Sticks
101,2020-09-06,8085.0,Bully Sticks
102,2020-09-07,10295.0,Bully Sticks
103,2020-09-08,10295.0,Bully Sticks
104,2020-09-09,9132.0,Bully Sticks
105,2020-09-10,9132.0,Bully Sticks
106,2020-09-11,9960.0,Bully Sticks
107,2020-09-12,9960.0,Bully Sticks
108,2020-09-13,9960.0,Bully Sticks
109,2020-09-14,10126.0,Bully Sticks
110,2020-09-15,10126.0,Bully Sticks
111,2020-09-16,8435.0,Bully Sticks
112,2020-09-17,8435.0,Bully Sticks
113,2020-09-18,9346.0,Bully Sticks
114,2020-09-19,9346.0,Bully Sticks
115,2020-09-20,8157.0,Bully Sticks
116,2020-09-21,8157.0,Bully Sticks
117,2020-09-22,8170.0,Bully Sticks
118,2020-09-23,8170.0,Bully Sticks
119,2020-09-24,8170.0,Bully Sticks
120,2020-09-25,10412.0,Bully Sticks
121,2020-09-26,10412.0,Bully Sticks
122,2020-09-27,10412.0,Bully Sticks
123,2020-09-28,11144.0,Bully Sticks
124,2020-09-29,11144.0,Bully Sticks
125,2020-09-30,11144.0,Bully Sticks
126,2020-10-01,7995.0,Bully Sticks
127,2020-10-02,7995.0,Bully Sticks
128,2020-10-03,7995.0,Bully Sticks
129,2020-10-04,9034.0,Bully Sticks
130,2020-10-05,11943.0,Bully Sticks
131,2020-10-06,11943.0,Bully Sticks
132,2020-10-07,11943.0,Bully Sticks
133,2020-10-08,9625.0,Bully Sticks
134,2020-10-09,9625.0,Bully Sticks
135,2020-10-10,9625.0,Bully Sticks
136,2020-10-11,10130.0,Bully Sticks
137,2020-10-12,10130.0,Bully Sticks
138,2020-10-13,6681.0,Bully Sticks
139,2020-10-14,7883.0,Bully Sticks
140,2020-10-15,8636.0,Bully Sticks
141,2020-10-16,8636.0,Bully Sticks
142,2020-10-17,8636.0,Bully Sticks
143,2020-10-18,8636.0,Bully Sticks
144,2020-10-19,6995.0,Bully Sticks
145,2020-10-20,6995.0,Bully Sticks
146,2020-10-21,6995.0,Bully Sticks
147,2020-10-22,8885.0,Bully Sticks
148,2020-10-23,9344.0,Bully Sticks
149,2020-10-24,7437.0,Bully Sticks
150,2020-10-25,7437.0,Bully Sticks
151,2020-10-26,9446.0,Bully Sticks
152,2020-10-27,9446.0,Bully Sticks
153,2020-10-28,9446.0,Bully Sticks
154,2020-10-29,9446.0,Bully Sticks
155,2020-10-30,6834.0,Bully Sticks
156,2020-10-31,6834.0,Bully Sticks
157,2020-11-01,6834.0,Bully Sticks
158,2020-11-02,6038.0,Bully Sticks
159,2020-11-03,6038.0,Bully Sticks
160,2020-11-04,6038.0,Bully Sticks
161,2020-11-05,6038.0,Bully Sticks
162,2020-11-06,7986.0,Bully Sticks
163,2020-11-07,7986.0,Bully Sticks
164,2020-11-08,7986.0,Bully Sticks
165,2020-11-09,8294.0,Bully Sticks
166,2020-11-10,8096.0,Bully Sticks
167,2020-11-11,8096.0,Bully Sticks
168,2020-11-12,8664.0,Bully Sticks
169,2020-11-13,8664.0,Bully Sticks
170,2020-11-14,8664.0,Bully Sticks
171,2020-11-15,8664.0,Bully Sticks
172,2020-11-16,6978.0,Bully Sticks
173,2020-11-17,6978.0,Bully Sticks
174,2020-11-18,7486.0,Bully Sticks
175,2020-11-19,7486.0,Bully Sticks
176,2020-11-20,7486.0,Bully Sticks
177,2020-11-21,7486.0,Bully Sticks
178,2020-11-22,9168.0,Bully Sticks
179,2020-11-23,9168.0,Bully Sticks
180,2020-11-24,9168.0,Bully Sticks
181,2020-11-25,6742.0,Bully Sticks
182,2020-11-26,6742.0,Bully Sticks
183,2020-11-27,7891.0,Bully Sticks
184,2020-11-28,7891.0,Bully Sticks
185,2020-11-29,7891.0,Bully Sticks
186,2020-11-30,10211.0,Bully Sticks
187,2020-12-01,10211.0,Bully Sticks
188,2020-12-02,10211.0,Bully Sticks
189,2020-12-03,7617.0,Bully Sticks
190,2020-12-04,7617.0,Bully Sticks
191,2020-12-05,7617.0,Bully Sticks
192,2020-12-06,8225.0,Bully Sticks
193,2020-12-07,8225.0,Bully Sticks
194,2020-12-08,6938.0,Bully Sticks
195,2020-12-09,6938.0,Bully Sticks
196,2020-12-10,6169.0,Bully Sticks
197,2020-12-11,6169.0,Bully Sticks
198,2020-12-12,6169.0,Bully Sticks
199,2020-12-13,6169.0,Bully Sticks
200,2020-12-14,9664.0,Bully Sticks
201,2020-12-15,9059.0,Bully Sticks
202,2020-12-16,9059.0,Bully Sticks
203,2020-12-17,9059.0,Bully Sticks
204,2020-12-18,10470.0,Bully Sticks
205,2020-12-19,10470.0,Bully Sticks
206,2020-12-20,10470.0,Bully Sticks
207,2020-12-21,8577.0,Bully Sticks
208,2020-12-22,9762.0,Bully Sticks
209,2020-12-23,9762.0,Bully Sticks
210,2020-12-24,3421.0,Bully Sticks
211,2020-12-25,3421.0,Bully Sticks
212,2020-12-26,7020.0,Bully Sticks
213,2020-12-27,7020.0,Bully Sticks
214,2020-12-28,5291.0,Bully Sticks
215,2020-12-29,5291.0,Bully Sticks
216,2020-12-30,3928.0,Bully Sticks
217,2020-12-31,3928.0,Bully Sticks
218,2021-01-01,5416.0,Bully Sticks
219,2021-01-02,5416.0,Bully Sticks
220,2021-01-03,5416.0,Bully Sticks
221,2021-01-04,6770.0,Bully Sticks
222,2021-01-05,6770.0,Bully Sticks
223,2021-01-06,4994.0,Bully Sticks
224,2021-01-07,4994.0,Bully Sticks
225,2021-01-08,4994.0,Bully Sticks
226,2021-01-09,4123.0,Bully Sticks
227,2021-01-10,5169.0,Bully Sticks
228,2021-01-11,5169.0,Bully Sticks
229,2021-01-12,5169.0,Bully Sticks
230,2021-01-13,5169.0,Bully Sticks
231,2021-01-14,6191.0,Bully Sticks
232,2021-01-15,6191.0,Bully Sticks
233,2021-01-16,7051.0,Bully Sticks
