,date,value,name_B08D3SWPZ5
220,2021-03-20,9189.0,Tablecloths
221,2021-03-21,9189.0,Tablecloths
222,2021-03-22,9189.0,Tablecloths
223,2021-03-23,6371.0,Tablecloths
224,2021-03-24,6371.0,Tablecloths
225,2021-03-25,6371.0,Tablecloths
226,2021-03-26,6065.0,Tablecloths
227,2021-03-27,6065.0,Tablecloths
228,2021-03-28,4807.0,Tablecloths
229,2021-03-29,4807.0,Tablecloths
230,2021-03-30,4807.0,Tablecloths
231,2021-03-31,4807.0,Tablecloths
232,2021-04-01,6559.0,Tablecloths
233,2021-04-02,8237.0,Tablecloths
234,2021-04-03,5569.0,Tablecloths
235,2021-04-04,5569.0,Tablecloths
236,2021-04-05,5569.0,Tablecloths
237,2021-04-06,8581.0,Tablecloths
238,2021-04-07,8581.0,Tablecloths
239,2021-04-08,8581.0,Tablecloths
240,2021-04-09,7801.0,Tablecloths
241,2021-04-10,7801.0,Tablecloths
242,2021-04-11,7801.0,Tablecloths
243,2021-04-12,7449.0,Tablecloths
244,2021-04-13,7449.0,Tablecloths
245,2021-04-14,8672.0,Tablecloths
246,2021-04-15,8672.0,Tablecloths
247,2021-04-16,8672.0,Tablecloths
248,2021-04-17,7896.0,Tablecloths
249,2021-04-18,7896.0,Tablecloths
250,2021-04-19,6850.0,Tablecloths
251,2021-04-20,7557.0,Tablecloths
252,2021-04-21,7557.0,Tablecloths
253,2021-04-22,7557.0,Tablecloths
254,2021-04-23,5583.0,Tablecloths
255,2021-04-24,5583.0,Tablecloths
256,2021-04-25,6288.0,Tablecloths
257,2021-04-26,6288.0,Tablecloths
258,2021-04-27,9197.0,Tablecloths
259,2021-04-28,9197.0,Tablecloths
260,2021-04-29,7272.0,Tablecloths
261,2021-04-30,7272.0,Tablecloths
262,2021-05-01,7272.0,Tablecloths
263,2021-05-02,6786.0,Tablecloths
264,2021-05-03,6484.0,Tablecloths
265,2021-05-04,6484.0,Tablecloths
266,2021-05-05,6484.0,Tablecloths
267,2021-05-06,6961.0,Tablecloths
268,2021-05-07,6961.0,Tablecloths
269,2021-05-08,5937.0,Tablecloths
270,2021-05-09,5937.0,Tablecloths
271,2021-05-10,5937.0,Tablecloths
272,2021-05-11,5367.0,Tablecloths
273,2021-05-12,5367.0,Tablecloths
274,2021-05-13,4469.0,Tablecloths
