,date,value,name_B08M9T7LSZ
130,2021-03-13,29875.0,Kitchen & Dining Features
131,2021-03-14,29875.0,Kitchen & Dining Features
132,2021-03-15,29875.0,Kitchen & Dining Features
133,2021-03-16,30141.0,Kitchen & Dining Features
134,2021-03-17,21728.0,Kitchen & Dining Features
135,2021-03-18,19463.0,Kitchen & Dining Features
136,2021-03-19,18693.0,Kitchen & Dining Features
137,2021-03-20,18693.0,Kitchen & Dining Features
138,2021-03-21,18693.0,Kitchen & Dining Features
139,2021-03-22,23256.0,Kitchen & Dining Features
140,2021-03-23,23256.0,Kitchen & Dining Features
141,2021-03-24,21647.0,Kitchen & Dining Features
142,2021-03-25,21647.0,Kitchen & Dining Features
143,2021-03-26,21647.0,Kitchen & Dining Features
144,2021-03-27,36793.0,Kitchen & Dining Features
145,2021-03-28,36793.0,Kitchen & Dining Features
146,2021-03-29,36793.0,Kitchen & Dining Features
147,2021-03-30,33520.0,Kitchen & Dining Features
148,2021-03-31,33520.0,Kitchen & Dining Features
149,2021-04-01,30098.0,Kitchen & Dining Features
150,2021-04-02,30098.0,Kitchen & Dining Features
151,2021-04-03,34908.0,Kitchen & Dining Features
152,2021-04-04,34908.0,Kitchen & Dining Features
153,2021-04-05,34908.0,Kitchen & Dining Features
154,2021-04-06,28995.0,Kitchen & Dining Features
155,2021-04-07,28995.0,Kitchen & Dining Features
156,2021-04-08,28995.0,Kitchen & Dining Features
157,2021-04-09,28995.0,Kitchen & Dining Features
158,2021-04-10,28995.0,Kitchen & Dining Features
159,2021-04-11,24046.0,Kitchen & Dining Features
160,2021-04-12,24046.0,Kitchen & Dining Features
161,2021-04-13,24046.0,Kitchen & Dining Features
162,2021-04-14,24046.0,Kitchen & Dining Features
163,2021-04-15,27458.0,Kitchen & Dining Features
164,2021-04-16,27458.0,Kitchen & Dining Features
165,2021-04-17,27458.0,Kitchen & Dining Features
166,2021-04-18,24670.0,Kitchen & Dining Features
167,2021-04-19,24670.0,Kitchen & Dining Features
168,2021-04-20,27200.0,Kitchen & Dining Features
169,2021-04-21,27200.0,Kitchen & Dining Features
170,2021-04-22,27200.0,Kitchen & Dining Features
171,2021-04-23,27646.0,Kitchen & Dining Features
172,2021-04-24,21503.0,Kitchen & Dining Features
173,2021-04-25,21503.0,Kitchen & Dining Features
174,2021-04-26,21503.0,Kitchen & Dining Features
175,2021-04-27,22305.0,Kitchen & Dining Features
176,2021-04-28,22305.0,Kitchen & Dining Features
177,2021-04-29,22305.0,Kitchen & Dining Features
178,2021-04-30,22305.0,Kitchen & Dining Features
179,2021-05-01,23825.0,Kitchen & Dining Features
180,2021-05-02,26329.0,Kitchen & Dining Features
181,2021-05-03,26329.0,Kitchen & Dining Features
182,2021-05-04,27136.0,Kitchen & Dining Features
183,2021-05-05,28026.0,Kitchen & Dining Features
184,2021-05-06,28026.0,Kitchen & Dining Features
185,2021-05-07,40880.0,Kitchen & Dining Features
186,2021-05-08,40880.0,Kitchen & Dining Features
187,2021-05-09,40880.0,Kitchen & Dining Features
188,2021-05-10,43323.0,Kitchen & Dining Features
189,2021-05-11,45445.0,Kitchen & Dining Features
190,2021-05-12,45445.0,Kitchen & Dining Features
191,2021-05-13,71826.0,Kitchen & Dining Features
192,2021-05-14,71826.0,Kitchen & Dining Features
193,2021-05-15,71826.0,Kitchen & Dining Features
194,2021-05-16,71826.0,Kitchen & Dining Features
195,2021-05-17,71826.0,Kitchen & Dining Features
196,2021-05-18,37809.0,Kitchen & Dining Features
197,2021-05-19,37809.0,Kitchen & Dining Features
198,2021-05-20,32540.0,Kitchen & Dining Features
199,2021-05-21,31854.0,Kitchen & Dining Features
200,2021-05-22,31854.0,Kitchen & Dining Features
201,2021-05-23,31854.0,Kitchen & Dining Features
202,2021-05-24,28602.0,Kitchen & Dining Features
203,2021-05-25,26587.0,Kitchen & Dining Features
204,2021-05-26,32925.0,Kitchen & Dining Features
205,2021-05-27,32925.0,Kitchen & Dining Features
206,2021-05-28,31759.0,Kitchen & Dining Features
207,2021-05-29,31759.0,Kitchen & Dining Features
208,2021-05-30,31759.0,Kitchen & Dining Features
209,2021-05-31,29551.0,Kitchen & Dining Features
210,2021-06-01,22177.0,Kitchen & Dining Features
211,2021-06-02,22177.0,Kitchen & Dining Features
212,2021-06-03,35704.0,Kitchen & Dining Features
213,2021-06-04,35704.0,Kitchen & Dining Features
214,2021-06-05,26037.0,Kitchen & Dining Features
215,2021-06-06,26037.0,Kitchen & Dining Features
216,2021-06-07,26470.0,Kitchen & Dining Features
217,2021-06-08,26470.0,Kitchen & Dining Features
218,2021-06-09,26470.0,Kitchen & Dining Features
219,2021-06-10,30740.0,Kitchen & Dining Features
220,2021-06-11,30740.0,Kitchen & Dining Features
221,2021-06-12,39002.0,Kitchen & Dining Features
222,2021-06-13,39002.0,Kitchen & Dining Features
223,2021-06-14,29114.0,Kitchen & Dining Features
224,2021-06-15,29114.0,Kitchen & Dining Features
225,2021-06-16,29114.0,Kitchen & Dining Features
226,2021-06-17,29114.0,Kitchen & Dining Features
227,2021-06-18,37447.0,Kitchen & Dining Features
228,2021-06-19,37447.0,Kitchen & Dining Features
229,2021-06-20,37447.0,Kitchen & Dining Features
230,2021-06-21,33590.0,Kitchen & Dining Features
231,2021-06-22,33590.0,Kitchen & Dining Features
232,2021-06-23,33590.0,Kitchen & Dining Features
233,2021-06-24,41459.0,Kitchen & Dining Features
234,2021-06-25,41459.0,Kitchen & Dining Features
235,2021-06-26,41459.0,Kitchen & Dining Features
236,2021-06-27,41459.0,Kitchen & Dining Features
237,2021-06-28,54449.0,Kitchen & Dining Features
238,2021-06-29,54449.0,Kitchen & Dining Features
239,2021-06-30,35462.0,Kitchen & Dining Features
240,2021-07-01,35462.0,Kitchen & Dining Features
241,2021-07-02,35462.0,Kitchen & Dining Features
242,2021-07-03,26786.0,Kitchen & Dining Features
243,2021-07-04,26786.0,Kitchen & Dining Features
244,2021-07-05,26786.0,Kitchen & Dining Features
245,2021-07-06,28516.0,Kitchen & Dining Features
246,2021-07-07,28516.0,Kitchen & Dining Features
247,2021-07-08,25729.0,Kitchen & Dining Features
248,2021-07-09,18604.0,Kitchen & Dining Features
249,2021-07-10,18604.0,Kitchen & Dining Features
250,2021-07-11,20762.0,Kitchen & Dining Features
