,date,value,name_B08KZ9FT4Q
146,2021-03-08,11527.0,Umbrellas
147,2021-03-09,11527.0,Umbrellas
148,2021-03-10,14338.0,Umbrellas
149,2021-03-11,14338.0,Umbrellas
150,2021-03-12,14338.0,Umbrellas
151,2021-03-13,11047.0,Umbrellas
152,2021-03-14,11047.0,Umbrellas
153,2021-03-15,11047.0,Umbrellas
154,2021-03-16,9583.0,Umbrellas
155,2021-03-17,9583.0,Umbrellas
156,2021-03-18,9583.0,Umbrellas
157,2021-03-19,9234.0,Umbrellas
158,2021-03-20,9234.0,Umbrellas
159,2021-03-21,9234.0,Umbrellas
160,2021-03-22,5569.0,Umbrellas
161,2021-03-23,5569.0,Umbrellas
162,2021-03-24,6812.0,Umbrellas
163,2021-03-25,6812.0,Umbrellas
164,2021-03-26,6812.0,Umbrellas
165,2021-03-27,4307.0,Umbrellas
166,2021-03-28,2245.0,Umbrellas
167,2021-03-29,2138.0,Umbrellas
168,2021-03-30,2665.0,Umbrellas
169,2021-03-31,2665.0,Umbrellas
170,2021-04-01,2771.0,Umbrellas
171,2021-04-02,2453.0,Umbrellas
172,2021-04-03,2453.0,Umbrellas
173,2021-04-04,2453.0,Umbrellas
174,2021-04-05,2645.0,Umbrellas
175,2021-04-06,3722.0,Umbrellas
176,2021-04-07,3390.0,Umbrellas
177,2021-04-08,3390.0,Umbrellas
178,2021-04-09,2144.0,Umbrellas
179,2021-04-10,1915.0,Umbrellas
180,2021-04-11,1915.0,Umbrellas
181,2021-04-12,1243.0,Umbrellas
182,2021-04-13,1243.0,Umbrellas
183,2021-04-14,1474.0,Umbrellas
184,2021-04-15,1772.0,Umbrellas
185,2021-04-16,1717.0,Umbrellas
186,2021-04-17,1717.0,Umbrellas
187,2021-04-18,1717.0,Umbrellas
188,2021-04-19,1128.0,Umbrellas
189,2021-04-20,1618.0,Umbrellas
190,2021-04-21,1618.0,Umbrellas
191,2021-04-22,1981.0,Umbrellas
192,2021-04-23,1981.0,Umbrellas
193,2021-04-24,2612.0,Umbrellas
194,2021-04-25,2612.0,Umbrellas
195,2021-04-26,2715.0,Umbrellas
196,2021-04-27,2715.0,Umbrellas
197,2021-04-28,2776.0,Umbrellas
198,2021-04-29,1871.0,Umbrellas
199,2021-04-30,1871.0,Umbrellas
200,2021-05-01,2327.0,Umbrellas
201,2021-05-02,2069.0,Umbrellas
202,2021-05-03,2069.0,Umbrellas
203,2021-05-04,2397.0,Umbrellas
204,2021-05-05,2397.0,Umbrellas
205,2021-05-06,2920.0,Umbrellas
206,2021-05-07,3508.0,Umbrellas
207,2021-05-08,3508.0,Umbrellas
208,2021-05-09,2067.0,Umbrellas
209,2021-05-10,2067.0,Umbrellas
210,2021-05-11,3030.0,Umbrellas
211,2021-05-12,3030.0,Umbrellas
212,2021-05-13,3808.0,Umbrellas
213,2021-05-14,3808.0,Umbrellas
214,2021-05-15,2344.0,Umbrellas
215,2021-05-16,2344.0,Umbrellas
216,2021-05-17,2935.0,Umbrellas
217,2021-05-18,2935.0,Umbrellas
218,2021-05-19,3695.0,Umbrellas
219,2021-05-20,3067.0,Umbrellas
220,2021-05-21,3067.0,Umbrellas
221,2021-05-22,3067.0,Umbrellas
222,2021-05-23,2481.0,Umbrellas
223,2021-05-24,2481.0,Umbrellas
224,2021-05-25,2714.0,Umbrellas
225,2021-05-26,2714.0,Umbrellas
226,2021-05-27,3070.0,Umbrellas
227,2021-05-28,3215.0,Umbrellas
228,2021-05-29,3215.0,Umbrellas
229,2021-05-30,3735.0,Umbrellas
230,2021-05-31,3735.0,Umbrellas
231,2021-06-01,3898.0,Umbrellas
232,2021-06-02,3898.0,Umbrellas
233,2021-06-03,5815.0,Umbrellas
234,2021-06-04,7850.0,Umbrellas
235,2021-06-05,5993.0,Umbrellas
236,2021-06-06,5993.0,Umbrellas
237,2021-06-07,5993.0,Umbrellas
238,2021-06-08,4904.0,Umbrellas
239,2021-06-09,4796.0,Umbrellas
240,2021-06-10,4796.0,Umbrellas
241,2021-06-11,4337.0,Umbrellas
242,2021-06-12,4691.0,Umbrellas
243,2021-06-13,4691.0,Umbrellas
244,2021-06-14,3626.0,Umbrellas
245,2021-06-15,3626.0,Umbrellas
246,2021-06-16,4527.0,Umbrellas
247,2021-06-17,4403.0,Umbrellas
248,2021-06-18,4403.0,Umbrellas
249,2021-06-19,5253.0,Umbrellas
250,2021-06-20,5506.0,Umbrellas
251,2021-06-21,5506.0,Umbrellas
252,2021-06-22,6435.0,Umbrellas
253,2021-06-23,6435.0,Umbrellas
254,2021-06-24,6435.0,Umbrellas
255,2021-06-25,5230.0,Umbrellas
256,2021-06-26,5230.0,Umbrellas
257,2021-06-27,5158.0,Umbrellas
258,2021-06-28,4494.0,Umbrellas
259,2021-06-29,4316.0,Umbrellas
260,2021-06-30,3912.0,Umbrellas
261,2021-07-01,3927.0,Umbrellas
262,2021-07-02,3927.0,Umbrellas
263,2021-07-03,3231.0,Umbrellas
264,2021-07-04,3231.0,Umbrellas
265,2021-07-05,2417.0,Umbrellas
266,2021-07-06,2384.0,Umbrellas
267,2021-07-07,2384.0,Umbrellas
268,2021-07-08,2764.0,Umbrellas
269,2021-07-09,2499.0,Umbrellas
270,2021-07-10,2409.0,Umbrellas
271,2021-07-11,2536.0,Umbrellas
