,date,value,name_B08RBVQJJK
152,2021-06-05,5763.0,Plush Pillows
153,2021-06-06,6639.0,Plush Pillows
154,2021-06-07,7298.0,Plush Pillows
155,2021-06-08,7720.0,Plush Pillows
156,2021-06-09,7720.0,Plush Pillows
157,2021-06-10,5672.0,Plush Pillows
158,2021-06-11,5672.0,Plush Pillows
159,2021-06-12,5672.0,Plush Pillows
160,2021-06-13,4014.0,Plush Pillows
161,2021-06-14,4014.0,Plush Pillows
162,2021-06-15,4014.0,Plush Pillows
163,2021-06-16,4544.0,Plush Pillows
164,2021-06-17,4544.0,Plush Pillows
165,2021-06-18,3672.0,Plush Pillows
166,2021-06-19,3672.0,Plush Pillows
167,2021-06-20,3672.0,Plush Pillows
168,2021-06-21,4018.0,Plush Pillows
169,2021-06-22,3772.0,Plush Pillows
170,2021-06-23,3772.0,Plush Pillows
171,2021-06-24,5538.0,Plush Pillows
172,2021-06-25,6405.0,Plush Pillows
173,2021-06-26,6405.0,Plush Pillows
174,2021-06-27,6405.0,Plush Pillows
175,2021-06-28,8904.0,Plush Pillows
176,2021-06-29,8904.0,Plush Pillows
177,2021-06-30,9451.0,Plush Pillows
178,2021-07-01,9451.0,Plush Pillows
179,2021-07-02,6694.0,Plush Pillows
180,2021-07-03,6694.0,Plush Pillows
181,2021-07-04,5901.0,Plush Pillows
182,2021-07-05,4915.0,Plush Pillows
183,2021-07-06,7868.0,Plush Pillows
184,2021-07-07,7868.0,Plush Pillows
185,2021-07-08,8996.0,Plush Pillows
186,2021-07-09,7902.0,Plush Pillows
187,2021-07-10,6931.0,Plush Pillows
