,date,value,name_B07S37RXBM
144,2020-10-13,699.0,Seat Covers
145,2020-10-14,205.0,Seat Covers
146,2020-10-15,219.0,Seat Covers
147,2020-10-16,219.0,Seat Covers
148,2020-10-17,469.0,Seat Covers
149,2020-10-18,469.0,Seat Covers
150,2020-10-19,448.0,Seat Covers
151,2020-10-20,481.0,Seat Covers
152,2020-10-21,481.0,Seat Covers
153,2020-10-22,568.0,Seat Covers
154,2020-10-23,531.0,Seat Covers
155,2020-10-24,525.0,Seat Covers
156,2020-10-25,562.0,Seat Covers
157,2020-10-26,484.0,Seat Covers
158,2020-10-27,546.0,Seat Covers
159,2020-10-28,543.0,Seat Covers
160,2020-10-29,628.0,Seat Covers
161,2020-10-30,540.0,Seat Covers
162,2020-10-31,540.0,Seat Covers
163,2020-11-01,540.0,Seat Covers
164,2020-11-02,426.0,Seat Covers
165,2020-11-03,501.0,Seat Covers
166,2020-11-04,501.0,Seat Covers
167,2020-11-05,561.0,Seat Covers
168,2020-11-06,581.0,Seat Covers
169,2020-11-07,545.0,Seat Covers
170,2020-11-08,587.0,Seat Covers
171,2020-11-09,535.0,Seat Covers
172,2020-11-10,687.0,Seat Covers
173,2020-11-11,733.0,Seat Covers
174,2020-11-12,795.0,Seat Covers
175,2020-11-13,795.0,Seat Covers
176,2020-11-14,795.0,Seat Covers
177,2020-11-15,767.0,Seat Covers
178,2020-11-16,767.0,Seat Covers
179,2020-11-17,794.0,Seat Covers
180,2020-11-18,781.0,Seat Covers
181,2020-11-19,702.0,Seat Covers
182,2020-11-20,702.0,Seat Covers
183,2020-11-21,785.0,Seat Covers
184,2020-11-22,785.0,Seat Covers
185,2020-11-23,790.0,Seat Covers
186,2020-11-24,898.0,Seat Covers
187,2020-11-25,874.0,Seat Covers
188,2020-11-26,928.0,Seat Covers
189,2020-11-27,928.0,Seat Covers
190,2020-11-28,817.0,Seat Covers
191,2020-11-29,916.0,Seat Covers
192,2020-11-30,1181.0,Seat Covers
193,2020-12-01,413.0,Seat Covers
194,2020-12-02,791.0,Seat Covers
195,2020-12-03,1109.0,Seat Covers
196,2020-12-04,1243.0,Seat Covers
197,2020-12-05,1571.0,Seat Covers
198,2020-12-06,1530.0,Seat Covers
199,2020-12-07,1326.0,Seat Covers
200,2020-12-08,1326.0,Seat Covers
201,2020-12-09,1481.0,Seat Covers
202,2020-12-10,1468.0,Seat Covers
203,2020-12-11,1246.0,Seat Covers
204,2020-12-12,1188.0,Seat Covers
205,2020-12-13,1110.0,Seat Covers
206,2020-12-14,1001.0,Seat Covers
207,2020-12-15,1019.0,Seat Covers
208,2020-12-16,953.0,Seat Covers
209,2020-12-17,911.0,Seat Covers
210,2020-12-18,1106.0,Seat Covers
211,2020-12-19,1106.0,Seat Covers
212,2020-12-20,937.0,Seat Covers
213,2020-12-21,886.0,Seat Covers
214,2020-12-22,678.0,Seat Covers
215,2020-12-23,730.0,Seat Covers
216,2020-12-24,899.0,Seat Covers
217,2020-12-25,847.0,Seat Covers
218,2020-12-26,882.0,Seat Covers
219,2020-12-27,715.0,Seat Covers
220,2020-12-28,820.0,Seat Covers
221,2020-12-29,846.0,Seat Covers
222,2020-12-30,849.0,Seat Covers
223,2020-12-31,838.0,Seat Covers
224,2021-01-01,963.0,Seat Covers
225,2021-01-02,963.0,Seat Covers
226,2021-01-03,722.0,Seat Covers
227,2021-01-04,670.0,Seat Covers
228,2021-01-05,733.0,Seat Covers
229,2021-01-06,895.0,Seat Covers
230,2021-01-07,930.0,Seat Covers
231,2021-01-08,924.0,Seat Covers
232,2021-01-09,857.0,Seat Covers
233,2021-01-10,837.0,Seat Covers
234,2021-01-11,925.0,Seat Covers
235,2021-01-12,814.0,Seat Covers
236,2021-01-13,905.0,Seat Covers
237,2021-01-14,854.0,Seat Covers
238,2021-01-15,812.0,Seat Covers
239,2021-01-16,812.0,Seat Covers
240,2021-01-17,761.0,Seat Covers
241,2021-01-18,834.0,Seat Covers
242,2021-01-19,824.0,Seat Covers
243,2021-01-20,778.0,Seat Covers
244,2021-01-21,824.0,Seat Covers
245,2021-01-22,815.0,Seat Covers
246,2021-01-23,776.0,Seat Covers
247,2021-01-24,776.0,Seat Covers
248,2021-01-25,776.0,Seat Covers
249,2021-01-26,606.0,Seat Covers
250,2021-01-27,606.0,Seat Covers
251,2021-01-28,772.0,Seat Covers
252,2021-01-29,647.0,Seat Covers
253,2021-01-30,681.0,Seat Covers
254,2021-01-31,409.0,Seat Covers
255,2021-02-01,570.0,Seat Covers
256,2021-02-02,549.0,Seat Covers
257,2021-02-03,589.0,Seat Covers
258,2021-02-04,562.0,Seat Covers
259,2021-02-05,710.0,Seat Covers
260,2021-02-06,789.0,Seat Covers
261,2021-02-07,639.0,Seat Covers
262,2021-02-08,808.0,Seat Covers
263,2021-02-09,792.0,Seat Covers
264,2021-02-10,846.0,Seat Covers
265,2021-02-11,826.0,Seat Covers
266,2021-02-12,912.0,Seat Covers
267,2021-02-13,980.0,Seat Covers
268,2021-02-14,630.0,Seat Covers
269,2021-02-15,630.0,Seat Covers
270,2021-02-16,953.0,Seat Covers
271,2021-02-17,936.0,Seat Covers
272,2021-02-18,936.0,Seat Covers
273,2021-02-19,750.0,Seat Covers
274,2021-02-20,791.0,Seat Covers
275,2021-02-21,686.0,Seat Covers
276,2021-02-22,698.0,Seat Covers
277,2021-02-23,698.0,Seat Covers
278,2021-02-24,683.0,Seat Covers
279,2021-02-25,439.0,Seat Covers
280,2021-02-26,514.0,Seat Covers
281,2021-02-27,445.0,Seat Covers
282,2021-02-28,471.0,Seat Covers
283,2021-03-01,502.0,Seat Covers
284,2021-03-02,625.0,Seat Covers
285,2021-03-03,647.0,Seat Covers
286,2021-03-04,624.0,Seat Covers
287,2021-03-05,635.0,Seat Covers
288,2021-03-06,440.0,Seat Covers
289,2021-03-07,458.0,Seat Covers
290,2021-03-08,440.0,Seat Covers
291,2021-03-09,252.0,Seat Covers
292,2021-03-10,239.0,Seat Covers
293,2021-03-11,231.0,Seat Covers
294,2021-03-12,251.0,Seat Covers
295,2021-03-13,227.0,Seat Covers
296,2021-03-14,255.0,Seat Covers
297,2021-03-15,206.0,Seat Covers
298,2021-03-16,420.0,Seat Covers
299,2021-03-17,397.0,Seat Covers
300,2021-03-18,412.0,Seat Covers
301,2021-03-19,475.0,Seat Covers
302,2021-03-20,504.0,Seat Covers
303,2021-03-21,438.0,Seat Covers
304,2021-03-22,525.0,Seat Covers
305,2021-03-23,437.0,Seat Covers
306,2021-03-24,464.0,Seat Covers
307,2021-03-25,478.0,Seat Covers
308,2021-03-26,540.0,Seat Covers
309,2021-03-27,565.0,Seat Covers
310,2021-03-28,439.0,Seat Covers
311,2021-03-29,572.0,Seat Covers
312,2021-03-30,522.0,Seat Covers
313,2021-03-31,520.0,Seat Covers
314,2021-04-01,565.0,Seat Covers
315,2021-04-02,645.0,Seat Covers
316,2021-04-03,605.0,Seat Covers
317,2021-04-04,605.0,Seat Covers
318,2021-04-05,555.0,Seat Covers
319,2021-04-06,550.0,Seat Covers
320,2021-04-07,555.0,Seat Covers
321,2021-04-08,615.0,Seat Covers
322,2021-04-09,565.0,Seat Covers
323,2021-04-10,684.0,Seat Covers
324,2021-04-11,684.0,Seat Covers
325,2021-04-12,708.0,Seat Covers
326,2021-04-13,645.0,Seat Covers
327,2021-04-14,680.0,Seat Covers
328,2021-04-15,904.0,Seat Covers
329,2021-04-16,1001.0,Seat Covers
330,2021-04-17,959.0,Seat Covers
331,2021-04-18,895.0,Seat Covers
332,2021-04-19,824.0,Seat Covers
333,2021-04-20,847.0,Seat Covers
334,2021-04-21,944.0,Seat Covers
335,2021-04-22,944.0,Seat Covers
336,2021-04-23,921.0,Seat Covers
337,2021-04-24,989.0,Seat Covers
338,2021-04-25,944.0,Seat Covers
339,2021-04-26,1030.0,Seat Covers
340,2021-04-27,1038.0,Seat Covers
341,2021-04-28,930.0,Seat Covers
342,2021-04-29,1010.0,Seat Covers
343,2021-04-30,1043.0,Seat Covers
344,2021-05-01,1043.0,Seat Covers
345,2021-05-02,1034.0,Seat Covers
346,2021-05-03,2522.0,Seat Covers
347,2021-05-04,3109.0,Seat Covers
348,2021-05-05,3619.0,Seat Covers
349,2021-05-06,4096.0,Seat Covers
350,2021-05-07,4897.0,Seat Covers
351,2021-05-08,4317.0,Seat Covers
352,2021-05-09,4417.0,Seat Covers
353,2021-05-10,4699.0,Seat Covers
354,2021-05-11,5778.0,Seat Covers
355,2021-05-12,6114.0,Seat Covers
356,2021-05-13,5747.0,Seat Covers
357,2021-05-14,6296.0,Seat Covers
358,2021-05-15,5457.0,Seat Covers
359,2021-05-16,5457.0,Seat Covers
360,2021-05-17,5724.0,Seat Covers
361,2021-05-18,5031.0,Seat Covers
362,2021-05-19,5398.0,Seat Covers
363,2021-05-20,4035.0,Seat Covers
364,2021-05-21,2811.0,Seat Covers
365,2021-05-22,2948.0,Seat Covers
366,2021-05-23,2813.0,Seat Covers
367,2021-05-24,1402.0,Seat Covers
368,2021-05-25,1002.0,Seat Covers
369,2021-05-26,984.0,Seat Covers
370,2021-05-27,1063.0,Seat Covers
371,2021-05-28,709.0,Seat Covers
372,2021-05-29,906.0,Seat Covers
373,2021-05-30,906.0,Seat Covers
374,2021-05-31,1058.0,Seat Covers
375,2021-06-01,1086.0,Seat Covers
376,2021-06-02,730.0,Seat Covers
377,2021-06-03,959.0,Seat Covers
378,2021-06-04,953.0,Seat Covers
379,2021-06-05,941.0,Seat Covers
380,2021-06-06,952.0,Seat Covers
381,2021-06-07,927.0,Seat Covers
382,2021-06-08,1109.0,Seat Covers
383,2021-06-09,1047.0,Seat Covers
384,2021-06-10,1043.0,Seat Covers
385,2021-06-11,1185.0,Seat Covers
386,2021-06-12,1024.0,Seat Covers
387,2021-06-13,991.0,Seat Covers
388,2021-06-14,1199.0,Seat Covers
389,2021-06-15,1076.0,Seat Covers
390,2021-06-16,887.0,Seat Covers
391,2021-06-17,828.0,Seat Covers
392,2021-06-18,690.0,Seat Covers
393,2021-06-19,682.0,Seat Covers
394,2021-06-20,461.0,Seat Covers
395,2021-06-21,709.0,Seat Covers
396,2021-06-22,679.0,Seat Covers
397,2021-06-23,679.0,Seat Covers
398,2021-06-24,385.0,Seat Covers
399,2021-06-25,584.0,Seat Covers
400,2021-06-26,666.0,Seat Covers
401,2021-06-27,634.0,Seat Covers
402,2021-06-28,679.0,Seat Covers
403,2021-06-29,786.0,Seat Covers
404,2021-06-30,897.0,Seat Covers
405,2021-07-01,897.0,Seat Covers
406,2021-07-02,870.0,Seat Covers
407,2021-07-03,843.0,Seat Covers
408,2021-07-04,968.0,Seat Covers
409,2021-07-05,795.0,Seat Covers
410,2021-07-06,851.0,Seat Covers
411,2021-07-07,883.0,Seat Covers
412,2021-07-08,899.0,Seat Covers
413,2021-07-09,985.0,Seat Covers
414,2021-07-10,881.0,Seat Covers
