,date,value,name_B08JB6QPDV
129,2021-01-25,85557.0,Barbecue Tool Sets
130,2021-01-26,85557.0,Barbecue Tool Sets
131,2021-01-27,85557.0,Barbecue Tool Sets
132,2021-01-28,143117.0,Barbecue Tool Sets
133,2021-01-29,149778.0,Barbecue Tool Sets
134,2021-01-30,149778.0,Barbecue Tool Sets
135,2021-01-31,149778.0,Barbecue Tool Sets
136,2021-02-01,149778.0,Barbecue Tool Sets
137,2021-02-02,181669.0,Barbecue Tool Sets
138,2021-02-03,181669.0,Barbecue Tool Sets
139,2021-02-04,181669.0,Barbecue Tool Sets
140,2021-02-05,181669.0,Barbecue Tool Sets
141,2021-02-06,181669.0,Barbecue Tool Sets
142,2021-02-07,181669.0,Barbecue Tool Sets
143,2021-02-08,181669.0,Barbecue Tool Sets
144,2021-02-09,181669.0,Barbecue Tool Sets
145,2021-02-10,181669.0,Barbecue Tool Sets
146,2021-02-11,181669.0,Barbecue Tool Sets
147,2021-02-12,181669.0,Barbecue Tool Sets
148,2021-02-13,181669.0,Barbecue Tool Sets
149,2021-02-14,181669.0,Barbecue Tool Sets
150,2021-02-15,181669.0,Barbecue Tool Sets
151,2021-02-16,181669.0,Barbecue Tool Sets
152,2021-02-17,163550.0,Barbecue Tool Sets
153,2021-02-18,163550.0,Barbecue Tool Sets
154,2021-02-19,163550.0,Barbecue Tool Sets
155,2021-02-20,163550.0,Barbecue Tool Sets
156,2021-02-21,163550.0,Barbecue Tool Sets
157,2021-02-22,163550.0,Barbecue Tool Sets
158,2021-02-23,211817.0,Barbecue Tool Sets
159,2021-02-24,211817.0,Barbecue Tool Sets
160,2021-02-25,211817.0,Barbecue Tool Sets
161,2021-02-26,211817.0,Barbecue Tool Sets
162,2021-02-27,211817.0,Barbecue Tool Sets
163,2021-02-28,211817.0,Barbecue Tool Sets
164,2021-03-01,53712.0,Barbecue Tool Sets
165,2021-03-02,53712.0,Barbecue Tool Sets
166,2021-03-03,53712.0,Barbecue Tool Sets
167,2021-03-04,53712.0,Barbecue Tool Sets
168,2021-03-05,48789.0,Barbecue Tool Sets
169,2021-03-06,48789.0,Barbecue Tool Sets
170,2021-03-07,89816.0,Barbecue Tool Sets
171,2021-03-08,89816.0,Barbecue Tool Sets
172,2021-03-09,89816.0,Barbecue Tool Sets
173,2021-03-10,89816.0,Barbecue Tool Sets
174,2021-03-11,140525.0,Barbecue Tool Sets
175,2021-03-12,140525.0,Barbecue Tool Sets
176,2021-03-13,140525.0,Barbecue Tool Sets
177,2021-03-14,140525.0,Barbecue Tool Sets
178,2021-03-15,140525.0,Barbecue Tool Sets
179,2021-03-16,140525.0,Barbecue Tool Sets
180,2021-03-17,51305.0,Barbecue Tool Sets
181,2021-03-18,51305.0,Barbecue Tool Sets
182,2021-03-19,51305.0,Barbecue Tool Sets
183,2021-03-20,51305.0,Barbecue Tool Sets
184,2021-03-21,95295.0,Barbecue Tool Sets
185,2021-03-22,95295.0,Barbecue Tool Sets
186,2021-03-23,95295.0,Barbecue Tool Sets
187,2021-03-24,95295.0,Barbecue Tool Sets
188,2021-03-25,95295.0,Barbecue Tool Sets
189,2021-03-26,95295.0,Barbecue Tool Sets
190,2021-03-27,109563.0,Barbecue Tool Sets
191,2021-03-28,109563.0,Barbecue Tool Sets
192,2021-03-29,109563.0,Barbecue Tool Sets
193,2021-03-30,109563.0,Barbecue Tool Sets
194,2021-03-31,109563.0,Barbecue Tool Sets
195,2021-04-01,109563.0,Barbecue Tool Sets
196,2021-04-02,147320.0,Barbecue Tool Sets
197,2021-04-03,147320.0,Barbecue Tool Sets
198,2021-04-04,147320.0,Barbecue Tool Sets
199,2021-04-05,147320.0,Barbecue Tool Sets
200,2021-04-06,147320.0,Barbecue Tool Sets
201,2021-04-07,147320.0,Barbecue Tool Sets
202,2021-04-08,99766.0,Barbecue Tool Sets
203,2021-04-09,99766.0,Barbecue Tool Sets
204,2021-04-10,99766.0,Barbecue Tool Sets
205,2021-04-11,196035.0,Barbecue Tool Sets
206,2021-04-12,196035.0,Barbecue Tool Sets
207,2021-04-13,196035.0,Barbecue Tool Sets
208,2021-04-14,254799.0,Barbecue Tool Sets
209,2021-04-15,254799.0,Barbecue Tool Sets
210,2021-04-16,254799.0,Barbecue Tool Sets
211,2021-04-17,254799.0,Barbecue Tool Sets
212,2021-04-18,254799.0,Barbecue Tool Sets
213,2021-04-19,232378.0,Barbecue Tool Sets
214,2021-04-20,232378.0,Barbecue Tool Sets
215,2021-04-21,232378.0,Barbecue Tool Sets
216,2021-04-22,269406.0,Barbecue Tool Sets
217,2021-04-23,269406.0,Barbecue Tool Sets
218,2021-04-24,269406.0,Barbecue Tool Sets
219,2021-04-25,269406.0,Barbecue Tool Sets
220,2021-04-26,269406.0,Barbecue Tool Sets
221,2021-04-27,237786.0,Barbecue Tool Sets
222,2021-04-28,237786.0,Barbecue Tool Sets
223,2021-04-29,237786.0,Barbecue Tool Sets
224,2021-04-30,237786.0,Barbecue Tool Sets
225,2021-05-01,237786.0,Barbecue Tool Sets
226,2021-05-02,237786.0,Barbecue Tool Sets
227,2021-05-03,237786.0,Barbecue Tool Sets
228,2021-05-04,237786.0,Barbecue Tool Sets
229,2021-05-05,237786.0,Barbecue Tool Sets
230,2021-05-06,237786.0,Barbecue Tool Sets
231,2021-05-07,77876.0,Barbecue Tool Sets
232,2021-05-08,77876.0,Barbecue Tool Sets
233,2021-05-09,77876.0,Barbecue Tool Sets
234,2021-05-10,77876.0,Barbecue Tool Sets
235,2021-05-11,77876.0,Barbecue Tool Sets
236,2021-05-12,43714.0,Barbecue Tool Sets
237,2021-05-13,43714.0,Barbecue Tool Sets
238,2021-05-14,28982.0,Barbecue Tool Sets
239,2021-05-15,28982.0,Barbecue Tool Sets
240,2021-05-16,28982.0,Barbecue Tool Sets
241,2021-05-17,28982.0,Barbecue Tool Sets
242,2021-05-18,19030.0,Barbecue Tool Sets
243,2021-05-19,19030.0,Barbecue Tool Sets
244,2021-05-20,19030.0,Barbecue Tool Sets
245,2021-05-21,16579.0,Barbecue Tool Sets
246,2021-05-22,16579.0,Barbecue Tool Sets
247,2021-05-23,18553.0,Barbecue Tool Sets
248,2021-05-24,18553.0,Barbecue Tool Sets
249,2021-05-25,18120.0,Barbecue Tool Sets
250,2021-05-26,18120.0,Barbecue Tool Sets
251,2021-05-27,16897.0,Barbecue Tool Sets
252,2021-05-28,16897.0,Barbecue Tool Sets
253,2021-05-29,16897.0,Barbecue Tool Sets
254,2021-05-30,13043.0,Barbecue Tool Sets
255,2021-05-31,13043.0,Barbecue Tool Sets
256,2021-06-01,20761.0,Barbecue Tool Sets
257,2021-06-02,20761.0,Barbecue Tool Sets
258,2021-06-03,20761.0,Barbecue Tool Sets
259,2021-06-04,8598.0,Barbecue Tool Sets
260,2021-06-05,8598.0,Barbecue Tool Sets
261,2021-06-06,8598.0,Barbecue Tool Sets
262,2021-06-07,13116.0,Barbecue Tool Sets
263,2021-06-08,13116.0,Barbecue Tool Sets
264,2021-06-09,11003.0,Barbecue Tool Sets
265,2021-06-10,11003.0,Barbecue Tool Sets
266,2021-06-11,7006.0,Barbecue Tool Sets
267,2021-06-12,7006.0,Barbecue Tool Sets
268,2021-06-13,7006.0,Barbecue Tool Sets
269,2021-06-14,8630.0,Barbecue Tool Sets
270,2021-06-15,8630.0,Barbecue Tool Sets
271,2021-06-16,6712.0,Barbecue Tool Sets
272,2021-06-17,6712.0,Barbecue Tool Sets
273,2021-06-18,2961.0,Barbecue Tool Sets
274,2021-06-19,2961.0,Barbecue Tool Sets
275,2021-06-20,4060.0,Barbecue Tool Sets
276,2021-06-21,4784.0,Barbecue Tool Sets
277,2021-06-22,4784.0,Barbecue Tool Sets
278,2021-06-23,2714.0,Barbecue Tool Sets
279,2021-06-24,2714.0,Barbecue Tool Sets
280,2021-06-25,2714.0,Barbecue Tool Sets
281,2021-06-26,7173.0,Barbecue Tool Sets
282,2021-06-27,10203.0,Barbecue Tool Sets
283,2021-06-28,6821.0,Barbecue Tool Sets
284,2021-06-29,6821.0,Barbecue Tool Sets
285,2021-06-30,11440.0,Barbecue Tool Sets
286,2021-07-01,11440.0,Barbecue Tool Sets
287,2021-07-02,7764.0,Barbecue Tool Sets
288,2021-07-03,11849.0,Barbecue Tool Sets
289,2021-07-04,11849.0,Barbecue Tool Sets
290,2021-07-05,17261.0,Barbecue Tool Sets
291,2021-07-06,17261.0,Barbecue Tool Sets
292,2021-07-07,22436.0,Barbecue Tool Sets
293,2021-07-08,22436.0,Barbecue Tool Sets
294,2021-07-09,22436.0,Barbecue Tool Sets
295,2021-07-10,22436.0,Barbecue Tool Sets
296,2021-07-11,45755.0,Barbecue Tool Sets
