,date,value,name_B07YYN74PR
111,2020-02-20,51746.0,Wine Glasses
112,2020-02-21,65213.0,Wine Glasses
113,2020-02-22,65213.0,Wine Glasses
114,2020-02-23,65213.0,Wine Glasses
115,2020-02-24,65213.0,Wine Glasses
116,2020-02-25,65213.0,Wine Glasses
117,2020-02-26,65213.0,Wine Glasses
118,2020-02-27,65213.0,Wine Glasses
119,2020-02-28,65213.0,Wine Glasses
120,2020-02-29,68862.0,Wine Glasses
121,2020-03-01,68862.0,Wine Glasses
122,2020-03-02,68862.0,Wine Glasses
123,2020-03-03,68862.0,Wine Glasses
124,2020-03-04,68862.0,Wine Glasses
125,2020-03-05,68862.0,Wine Glasses
126,2020-03-06,96259.0,Wine Glasses
127,2020-03-07,96259.0,Wine Glasses
128,2020-03-08,96259.0,Wine Glasses
129,2020-03-09,96259.0,Wine Glasses
130,2020-03-10,96259.0,Wine Glasses
131,2020-03-11,96259.0,Wine Glasses
132,2020-03-12,96259.0,Wine Glasses
133,2020-03-13,96259.0,Wine Glasses
134,2020-03-14,96259.0,Wine Glasses
135,2020-03-15,96259.0,Wine Glasses
136,2020-03-16,96259.0,Wine Glasses
137,2020-03-17,96259.0,Wine Glasses
138,2020-03-18,96259.0,Wine Glasses
139,2020-03-19,96259.0,Wine Glasses
140,2020-03-20,96259.0,Wine Glasses
141,2020-03-21,96259.0,Wine Glasses
142,2020-03-22,96259.0,Wine Glasses
143,2020-03-23,96259.0,Wine Glasses
144,2020-03-24,96259.0,Wine Glasses
145,2020-03-25,-1.0,Wine Glasses
