,date,value,name_B088FQXDRY
108,2020-11-13,152829.0,Accessories
109,2020-11-14,152829.0,Accessories
110,2020-11-15,152829.0,Accessories
111,2020-11-16,152829.0,Accessories
112,2020-11-17,152829.0,Accessories
113,2020-11-18,152829.0,Accessories
114,2020-11-19,152829.0,Accessories
115,2020-11-20,152829.0,Accessories
116,2020-11-21,152829.0,Accessories
117,2020-11-22,152829.0,Accessories
118,2020-11-23,152829.0,Accessories
119,2020-11-24,152829.0,Accessories
120,2020-11-25,152829.0,Accessories
121,2020-11-26,152829.0,Accessories
122,2020-11-27,152829.0,Accessories
123,2020-11-28,152829.0,Accessories
124,2020-11-29,152829.0,Accessories
125,2020-11-30,152829.0,Accessories
126,2020-12-01,152829.0,Accessories
127,2020-12-02,152829.0,Accessories
128,2020-12-03,152829.0,Accessories
129,2020-12-04,152829.0,Accessories
130,2020-12-05,152829.0,Accessories
131,2020-12-06,152829.0,Accessories
132,2020-12-07,152829.0,Accessories
133,2020-12-08,152829.0,Accessories
134,2020-12-09,152829.0,Accessories
135,2020-12-10,152829.0,Accessories
136,2020-12-11,152829.0,Accessories
137,2020-12-12,152829.0,Accessories
138,2020-12-13,152829.0,Accessories
139,2020-12-14,152829.0,Accessories
140,2020-12-15,152829.0,Accessories
141,2020-12-16,152829.0,Accessories
142,2020-12-17,152829.0,Accessories
143,2020-12-18,152829.0,Accessories
144,2020-12-19,152829.0,Accessories
145,2020-12-20,152829.0,Accessories
146,2020-12-21,563230.0,Accessories
147,2020-12-22,563230.0,Accessories
148,2020-12-23,563230.0,Accessories
149,2020-12-24,563230.0,Accessories
150,2020-12-25,563230.0,Accessories
151,2020-12-26,563230.0,Accessories
152,2020-12-27,563230.0,Accessories
153,2020-12-28,563230.0,Accessories
154,2020-12-29,563230.0,Accessories
155,2020-12-30,563230.0,Accessories
156,2020-12-31,464086.0,Accessories
157,2021-01-01,464086.0,Accessories
158,2021-01-02,464086.0,Accessories
159,2021-01-03,464086.0,Accessories
160,2021-01-04,464086.0,Accessories
161,2021-01-05,642115.0,Accessories
162,2021-01-06,642115.0,Accessories
163,2021-01-07,642115.0,Accessories
164,2021-01-08,642115.0,Accessories
165,2021-01-09,642115.0,Accessories
166,2021-01-10,924476.0,Accessories
167,2021-01-11,924476.0,Accessories
168,2021-01-12,924476.0,Accessories
169,2021-01-13,924476.0,Accessories
170,2021-01-14,924476.0,Accessories
171,2021-01-15,924476.0,Accessories
172,2021-01-16,924476.0,Accessories
173,2021-01-17,924476.0,Accessories
174,2021-01-18,924476.0,Accessories
175,2021-01-19,924476.0,Accessories
176,2021-01-20,924476.0,Accessories
177,2021-01-21,924476.0,Accessories
178,2021-01-22,807572.0,Accessories
179,2021-01-23,807572.0,Accessories
180,2021-01-24,807572.0,Accessories
181,2021-01-25,807572.0,Accessories
182,2021-01-26,807572.0,Accessories
183,2021-01-27,807572.0,Accessories
184,2021-01-28,807572.0,Accessories
185,2021-01-29,807572.0,Accessories
186,2021-01-30,807572.0,Accessories
187,2021-01-31,807572.0,Accessories
188,2021-02-01,807572.0,Accessories
189,2021-02-02,807572.0,Accessories
190,2021-02-03,807572.0,Accessories
191,2021-02-04,807572.0,Accessories
192,2021-02-05,807572.0,Accessories
193,2021-02-06,807572.0,Accessories
194,2021-02-07,807572.0,Accessories
195,2021-02-08,807572.0,Accessories
196,2021-02-09,529217.0,Accessories
197,2021-02-10,529217.0,Accessories
198,2021-02-11,406060.0,Accessories
199,2021-02-12,406060.0,Accessories
200,2021-02-13,406060.0,Accessories
201,2021-02-14,406060.0,Accessories
202,2021-02-15,406060.0,Accessories
203,2021-02-16,406060.0,Accessories
204,2021-02-17,406060.0,Accessories
205,2021-02-18,290131.0,Accessories
206,2021-02-19,290131.0,Accessories
207,2021-02-20,290131.0,Accessories
208,2021-02-21,290131.0,Accessories
209,2021-02-22,222302.0,Accessories
210,2021-02-23,222302.0,Accessories
211,2021-02-24,222302.0,Accessories
212,2021-02-25,222302.0,Accessories
213,2021-02-26,222302.0,Accessories
214,2021-02-27,222302.0,Accessories
215,2021-02-28,222302.0,Accessories
216,2021-03-01,222302.0,Accessories
217,2021-03-02,307693.0,Accessories
218,2021-03-03,307693.0,Accessories
219,2021-03-04,307693.0,Accessories
220,2021-03-05,307693.0,Accessories
221,2021-03-06,332042.0,Accessories
222,2021-03-07,519747.0,Accessories
223,2021-03-08,519747.0,Accessories
224,2021-03-09,137491.0,Accessories
225,2021-03-10,137491.0,Accessories
226,2021-03-11,303166.0,Accessories
227,2021-03-12,303166.0,Accessories
228,2021-03-13,303166.0,Accessories
229,2021-03-14,303166.0,Accessories
230,2021-03-15,303166.0,Accessories
231,2021-03-16,303166.0,Accessories
232,2021-03-17,303166.0,Accessories
233,2021-03-18,303166.0,Accessories
234,2021-03-19,303166.0,Accessories
235,2021-03-20,179717.0,Accessories
236,2021-03-21,301163.0,Accessories
237,2021-03-22,301163.0,Accessories
238,2021-03-23,156560.0,Accessories
239,2021-03-24,156560.0,Accessories
240,2021-03-25,156560.0,Accessories
241,2021-03-26,224060.0,Accessories
242,2021-03-27,224060.0,Accessories
243,2021-03-28,224060.0,Accessories
244,2021-03-29,224060.0,Accessories
245,2021-03-30,114429.0,Accessories
246,2021-03-31,114429.0,Accessories
247,2021-04-01,114429.0,Accessories
248,2021-04-02,114429.0,Accessories
249,2021-04-03,114429.0,Accessories
250,2021-04-04,76723.0,Accessories
251,2021-04-05,76723.0,Accessories
252,2021-04-06,103427.0,Accessories
253,2021-04-07,103427.0,Accessories
254,2021-04-08,103427.0,Accessories
255,2021-04-09,103427.0,Accessories
256,2021-04-10,103427.0,Accessories
257,2021-04-11,103427.0,Accessories
258,2021-04-12,67738.0,Accessories
259,2021-04-13,67738.0,Accessories
260,2021-04-14,67738.0,Accessories
261,2021-04-15,67738.0,Accessories
262,2021-04-16,67738.0,Accessories
263,2021-04-17,67738.0,Accessories
264,2021-04-18,93827.0,Accessories
265,2021-04-19,62086.0,Accessories
266,2021-04-20,62086.0,Accessories
267,2021-04-21,62086.0,Accessories
268,2021-04-22,62086.0,Accessories
269,2021-04-23,62086.0,Accessories
270,2021-04-24,62086.0,Accessories
271,2021-04-25,92942.0,Accessories
272,2021-04-26,92942.0,Accessories
273,2021-04-27,92942.0,Accessories
274,2021-04-28,88983.0,Accessories
275,2021-04-29,88983.0,Accessories
276,2021-04-30,88983.0,Accessories
277,2021-05-01,91463.0,Accessories
278,2021-05-02,91463.0,Accessories
279,2021-05-03,91463.0,Accessories
280,2021-05-04,253627.0,Accessories
281,2021-05-05,253627.0,Accessories
282,2021-05-06,253627.0,Accessories
283,2021-05-07,253627.0,Accessories
284,2021-05-08,253627.0,Accessories
285,2021-05-09,253627.0,Accessories
286,2021-05-10,364558.0,Accessories
287,2021-05-11,364558.0,Accessories
288,2021-05-12,364558.0,Accessories
289,2021-05-13,364558.0,Accessories
290,2021-05-14,364558.0,Accessories
291,2021-05-15,364558.0,Accessories
292,2021-05-16,282752.0,Accessories
293,2021-05-17,282752.0,Accessories
294,2021-05-18,282752.0,Accessories
295,2021-05-19,282752.0,Accessories
296,2021-05-20,282752.0,Accessories
297,2021-05-21,428665.0,Accessories
298,2021-05-22,428665.0,Accessories
299,2021-05-23,453498.0,Accessories
300,2021-05-24,453498.0,Accessories
301,2021-05-25,453498.0,Accessories
302,2021-05-26,453498.0,Accessories
303,2021-05-27,453498.0,Accessories
304,2021-05-28,57707.0,Accessories
305,2021-05-29,72023.0,Accessories
306,2021-05-30,72023.0,Accessories
307,2021-05-31,72023.0,Accessories
308,2021-06-01,65690.0,Accessories
309,2021-06-02,45014.0,Accessories
310,2021-06-03,45014.0,Accessories
311,2021-06-04,45014.0,Accessories
312,2021-06-05,45014.0,Accessories
313,2021-06-06,45014.0,Accessories
314,2021-06-07,45014.0,Accessories
315,2021-06-08,30478.0,Accessories
316,2021-06-09,30478.0,Accessories
317,2021-06-10,30478.0,Accessories
318,2021-06-11,30478.0,Accessories
319,2021-06-12,30478.0,Accessories
320,2021-06-13,30478.0,Accessories
321,2021-06-14,31716.0,Accessories
322,2021-06-15,31716.0,Accessories
323,2021-06-16,35414.0,Accessories
324,2021-06-17,35414.0,Accessories
325,2021-06-18,30747.0,Accessories
326,2021-06-19,30523.0,Accessories
327,2021-06-20,30523.0,Accessories
328,2021-06-21,20859.0,Accessories
329,2021-06-22,20859.0,Accessories
330,2021-06-23,20859.0,Accessories
331,2021-06-24,42264.0,Accessories
332,2021-06-25,27557.0,Accessories
333,2021-06-26,27557.0,Accessories
334,2021-06-27,17738.0,Accessories
335,2021-06-28,13115.0,Accessories
336,2021-06-29,13115.0,Accessories
337,2021-06-30,14894.0,Accessories
338,2021-07-01,14894.0,Accessories
339,2021-07-02,24724.0,Accessories
340,2021-07-03,32502.0,Accessories
341,2021-07-04,30702.0,Accessories
342,2021-07-05,28004.0,Accessories
343,2021-07-06,34588.0,Accessories
344,2021-07-07,34588.0,Accessories
345,2021-07-08,34588.0,Accessories
346,2021-07-09,34588.0,Accessories
347,2021-07-10,45917.0,Accessories
348,2021-07-11,53432.0,Accessories
