,date,value,name_B081J3M4S4
91,2020-03-24,288305.0,Bath Towels
92,2020-03-25,288305.0,Bath Towels
93,2020-03-26,288305.0,Bath Towels
94,2020-03-27,288305.0,Bath Towels
95,2020-03-28,288305.0,Bath Towels
96,2020-03-29,288305.0,Bath Towels
97,2020-03-30,288305.0,Bath Towels
98,2020-03-31,288305.0,Bath Towels
99,2020-04-01,288305.0,Bath Towels
100,2020-04-02,288305.0,Bath Towels
101,2020-04-03,288305.0,Bath Towels
102,2020-04-04,288305.0,Bath Towels
103,2020-04-05,288305.0,Bath Towels
104,2020-04-06,288305.0,Bath Towels
105,2020-04-07,288305.0,Bath Towels
106,2020-04-08,288305.0,Bath Towels
107,2020-04-09,288305.0,Bath Towels
108,2020-04-10,288305.0,Bath Towels
109,2020-04-11,288305.0,Bath Towels
110,2020-04-12,288305.0,Bath Towels
111,2020-04-13,288305.0,Bath Towels
112,2020-04-14,288305.0,Bath Towels
113,2020-04-15,288305.0,Bath Towels
114,2020-04-16,288305.0,Bath Towels
115,2020-04-17,288305.0,Bath Towels
116,2020-04-18,288305.0,Bath Towels
117,2020-04-19,288305.0,Bath Towels
118,2020-04-20,288305.0,Bath Towels
119,2020-04-21,288305.0,Bath Towels
120,2020-04-22,288305.0,Bath Towels
121,2020-04-23,288305.0,Bath Towels
122,2020-04-24,288305.0,Bath Towels
123,2020-04-25,888562.0,Bath Towels
124,2020-04-26,888562.0,Bath Towels
125,2020-04-27,888562.0,Bath Towels
126,2020-04-28,888562.0,Bath Towels
127,2020-04-29,888562.0,Bath Towels
128,2020-04-30,888562.0,Bath Towels
129,2020-05-01,888562.0,Bath Towels
130,2020-05-02,888562.0,Bath Towels
131,2020-05-03,888562.0,Bath Towels
132,2020-05-04,888562.0,Bath Towels
133,2020-05-05,208402.0,Bath Towels
134,2020-05-06,208402.0,Bath Towels
135,2020-05-07,135359.0,Bath Towels
136,2020-05-08,135359.0,Bath Towels
137,2020-05-09,135359.0,Bath Towels
138,2020-05-10,76234.0,Bath Towels
139,2020-05-11,64262.0,Bath Towels
140,2020-05-12,64262.0,Bath Towels
141,2020-05-13,64262.0,Bath Towels
142,2020-05-14,157293.0,Bath Towels
143,2020-05-15,157293.0,Bath Towels
144,2020-05-16,157293.0,Bath Towels
145,2020-05-17,157293.0,Bath Towels
146,2020-05-18,81447.0,Bath Towels
147,2020-05-19,81447.0,Bath Towels
148,2020-05-20,81447.0,Bath Towels
149,2020-05-21,81447.0,Bath Towels
150,2020-05-22,81447.0,Bath Towels
151,2020-05-23,81447.0,Bath Towels
152,2020-05-24,81447.0,Bath Towels
153,2020-05-25,81447.0,Bath Towels
154,2020-05-26,56035.0,Bath Towels
155,2020-05-27,56035.0,Bath Towels
156,2020-05-28,56035.0,Bath Towels
157,2020-05-29,56035.0,Bath Towels
158,2020-05-30,56035.0,Bath Towels
159,2020-05-31,56035.0,Bath Towels
160,2020-06-01,56035.0,Bath Towels
161,2020-06-02,56035.0,Bath Towels
162,2020-06-03,25669.0,Bath Towels
163,2020-06-04,25669.0,Bath Towels
164,2020-06-05,25669.0,Bath Towels
165,2020-06-06,19348.0,Bath Towels
166,2020-06-07,19348.0,Bath Towels
167,2020-06-08,21073.0,Bath Towels
168,2020-06-09,21073.0,Bath Towels
169,2020-06-10,21073.0,Bath Towels
170,2020-06-11,21073.0,Bath Towels
171,2020-06-12,24098.0,Bath Towels
172,2020-06-13,24098.0,Bath Towels
173,2020-06-14,24098.0,Bath Towels
174,2020-06-15,24098.0,Bath Towels
175,2020-06-16,24098.0,Bath Towels
176,2020-06-17,24933.0,Bath Towels
177,2020-06-18,21029.0,Bath Towels
178,2020-06-19,21029.0,Bath Towels
179,2020-06-20,21029.0,Bath Towels
180,2020-06-21,21029.0,Bath Towels
181,2020-06-22,21029.0,Bath Towels
182,2020-06-23,15457.0,Bath Towels
183,2020-06-24,15457.0,Bath Towels
184,2020-06-25,22383.0,Bath Towels
185,2020-06-26,22383.0,Bath Towels
186,2020-06-27,10977.0,Bath Towels
187,2020-06-28,10977.0,Bath Towels
188,2020-06-29,12920.0,Bath Towels
189,2020-06-30,12920.0,Bath Towels
190,2020-07-01,12920.0,Bath Towels
191,2020-07-02,13872.0,Bath Towels
192,2020-07-03,13872.0,Bath Towels
193,2020-07-04,11616.0,Bath Towels
194,2020-07-05,11616.0,Bath Towels
195,2020-07-06,11616.0,Bath Towels
196,2020-07-07,14436.0,Bath Towels
197,2020-07-08,14436.0,Bath Towels
198,2020-07-09,12393.0,Bath Towels
199,2020-07-10,12393.0,Bath Towels
200,2020-07-11,12393.0,Bath Towels
201,2020-07-12,9710.0,Bath Towels
202,2020-07-13,9568.0,Bath Towels
203,2020-07-14,9709.0,Bath Towels
204,2020-07-15,9709.0,Bath Towels
205,2020-07-16,10942.0,Bath Towels
206,2020-07-17,10942.0,Bath Towels
207,2020-07-18,11525.0,Bath Towels
208,2020-07-19,11525.0,Bath Towels
209,2020-07-20,20233.0,Bath Towels
210,2020-07-21,24276.0,Bath Towels
211,2020-07-22,27078.0,Bath Towels
212,2020-07-23,39434.0,Bath Towels
213,2020-07-24,39434.0,Bath Towels
214,2020-07-25,39434.0,Bath Towels
215,2020-07-26,23726.0,Bath Towels
216,2020-07-27,23726.0,Bath Towels
217,2020-07-28,23726.0,Bath Towels
218,2020-07-29,23726.0,Bath Towels
219,2020-07-30,11313.0,Bath Towels
220,2020-07-31,11313.0,Bath Towels
221,2020-08-01,11313.0,Bath Towels
222,2020-08-02,9467.0,Bath Towels
223,2020-08-03,9467.0,Bath Towels
224,2020-08-04,9860.0,Bath Towels
225,2020-08-05,9860.0,Bath Towels
226,2020-08-06,10851.0,Bath Towels
227,2020-08-07,10851.0,Bath Towels
228,2020-08-08,10851.0,Bath Towels
229,2020-08-09,11466.0,Bath Towels
230,2020-08-10,11466.0,Bath Towels
231,2020-08-11,11466.0,Bath Towels
232,2020-08-12,15233.0,Bath Towels
233,2020-08-13,15233.0,Bath Towels
234,2020-08-14,15233.0,Bath Towels
235,2020-08-15,15100.0,Bath Towels
236,2020-08-16,15100.0,Bath Towels
237,2020-08-17,19255.0,Bath Towels
238,2020-08-18,19255.0,Bath Towels
239,2020-08-19,19255.0,Bath Towels
240,2020-08-20,19255.0,Bath Towels
241,2020-08-21,21535.0,Bath Towels
242,2020-08-22,21535.0,Bath Towels
243,2020-08-23,21535.0,Bath Towels
244,2020-08-24,17625.0,Bath Towels
245,2020-08-25,17625.0,Bath Towels
246,2020-08-26,17625.0,Bath Towels
247,2020-08-27,24145.0,Bath Towels
248,2020-08-28,24145.0,Bath Towels
249,2020-08-29,24145.0,Bath Towels
250,2020-08-30,19152.0,Bath Towels
251,2020-08-31,22131.0,Bath Towels
252,2020-09-01,22131.0,Bath Towels
253,2020-09-02,22131.0,Bath Towels
254,2020-09-03,28265.0,Bath Towels
255,2020-09-04,28265.0,Bath Towels
256,2020-09-05,28265.0,Bath Towels
257,2020-09-06,28265.0,Bath Towels
258,2020-09-07,22886.0,Bath Towels
259,2020-09-08,26227.0,Bath Towels
260,2020-09-09,33147.0,Bath Towels
261,2020-09-10,30252.0,Bath Towels
262,2020-09-11,28451.0,Bath Towels
