,date,value,name_B08WHCS21S
51,2021-04-06,246.0,Essential Oil Singles
52,2021-04-07,246.0,Essential Oil Singles
53,2021-04-08,246.0,Essential Oil Singles
54,2021-04-09,208.0,Essential Oil Singles
55,2021-04-10,208.0,Essential Oil Singles
56,2021-04-11,208.0,Essential Oil Singles
57,2021-04-12,190.0,Essential Oil Singles
58,2021-04-13,207.0,Essential Oil Singles
59,2021-04-14,218.0,Essential Oil Singles
60,2021-04-15,218.0,Essential Oil Singles
61,2021-04-16,219.0,Essential Oil Singles
62,2021-04-17,248.0,Essential Oil Singles
63,2021-04-18,245.0,Essential Oil Singles
64,2021-04-19,249.0,Essential Oil Singles
65,2021-04-20,276.0,Essential Oil Singles
66,2021-04-21,260.0,Essential Oil Singles
67,2021-04-22,261.0,Essential Oil Singles
68,2021-04-23,245.0,Essential Oil Singles
69,2021-04-24,245.0,Essential Oil Singles
70,2021-04-25,250.0,Essential Oil Singles
71,2021-04-26,250.0,Essential Oil Singles
72,2021-04-27,234.0,Essential Oil Singles
73,2021-04-28,200.0,Essential Oil Singles
74,2021-04-29,202.0,Essential Oil Singles
75,2021-04-30,202.0,Essential Oil Singles
76,2021-05-01,166.0,Essential Oil Singles
77,2021-05-02,166.0,Essential Oil Singles
78,2021-05-03,192.0,Essential Oil Singles
79,2021-05-04,185.0,Essential Oil Singles
80,2021-05-05,206.0,Essential Oil Singles
81,2021-05-06,206.0,Essential Oil Singles
82,2021-05-07,205.0,Essential Oil Singles
83,2021-05-08,211.0,Essential Oil Singles
84,2021-05-09,203.0,Essential Oil Singles
85,2021-05-10,247.0,Essential Oil Singles
86,2021-05-11,224.0,Essential Oil Singles
87,2021-05-12,225.0,Essential Oil Singles
88,2021-05-13,209.0,Essential Oil Singles
89,2021-05-14,207.0,Essential Oil Singles
90,2021-05-15,210.0,Essential Oil Singles
91,2021-05-16,258.0,Essential Oil Singles
92,2021-05-17,253.0,Essential Oil Singles
93,2021-05-18,239.0,Essential Oil Singles
94,2021-05-19,188.0,Essential Oil Singles
95,2021-05-20,208.0,Essential Oil Singles
96,2021-05-21,185.0,Essential Oil Singles
97,2021-05-22,184.0,Essential Oil Singles
98,2021-05-23,198.0,Essential Oil Singles
99,2021-05-24,204.0,Essential Oil Singles
100,2021-05-25,232.0,Essential Oil Singles
101,2021-05-26,203.0,Essential Oil Singles
102,2021-05-27,228.0,Essential Oil Singles
103,2021-05-28,209.0,Essential Oil Singles
104,2021-05-29,193.0,Essential Oil Singles
105,2021-05-30,188.0,Essential Oil Singles
106,2021-05-31,208.0,Essential Oil Singles
107,2021-06-01,202.0,Essential Oil Singles
108,2021-06-02,189.0,Essential Oil Singles
109,2021-06-03,179.0,Essential Oil Singles
110,2021-06-04,182.0,Essential Oil Singles
111,2021-06-05,168.0,Essential Oil Singles
112,2021-06-06,170.0,Essential Oil Singles
113,2021-06-07,183.0,Essential Oil Singles
114,2021-06-08,192.0,Essential Oil Singles
115,2021-06-09,180.0,Essential Oil Singles
116,2021-06-10,175.0,Essential Oil Singles
117,2021-06-11,174.0,Essential Oil Singles
118,2021-06-12,174.0,Essential Oil Singles
119,2021-06-13,196.0,Essential Oil Singles
120,2021-06-14,215.0,Essential Oil Singles
121,2021-06-15,205.0,Essential Oil Singles
122,2021-06-16,222.0,Essential Oil Singles
123,2021-06-17,199.0,Essential Oil Singles
124,2021-06-18,164.0,Essential Oil Singles
125,2021-06-19,175.0,Essential Oil Singles
126,2021-06-20,181.0,Essential Oil Singles
127,2021-06-21,253.0,Essential Oil Singles
128,2021-06-22,314.0,Essential Oil Singles
129,2021-06-23,302.0,Essential Oil Singles
130,2021-06-24,263.0,Essential Oil Singles
131,2021-06-25,218.0,Essential Oil Singles
132,2021-06-26,203.0,Essential Oil Singles
133,2021-06-27,237.0,Essential Oil Singles
134,2021-06-28,272.0,Essential Oil Singles
135,2021-06-29,336.0,Essential Oil Singles
136,2021-06-30,380.0,Essential Oil Singles
137,2021-07-01,392.0,Essential Oil Singles
138,2021-07-02,384.0,Essential Oil Singles
139,2021-07-03,387.0,Essential Oil Singles
140,2021-07-04,340.0,Essential Oil Singles
141,2021-07-05,386.0,Essential Oil Singles
142,2021-07-06,430.0,Essential Oil Singles
143,2021-07-07,414.0,Essential Oil Singles
144,2021-07-08,450.0,Essential Oil Singles
145,2021-07-09,450.0,Essential Oil Singles
146,2021-07-10,441.0,Essential Oil Singles
147,2021-07-11,432.0,Essential Oil Singles
