,date,value,name_B08PF6L8VY
152,2021-05-05,47019.0,Envelope Mailers
153,2021-05-06,47019.0,Envelope Mailers
154,2021-05-07,87579.0,Envelope Mailers
155,2021-05-08,87579.0,Envelope Mailers
156,2021-05-09,87579.0,Envelope Mailers
157,2021-05-10,87579.0,Envelope Mailers
158,2021-05-11,87579.0,Envelope Mailers
159,2021-05-12,47613.0,Envelope Mailers
160,2021-05-13,47613.0,Envelope Mailers
161,2021-05-14,47613.0,Envelope Mailers
162,2021-05-15,47613.0,Envelope Mailers
163,2021-05-16,47613.0,Envelope Mailers
164,2021-05-17,47613.0,Envelope Mailers
165,2021-05-18,47613.0,Envelope Mailers
166,2021-05-19,47613.0,Envelope Mailers
167,2021-05-20,78780.0,Envelope Mailers
168,2021-05-21,111302.0,Envelope Mailers
169,2021-05-22,111302.0,Envelope Mailers
170,2021-05-23,111302.0,Envelope Mailers
171,2021-05-24,111302.0,Envelope Mailers
172,2021-05-25,111302.0,Envelope Mailers
173,2021-05-26,111302.0,Envelope Mailers
174,2021-05-27,111302.0,Envelope Mailers
175,2021-05-28,111302.0,Envelope Mailers
176,2021-05-29,111302.0,Envelope Mailers
177,2021-05-30,111302.0,Envelope Mailers
178,2021-05-31,111302.0,Envelope Mailers
179,2021-06-01,111302.0,Envelope Mailers
180,2021-06-02,111302.0,Envelope Mailers
181,2021-06-03,111302.0,Envelope Mailers
182,2021-06-04,111302.0,Envelope Mailers
183,2021-06-05,111302.0,Envelope Mailers
184,2021-06-06,111302.0,Envelope Mailers
185,2021-06-07,133031.0,Envelope Mailers
186,2021-06-08,133031.0,Envelope Mailers
187,2021-06-09,133031.0,Envelope Mailers
188,2021-06-10,133031.0,Envelope Mailers
189,2021-06-11,133031.0,Envelope Mailers
190,2021-06-12,133031.0,Envelope Mailers
191,2021-06-13,133031.0,Envelope Mailers
192,2021-06-14,133031.0,Envelope Mailers
193,2021-06-15,133031.0,Envelope Mailers
194,2021-06-16,58453.0,Envelope Mailers
195,2021-06-17,34849.0,Envelope Mailers
196,2021-06-18,34849.0,Envelope Mailers
197,2021-06-19,34849.0,Envelope Mailers
198,2021-06-20,34849.0,Envelope Mailers
199,2021-06-21,34849.0,Envelope Mailers
200,2021-06-22,34849.0,Envelope Mailers
201,2021-06-23,34849.0,Envelope Mailers
202,2021-06-24,34849.0,Envelope Mailers
203,2021-06-25,34849.0,Envelope Mailers
204,2021-06-26,34849.0,Envelope Mailers
205,2021-06-27,34849.0,Envelope Mailers
206,2021-06-28,34849.0,Envelope Mailers
207,2021-06-29,34849.0,Envelope Mailers
208,2021-06-30,58565.0,Envelope Mailers
209,2021-07-01,58565.0,Envelope Mailers
210,2021-07-02,58565.0,Envelope Mailers
211,2021-07-03,58565.0,Envelope Mailers
212,2021-07-04,58565.0,Envelope Mailers
213,2021-07-05,78194.0,Envelope Mailers
214,2021-07-06,47220.0,Envelope Mailers
215,2021-07-07,47220.0,Envelope Mailers
216,2021-07-08,47220.0,Envelope Mailers
217,2021-07-09,50468.0,Envelope Mailers
