,date,value,name_B07ZJVDC15
49,2019-12-16,112371.0,Rug Pads
50,2019-12-17,112371.0,Rug Pads
51,2019-12-18,147792.0,Rug Pads
52,2019-12-19,147792.0,Rug Pads
53,2019-12-20,147792.0,Rug Pads
54,2019-12-21,147792.0,Rug Pads
55,2019-12-22,147792.0,Rug Pads
56,2019-12-23,147792.0,Rug Pads
57,2019-12-24,147792.0,Rug Pads
58,2019-12-25,147792.0,Rug Pads
59,2019-12-26,147792.0,Rug Pads
60,2019-12-27,67781.0,Rug Pads
61,2019-12-28,67781.0,Rug Pads
62,2019-12-29,67781.0,Rug Pads
63,2019-12-30,67781.0,Rug Pads
64,2019-12-31,67781.0,Rug Pads
65,2020-01-01,67781.0,Rug Pads
66,2020-01-02,67781.0,Rug Pads
67,2020-01-03,67781.0,Rug Pads
68,2020-01-04,67781.0,Rug Pads
69,2020-01-05,67781.0,Rug Pads
70,2020-01-06,67781.0,Rug Pads
71,2020-01-07,67781.0,Rug Pads
72,2020-01-08,67781.0,Rug Pads
73,2020-01-09,71284.0,Rug Pads
74,2020-01-10,71284.0,Rug Pads
75,2020-01-11,71284.0,Rug Pads
76,2020-01-12,71284.0,Rug Pads
77,2020-01-13,71284.0,Rug Pads
78,2020-01-14,71284.0,Rug Pads
79,2020-01-15,47655.0,Rug Pads
80,2020-01-16,47655.0,Rug Pads
81,2020-01-17,47655.0,Rug Pads
82,2020-01-18,47655.0,Rug Pads
83,2020-01-19,47655.0,Rug Pads
84,2020-01-20,47655.0,Rug Pads
85,2020-01-21,47655.0,Rug Pads
86,2020-01-22,47655.0,Rug Pads
87,2020-01-23,89540.0,Rug Pads
88,2020-01-24,89540.0,Rug Pads
89,2020-01-25,89540.0,Rug Pads
90,2020-01-26,89540.0,Rug Pads
91,2020-01-27,89540.0,Rug Pads
92,2020-01-28,89540.0,Rug Pads
93,2020-01-29,54287.0,Rug Pads
94,2020-01-30,54287.0,Rug Pads
95,2020-01-31,54287.0,Rug Pads
96,2020-02-01,54287.0,Rug Pads
97,2020-02-02,54287.0,Rug Pads
98,2020-02-03,43812.0,Rug Pads
99,2020-02-04,43812.0,Rug Pads
100,2020-02-05,43812.0,Rug Pads
101,2020-02-06,65860.0,Rug Pads
102,2020-02-07,65860.0,Rug Pads
103,2020-02-08,42118.0,Rug Pads
104,2020-02-09,42118.0,Rug Pads
105,2020-02-10,38414.0,Rug Pads
106,2020-02-11,38414.0,Rug Pads
107,2020-02-12,38414.0,Rug Pads
108,2020-02-13,38414.0,Rug Pads
109,2020-02-14,38414.0,Rug Pads
110,2020-02-15,38414.0,Rug Pads
111,2020-02-16,60419.0,Rug Pads
112,2020-02-17,60419.0,Rug Pads
113,2020-02-18,60419.0,Rug Pads
114,2020-02-19,51206.0,Rug Pads
115,2020-02-20,51206.0,Rug Pads
116,2020-02-21,51206.0,Rug Pads
117,2020-02-22,76403.0,Rug Pads
118,2020-02-23,76403.0,Rug Pads
119,2020-02-24,76403.0,Rug Pads
120,2020-02-25,76403.0,Rug Pads
121,2020-02-26,76403.0,Rug Pads
122,2020-02-27,76403.0,Rug Pads
123,2020-02-28,76403.0,Rug Pads
124,2020-02-29,76403.0,Rug Pads
125,2020-03-01,122110.0,Rug Pads
126,2020-03-02,122110.0,Rug Pads
127,2020-03-03,122110.0,Rug Pads
128,2020-03-04,122110.0,Rug Pads
129,2020-03-05,122110.0,Rug Pads
130,2020-03-06,122110.0,Rug Pads
131,2020-03-07,122110.0,Rug Pads
132,2020-03-08,-1.0,Rug Pads
