,date,value,name_B08T9W6L3S
154,2021-06-25,24254.0,Whey
155,2021-06-26,24254.0,Whey
156,2021-06-27,24254.0,Whey
157,2021-06-28,24254.0,Whey
158,2021-06-29,36516.0,Whey
159,2021-06-30,36516.0,Whey
160,2021-07-01,36516.0,Whey
161,2021-07-02,46436.0,Whey
162,2021-07-03,46436.0,Whey
163,2021-07-04,46436.0,Whey
164,2021-07-05,46153.0,Whey
165,2021-07-06,46153.0,Whey
166,2021-07-07,32955.0,Whey
167,2021-07-08,32955.0,Whey
168,2021-07-09,32955.0,Whey
169,2021-07-10,32955.0,Whey
170,2021-07-11,51907.0,Whey
