,date,value,name_B083C15N4S
310,2021-05-03,4988.0,Spiral Notebooks
311,2021-05-04,5473.0,Spiral Notebooks
312,2021-05-05,5473.0,Spiral Notebooks
313,2021-05-06,5473.0,Spiral Notebooks
314,2021-05-07,7980.0,Spiral Notebooks
315,2021-05-08,7980.0,Spiral Notebooks
316,2021-05-09,7980.0,Spiral Notebooks
317,2021-05-10,7472.0,Spiral Notebooks
318,2021-05-11,7472.0,Spiral Notebooks
319,2021-05-12,7472.0,Spiral Notebooks
320,2021-05-13,7472.0,Spiral Notebooks
321,2021-05-14,13412.0,Spiral Notebooks
322,2021-05-15,13412.0,Spiral Notebooks
323,2021-05-16,17586.0,Spiral Notebooks
324,2021-05-17,17586.0,Spiral Notebooks
325,2021-05-18,17586.0,Spiral Notebooks
326,2021-05-19,17586.0,Spiral Notebooks
327,2021-05-20,17586.0,Spiral Notebooks
328,2021-05-21,17586.0,Spiral Notebooks
329,2021-05-22,10300.0,Spiral Notebooks
330,2021-05-23,10300.0,Spiral Notebooks
331,2021-05-24,10300.0,Spiral Notebooks
332,2021-05-25,7500.0,Spiral Notebooks
333,2021-05-26,7500.0,Spiral Notebooks
334,2021-05-27,7500.0,Spiral Notebooks
335,2021-05-28,8838.0,Spiral Notebooks
336,2021-05-29,7607.0,Spiral Notebooks
337,2021-05-30,7666.0,Spiral Notebooks
338,2021-05-31,7666.0,Spiral Notebooks
339,2021-06-01,6340.0,Spiral Notebooks
340,2021-06-02,6340.0,Spiral Notebooks
341,2021-06-03,6340.0,Spiral Notebooks
342,2021-06-04,6340.0,Spiral Notebooks
343,2021-06-05,6340.0,Spiral Notebooks
344,2021-06-06,6340.0,Spiral Notebooks
345,2021-06-07,6340.0,Spiral Notebooks
346,2021-06-08,6340.0,Spiral Notebooks
347,2021-06-09,7127.0,Spiral Notebooks
348,2021-06-10,7127.0,Spiral Notebooks
349,2021-06-11,7127.0,Spiral Notebooks
350,2021-06-12,7127.0,Spiral Notebooks
351,2021-06-13,6362.0,Spiral Notebooks
352,2021-06-14,6362.0,Spiral Notebooks
353,2021-06-15,6362.0,Spiral Notebooks
354,2021-06-16,6362.0,Spiral Notebooks
355,2021-06-17,7095.0,Spiral Notebooks
356,2021-06-18,7095.0,Spiral Notebooks
357,2021-06-19,7095.0,Spiral Notebooks
358,2021-06-20,7095.0,Spiral Notebooks
359,2021-06-21,7095.0,Spiral Notebooks
360,2021-06-22,10506.0,Spiral Notebooks
361,2021-06-23,10506.0,Spiral Notebooks
362,2021-06-24,10506.0,Spiral Notebooks
363,2021-06-25,10506.0,Spiral Notebooks
364,2021-06-26,10506.0,Spiral Notebooks
365,2021-06-27,10506.0,Spiral Notebooks
366,2021-06-28,10378.0,Spiral Notebooks
367,2021-06-29,10378.0,Spiral Notebooks
368,2021-06-30,7806.0,Spiral Notebooks
369,2021-07-01,7806.0,Spiral Notebooks
370,2021-07-02,7806.0,Spiral Notebooks
371,2021-07-03,7806.0,Spiral Notebooks
372,2021-07-04,7806.0,Spiral Notebooks
373,2021-07-05,12960.0,Spiral Notebooks
374,2021-07-06,12960.0,Spiral Notebooks
375,2021-07-07,12960.0,Spiral Notebooks
376,2021-07-08,12960.0,Spiral Notebooks
377,2021-07-09,12960.0,Spiral Notebooks
378,2021-07-10,11924.0,Spiral Notebooks
