,date,value,name_B07YV8KSBT
220,2020-07-30,1019.0,Pillowcases
221,2020-07-31,1019.0,Pillowcases
222,2020-08-01,1214.0,Pillowcases
223,2020-08-02,924.0,Pillowcases
224,2020-08-03,924.0,Pillowcases
225,2020-08-04,1008.0,Pillowcases
226,2020-08-05,1027.0,Pillowcases
227,2020-08-06,1027.0,Pillowcases
228,2020-08-07,1126.0,Pillowcases
229,2020-08-08,1079.0,Pillowcases
230,2020-08-09,1134.0,Pillowcases
231,2020-08-10,1079.0,Pillowcases
232,2020-08-11,1079.0,Pillowcases
233,2020-08-12,1055.0,Pillowcases
234,2020-08-13,1150.0,Pillowcases
235,2020-08-14,1223.0,Pillowcases
236,2020-08-15,1217.0,Pillowcases
237,2020-08-16,1217.0,Pillowcases
238,2020-08-17,1644.0,Pillowcases
239,2020-08-18,1955.0,Pillowcases
240,2020-08-19,1955.0,Pillowcases
241,2020-08-20,2948.0,Pillowcases
242,2020-08-21,3995.0,Pillowcases
243,2020-08-22,4781.0,Pillowcases
244,2020-08-23,4631.0,Pillowcases
245,2020-08-24,4631.0,Pillowcases
246,2020-08-25,5961.0,Pillowcases
247,2020-08-26,5637.0,Pillowcases
248,2020-08-27,4795.0,Pillowcases
249,2020-08-28,4803.0,Pillowcases
250,2020-08-29,4643.0,Pillowcases
251,2020-08-30,3529.0,Pillowcases
252,2020-08-31,2633.0,Pillowcases
253,2020-09-01,1901.0,Pillowcases
254,2020-09-02,1810.0,Pillowcases
255,2020-09-03,1926.0,Pillowcases
256,2020-09-04,1926.0,Pillowcases
257,2020-09-05,2394.0,Pillowcases
258,2020-09-06,2045.0,Pillowcases
259,2020-09-07,2058.0,Pillowcases
260,2020-09-08,1421.0,Pillowcases
261,2020-09-09,1421.0,Pillowcases
262,2020-09-10,1198.0,Pillowcases
263,2020-09-11,1235.0,Pillowcases
264,2020-09-12,1145.0,Pillowcases
265,2020-09-13,1093.0,Pillowcases
266,2020-09-14,1024.0,Pillowcases
267,2020-09-15,1049.0,Pillowcases
268,2020-09-16,1018.0,Pillowcases
269,2020-09-17,1096.0,Pillowcases
270,2020-09-18,1265.0,Pillowcases
271,2020-09-19,1078.0,Pillowcases
272,2020-09-20,1072.0,Pillowcases
273,2020-09-21,1072.0,Pillowcases
274,2020-09-22,1215.0,Pillowcases
275,2020-09-23,1337.0,Pillowcases
276,2020-09-24,1633.0,Pillowcases
277,2020-09-25,513034.0,Pillowcases
278,2020-09-26,559188.0,Pillowcases
279,2020-09-27,592908.0,Pillowcases
280,2020-09-28,641656.0,Pillowcases
281,2020-09-29,671565.0,Pillowcases
282,2020-09-30,679432.0,Pillowcases
283,2020-10-01,682894.0,Pillowcases
284,2020-10-02,729087.0,Pillowcases
285,2020-10-03,724010.0,Pillowcases
286,2020-10-04,751221.0,Pillowcases
287,2020-10-05,845.0,Pillowcases
288,2020-10-06,869.0,Pillowcases
289,2020-10-07,872.0,Pillowcases
290,2020-10-08,872.0,Pillowcases
291,2020-10-09,806.0,Pillowcases
292,2020-10-10,806.0,Pillowcases
293,2020-10-11,578.0,Pillowcases
294,2020-10-12,633.0,Pillowcases
295,2020-10-13,556.0,Pillowcases
296,2020-10-14,1172.0,Pillowcases
297,2020-10-15,1461.0,Pillowcases
298,2020-10-16,1365.0,Pillowcases
299,2020-10-17,773.0,Pillowcases
300,2020-10-18,603.0,Pillowcases
301,2020-10-19,479.0,Pillowcases
302,2020-10-20,503.0,Pillowcases
303,2020-10-21,463.0,Pillowcases
304,2020-10-22,532.0,Pillowcases
305,2020-10-23,533.0,Pillowcases
306,2020-10-24,519.0,Pillowcases
307,2020-10-25,466.0,Pillowcases
308,2020-10-26,415.0,Pillowcases
309,2020-10-27,427.0,Pillowcases
310,2020-10-28,449.0,Pillowcases
311,2020-10-29,447.0,Pillowcases
312,2020-10-30,496.0,Pillowcases
313,2020-10-31,466.0,Pillowcases
314,2020-11-01,473.0,Pillowcases
315,2020-11-02,462.0,Pillowcases
316,2020-11-03,464.0,Pillowcases
317,2020-11-04,517.0,Pillowcases
318,2020-11-05,502.0,Pillowcases
319,2020-11-06,532.0,Pillowcases
320,2020-11-07,562.0,Pillowcases
321,2020-11-08,568.0,Pillowcases
322,2020-11-09,509.0,Pillowcases
323,2020-11-10,616.0,Pillowcases
324,2020-11-11,564.0,Pillowcases
325,2020-11-12,566.0,Pillowcases
326,2020-11-13,659.0,Pillowcases
327,2020-11-14,759.0,Pillowcases
328,2020-11-15,640.0,Pillowcases
329,2020-11-16,674.0,Pillowcases
330,2020-11-17,691.0,Pillowcases
331,2020-11-18,692.0,Pillowcases
332,2020-11-19,655.0,Pillowcases
333,2020-11-20,769.0,Pillowcases
334,2020-11-21,770.0,Pillowcases
335,2020-11-22,853.0,Pillowcases
336,2020-11-23,921.0,Pillowcases
337,2020-11-24,891.0,Pillowcases
338,2020-11-25,1065.0,Pillowcases
339,2020-11-26,1234.0,Pillowcases
340,2020-11-27,1716.0,Pillowcases
341,2020-11-28,2259.0,Pillowcases
342,2020-11-29,1954.0,Pillowcases
343,2020-11-30,1620.0,Pillowcases
344,2020-12-01,1834.0,Pillowcases
345,2020-12-02,1834.0,Pillowcases
346,2020-12-03,1507.0,Pillowcases
347,2020-12-04,1544.0,Pillowcases
348,2020-12-05,1692.0,Pillowcases
349,2020-12-06,1412.0,Pillowcases
350,2020-12-07,1385.0,Pillowcases
351,2020-12-08,1496.0,Pillowcases
352,2020-12-09,1413.0,Pillowcases
353,2020-12-10,1385.0,Pillowcases
354,2020-12-11,1467.0,Pillowcases
355,2020-12-12,1760.0,Pillowcases
356,2020-12-13,1640.0,Pillowcases
357,2020-12-14,1596.0,Pillowcases
358,2020-12-15,1844.0,Pillowcases
359,2020-12-16,2092.0,Pillowcases
360,2020-12-17,2401.0,Pillowcases
361,2020-12-18,2796.0,Pillowcases
362,2020-12-19,3352.0,Pillowcases
363,2020-12-20,3988.0,Pillowcases
364,2020-12-21,4170.0,Pillowcases
365,2020-12-22,4825.0,Pillowcases
366,2020-12-23,6185.0,Pillowcases
367,2020-12-24,7449.0,Pillowcases
368,2020-12-25,7400.0,Pillowcases
369,2020-12-26,8939.0,Pillowcases
370,2020-12-27,10811.0,Pillowcases
371,2020-12-28,9439.0,Pillowcases
372,2020-12-29,8204.0,Pillowcases
373,2020-12-30,8024.0,Pillowcases
374,2020-12-31,8293.0,Pillowcases
375,2021-01-01,8021.0,Pillowcases
376,2021-01-02,6900.0,Pillowcases
377,2021-01-03,7579.0,Pillowcases
378,2021-01-04,6710.0,Pillowcases
379,2021-01-05,580987.0,Pillowcases
380,2021-01-06,666841.0,Pillowcases
381,2021-01-07,666841.0,Pillowcases
382,2021-01-08,298376.0,Pillowcases
383,2021-01-09,633436.0,Pillowcases
384,2021-01-10,723472.0,Pillowcases
385,2021-01-11,795030.0,Pillowcases
386,2021-01-12,825751.0,Pillowcases
387,2021-01-13,832971.0,Pillowcases
388,2021-01-14,845463.0,Pillowcases
389,2021-01-15,850914.0,Pillowcases
390,2021-01-16,409443.0,Pillowcases
391,2021-01-17,687343.0,Pillowcases
392,2021-01-18,687343.0,Pillowcases
393,2021-01-19,540033.0,Pillowcases
394,2021-01-20,697482.0,Pillowcases
395,2021-01-21,776843.0,Pillowcases
396,2021-01-22,830608.0,Pillowcases
397,2021-01-23,866690.0,Pillowcases
398,2021-01-24,899725.0,Pillowcases
399,2021-01-25,914155.0,Pillowcases
400,2021-01-26,948584.0,Pillowcases
401,2021-01-27,953179.0,Pillowcases
402,2021-01-28,935516.0,Pillowcases
403,2021-01-29,509660.0,Pillowcases
404,2021-01-30,672885.0,Pillowcases
405,2021-01-31,788499.0,Pillowcases
406,2021-02-01,865787.0,Pillowcases
407,2021-02-02,918269.0,Pillowcases
408,2021-02-03,379184.0,Pillowcases
409,2021-02-04,531160.0,Pillowcases
410,2021-02-05,707929.0,Pillowcases
411,2021-02-06,801279.0,Pillowcases
412,2021-02-07,865510.0,Pillowcases
413,2021-02-08,549154.0,Pillowcases
414,2021-02-09,688961.0,Pillowcases
415,2021-02-10,794146.0,Pillowcases
416,2021-02-11,794146.0,Pillowcases
417,2021-02-12,880017.0,Pillowcases
418,2021-02-13,906345.0,Pillowcases
419,2021-02-14,913979.0,Pillowcases
420,2021-02-15,913979.0,Pillowcases
421,2021-02-16,938080.0,Pillowcases
