,date,value,name_B082385NCV
263,2020-08-20,7129.0,Throws
264,2020-08-21,6910.0,Throws
265,2020-08-22,6910.0,Throws
266,2020-08-23,6910.0,Throws
267,2020-08-24,7148.0,Throws
268,2020-08-25,7148.0,Throws
269,2020-08-26,7148.0,Throws
270,2020-08-27,10028.0,Throws
271,2020-08-28,10028.0,Throws
272,2020-08-29,10028.0,Throws
273,2020-08-30,7115.0,Throws
274,2020-08-31,7185.0,Throws
275,2020-09-01,7185.0,Throws
276,2020-09-02,7185.0,Throws
277,2020-09-03,7382.0,Throws
278,2020-09-04,7896.0,Throws
279,2020-09-05,7361.0,Throws
280,2020-09-06,7361.0,Throws
281,2020-09-07,7176.0,Throws
282,2020-09-08,6396.0,Throws
283,2020-09-09,7391.0,Throws
284,2020-09-10,7458.0,Throws
285,2020-09-11,7417.0,Throws
286,2020-09-12,7417.0,Throws
287,2020-09-13,7417.0,Throws
288,2020-09-14,6535.0,Throws
289,2020-09-15,7386.0,Throws
290,2020-09-16,5884.0,Throws
291,2020-09-17,5884.0,Throws
292,2020-09-18,8059.0,Throws
293,2020-09-19,8059.0,Throws
294,2020-09-20,4827.0,Throws
295,2020-09-21,5388.0,Throws
296,2020-09-22,5388.0,Throws
297,2020-09-23,6738.0,Throws
298,2020-09-24,5798.0,Throws
299,2020-09-25,5798.0,Throws
300,2020-09-26,6723.0,Throws
301,2020-09-27,6723.0,Throws
302,2020-09-28,5942.0,Throws
303,2020-09-29,5285.0,Throws
304,2020-09-30,5285.0,Throws
305,2020-10-01,7314.0,Throws
306,2020-10-02,7314.0,Throws
307,2020-10-03,7314.0,Throws
308,2020-10-04,4954.0,Throws
309,2020-10-05,6160.0,Throws
310,2020-10-06,6160.0,Throws
311,2020-10-07,6811.0,Throws
312,2020-10-08,6811.0,Throws
313,2020-10-09,7738.0,Throws
314,2020-10-10,5509.0,Throws
315,2020-10-11,5509.0,Throws
316,2020-10-12,7522.0,Throws
317,2020-10-13,8118.0,Throws
318,2020-10-14,11211.0,Throws
319,2020-10-15,10217.0,Throws
320,2020-10-16,10370.0,Throws
321,2020-10-17,9297.0,Throws
322,2020-10-18,9297.0,Throws
323,2020-10-19,9297.0,Throws
324,2020-10-20,8013.0,Throws
325,2020-10-21,8571.0,Throws
326,2020-10-22,9317.0,Throws
327,2020-10-23,9317.0,Throws
328,2020-10-24,9317.0,Throws
329,2020-10-25,8523.0,Throws
330,2020-10-26,8523.0,Throws
331,2020-10-27,8523.0,Throws
332,2020-10-28,9285.0,Throws
333,2020-10-29,7530.0,Throws
334,2020-10-30,7530.0,Throws
335,2020-10-31,6701.0,Throws
336,2020-11-01,6701.0,Throws
337,2020-11-02,6363.0,Throws
338,2020-11-03,6363.0,Throws
339,2020-11-04,6863.0,Throws
340,2020-11-05,6863.0,Throws
341,2020-11-06,8838.0,Throws
342,2020-11-07,7343.0,Throws
343,2020-11-08,8384.0,Throws
344,2020-11-09,8384.0,Throws
345,2020-11-10,6671.0,Throws
346,2020-11-11,9155.0,Throws
347,2020-11-12,9155.0,Throws
348,2020-11-13,9155.0,Throws
349,2020-11-14,10238.0,Throws
350,2020-11-15,10238.0,Throws
351,2020-11-16,7522.0,Throws
352,2020-11-17,7522.0,Throws
353,2020-11-18,9321.0,Throws
354,2020-11-19,9321.0,Throws
355,2020-11-20,10493.0,Throws
356,2020-11-21,10493.0,Throws
357,2020-11-22,10493.0,Throws
358,2020-11-23,11078.0,Throws
359,2020-11-24,11078.0,Throws
360,2020-11-25,11078.0,Throws
361,2020-11-26,11719.0,Throws
362,2020-11-27,10214.0,Throws
363,2020-11-28,10214.0,Throws
364,2020-11-29,10214.0,Throws
365,2020-11-30,10228.0,Throws
366,2020-12-01,10228.0,Throws
367,2020-12-02,10228.0,Throws
368,2020-12-03,10228.0,Throws
369,2020-12-04,10050.0,Throws
370,2020-12-05,8040.0,Throws
371,2020-12-06,8040.0,Throws
372,2020-12-07,6978.0,Throws
373,2020-12-08,7520.0,Throws
374,2020-12-09,7727.0,Throws
375,2020-12-10,7727.0,Throws
376,2020-12-11,7438.0,Throws
377,2020-12-12,7438.0,Throws
378,2020-12-13,7674.0,Throws
379,2020-12-14,7674.0,Throws
380,2020-12-15,5565.0,Throws
381,2020-12-16,5565.0,Throws
382,2020-12-17,6316.0,Throws
383,2020-12-18,6316.0,Throws
384,2020-12-19,6316.0,Throws
385,2020-12-20,6419.0,Throws
386,2020-12-21,6419.0,Throws
387,2020-12-22,6419.0,Throws
388,2020-12-23,6363.0,Throws
389,2020-12-24,6363.0,Throws
390,2020-12-25,6363.0,Throws
391,2020-12-26,7881.0,Throws
392,2020-12-27,7881.0,Throws
393,2020-12-28,10966.0,Throws
394,2020-12-29,10966.0,Throws
395,2020-12-30,9172.0,Throws
396,2020-12-31,9172.0,Throws
397,2021-01-01,9172.0,Throws
398,2021-01-02,9172.0,Throws
399,2021-01-03,7121.0,Throws
400,2021-01-04,7121.0,Throws
401,2021-01-05,7121.0,Throws
402,2021-01-06,11495.0,Throws
403,2021-01-07,11495.0,Throws
404,2021-01-08,10941.0,Throws
405,2021-01-09,10941.0,Throws
406,2021-01-10,9591.0,Throws
407,2021-01-11,9591.0,Throws
408,2021-01-12,10294.0,Throws
409,2021-01-13,10294.0,Throws
410,2021-01-14,9281.0,Throws
411,2021-01-15,9281.0,Throws
412,2021-01-16,9517.0,Throws
413,2021-01-17,9517.0,Throws
414,2021-01-18,9177.0,Throws
415,2021-01-19,7646.0,Throws
416,2021-01-20,7646.0,Throws
417,2021-01-21,7646.0,Throws
418,2021-01-22,13697.0,Throws
419,2021-01-23,13697.0,Throws
420,2021-01-24,10306.0,Throws
421,2021-01-25,8975.0,Throws
422,2021-01-26,9757.0,Throws
423,2021-01-27,9757.0,Throws
424,2021-01-28,9757.0,Throws
425,2021-01-29,8470.0,Throws
426,2021-01-30,8470.0,Throws
427,2021-01-31,8470.0,Throws
428,2021-02-01,8225.0,Throws
429,2021-02-02,10102.0,Throws
430,2021-02-03,9662.0,Throws
431,2021-02-04,9981.0,Throws
432,2021-02-05,9930.0,Throws
433,2021-02-06,9930.0,Throws
434,2021-02-07,9930.0,Throws
435,2021-02-08,8815.0,Throws
436,2021-02-09,8815.0,Throws
437,2021-02-10,8815.0,Throws
438,2021-02-11,9049.0,Throws
439,2021-02-12,9049.0,Throws
440,2021-02-13,9049.0,Throws
441,2021-02-14,9951.0,Throws
442,2021-02-15,9951.0,Throws
443,2021-02-16,9951.0,Throws
444,2021-02-17,11441.0,Throws
445,2021-02-18,11441.0,Throws
446,2021-02-19,11789.0,Throws
447,2021-02-20,11789.0,Throws
448,2021-02-21,11789.0,Throws
449,2021-02-22,9277.0,Throws
450,2021-02-23,9277.0,Throws
451,2021-02-24,9277.0,Throws
452,2021-02-25,10604.0,Throws
453,2021-02-26,11686.0,Throws
454,2021-02-27,11686.0,Throws
455,2021-02-28,11686.0,Throws
456,2021-03-01,13920.0,Throws
457,2021-03-02,11602.0,Throws
458,2021-03-03,11602.0,Throws
459,2021-03-04,11602.0,Throws
460,2021-03-05,12800.0,Throws
461,2021-03-06,12800.0,Throws
462,2021-03-07,12800.0,Throws
463,2021-03-08,12800.0,Throws
464,2021-03-09,10283.0,Throws
465,2021-03-10,10283.0,Throws
466,2021-03-11,9649.0,Throws
467,2021-03-12,9649.0,Throws
468,2021-03-13,10924.0,Throws
469,2021-03-14,10924.0,Throws
470,2021-03-15,10460.0,Throws
471,2021-03-16,10460.0,Throws
472,2021-03-17,10460.0,Throws
473,2021-03-18,10119.0,Throws
474,2021-03-19,10119.0,Throws
475,2021-03-20,10119.0,Throws
476,2021-03-21,10119.0,Throws
477,2021-03-22,12197.0,Throws
478,2021-03-23,12197.0,Throws
479,2021-03-24,12197.0,Throws
480,2021-03-25,12822.0,Throws
481,2021-03-26,12822.0,Throws
482,2021-03-27,12822.0,Throws
483,2021-03-28,9187.0,Throws
484,2021-03-29,9187.0,Throws
485,2021-03-30,10590.0,Throws
486,2021-03-31,10590.0,Throws
487,2021-04-01,12141.0,Throws
488,2021-04-02,14833.0,Throws
489,2021-04-03,14833.0,Throws
490,2021-04-04,14776.0,Throws
491,2021-04-05,14776.0,Throws
492,2021-04-06,14776.0,Throws
493,2021-04-07,16435.0,Throws
494,2021-04-08,13739.0,Throws
495,2021-04-09,13610.0,Throws
496,2021-04-10,13610.0,Throws
497,2021-04-11,13610.0,Throws
498,2021-04-12,13969.0,Throws
499,2021-04-13,15573.0,Throws
500,2021-04-14,15573.0,Throws
501,2021-04-15,19145.0,Throws
502,2021-04-16,13787.0,Throws
503,2021-04-17,13787.0,Throws
504,2021-04-18,13787.0,Throws
505,2021-04-19,13787.0,Throws
506,2021-04-20,17436.0,Throws
507,2021-04-21,17436.0,Throws
508,2021-04-22,20111.0,Throws
