,date,value,name_B07TVXLDYT
69,2019-09-14,50782.0,Cups
70,2019-09-15,29015.0,Cups
71,2019-09-16,41424.0,Cups
72,2019-09-17,35811.0,Cups
73,2019-09-18,37428.0,Cups
74,2019-09-19,38549.0,Cups
75,2019-09-20,44359.0,Cups
76,2019-09-21,34776.0,Cups
77,2019-09-22,33072.0,Cups
78,2019-09-23,27659.0,Cups
79,2019-09-24,29534.0,Cups
80,2019-09-25,32143.0,Cups
81,2019-09-26,49334.0,Cups
82,2019-09-27,14099.0,Cups
83,2019-09-28,25962.0,Cups
84,2019-09-29,24135.0,Cups
85,2019-09-30,24135.0,Cups
86,2019-10-01,20715.0,Cups
87,2019-10-02,23906.0,Cups
88,2019-10-03,21331.0,Cups
89,2019-10-04,21331.0,Cups
90,2019-10-05,21331.0,Cups
91,2019-10-06,17768.0,Cups
92,2019-10-07,17768.0,Cups
93,2019-10-08,17768.0,Cups
94,2019-10-09,17938.0,Cups
95,2019-10-10,22139.0,Cups
96,2019-10-11,14328.0,Cups
97,2019-10-12,14328.0,Cups
98,2019-10-13,15609.0,Cups
99,2019-10-14,14995.0,Cups
100,2019-10-15,23187.0,Cups
101,2019-10-16,17460.0,Cups
102,2019-10-17,13471.0,Cups
103,2019-10-18,15702.0,Cups
104,2019-10-19,14230.0,Cups
105,2019-10-20,12050.0,Cups
106,2019-10-21,8726.0,Cups
107,2019-10-22,14177.0,Cups
108,2019-10-23,20960.0,Cups
109,2019-10-24,18235.0,Cups
110,2019-10-25,17136.0,Cups
111,2019-10-26,17136.0,Cups
112,2019-10-27,13165.0,Cups
113,2019-10-28,13442.0,Cups
114,2019-10-29,17750.0,Cups
115,2019-10-30,15230.0,Cups
116,2019-10-31,15230.0,Cups
117,2019-11-01,13742.0,Cups
118,2019-11-02,16414.0,Cups
119,2019-11-03,15961.0,Cups
120,2019-11-04,10132.0,Cups
121,2019-11-05,13167.0,Cups
122,2019-11-06,10581.0,Cups
123,2019-11-07,10581.0,Cups
124,2019-11-08,10581.0,Cups
125,2019-11-09,10581.0,Cups
126,2019-11-10,10581.0,Cups
127,2019-11-11,10581.0,Cups
128,2019-11-12,10581.0,Cups
129,2019-11-13,11598.0,Cups
130,2019-11-14,11598.0,Cups
131,2019-11-15,10261.0,Cups
132,2019-11-16,10261.0,Cups
133,2019-11-17,10261.0,Cups
134,2019-11-18,11072.0,Cups
135,2019-11-19,11072.0,Cups
136,2019-11-20,11072.0,Cups
137,2019-11-21,11072.0,Cups
138,2019-11-22,14602.0,Cups
139,2019-11-23,14602.0,Cups
140,2019-11-24,14602.0,Cups
141,2019-11-25,7910.0,Cups
142,2019-11-26,8207.0,Cups
143,2019-11-27,5082.0,Cups
144,2019-11-28,5082.0,Cups
145,2019-11-29,6174.0,Cups
146,2019-11-30,6174.0,Cups
147,2019-12-01,5159.0,Cups
148,2019-12-02,5159.0,Cups
149,2019-12-03,5159.0,Cups
150,2019-12-04,5159.0,Cups
151,2019-12-05,5907.0,Cups
152,2019-12-06,5907.0,Cups
153,2019-12-07,5907.0,Cups
154,2019-12-08,5907.0,Cups
155,2019-12-09,5907.0,Cups
156,2019-12-10,8532.0,Cups
157,2019-12-11,8532.0,Cups
158,2019-12-12,8532.0,Cups
159,2019-12-13,10073.0,Cups
160,2019-12-14,10073.0,Cups
161,2019-12-15,10073.0,Cups
162,2019-12-16,8353.0,Cups
163,2019-12-17,8353.0,Cups
164,2019-12-18,8353.0,Cups
165,2019-12-19,8353.0,Cups
166,2019-12-20,12496.0,Cups
167,2019-12-21,12496.0,Cups
168,2019-12-22,12496.0,Cups
169,2019-12-23,12496.0,Cups
170,2019-12-24,12998.0,Cups
171,2019-12-25,12998.0,Cups
172,2019-12-26,12998.0,Cups
173,2019-12-27,12998.0,Cups
174,2019-12-28,12998.0,Cups
175,2019-12-29,12998.0,Cups
176,2019-12-30,9634.0,Cups
177,2019-12-31,9634.0,Cups
178,2020-01-01,9634.0,Cups
179,2020-01-02,9634.0,Cups
180,2020-01-03,9634.0,Cups
181,2020-01-04,9634.0,Cups
182,2020-01-05,9634.0,Cups
183,2020-01-06,13219.0,Cups
184,2020-01-07,13219.0,Cups
185,2020-01-08,16522.0,Cups
186,2020-01-09,16522.0,Cups
187,2020-01-10,7120.0,Cups
188,2020-01-11,7120.0,Cups
189,2020-01-12,7120.0,Cups
190,2020-01-13,4308.0,Cups
191,2020-01-14,8034.0,Cups
192,2020-01-15,8034.0,Cups
193,2020-01-16,8034.0,Cups
194,2020-01-17,8034.0,Cups
195,2020-01-18,8067.0,Cups
196,2020-01-19,8067.0,Cups
197,2020-01-20,8067.0,Cups
198,2020-01-21,6273.0,Cups
199,2020-01-22,6273.0,Cups
200,2020-01-23,8680.0,Cups
201,2020-01-24,5887.0,Cups
202,2020-01-25,5887.0,Cups
203,2020-01-26,5887.0,Cups
204,2020-01-27,5887.0,Cups
205,2020-01-28,5887.0,Cups
206,2020-01-29,11721.0,Cups
207,2020-01-30,11721.0,Cups
208,2020-01-31,11721.0,Cups
209,2020-02-01,11721.0,Cups
210,2020-02-02,7055.0,Cups
211,2020-02-03,7055.0,Cups
212,2020-02-04,7055.0,Cups
213,2020-02-05,7055.0,Cups
214,2020-02-06,7055.0,Cups
215,2020-02-07,7055.0,Cups
216,2020-02-08,7624.0,Cups
217,2020-02-09,6747.0,Cups
218,2020-02-10,6747.0,Cups
219,2020-02-11,9183.0,Cups
220,2020-02-12,9658.0,Cups
221,2020-02-13,9658.0,Cups
222,2020-02-14,9658.0,Cups
223,2020-02-15,9658.0,Cups
224,2020-02-16,9658.0,Cups
225,2020-02-17,7208.0,Cups
226,2020-02-18,8561.0,Cups
227,2020-02-19,8561.0,Cups
228,2020-02-20,8561.0,Cups
229,2020-02-21,8561.0,Cups
230,2020-02-22,8561.0,Cups
231,2020-02-23,8561.0,Cups
232,2020-02-24,7446.0,Cups
233,2020-02-25,7446.0,Cups
234,2020-02-26,7446.0,Cups
235,2020-02-27,11942.0,Cups
236,2020-02-28,11942.0,Cups
237,2020-02-29,11942.0,Cups
238,2020-03-01,11942.0,Cups
239,2020-03-02,11942.0,Cups
240,2020-03-03,11942.0,Cups
241,2020-03-04,15603.0,Cups
242,2020-03-05,14464.0,Cups
243,2020-03-06,14464.0,Cups
244,2020-03-07,10460.0,Cups
245,2020-03-08,10460.0,Cups
246,2020-03-09,10460.0,Cups
247,2020-03-10,10460.0,Cups
248,2020-03-11,-1.0,Cups
