,date,value,name_B08DLVMP5Y
241,2021-05-18,21523.0,Panels
242,2021-05-19,21523.0,Panels
243,2021-05-20,20145.0,Panels
244,2021-05-21,17877.0,Panels
245,2021-05-22,17877.0,Panels
246,2021-05-23,17877.0,Panels
247,2021-05-24,21565.0,Panels
248,2021-05-25,19574.0,Panels
249,2021-05-26,19574.0,Panels
250,2021-05-27,19574.0,Panels
251,2021-05-28,19574.0,Panels
252,2021-05-29,25094.0,Panels
253,2021-05-30,25094.0,Panels
254,2021-05-31,25094.0,Panels
255,2021-06-01,23956.0,Panels
256,2021-06-02,23956.0,Panels
257,2021-06-03,20581.0,Panels
258,2021-06-04,20581.0,Panels
259,2021-06-05,25001.0,Panels
260,2021-06-06,25001.0,Panels
261,2021-06-07,25001.0,Panels
262,2021-06-08,25001.0,Panels
263,2021-06-09,30264.0,Panels
264,2021-06-10,30264.0,Panels
265,2021-06-11,27748.0,Panels
266,2021-06-12,27748.0,Panels
267,2021-06-13,30763.0,Panels
268,2021-06-14,30763.0,Panels
269,2021-06-15,30763.0,Panels
270,2021-06-16,26424.0,Panels
271,2021-06-17,26424.0,Panels
272,2021-06-18,26424.0,Panels
273,2021-06-19,26424.0,Panels
274,2021-06-20,26424.0,Panels
275,2021-06-21,46938.0,Panels
276,2021-06-22,38297.0,Panels
277,2021-06-23,38297.0,Panels
278,2021-06-24,38297.0,Panels
279,2021-06-25,38297.0,Panels
280,2021-06-26,27327.0,Panels
281,2021-06-27,27327.0,Panels
282,2021-06-28,27327.0,Panels
283,2021-06-29,27327.0,Panels
284,2021-06-30,23676.0,Panels
285,2021-07-01,28267.0,Panels
286,2021-07-02,28267.0,Panels
287,2021-07-03,28267.0,Panels
288,2021-07-04,28267.0,Panels
289,2021-07-05,21709.0,Panels
290,2021-07-06,21709.0,Panels
291,2021-07-07,21709.0,Panels
292,2021-07-08,21709.0,Panels
293,2021-07-09,28162.0,Panels
294,2021-07-10,28162.0,Panels
295,2021-07-11,33439.0,Panels
