,date,value,name_B07RXP21WM
219,2020-01-06,34194.0,Banners
220,2020-01-07,29519.0,Banners
221,2020-01-08,19608.0,Banners
222,2020-01-09,19258.0,Banners
223,2020-01-10,15524.0,Banners
224,2020-01-11,15041.0,Banners
225,2020-01-12,18638.0,Banners
226,2020-01-13,14956.0,Banners
227,2020-01-14,15911.0,Banners
228,2020-01-15,16467.0,Banners
229,2020-01-16,13507.0,Banners
230,2020-01-17,18574.0,Banners
231,2020-01-18,20132.0,Banners
232,2020-01-19,22446.0,Banners
233,2020-01-20,17411.0,Banners
234,2020-01-21,12352.0,Banners
235,2020-01-22,14197.0,Banners
236,2020-01-23,11456.0,Banners
237,2020-01-24,15378.0,Banners
238,2020-01-25,13518.0,Banners
239,2020-01-26,16373.0,Banners
240,2020-01-27,17681.0,Banners
241,2020-01-28,16166.0,Banners
242,2020-01-29,13961.0,Banners
243,2020-01-30,16197.0,Banners
244,2020-01-31,20969.0,Banners
245,2020-02-01,16932.0,Banners
246,2020-02-02,24150.0,Banners
247,2020-02-03,22772.0,Banners
248,2020-02-04,18176.0,Banners
249,2020-02-05,16131.0,Banners
250,2020-02-06,15886.0,Banners
251,2020-02-07,18897.0,Banners
252,2020-02-08,19439.0,Banners
253,2020-02-09,20312.0,Banners
254,2020-02-10,25738.0,Banners
255,2020-02-11,12550.0,Banners
256,2020-02-12,17299.0,Banners
257,2020-02-13,17620.0,Banners
258,2020-02-14,18158.0,Banners
259,2020-02-15,23220.0,Banners
260,2020-02-16,23200.0,Banners
261,2020-02-17,22674.0,Banners
262,2020-02-18,16864.0,Banners
263,2020-02-19,16864.0,Banners
264,2020-02-20,13987.0,Banners
265,2020-02-21,-1.0,Banners
266,2020-02-22,-1.0,Banners
267,2020-02-23,-1.0,Banners
268,2020-02-24,-1.0,Banners
269,2020-02-25,13827.0,Banners
270,2020-02-26,19410.0,Banners
271,2020-02-27,16961.0,Banners
272,2020-02-28,19454.0,Banners
273,2020-02-29,18232.0,Banners
274,2020-03-01,23402.0,Banners
275,2020-03-02,22865.0,Banners
276,2020-03-03,19322.0,Banners
277,2020-03-04,15340.0,Banners
278,2020-03-05,18727.0,Banners
279,2020-03-06,21024.0,Banners
280,2020-03-07,26956.0,Banners
281,2020-03-08,-1.0,Banners
