,date,value,name_B089GSJ865
107,2020-10-12,7950.0,Shower Curtain Rods
108,2020-10-13,7950.0,Shower Curtain Rods
109,2020-10-14,12033.0,Shower Curtain Rods
110,2020-10-15,14756.0,Shower Curtain Rods
111,2020-10-16,13623.0,Shower Curtain Rods
112,2020-10-17,9634.0,Shower Curtain Rods
113,2020-10-18,9634.0,Shower Curtain Rods
114,2020-10-19,9634.0,Shower Curtain Rods
115,2020-10-20,7128.0,Shower Curtain Rods
116,2020-10-21,9581.0,Shower Curtain Rods
117,2020-10-22,9581.0,Shower Curtain Rods
118,2020-10-23,9581.0,Shower Curtain Rods
119,2020-10-24,8541.0,Shower Curtain Rods
120,2020-10-25,9113.0,Shower Curtain Rods
121,2020-10-26,9113.0,Shower Curtain Rods
122,2020-10-27,9113.0,Shower Curtain Rods
123,2020-10-28,8571.0,Shower Curtain Rods
124,2020-10-29,8571.0,Shower Curtain Rods
125,2020-10-30,8571.0,Shower Curtain Rods
126,2020-10-31,8571.0,Shower Curtain Rods
127,2020-11-01,10657.0,Shower Curtain Rods
128,2020-11-02,10657.0,Shower Curtain Rods
129,2020-11-03,10657.0,Shower Curtain Rods
130,2020-11-04,9477.0,Shower Curtain Rods
131,2020-11-05,7161.0,Shower Curtain Rods
132,2020-11-06,6805.0,Shower Curtain Rods
133,2020-11-07,6805.0,Shower Curtain Rods
134,2020-11-08,6805.0,Shower Curtain Rods
135,2020-11-09,6712.0,Shower Curtain Rods
136,2020-11-10,6712.0,Shower Curtain Rods
137,2020-11-11,7725.0,Shower Curtain Rods
138,2020-11-12,7725.0,Shower Curtain Rods
139,2020-11-13,8312.0,Shower Curtain Rods
140,2020-11-14,8312.0,Shower Curtain Rods
141,2020-11-15,8312.0,Shower Curtain Rods
142,2020-11-16,7731.0,Shower Curtain Rods
143,2020-11-17,7731.0,Shower Curtain Rods
144,2020-11-18,8423.0,Shower Curtain Rods
145,2020-11-19,8423.0,Shower Curtain Rods
146,2020-11-20,9304.0,Shower Curtain Rods
147,2020-11-21,9304.0,Shower Curtain Rods
148,2020-11-22,9304.0,Shower Curtain Rods
149,2020-11-23,8388.0,Shower Curtain Rods
150,2020-11-24,10020.0,Shower Curtain Rods
151,2020-11-25,9644.0,Shower Curtain Rods
152,2020-11-26,9644.0,Shower Curtain Rods
153,2020-11-27,9644.0,Shower Curtain Rods
154,2020-11-28,17938.0,Shower Curtain Rods
155,2020-11-29,17938.0,Shower Curtain Rods
156,2020-11-30,17938.0,Shower Curtain Rods
157,2020-12-01,15336.0,Shower Curtain Rods
158,2020-12-02,15336.0,Shower Curtain Rods
159,2020-12-03,15336.0,Shower Curtain Rods
160,2020-12-04,24075.0,Shower Curtain Rods
161,2020-12-05,24075.0,Shower Curtain Rods
162,2020-12-06,24075.0,Shower Curtain Rods
163,2020-12-07,24075.0,Shower Curtain Rods
164,2020-12-08,24075.0,Shower Curtain Rods
165,2020-12-09,39684.0,Shower Curtain Rods
166,2020-12-10,52598.0,Shower Curtain Rods
167,2020-12-11,52598.0,Shower Curtain Rods
168,2020-12-12,52598.0,Shower Curtain Rods
169,2020-12-13,52598.0,Shower Curtain Rods
170,2020-12-14,52598.0,Shower Curtain Rods
171,2020-12-15,52598.0,Shower Curtain Rods
172,2020-12-16,58537.0,Shower Curtain Rods
173,2020-12-17,58537.0,Shower Curtain Rods
174,2020-12-18,49143.0,Shower Curtain Rods
175,2020-12-19,44775.0,Shower Curtain Rods
176,2020-12-20,44775.0,Shower Curtain Rods
177,2020-12-21,32707.0,Shower Curtain Rods
178,2020-12-22,31300.0,Shower Curtain Rods
179,2020-12-23,31300.0,Shower Curtain Rods
180,2020-12-24,35219.0,Shower Curtain Rods
181,2020-12-25,35780.0,Shower Curtain Rods
182,2020-12-26,35780.0,Shower Curtain Rods
183,2020-12-27,37930.0,Shower Curtain Rods
184,2020-12-28,29648.0,Shower Curtain Rods
185,2020-12-29,31406.0,Shower Curtain Rods
186,2020-12-30,31406.0,Shower Curtain Rods
187,2020-12-31,31406.0,Shower Curtain Rods
188,2021-01-01,31406.0,Shower Curtain Rods
189,2021-01-02,14258.0,Shower Curtain Rods
190,2021-01-03,9891.0,Shower Curtain Rods
191,2021-01-04,9891.0,Shower Curtain Rods
192,2021-01-05,12262.0,Shower Curtain Rods
193,2021-01-06,11154.0,Shower Curtain Rods
194,2021-01-07,11154.0,Shower Curtain Rods
195,2021-01-08,11154.0,Shower Curtain Rods
196,2021-01-09,12561.0,Shower Curtain Rods
197,2021-01-10,12561.0,Shower Curtain Rods
198,2021-01-11,9796.0,Shower Curtain Rods
199,2021-01-12,9102.0,Shower Curtain Rods
200,2021-01-13,11447.0,Shower Curtain Rods
201,2021-01-14,10838.0,Shower Curtain Rods
202,2021-01-15,10838.0,Shower Curtain Rods
203,2021-01-16,10838.0,Shower Curtain Rods
204,2021-01-17,8538.0,Shower Curtain Rods
205,2021-01-18,8539.0,Shower Curtain Rods
206,2021-01-19,8539.0,Shower Curtain Rods
207,2021-01-20,7986.0,Shower Curtain Rods
208,2021-01-21,7986.0,Shower Curtain Rods
209,2021-01-22,7042.0,Shower Curtain Rods
210,2021-01-23,7042.0,Shower Curtain Rods
211,2021-01-24,7042.0,Shower Curtain Rods
212,2021-01-25,8562.0,Shower Curtain Rods
213,2021-01-26,8562.0,Shower Curtain Rods
214,2021-01-27,10851.0,Shower Curtain Rods
215,2021-01-28,10851.0,Shower Curtain Rods
216,2021-01-29,10851.0,Shower Curtain Rods
217,2021-01-30,9511.0,Shower Curtain Rods
218,2021-01-31,9511.0,Shower Curtain Rods
219,2021-02-01,9511.0,Shower Curtain Rods
220,2021-02-02,10009.0,Shower Curtain Rods
221,2021-02-03,10009.0,Shower Curtain Rods
222,2021-02-04,9541.0,Shower Curtain Rods
223,2021-02-05,9541.0,Shower Curtain Rods
224,2021-02-06,8263.0,Shower Curtain Rods
225,2021-02-07,8263.0,Shower Curtain Rods
226,2021-02-08,8263.0,Shower Curtain Rods
227,2021-02-09,11371.0,Shower Curtain Rods
228,2021-02-10,11371.0,Shower Curtain Rods
229,2021-02-11,11371.0,Shower Curtain Rods
230,2021-02-12,10675.0,Shower Curtain Rods
231,2021-02-13,10675.0,Shower Curtain Rods
232,2021-02-14,14664.0,Shower Curtain Rods
233,2021-02-15,14664.0,Shower Curtain Rods
234,2021-02-16,14664.0,Shower Curtain Rods
235,2021-02-17,12320.0,Shower Curtain Rods
236,2021-02-18,12320.0,Shower Curtain Rods
237,2021-02-19,17248.0,Shower Curtain Rods
238,2021-02-20,17248.0,Shower Curtain Rods
239,2021-02-21,17248.0,Shower Curtain Rods
240,2021-02-22,15068.0,Shower Curtain Rods
241,2021-02-23,15068.0,Shower Curtain Rods
242,2021-02-24,15068.0,Shower Curtain Rods
243,2021-02-25,20619.0,Shower Curtain Rods
244,2021-02-26,20619.0,Shower Curtain Rods
245,2021-02-27,20619.0,Shower Curtain Rods
246,2021-02-28,18967.0,Shower Curtain Rods
247,2021-03-01,18967.0,Shower Curtain Rods
248,2021-03-02,31829.0,Shower Curtain Rods
249,2021-03-03,28976.0,Shower Curtain Rods
250,2021-03-04,28976.0,Shower Curtain Rods
251,2021-03-05,28976.0,Shower Curtain Rods
252,2021-03-06,28976.0,Shower Curtain Rods
253,2021-03-07,28976.0,Shower Curtain Rods
254,2021-03-08,25565.0,Shower Curtain Rods
255,2021-03-09,25565.0,Shower Curtain Rods
256,2021-03-10,25565.0,Shower Curtain Rods
257,2021-03-11,35761.0,Shower Curtain Rods
258,2021-03-12,35761.0,Shower Curtain Rods
259,2021-03-13,35761.0,Shower Curtain Rods
260,2021-03-14,28721.0,Shower Curtain Rods
261,2021-03-15,28721.0,Shower Curtain Rods
262,2021-03-16,20976.0,Shower Curtain Rods
263,2021-03-17,20976.0,Shower Curtain Rods
264,2021-03-18,20976.0,Shower Curtain Rods
265,2021-03-19,12095.0,Shower Curtain Rods
266,2021-03-20,9893.0,Shower Curtain Rods
267,2021-03-21,9893.0,Shower Curtain Rods
268,2021-03-22,7406.0,Shower Curtain Rods
