,date,value,name_B07C2DW74M
305,2021-04-05,17217.0,Greeting Cards
306,2021-04-06,17217.0,Greeting Cards
307,2021-04-07,14487.0,Greeting Cards
308,2021-04-08,14487.0,Greeting Cards
309,2021-04-09,14085.0,Greeting Cards
310,2021-04-10,14085.0,Greeting Cards
311,2021-04-11,14085.0,Greeting Cards
312,2021-04-12,22717.0,Greeting Cards
313,2021-04-13,22717.0,Greeting Cards
314,2021-04-14,22717.0,Greeting Cards
315,2021-04-15,22717.0,Greeting Cards
316,2021-04-16,22717.0,Greeting Cards
317,2021-04-17,21394.0,Greeting Cards
318,2021-04-18,21394.0,Greeting Cards
319,2021-04-19,21394.0,Greeting Cards
320,2021-04-20,20972.0,Greeting Cards
321,2021-04-21,20972.0,Greeting Cards
322,2021-04-22,20972.0,Greeting Cards
323,2021-04-23,19501.0,Greeting Cards
324,2021-04-24,19782.0,Greeting Cards
325,2021-04-25,19782.0,Greeting Cards
326,2021-04-26,19782.0,Greeting Cards
327,2021-04-27,19782.0,Greeting Cards
328,2021-04-28,19782.0,Greeting Cards
329,2021-04-29,19782.0,Greeting Cards
330,2021-04-30,19782.0,Greeting Cards
331,2021-05-01,19782.0,Greeting Cards
332,2021-05-02,19782.0,Greeting Cards
333,2021-05-03,22509.0,Greeting Cards
334,2021-05-04,22509.0,Greeting Cards
335,2021-05-05,22509.0,Greeting Cards
336,2021-05-06,22509.0,Greeting Cards
337,2021-05-07,20673.0,Greeting Cards
338,2021-05-08,24192.0,Greeting Cards
339,2021-05-09,24192.0,Greeting Cards
340,2021-05-10,37365.0,Greeting Cards
341,2021-05-11,37365.0,Greeting Cards
342,2021-05-12,27279.0,Greeting Cards
343,2021-05-13,27279.0,Greeting Cards
344,2021-05-14,27279.0,Greeting Cards
345,2021-05-15,23473.0,Greeting Cards
346,2021-05-16,23473.0,Greeting Cards
347,2021-05-17,23473.0,Greeting Cards
348,2021-05-18,22603.0,Greeting Cards
349,2021-05-19,22603.0,Greeting Cards
350,2021-05-20,24456.0,Greeting Cards
351,2021-05-21,24456.0,Greeting Cards
352,2021-05-22,24456.0,Greeting Cards
353,2021-05-23,24456.0,Greeting Cards
354,2021-05-24,24456.0,Greeting Cards
355,2021-05-25,24456.0,Greeting Cards
356,2021-05-26,15394.0,Greeting Cards
357,2021-05-27,15394.0,Greeting Cards
358,2021-05-28,15394.0,Greeting Cards
359,2021-05-29,15394.0,Greeting Cards
360,2021-05-30,15394.0,Greeting Cards
361,2021-05-31,15394.0,Greeting Cards
362,2021-06-01,15394.0,Greeting Cards
363,2021-06-02,15394.0,Greeting Cards
364,2021-06-03,15394.0,Greeting Cards
365,2021-06-04,15394.0,Greeting Cards
366,2021-06-05,15394.0,Greeting Cards
367,2021-06-06,15394.0,Greeting Cards
368,2021-06-07,22477.0,Greeting Cards
369,2021-06-08,22477.0,Greeting Cards
370,2021-06-09,22477.0,Greeting Cards
371,2021-06-10,22477.0,Greeting Cards
372,2021-06-11,22477.0,Greeting Cards
373,2021-06-12,18395.0,Greeting Cards
374,2021-06-13,18395.0,Greeting Cards
375,2021-06-14,18395.0,Greeting Cards
376,2021-06-15,12547.0,Greeting Cards
377,2021-06-16,12547.0,Greeting Cards
378,2021-06-17,12547.0,Greeting Cards
379,2021-06-18,12547.0,Greeting Cards
380,2021-06-19,13635.0,Greeting Cards
381,2021-06-20,13635.0,Greeting Cards
382,2021-06-21,13635.0,Greeting Cards
383,2021-06-22,20076.0,Greeting Cards
384,2021-06-23,20076.0,Greeting Cards
385,2021-06-24,20076.0,Greeting Cards
386,2021-06-25,20076.0,Greeting Cards
387,2021-06-26,20076.0,Greeting Cards
388,2021-06-27,20076.0,Greeting Cards
389,2021-06-28,20076.0,Greeting Cards
390,2021-06-29,20076.0,Greeting Cards
391,2021-06-30,20076.0,Greeting Cards
392,2021-07-01,15910.0,Greeting Cards
393,2021-07-02,15910.0,Greeting Cards
394,2021-07-03,15910.0,Greeting Cards
395,2021-07-04,15910.0,Greeting Cards
396,2021-07-05,17120.0,Greeting Cards
397,2021-07-06,16028.0,Greeting Cards
398,2021-07-07,16028.0,Greeting Cards
399,2021-07-08,16028.0,Greeting Cards
400,2021-07-09,20352.0,Greeting Cards
