,date,value,name_B08PW33YG2
112,2021-04-09,16863.0,Open Storage Bins
113,2021-04-10,16863.0,Open Storage Bins
114,2021-04-11,14289.0,Open Storage Bins
115,2021-04-12,14289.0,Open Storage Bins
116,2021-04-13,16553.0,Open Storage Bins
117,2021-04-14,16553.0,Open Storage Bins
118,2021-04-15,16553.0,Open Storage Bins
119,2021-04-16,16158.0,Open Storage Bins
120,2021-04-17,20705.0,Open Storage Bins
121,2021-04-18,20705.0,Open Storage Bins
122,2021-04-19,20705.0,Open Storage Bins
123,2021-04-20,20705.0,Open Storage Bins
124,2021-04-21,20705.0,Open Storage Bins
125,2021-04-22,20705.0,Open Storage Bins
126,2021-04-23,70574.0,Open Storage Bins
127,2021-04-24,70574.0,Open Storage Bins
128,2021-04-25,70574.0,Open Storage Bins
129,2021-04-26,70574.0,Open Storage Bins
130,2021-04-27,70574.0,Open Storage Bins
131,2021-04-28,70574.0,Open Storage Bins
132,2021-04-29,79536.0,Open Storage Bins
133,2021-04-30,79536.0,Open Storage Bins
134,2021-05-01,79536.0,Open Storage Bins
135,2021-05-02,119928.0,Open Storage Bins
136,2021-05-03,119928.0,Open Storage Bins
137,2021-05-04,119928.0,Open Storage Bins
138,2021-05-05,119928.0,Open Storage Bins
139,2021-05-06,119928.0,Open Storage Bins
140,2021-05-07,121913.0,Open Storage Bins
141,2021-05-08,121913.0,Open Storage Bins
142,2021-05-09,121913.0,Open Storage Bins
143,2021-05-10,139918.0,Open Storage Bins
144,2021-05-11,139918.0,Open Storage Bins
145,2021-05-12,139918.0,Open Storage Bins
146,2021-05-13,139918.0,Open Storage Bins
147,2021-05-14,180740.0,Open Storage Bins
148,2021-05-15,180740.0,Open Storage Bins
149,2021-05-16,180740.0,Open Storage Bins
150,2021-05-17,180740.0,Open Storage Bins
151,2021-05-18,180740.0,Open Storage Bins
152,2021-05-19,180740.0,Open Storage Bins
153,2021-05-20,124483.0,Open Storage Bins
154,2021-05-21,124483.0,Open Storage Bins
155,2021-05-22,196686.0,Open Storage Bins
156,2021-05-23,196686.0,Open Storage Bins
157,2021-05-24,196686.0,Open Storage Bins
158,2021-05-25,196686.0,Open Storage Bins
159,2021-05-26,196686.0,Open Storage Bins
160,2021-05-27,196686.0,Open Storage Bins
161,2021-05-28,196686.0,Open Storage Bins
162,2021-05-29,80259.0,Open Storage Bins
163,2021-05-30,80259.0,Open Storage Bins
164,2021-05-31,80259.0,Open Storage Bins
165,2021-06-01,80259.0,Open Storage Bins
166,2021-06-02,48447.0,Open Storage Bins
167,2021-06-03,48447.0,Open Storage Bins
168,2021-06-04,48447.0,Open Storage Bins
169,2021-06-05,48447.0,Open Storage Bins
170,2021-06-06,48447.0,Open Storage Bins
171,2021-06-07,41420.0,Open Storage Bins
172,2021-06-08,36714.0,Open Storage Bins
173,2021-06-09,36714.0,Open Storage Bins
174,2021-06-10,35670.0,Open Storage Bins
175,2021-06-11,35670.0,Open Storage Bins
176,2021-06-12,35670.0,Open Storage Bins
177,2021-06-13,35670.0,Open Storage Bins
178,2021-06-14,35670.0,Open Storage Bins
179,2021-06-15,14829.0,Open Storage Bins
180,2021-06-16,13269.0,Open Storage Bins
181,2021-06-17,13269.0,Open Storage Bins
182,2021-06-18,13269.0,Open Storage Bins
183,2021-06-19,13436.0,Open Storage Bins
184,2021-06-20,13436.0,Open Storage Bins
185,2021-06-21,13436.0,Open Storage Bins
186,2021-06-22,18501.0,Open Storage Bins
187,2021-06-23,18501.0,Open Storage Bins
188,2021-06-24,18501.0,Open Storage Bins
189,2021-06-25,9629.0,Open Storage Bins
190,2021-06-26,9629.0,Open Storage Bins
191,2021-06-27,9629.0,Open Storage Bins
192,2021-06-28,4496.0,Open Storage Bins
193,2021-06-29,18755.0,Open Storage Bins
194,2021-06-30,18755.0,Open Storage Bins
195,2021-07-01,18755.0,Open Storage Bins
196,2021-07-02,56681.0,Open Storage Bins
197,2021-07-03,56681.0,Open Storage Bins
198,2021-07-04,56681.0,Open Storage Bins
199,2021-07-05,69679.0,Open Storage Bins
200,2021-07-06,67031.0,Open Storage Bins
201,2021-07-07,67031.0,Open Storage Bins
202,2021-07-08,67031.0,Open Storage Bins
203,2021-07-09,67031.0,Open Storage Bins
204,2021-07-10,67031.0,Open Storage Bins
205,2021-07-11,30324.0,Open Storage Bins
