,date,value,name_B081Q3359S
73,2020-08-07,4373.0,Walkie Talkies
74,2020-08-08,8926.0,Walkie Talkies
75,2020-08-09,8926.0,Walkie Talkies
76,2020-08-10,8926.0,Walkie Talkies
77,2020-08-11,8926.0,Walkie Talkies
78,2020-08-12,8926.0,Walkie Talkies
79,2020-08-13,8891.0,Walkie Talkies
80,2020-08-14,8891.0,Walkie Talkies
81,2020-08-15,8891.0,Walkie Talkies
82,2020-08-16,7754.0,Walkie Talkies
83,2020-08-17,7754.0,Walkie Talkies
84,2020-08-18,5441.0,Walkie Talkies
85,2020-08-19,5441.0,Walkie Talkies
86,2020-08-20,5441.0,Walkie Talkies
87,2020-08-21,5441.0,Walkie Talkies
88,2020-08-22,5441.0,Walkie Talkies
89,2020-08-23,6239.0,Walkie Talkies
90,2020-08-24,6402.0,Walkie Talkies
91,2020-08-25,7933.0,Walkie Talkies
92,2020-08-26,7933.0,Walkie Talkies
93,2020-08-27,7933.0,Walkie Talkies
94,2020-08-28,5540.0,Walkie Talkies
95,2020-08-29,5540.0,Walkie Talkies
96,2020-08-30,5540.0,Walkie Talkies
97,2020-08-31,7947.0,Walkie Talkies
98,2020-09-01,7947.0,Walkie Talkies
99,2020-09-02,7947.0,Walkie Talkies
100,2020-09-03,4403.0,Walkie Talkies
101,2020-09-04,4403.0,Walkie Talkies
102,2020-09-05,4403.0,Walkie Talkies
103,2020-09-06,4403.0,Walkie Talkies
104,2020-09-07,4403.0,Walkie Talkies
105,2020-09-08,4545.0,Walkie Talkies
106,2020-09-09,5733.0,Walkie Talkies
107,2020-09-10,5780.0,Walkie Talkies
108,2020-09-11,5780.0,Walkie Talkies
109,2020-09-12,5780.0,Walkie Talkies
110,2020-09-13,5780.0,Walkie Talkies
111,2020-09-14,4641.0,Walkie Talkies
112,2020-09-15,4641.0,Walkie Talkies
113,2020-09-16,4641.0,Walkie Talkies
114,2020-09-17,4139.0,Walkie Talkies
115,2020-09-18,4139.0,Walkie Talkies
116,2020-09-19,4881.0,Walkie Talkies
117,2020-09-20,4881.0,Walkie Talkies
118,2020-09-21,4881.0,Walkie Talkies
119,2020-09-22,3494.0,Walkie Talkies
120,2020-09-23,3494.0,Walkie Talkies
121,2020-09-24,3494.0,Walkie Talkies
122,2020-09-25,4073.0,Walkie Talkies
123,2020-09-26,4073.0,Walkie Talkies
124,2020-09-27,4073.0,Walkie Talkies
125,2020-09-28,2923.0,Walkie Talkies
126,2020-09-29,2923.0,Walkie Talkies
127,2020-09-30,4313.0,Walkie Talkies
128,2020-10-01,4313.0,Walkie Talkies
129,2020-10-02,4482.0,Walkie Talkies
130,2020-10-03,4482.0,Walkie Talkies
131,2020-10-04,4482.0,Walkie Talkies
132,2020-10-05,4231.0,Walkie Talkies
133,2020-10-06,4231.0,Walkie Talkies
134,2020-10-07,4231.0,Walkie Talkies
135,2020-10-08,3961.0,Walkie Talkies
136,2020-10-09,3961.0,Walkie Talkies
137,2020-10-10,4353.0,Walkie Talkies
138,2020-10-11,4353.0,Walkie Talkies
139,2020-10-12,3061.0,Walkie Talkies
140,2020-10-13,3061.0,Walkie Talkies
141,2020-10-14,4829.0,Walkie Talkies
142,2020-10-15,4607.0,Walkie Talkies
143,2020-10-16,4607.0,Walkie Talkies
144,2020-10-17,4607.0,Walkie Talkies
145,2020-10-18,4084.0,Walkie Talkies
146,2020-10-19,4097.0,Walkie Talkies
147,2020-10-20,3595.0,Walkie Talkies
148,2020-10-21,3595.0,Walkie Talkies
149,2020-10-22,3595.0,Walkie Talkies
150,2020-10-23,2762.0,Walkie Talkies
151,2020-10-24,2762.0,Walkie Talkies
152,2020-10-25,2762.0,Walkie Talkies
153,2020-10-26,2786.0,Walkie Talkies
154,2020-10-27,2786.0,Walkie Talkies
155,2020-10-28,3009.0,Walkie Talkies
156,2020-10-29,3009.0,Walkie Talkies
157,2020-10-30,3158.0,Walkie Talkies
158,2020-10-31,2138.0,Walkie Talkies
159,2020-11-01,1828.0,Walkie Talkies
160,2020-11-02,1828.0,Walkie Talkies
161,2020-11-03,1863.0,Walkie Talkies
162,2020-11-04,1863.0,Walkie Talkies
163,2020-11-05,1863.0,Walkie Talkies
164,2020-11-06,2370.0,Walkie Talkies
165,2020-11-07,2370.0,Walkie Talkies
166,2020-11-08,2370.0,Walkie Talkies
167,2020-11-09,2580.0,Walkie Talkies
168,2020-11-10,2487.0,Walkie Talkies
169,2020-11-11,2498.0,Walkie Talkies
170,2020-11-12,2498.0,Walkie Talkies
171,2020-11-13,2498.0,Walkie Talkies
172,2020-11-14,2362.0,Walkie Talkies
173,2020-11-15,2362.0,Walkie Talkies
174,2020-11-16,2717.0,Walkie Talkies
175,2020-11-17,2717.0,Walkie Talkies
176,2020-11-18,3430.0,Walkie Talkies
177,2020-11-19,3430.0,Walkie Talkies
178,2020-11-20,3269.0,Walkie Talkies
179,2020-11-21,3269.0,Walkie Talkies
180,2020-11-22,3269.0,Walkie Talkies
181,2020-11-23,4066.0,Walkie Talkies
182,2020-11-24,4066.0,Walkie Talkies
183,2020-11-25,4657.0,Walkie Talkies
184,2020-11-26,4657.0,Walkie Talkies
185,2020-11-27,4657.0,Walkie Talkies
186,2020-11-28,6171.0,Walkie Talkies
187,2020-11-29,6171.0,Walkie Talkies
188,2020-11-30,6171.0,Walkie Talkies
189,2020-12-01,6171.0,Walkie Talkies
190,2020-12-02,4207.0,Walkie Talkies
191,2020-12-03,4097.0,Walkie Talkies
192,2020-12-04,4097.0,Walkie Talkies
193,2020-12-05,3037.0,Walkie Talkies
194,2020-12-06,3037.0,Walkie Talkies
195,2020-12-07,3037.0,Walkie Talkies
196,2020-12-08,2739.0,Walkie Talkies
197,2020-12-09,2739.0,Walkie Talkies
198,2020-12-10,2739.0,Walkie Talkies
199,2020-12-11,2739.0,Walkie Talkies
200,2020-12-12,5555.0,Walkie Talkies
201,2020-12-13,5555.0,Walkie Talkies
202,2020-12-14,5555.0,Walkie Talkies
203,2020-12-15,13115.0,Walkie Talkies
204,2020-12-16,13115.0,Walkie Talkies
205,2020-12-17,13115.0,Walkie Talkies
206,2020-12-18,4330.0,Walkie Talkies
207,2020-12-19,4330.0,Walkie Talkies
208,2020-12-20,4330.0,Walkie Talkies
209,2020-12-21,5234.0,Walkie Talkies
210,2020-12-22,5234.0,Walkie Talkies
211,2020-12-23,5234.0,Walkie Talkies
212,2020-12-24,1511.0,Walkie Talkies
213,2020-12-25,1511.0,Walkie Talkies
214,2020-12-26,2045.0,Walkie Talkies
215,2020-12-27,2045.0,Walkie Talkies
216,2020-12-28,2820.0,Walkie Talkies
217,2020-12-29,2820.0,Walkie Talkies
218,2020-12-30,3607.0,Walkie Talkies
219,2020-12-31,3607.0,Walkie Talkies
220,2021-01-01,3607.0,Walkie Talkies
221,2021-01-02,3607.0,Walkie Talkies
222,2021-01-03,4620.0,Walkie Talkies
223,2021-01-04,4620.0,Walkie Talkies
224,2021-01-05,4620.0,Walkie Talkies
225,2021-01-06,3876.0,Walkie Talkies
226,2021-01-07,3876.0,Walkie Talkies
227,2021-01-08,3876.0,Walkie Talkies
228,2021-01-09,3857.0,Walkie Talkies
229,2021-01-10,4526.0,Walkie Talkies
230,2021-01-11,4526.0,Walkie Talkies
231,2021-01-12,3747.0,Walkie Talkies
232,2021-01-13,3747.0,Walkie Talkies
233,2021-01-14,3747.0,Walkie Talkies
234,2021-01-15,3825.0,Walkie Talkies
235,2021-01-16,3825.0,Walkie Talkies
236,2021-01-17,3825.0,Walkie Talkies
237,2021-01-18,5546.0,Walkie Talkies
238,2021-01-19,5546.0,Walkie Talkies
239,2021-01-20,5546.0,Walkie Talkies
240,2021-01-21,5546.0,Walkie Talkies
241,2021-01-22,3923.0,Walkie Talkies
242,2021-01-23,3923.0,Walkie Talkies
243,2021-01-24,4702.0,Walkie Talkies
244,2021-01-25,4702.0,Walkie Talkies
245,2021-01-26,4702.0,Walkie Talkies
246,2021-01-27,4702.0,Walkie Talkies
247,2021-01-28,2879.0,Walkie Talkies
248,2021-01-29,2879.0,Walkie Talkies
249,2021-01-30,2484.0,Walkie Talkies
250,2021-01-31,2484.0,Walkie Talkies
251,2021-02-01,2484.0,Walkie Talkies
252,2021-02-02,3197.0,Walkie Talkies
253,2021-02-03,3009.0,Walkie Talkies
254,2021-02-04,3009.0,Walkie Talkies
255,2021-02-05,4000.0,Walkie Talkies
256,2021-02-06,4522.0,Walkie Talkies
257,2021-02-07,4522.0,Walkie Talkies
258,2021-02-08,4522.0,Walkie Talkies
259,2021-02-09,3888.0,Walkie Talkies
260,2021-02-10,3888.0,Walkie Talkies
261,2021-02-11,3888.0,Walkie Talkies
262,2021-02-12,4600.0,Walkie Talkies
263,2021-02-13,4600.0,Walkie Talkies
264,2021-02-14,4600.0,Walkie Talkies
265,2021-02-15,2915.0,Walkie Talkies
266,2021-02-16,2915.0,Walkie Talkies
267,2021-02-17,4055.0,Walkie Talkies
268,2021-02-18,4055.0,Walkie Talkies
269,2021-02-19,4545.0,Walkie Talkies
270,2021-02-20,4545.0,Walkie Talkies
271,2021-02-21,4545.0,Walkie Talkies
272,2021-02-22,3895.0,Walkie Talkies
273,2021-02-23,3895.0,Walkie Talkies
274,2021-02-24,3895.0,Walkie Talkies
275,2021-02-25,1735.0,Walkie Talkies
276,2021-02-26,1735.0,Walkie Talkies
277,2021-02-27,1735.0,Walkie Talkies
278,2021-02-28,1105.0,Walkie Talkies
279,2021-03-01,903.0,Walkie Talkies
280,2021-03-02,1003.0,Walkie Talkies
281,2021-03-03,1003.0,Walkie Talkies
282,2021-03-04,1269.0,Walkie Talkies
283,2021-03-05,1269.0,Walkie Talkies
284,2021-03-06,1269.0,Walkie Talkies
285,2021-03-07,1379.0,Walkie Talkies
286,2021-03-08,1379.0,Walkie Talkies
287,2021-03-09,1557.0,Walkie Talkies
288,2021-03-10,1567.0,Walkie Talkies
289,2021-03-11,1567.0,Walkie Talkies
290,2021-03-12,1567.0,Walkie Talkies
291,2021-03-13,1401.0,Walkie Talkies
292,2021-03-14,1401.0,Walkie Talkies
293,2021-03-15,1552.0,Walkie Talkies
294,2021-03-16,1552.0,Walkie Talkies
295,2021-03-17,1634.0,Walkie Talkies
296,2021-03-18,1752.0,Walkie Talkies
297,2021-03-19,1512.0,Walkie Talkies
298,2021-03-20,1512.0,Walkie Talkies
299,2021-03-21,1988.0,Walkie Talkies
300,2021-03-22,1988.0,Walkie Talkies
301,2021-03-23,1988.0,Walkie Talkies
302,2021-03-24,1959.0,Walkie Talkies
303,2021-03-25,1959.0,Walkie Talkies
304,2021-03-26,2227.0,Walkie Talkies
305,2021-03-27,2227.0,Walkie Talkies
306,2021-03-28,2227.0,Walkie Talkies
307,2021-03-29,1953.0,Walkie Talkies
308,2021-03-30,1953.0,Walkie Talkies
309,2021-03-31,2194.0,Walkie Talkies
310,2021-04-01,2194.0,Walkie Talkies
311,2021-04-02,2194.0,Walkie Talkies
312,2021-04-03,1920.0,Walkie Talkies
313,2021-04-04,1920.0,Walkie Talkies
314,2021-04-05,2378.0,Walkie Talkies
315,2021-04-06,2378.0,Walkie Talkies
316,2021-04-07,2378.0,Walkie Talkies
317,2021-04-08,1688.0,Walkie Talkies
318,2021-04-09,1688.0,Walkie Talkies
319,2021-04-10,2815.0,Walkie Talkies
320,2021-04-11,2815.0,Walkie Talkies
321,2021-04-12,4029.0,Walkie Talkies
322,2021-04-13,4029.0,Walkie Talkies
323,2021-04-14,4029.0,Walkie Talkies
324,2021-04-15,3894.0,Walkie Talkies
325,2021-04-16,3894.0,Walkie Talkies
326,2021-04-17,4671.0,Walkie Talkies
327,2021-04-18,4671.0,Walkie Talkies
328,2021-04-19,4671.0,Walkie Talkies
329,2021-04-20,8210.0,Walkie Talkies
330,2021-04-21,8210.0,Walkie Talkies
331,2021-04-22,5868.0,Walkie Talkies
332,2021-04-23,5868.0,Walkie Talkies
333,2021-04-24,5868.0,Walkie Talkies
334,2021-04-25,6522.0,Walkie Talkies
335,2021-04-26,5118.0,Walkie Talkies
336,2021-04-27,5118.0,Walkie Talkies
337,2021-04-28,3366.0,Walkie Talkies
338,2021-04-29,3366.0,Walkie Talkies
339,2021-04-30,4482.0,Walkie Talkies
340,2021-05-01,4482.0,Walkie Talkies
341,2021-05-02,3739.0,Walkie Talkies
342,2021-05-03,3739.0,Walkie Talkies
343,2021-05-04,3610.0,Walkie Talkies
344,2021-05-05,3610.0,Walkie Talkies
345,2021-05-06,3333.0,Walkie Talkies
346,2021-05-07,3333.0,Walkie Talkies
347,2021-05-08,2839.0,Walkie Talkies
348,2021-05-09,2839.0,Walkie Talkies
349,2021-05-10,2839.0,Walkie Talkies
350,2021-05-11,3106.0,Walkie Talkies
351,2021-05-12,3106.0,Walkie Talkies
352,2021-05-13,2115.0,Walkie Talkies
353,2021-05-14,2115.0,Walkie Talkies
354,2021-05-15,2115.0,Walkie Talkies
355,2021-05-16,2160.0,Walkie Talkies
356,2021-05-17,2255.0,Walkie Talkies
357,2021-05-18,2008.0,Walkie Talkies
358,2021-05-19,2378.0,Walkie Talkies
359,2021-05-20,2143.0,Walkie Talkies
360,2021-05-21,2143.0,Walkie Talkies
361,2021-05-22,2366.0,Walkie Talkies
362,2021-05-23,2366.0,Walkie Talkies
363,2021-05-24,2158.0,Walkie Talkies
364,2021-05-25,2158.0,Walkie Talkies
365,2021-05-26,2118.0,Walkie Talkies
366,2021-05-27,2118.0,Walkie Talkies
367,2021-05-28,2608.0,Walkie Talkies
368,2021-05-29,2608.0,Walkie Talkies
369,2021-05-30,2845.0,Walkie Talkies
370,2021-05-31,2845.0,Walkie Talkies
371,2021-06-01,2845.0,Walkie Talkies
372,2021-06-02,2643.0,Walkie Talkies
373,2021-06-03,2643.0,Walkie Talkies
374,2021-06-04,2976.0,Walkie Talkies
375,2021-06-05,2391.0,Walkie Talkies
376,2021-06-06,2391.0,Walkie Talkies
377,2021-06-07,2391.0,Walkie Talkies
378,2021-06-08,2272.0,Walkie Talkies
379,2021-06-09,2266.0,Walkie Talkies
380,2021-06-10,2266.0,Walkie Talkies
381,2021-06-11,2266.0,Walkie Talkies
382,2021-06-12,2144.0,Walkie Talkies
383,2021-06-13,2144.0,Walkie Talkies
384,2021-06-14,2614.0,Walkie Talkies
385,2021-06-15,1961.0,Walkie Talkies
386,2021-06-16,1735.0,Walkie Talkies
387,2021-06-17,1402.0,Walkie Talkies
388,2021-06-18,1843.0,Walkie Talkies
389,2021-06-19,1951.0,Walkie Talkies
390,2021-06-20,1951.0,Walkie Talkies
391,2021-06-21,1426.0,Walkie Talkies
392,2021-06-22,3199.0,Walkie Talkies
393,2021-06-23,4057.0,Walkie Talkies
394,2021-06-24,4057.0,Walkie Talkies
395,2021-06-25,3260.0,Walkie Talkies
396,2021-06-26,3260.0,Walkie Talkies
397,2021-06-27,2753.0,Walkie Talkies
398,2021-06-28,2998.0,Walkie Talkies
399,2021-06-29,3394.0,Walkie Talkies
400,2021-06-30,3019.0,Walkie Talkies
401,2021-07-01,3019.0,Walkie Talkies
402,2021-07-02,3036.0,Walkie Talkies
403,2021-07-03,3036.0,Walkie Talkies
404,2021-07-04,2977.0,Walkie Talkies
405,2021-07-05,3782.0,Walkie Talkies
406,2021-07-06,3782.0,Walkie Talkies
407,2021-07-07,1840.0,Walkie Talkies
408,2021-07-08,1840.0,Walkie Talkies
409,2021-07-09,1840.0,Walkie Talkies
410,2021-07-10,2253.0,Walkie Talkies
411,2021-07-11,1960.0,Walkie Talkies
