,date,value,name_B08LMW8F4Y
80,2021-01-15,1041.0,Outdoor Fryer Accessories
81,2021-01-16,1169.0,Outdoor Fryer Accessories
82,2021-01-17,1169.0,Outdoor Fryer Accessories
83,2021-01-18,1169.0,Outdoor Fryer Accessories
84,2021-01-19,1385.0,Outdoor Fryer Accessories
85,2021-01-20,1385.0,Outdoor Fryer Accessories
86,2021-01-21,1504.0,Outdoor Fryer Accessories
87,2021-01-22,1504.0,Outdoor Fryer Accessories
88,2021-01-23,1504.0,Outdoor Fryer Accessories
89,2021-01-24,941.0,Outdoor Fryer Accessories
90,2021-01-25,941.0,Outdoor Fryer Accessories
91,2021-01-26,941.0,Outdoor Fryer Accessories
92,2021-01-27,1310.0,Outdoor Fryer Accessories
93,2021-01-28,1186.0,Outdoor Fryer Accessories
94,2021-01-29,1186.0,Outdoor Fryer Accessories
95,2021-01-30,1000.0,Outdoor Fryer Accessories
96,2021-01-31,1000.0,Outdoor Fryer Accessories
97,2021-02-01,1000.0,Outdoor Fryer Accessories
98,2021-02-02,1000.0,Outdoor Fryer Accessories
99,2021-02-03,1365.0,Outdoor Fryer Accessories
100,2021-02-04,1365.0,Outdoor Fryer Accessories
101,2021-02-05,1688.0,Outdoor Fryer Accessories
102,2021-02-06,1688.0,Outdoor Fryer Accessories
103,2021-02-07,1688.0,Outdoor Fryer Accessories
104,2021-02-08,1604.0,Outdoor Fryer Accessories
105,2021-02-09,1604.0,Outdoor Fryer Accessories
106,2021-02-10,1604.0,Outdoor Fryer Accessories
107,2021-02-11,3620.0,Outdoor Fryer Accessories
108,2021-02-12,3620.0,Outdoor Fryer Accessories
109,2021-02-13,3620.0,Outdoor Fryer Accessories
110,2021-02-14,1880.0,Outdoor Fryer Accessories
111,2021-02-15,1880.0,Outdoor Fryer Accessories
112,2021-02-16,1880.0,Outdoor Fryer Accessories
113,2021-02-17,1927.0,Outdoor Fryer Accessories
114,2021-02-18,1927.0,Outdoor Fryer Accessories
115,2021-02-19,2358.0,Outdoor Fryer Accessories
116,2021-02-20,2358.0,Outdoor Fryer Accessories
117,2021-02-21,3082.0,Outdoor Fryer Accessories
118,2021-02-22,3082.0,Outdoor Fryer Accessories
119,2021-02-23,3082.0,Outdoor Fryer Accessories
120,2021-02-24,2496.0,Outdoor Fryer Accessories
121,2021-02-25,2496.0,Outdoor Fryer Accessories
122,2021-02-26,2496.0,Outdoor Fryer Accessories
123,2021-02-27,2639.0,Outdoor Fryer Accessories
124,2021-02-28,2639.0,Outdoor Fryer Accessories
125,2021-03-01,2639.0,Outdoor Fryer Accessories
126,2021-03-02,1527.0,Outdoor Fryer Accessories
127,2021-03-03,1527.0,Outdoor Fryer Accessories
128,2021-03-04,1901.0,Outdoor Fryer Accessories
129,2021-03-05,1901.0,Outdoor Fryer Accessories
130,2021-03-06,1901.0,Outdoor Fryer Accessories
131,2021-03-07,1362.0,Outdoor Fryer Accessories
132,2021-03-08,1362.0,Outdoor Fryer Accessories
133,2021-03-09,1302.0,Outdoor Fryer Accessories
134,2021-03-10,1302.0,Outdoor Fryer Accessories
135,2021-03-11,1292.0,Outdoor Fryer Accessories
136,2021-03-12,1292.0,Outdoor Fryer Accessories
137,2021-03-13,1533.0,Outdoor Fryer Accessories
138,2021-03-14,1533.0,Outdoor Fryer Accessories
139,2021-03-15,1533.0,Outdoor Fryer Accessories
140,2021-03-16,1291.0,Outdoor Fryer Accessories
141,2021-03-17,1291.0,Outdoor Fryer Accessories
142,2021-03-18,1291.0,Outdoor Fryer Accessories
143,2021-03-19,971.0,Outdoor Fryer Accessories
144,2021-03-20,971.0,Outdoor Fryer Accessories
145,2021-03-21,773.0,Outdoor Fryer Accessories
146,2021-03-22,773.0,Outdoor Fryer Accessories
147,2021-03-23,773.0,Outdoor Fryer Accessories
148,2021-03-24,858.0,Outdoor Fryer Accessories
149,2021-03-25,858.0,Outdoor Fryer Accessories
150,2021-03-26,858.0,Outdoor Fryer Accessories
151,2021-03-27,1051.0,Outdoor Fryer Accessories
152,2021-03-28,1051.0,Outdoor Fryer Accessories
153,2021-03-29,1227.0,Outdoor Fryer Accessories
154,2021-03-30,1227.0,Outdoor Fryer Accessories
155,2021-03-31,1151.0,Outdoor Fryer Accessories
156,2021-04-01,1151.0,Outdoor Fryer Accessories
157,2021-04-02,1151.0,Outdoor Fryer Accessories
158,2021-04-03,1151.0,Outdoor Fryer Accessories
159,2021-04-04,1110.0,Outdoor Fryer Accessories
160,2021-04-05,1110.0,Outdoor Fryer Accessories
161,2021-04-06,1269.0,Outdoor Fryer Accessories
162,2021-04-07,1269.0,Outdoor Fryer Accessories
163,2021-04-08,1269.0,Outdoor Fryer Accessories
164,2021-04-09,1556.0,Outdoor Fryer Accessories
165,2021-04-10,1556.0,Outdoor Fryer Accessories
166,2021-04-11,1552.0,Outdoor Fryer Accessories
167,2021-04-12,1552.0,Outdoor Fryer Accessories
168,2021-04-13,1432.0,Outdoor Fryer Accessories
169,2021-04-14,1568.0,Outdoor Fryer Accessories
170,2021-04-15,1568.0,Outdoor Fryer Accessories
171,2021-04-16,1427.0,Outdoor Fryer Accessories
172,2021-04-17,1427.0,Outdoor Fryer Accessories
173,2021-04-18,1427.0,Outdoor Fryer Accessories
174,2021-04-19,1561.0,Outdoor Fryer Accessories
175,2021-04-20,1561.0,Outdoor Fryer Accessories
176,2021-04-21,1793.0,Outdoor Fryer Accessories
177,2021-04-22,1793.0,Outdoor Fryer Accessories
178,2021-04-23,1793.0,Outdoor Fryer Accessories
179,2021-04-24,1332.0,Outdoor Fryer Accessories
180,2021-04-25,1332.0,Outdoor Fryer Accessories
181,2021-04-26,1263.0,Outdoor Fryer Accessories
182,2021-04-27,1263.0,Outdoor Fryer Accessories
183,2021-04-28,1253.0,Outdoor Fryer Accessories
184,2021-04-29,1253.0,Outdoor Fryer Accessories
185,2021-04-30,1283.0,Outdoor Fryer Accessories
186,2021-05-01,1283.0,Outdoor Fryer Accessories
187,2021-05-02,1283.0,Outdoor Fryer Accessories
188,2021-05-03,1396.0,Outdoor Fryer Accessories
189,2021-05-04,1396.0,Outdoor Fryer Accessories
190,2021-05-05,1752.0,Outdoor Fryer Accessories
191,2021-05-06,1867.0,Outdoor Fryer Accessories
192,2021-05-07,1695.0,Outdoor Fryer Accessories
193,2021-05-08,1695.0,Outdoor Fryer Accessories
194,2021-05-09,1583.0,Outdoor Fryer Accessories
195,2021-05-10,1583.0,Outdoor Fryer Accessories
196,2021-05-11,1597.0,Outdoor Fryer Accessories
197,2021-05-12,1597.0,Outdoor Fryer Accessories
198,2021-05-13,1553.0,Outdoor Fryer Accessories
199,2021-05-14,1921.0,Outdoor Fryer Accessories
200,2021-05-15,2034.0,Outdoor Fryer Accessories
201,2021-05-16,2034.0,Outdoor Fryer Accessories
202,2021-05-17,2034.0,Outdoor Fryer Accessories
203,2021-05-18,1763.0,Outdoor Fryer Accessories
204,2021-05-19,1763.0,Outdoor Fryer Accessories
205,2021-05-20,1856.0,Outdoor Fryer Accessories
206,2021-05-21,1856.0,Outdoor Fryer Accessories
207,2021-05-22,1621.0,Outdoor Fryer Accessories
208,2021-05-23,1621.0,Outdoor Fryer Accessories
209,2021-05-24,1729.0,Outdoor Fryer Accessories
210,2021-05-25,1729.0,Outdoor Fryer Accessories
211,2021-05-26,1563.0,Outdoor Fryer Accessories
212,2021-05-27,1677.0,Outdoor Fryer Accessories
213,2021-05-28,2189.0,Outdoor Fryer Accessories
214,2021-05-29,2189.0,Outdoor Fryer Accessories
215,2021-05-30,1289.0,Outdoor Fryer Accessories
216,2021-05-31,1289.0,Outdoor Fryer Accessories
217,2021-06-01,1042.0,Outdoor Fryer Accessories
218,2021-06-02,1042.0,Outdoor Fryer Accessories
219,2021-06-03,1042.0,Outdoor Fryer Accessories
220,2021-06-04,1222.0,Outdoor Fryer Accessories
221,2021-06-05,1222.0,Outdoor Fryer Accessories
222,2021-06-06,1296.0,Outdoor Fryer Accessories
223,2021-06-07,1009.0,Outdoor Fryer Accessories
224,2021-06-08,1255.0,Outdoor Fryer Accessories
225,2021-06-09,920.0,Outdoor Fryer Accessories
226,2021-06-10,1149.0,Outdoor Fryer Accessories
227,2021-06-11,1149.0,Outdoor Fryer Accessories
228,2021-06-12,1036.0,Outdoor Fryer Accessories
229,2021-06-13,1036.0,Outdoor Fryer Accessories
230,2021-06-14,980.0,Outdoor Fryer Accessories
231,2021-06-15,826.0,Outdoor Fryer Accessories
232,2021-06-16,826.0,Outdoor Fryer Accessories
233,2021-06-17,608.0,Outdoor Fryer Accessories
234,2021-06-18,717.0,Outdoor Fryer Accessories
235,2021-06-19,717.0,Outdoor Fryer Accessories
236,2021-06-20,764.0,Outdoor Fryer Accessories
237,2021-06-21,717.0,Outdoor Fryer Accessories
238,2021-06-22,1291.0,Outdoor Fryer Accessories
239,2021-06-23,1484.0,Outdoor Fryer Accessories
240,2021-06-24,1484.0,Outdoor Fryer Accessories
241,2021-06-25,1305.0,Outdoor Fryer Accessories
242,2021-06-26,1140.0,Outdoor Fryer Accessories
243,2021-06-27,1140.0,Outdoor Fryer Accessories
244,2021-06-28,852.0,Outdoor Fryer Accessories
245,2021-06-29,894.0,Outdoor Fryer Accessories
246,2021-06-30,894.0,Outdoor Fryer Accessories
247,2021-07-01,936.0,Outdoor Fryer Accessories
248,2021-07-02,936.0,Outdoor Fryer Accessories
249,2021-07-03,936.0,Outdoor Fryer Accessories
250,2021-07-04,1325.0,Outdoor Fryer Accessories
251,2021-07-05,1150.0,Outdoor Fryer Accessories
252,2021-07-06,1150.0,Outdoor Fryer Accessories
253,2021-07-07,853.0,Outdoor Fryer Accessories
254,2021-07-08,853.0,Outdoor Fryer Accessories
255,2021-07-09,980.0,Outdoor Fryer Accessories
256,2021-07-10,980.0,Outdoor Fryer Accessories
257,2021-07-11,997.0,Outdoor Fryer Accessories
