,date,value,name_B08S7NLY7N
83,2021-04-08,6445.0,Collagen
84,2021-04-09,7067.0,Collagen
85,2021-04-10,7067.0,Collagen
86,2021-04-11,7067.0,Collagen
87,2021-04-12,3414.0,Collagen
88,2021-04-13,3414.0,Collagen
89,2021-04-14,3598.0,Collagen
90,2021-04-15,3598.0,Collagen
91,2021-04-16,2446.0,Collagen
92,2021-04-17,2446.0,Collagen
93,2021-04-18,2486.0,Collagen
94,2021-04-19,2486.0,Collagen
95,2021-04-20,4776.0,Collagen
96,2021-04-21,4680.0,Collagen
97,2021-04-22,5549.0,Collagen
98,2021-04-23,5702.0,Collagen
99,2021-04-24,5702.0,Collagen
100,2021-04-25,5702.0,Collagen
101,2021-04-26,4835.0,Collagen
102,2021-04-27,4835.0,Collagen
103,2021-04-28,4835.0,Collagen
104,2021-04-29,6214.0,Collagen
105,2021-04-30,6214.0,Collagen
106,2021-05-01,6214.0,Collagen
107,2021-05-02,7309.0,Collagen
108,2021-05-03,7309.0,Collagen
109,2021-05-04,7309.0,Collagen
110,2021-05-05,6688.0,Collagen
111,2021-05-06,6688.0,Collagen
112,2021-05-07,6688.0,Collagen
113,2021-05-08,7286.0,Collagen
114,2021-05-09,7286.0,Collagen
115,2021-05-10,5894.0,Collagen
116,2021-05-11,5381.0,Collagen
117,2021-05-12,5381.0,Collagen
118,2021-05-13,5381.0,Collagen
119,2021-05-14,5790.0,Collagen
120,2021-05-15,5790.0,Collagen
121,2021-05-16,5863.0,Collagen
122,2021-05-17,5863.0,Collagen
123,2021-05-18,4884.0,Collagen
124,2021-05-19,4884.0,Collagen
125,2021-05-20,5031.0,Collagen
126,2021-05-21,4777.0,Collagen
127,2021-05-22,4735.0,Collagen
128,2021-05-23,4579.0,Collagen
129,2021-05-24,4438.0,Collagen
130,2021-05-25,5493.0,Collagen
131,2021-05-26,5493.0,Collagen
132,2021-05-27,5747.0,Collagen
133,2021-05-28,5747.0,Collagen
134,2021-05-29,5747.0,Collagen
135,2021-05-30,4794.0,Collagen
136,2021-05-31,4794.0,Collagen
137,2021-06-01,6436.0,Collagen
138,2021-06-02,6436.0,Collagen
139,2021-06-03,6436.0,Collagen
140,2021-06-04,6770.0,Collagen
141,2021-06-05,6770.0,Collagen
142,2021-06-06,6770.0,Collagen
143,2021-06-07,6300.0,Collagen
144,2021-06-08,6300.0,Collagen
145,2021-06-09,5971.0,Collagen
146,2021-06-10,5971.0,Collagen
147,2021-06-11,5971.0,Collagen
148,2021-06-12,5986.0,Collagen
149,2021-06-13,5986.0,Collagen
150,2021-06-14,5986.0,Collagen
151,2021-06-15,6610.0,Collagen
152,2021-06-16,6610.0,Collagen
153,2021-06-17,6585.0,Collagen
154,2021-06-18,6585.0,Collagen
155,2021-06-19,6585.0,Collagen
156,2021-06-20,7874.0,Collagen
157,2021-06-21,7154.0,Collagen
158,2021-06-22,4276.0,Collagen
159,2021-06-23,4276.0,Collagen
160,2021-06-24,4276.0,Collagen
161,2021-06-25,6191.0,Collagen
162,2021-06-26,6191.0,Collagen
163,2021-06-27,6191.0,Collagen
164,2021-06-28,6708.0,Collagen
165,2021-06-29,6708.0,Collagen
166,2021-06-30,4538.0,Collagen
167,2021-07-01,4686.0,Collagen
168,2021-07-02,4686.0,Collagen
169,2021-07-03,5510.0,Collagen
170,2021-07-04,5510.0,Collagen
171,2021-07-05,4616.0,Collagen
172,2021-07-06,4616.0,Collagen
173,2021-07-07,4616.0,Collagen
174,2021-07-08,4616.0,Collagen
175,2021-07-09,6885.0,Collagen
176,2021-07-10,6885.0,Collagen
177,2021-07-11,6307.0,Collagen
