,date,value,name_B08XY9H851
83,2021-05-31,25354.0,Herbal Supplements
84,2021-06-01,25354.0,Herbal Supplements
85,2021-06-02,25354.0,Herbal Supplements
86,2021-06-03,25354.0,Herbal Supplements
87,2021-06-04,25354.0,Herbal Supplements
88,2021-06-05,25354.0,Herbal Supplements
89,2021-06-06,25354.0,Herbal Supplements
90,2021-06-07,23809.0,Herbal Supplements
91,2021-06-08,23809.0,Herbal Supplements
92,2021-06-09,23809.0,Herbal Supplements
93,2021-06-10,19754.0,Herbal Supplements
94,2021-06-11,19754.0,Herbal Supplements
95,2021-06-12,22279.0,Herbal Supplements
96,2021-06-13,22279.0,Herbal Supplements
97,2021-06-14,22279.0,Herbal Supplements
98,2021-06-15,18635.0,Herbal Supplements
99,2021-06-16,18635.0,Herbal Supplements
100,2021-06-17,15293.0,Herbal Supplements
101,2021-06-18,15293.0,Herbal Supplements
102,2021-06-19,18154.0,Herbal Supplements
103,2021-06-20,18154.0,Herbal Supplements
104,2021-06-21,13223.0,Herbal Supplements
105,2021-06-22,12464.0,Herbal Supplements
106,2021-06-23,12464.0,Herbal Supplements
107,2021-06-24,12464.0,Herbal Supplements
108,2021-06-25,13773.0,Herbal Supplements
109,2021-06-26,13773.0,Herbal Supplements
110,2021-06-27,13773.0,Herbal Supplements
111,2021-06-28,17097.0,Herbal Supplements
112,2021-06-29,17097.0,Herbal Supplements
113,2021-06-30,15963.0,Herbal Supplements
114,2021-07-01,24817.0,Herbal Supplements
115,2021-07-02,24817.0,Herbal Supplements
116,2021-07-03,24817.0,Herbal Supplements
117,2021-07-04,24817.0,Herbal Supplements
118,2021-07-05,24817.0,Herbal Supplements
119,2021-07-06,24817.0,Herbal Supplements
120,2021-07-07,22347.0,Herbal Supplements
121,2021-07-08,22347.0,Herbal Supplements
122,2021-07-09,22347.0,Herbal Supplements
123,2021-07-10,19069.0,Herbal Supplements
