,date,value,name_B076YGNW2Z
235,2018-07-07,134060.0,Reading Glasses
236,2018-07-08,268164.0,Reading Glasses
237,2018-07-09,122156.0,Reading Glasses
238,2018-07-10,110749.0,Reading Glasses
239,2018-07-11,110749.0,Reading Glasses
240,2018-07-12,232456.0,Reading Glasses
241,2018-07-13,193386.0,Reading Glasses
242,2018-07-14,64047.0,Reading Glasses
243,2018-07-15,158132.0,Reading Glasses
244,2018-07-16,67900.0,Reading Glasses
245,2018-07-17,67900.0,Reading Glasses
246,2018-07-18,67900.0,Reading Glasses
247,2018-07-19,113554.0,Reading Glasses
248,2018-07-20,267458.0,Reading Glasses
249,2018-07-21,148307.0,Reading Glasses
250,2018-07-22,283264.0,Reading Glasses
251,2018-07-23,134282.0,Reading Glasses
252,2018-07-24,134282.0,Reading Glasses
253,2018-07-25,175026.0,Reading Glasses
254,2018-07-26,175026.0,Reading Glasses
255,2018-07-27,162915.0,Reading Glasses
256,2018-07-28,267650.0,Reading Glasses
257,2018-07-29,160276.0,Reading Glasses
258,2018-07-30,160276.0,Reading Glasses
259,2018-07-31,140712.0,Reading Glasses
260,2018-08-01,156259.0,Reading Glasses
261,2018-08-02,91922.0,Reading Glasses
262,2018-08-03,91922.0,Reading Glasses
263,2018-08-04,102303.0,Reading Glasses
264,2018-08-05,102303.0,Reading Glasses
265,2018-08-06,102303.0,Reading Glasses
266,2018-08-07,102303.0,Reading Glasses
267,2018-08-08,102303.0,Reading Glasses
268,2018-08-09,102303.0,Reading Glasses
269,2018-08-10,152087.0,Reading Glasses
270,2018-08-11,152087.0,Reading Glasses
271,2018-08-12,87684.0,Reading Glasses
272,2018-08-13,87684.0,Reading Glasses
273,2018-08-14,87684.0,Reading Glasses
274,2018-08-15,121252.0,Reading Glasses
275,2018-08-16,208721.0,Reading Glasses
276,2018-08-17,346877.0,Reading Glasses
277,2018-08-18,346877.0,Reading Glasses
278,2018-08-19,346877.0,Reading Glasses
279,2018-08-20,346877.0,Reading Glasses
280,2018-08-21,346877.0,Reading Glasses
281,2018-08-22,347796.0,Reading Glasses
282,2018-08-23,71800.0,Reading Glasses
283,2018-08-24,71800.0,Reading Glasses
284,2018-08-25,71800.0,Reading Glasses
285,2018-08-26,134891.0,Reading Glasses
286,2018-08-27,75353.0,Reading Glasses
287,2018-08-28,85325.0,Reading Glasses
288,2018-08-29,126100.0,Reading Glasses
289,2018-08-30,122319.0,Reading Glasses
290,2018-08-31,155724.0,Reading Glasses
291,2018-09-01,202028.0,Reading Glasses
292,2018-09-02,294963.0,Reading Glasses
293,2018-09-03,380089.0,Reading Glasses
294,2018-09-04,215326.0,Reading Glasses
295,2018-09-05,121404.0,Reading Glasses
296,2018-09-06,121404.0,Reading Glasses
297,2018-09-07,119752.0,Reading Glasses
298,2018-09-08,90797.0,Reading Glasses
299,2018-09-09,161808.0,Reading Glasses
300,2018-09-10,91651.0,Reading Glasses
301,2018-09-11,137369.0,Reading Glasses
302,2018-09-12,135402.0,Reading Glasses
303,2018-09-13,135402.0,Reading Glasses
304,2018-09-14,225790.0,Reading Glasses
305,2018-09-15,234192.0,Reading Glasses
306,2018-09-16,265068.0,Reading Glasses
307,2018-09-17,240072.0,Reading Glasses
308,2018-09-18,238798.0,Reading Glasses
309,2018-09-19,253567.0,Reading Glasses
310,2018-09-20,253567.0,Reading Glasses
311,2018-09-21,349988.0,Reading Glasses
312,2018-09-22,349988.0,Reading Glasses
313,2018-09-23,164700.0,Reading Glasses
314,2018-09-24,403973.0,Reading Glasses
315,2018-09-25,523294.0,Reading Glasses
316,2018-09-26,523294.0,Reading Glasses
317,2018-09-27,523294.0,Reading Glasses
318,2018-09-28,523294.0,Reading Glasses
319,2018-09-29,523294.0,Reading Glasses
320,2018-09-30,460271.0,Reading Glasses
321,2018-10-01,551011.0,Reading Glasses
322,2018-10-02,666466.0,Reading Glasses
323,2018-10-03,706354.0,Reading Glasses
324,2018-10-04,387169.0,Reading Glasses
325,2018-10-05,518446.0,Reading Glasses
326,2018-10-06,159215.0,Reading Glasses
327,2018-10-07,159215.0,Reading Glasses
328,2018-10-08,391521.0,Reading Glasses
329,2018-10-09,391521.0,Reading Glasses
330,2018-10-10,212473.0,Reading Glasses
331,2018-10-11,359993.0,Reading Glasses
332,2018-10-12,359993.0,Reading Glasses
333,2018-10-13,327797.0,Reading Glasses
334,2018-10-14,327797.0,Reading Glasses
335,2018-10-15,198040.0,Reading Glasses
336,2018-10-16,414555.0,Reading Glasses
337,2018-10-17,414555.0,Reading Glasses
338,2018-10-18,184907.0,Reading Glasses
339,2018-10-19,339627.0,Reading Glasses
340,2018-10-20,339627.0,Reading Glasses
341,2018-10-21,299859.0,Reading Glasses
342,2018-10-22,292573.0,Reading Glasses
343,2018-10-23,128311.0,Reading Glasses
344,2018-10-24,128311.0,Reading Glasses
345,2018-10-25,128311.0,Reading Glasses
346,2018-10-26,284335.0,Reading Glasses
347,2018-10-27,399231.0,Reading Glasses
348,2018-10-28,476906.0,Reading Glasses
349,2018-10-29,327990.0,Reading Glasses
350,2018-10-30,494386.0,Reading Glasses
351,2018-10-31,292117.0,Reading Glasses
352,2018-11-01,292117.0,Reading Glasses
353,2018-11-02,245038.0,Reading Glasses
354,2018-11-03,245038.0,Reading Glasses
355,2018-11-04,190027.0,Reading Glasses
356,2018-11-05,415264.0,Reading Glasses
357,2018-11-06,516065.0,Reading Glasses
358,2018-11-07,516065.0,Reading Glasses
359,2018-11-08,516065.0,Reading Glasses
360,2018-11-09,516065.0,Reading Glasses
361,2018-11-10,516065.0,Reading Glasses
362,2018-11-11,326860.0,Reading Glasses
363,2018-11-12,326860.0,Reading Glasses
364,2018-11-13,358829.0,Reading Glasses
365,2018-11-14,358829.0,Reading Glasses
366,2018-11-15,214248.0,Reading Glasses
367,2018-11-16,310659.0,Reading Glasses
368,2018-11-17,428280.0,Reading Glasses
369,2018-11-18,354244.0,Reading Glasses
370,2018-11-19,187151.0,Reading Glasses
371,2018-11-20,187151.0,Reading Glasses
372,2018-11-21,441091.0,Reading Glasses
373,2018-11-22,252270.0,Reading Glasses
374,2018-11-23,395903.0,Reading Glasses
375,2018-11-24,395903.0,Reading Glasses
376,2018-11-25,395903.0,Reading Glasses
377,2018-11-26,395903.0,Reading Glasses
378,2018-11-27,499862.0,Reading Glasses
379,2018-11-28,499862.0,Reading Glasses
380,2018-11-29,196479.0,Reading Glasses
381,2018-11-30,196479.0,Reading Glasses
382,2018-12-01,196479.0,Reading Glasses
383,2018-12-02,196479.0,Reading Glasses
384,2018-12-03,196479.0,Reading Glasses
385,2018-12-04,677257.0,Reading Glasses
386,2018-12-05,677257.0,Reading Glasses
387,2018-12-06,677257.0,Reading Glasses
388,2018-12-07,677257.0,Reading Glasses
389,2018-12-08,689885.0,Reading Glasses
390,2018-12-09,689885.0,Reading Glasses
391,2018-12-10,689885.0,Reading Glasses
392,2018-12-11,689885.0,Reading Glasses
393,2018-12-12,532918.0,Reading Glasses
394,2018-12-13,532918.0,Reading Glasses
395,2018-12-14,532918.0,Reading Glasses
396,2018-12-15,532918.0,Reading Glasses
397,2018-12-16,532918.0,Reading Glasses
398,2018-12-17,532918.0,Reading Glasses
399,2018-12-18,532918.0,Reading Glasses
400,2018-12-19,532918.0,Reading Glasses
401,2018-12-20,1462701.0,Reading Glasses
402,2018-12-21,1462701.0,Reading Glasses
403,2018-12-22,151634.0,Reading Glasses
