,date,value,name_B08HSXGPC8
102,2021-05-31,3439.0,Laser & Inkjet Printer Labels
103,2021-06-01,4380.0,Laser & Inkjet Printer Labels
104,2021-06-02,4380.0,Laser & Inkjet Printer Labels
105,2021-06-03,4380.0,Laser & Inkjet Printer Labels
106,2021-06-04,7043.0,Laser & Inkjet Printer Labels
107,2021-06-05,7043.0,Laser & Inkjet Printer Labels
108,2021-06-06,7043.0,Laser & Inkjet Printer Labels
109,2021-06-07,7043.0,Laser & Inkjet Printer Labels
110,2021-06-08,10427.0,Laser & Inkjet Printer Labels
111,2021-06-09,11645.0,Laser & Inkjet Printer Labels
112,2021-06-10,11645.0,Laser & Inkjet Printer Labels
113,2021-06-11,11645.0,Laser & Inkjet Printer Labels
114,2021-06-12,3871.0,Laser & Inkjet Printer Labels
115,2021-06-13,3871.0,Laser & Inkjet Printer Labels
116,2021-06-14,3358.0,Laser & Inkjet Printer Labels
117,2021-06-15,3358.0,Laser & Inkjet Printer Labels
118,2021-06-16,3358.0,Laser & Inkjet Printer Labels
119,2021-06-17,2760.0,Laser & Inkjet Printer Labels
120,2021-06-18,2760.0,Laser & Inkjet Printer Labels
121,2021-06-19,3135.0,Laser & Inkjet Printer Labels
122,2021-06-20,3135.0,Laser & Inkjet Printer Labels
123,2021-06-21,3434.0,Laser & Inkjet Printer Labels
124,2021-06-22,1097.0,Laser & Inkjet Printer Labels
125,2021-06-23,1097.0,Laser & Inkjet Printer Labels
126,2021-06-24,1097.0,Laser & Inkjet Printer Labels
127,2021-06-25,1638.0,Laser & Inkjet Printer Labels
128,2021-06-26,1638.0,Laser & Inkjet Printer Labels
129,2021-06-27,1638.0,Laser & Inkjet Printer Labels
130,2021-06-28,2136.0,Laser & Inkjet Printer Labels
131,2021-06-29,2524.0,Laser & Inkjet Printer Labels
132,2021-06-30,2524.0,Laser & Inkjet Printer Labels
133,2021-07-01,2524.0,Laser & Inkjet Printer Labels
134,2021-07-02,2524.0,Laser & Inkjet Printer Labels
135,2021-07-03,2357.0,Laser & Inkjet Printer Labels
136,2021-07-04,2357.0,Laser & Inkjet Printer Labels
137,2021-07-05,2357.0,Laser & Inkjet Printer Labels
138,2021-07-06,2408.0,Laser & Inkjet Printer Labels
139,2021-07-07,2408.0,Laser & Inkjet Printer Labels
140,2021-07-08,2408.0,Laser & Inkjet Printer Labels
141,2021-07-09,2273.0,Laser & Inkjet Printer Labels
142,2021-07-10,2273.0,Laser & Inkjet Printer Labels
143,2021-07-11,2214.0,Laser & Inkjet Printer Labels
