,date,value,name_B08QYQJ37N
129,2021-05-07,4559.0,Decorative Fences
130,2021-05-08,2739.0,Decorative Fences
131,2021-05-09,3149.0,Decorative Fences
132,2021-05-10,3149.0,Decorative Fences
133,2021-05-11,3115.0,Decorative Fences
134,2021-05-12,2210.0,Decorative Fences
135,2021-05-13,2699.0,Decorative Fences
136,2021-05-14,2699.0,Decorative Fences
137,2021-05-15,2035.0,Decorative Fences
138,2021-05-16,2359.0,Decorative Fences
139,2021-05-17,2516.0,Decorative Fences
140,2021-05-18,2516.0,Decorative Fences
141,2021-05-19,2622.0,Decorative Fences
142,2021-05-20,1859.0,Decorative Fences
143,2021-05-21,2658.0,Decorative Fences
144,2021-05-22,2658.0,Decorative Fences
145,2021-05-23,3290.0,Decorative Fences
146,2021-05-24,3732.0,Decorative Fences
147,2021-05-25,3732.0,Decorative Fences
148,2021-05-26,4573.0,Decorative Fences
149,2021-05-27,4573.0,Decorative Fences
150,2021-05-28,3357.0,Decorative Fences
151,2021-05-29,3357.0,Decorative Fences
152,2021-05-30,3403.0,Decorative Fences
153,2021-05-31,3817.0,Decorative Fences
154,2021-06-01,3652.0,Decorative Fences
155,2021-06-02,3652.0,Decorative Fences
156,2021-06-03,2608.0,Decorative Fences
157,2021-06-04,3068.0,Decorative Fences
158,2021-06-05,3068.0,Decorative Fences
159,2021-06-06,3163.0,Decorative Fences
160,2021-06-07,3936.0,Decorative Fences
161,2021-06-08,4003.0,Decorative Fences
162,2021-06-09,2677.0,Decorative Fences
163,2021-06-10,2677.0,Decorative Fences
164,2021-06-11,3184.0,Decorative Fences
165,2021-06-12,3184.0,Decorative Fences
166,2021-06-13,3184.0,Decorative Fences
167,2021-06-14,3265.0,Decorative Fences
168,2021-06-15,3548.0,Decorative Fences
169,2021-06-16,3646.0,Decorative Fences
170,2021-06-17,3431.0,Decorative Fences
171,2021-06-18,3330.0,Decorative Fences
172,2021-06-19,3330.0,Decorative Fences
173,2021-06-20,3302.0,Decorative Fences
174,2021-06-21,4232.0,Decorative Fences
175,2021-06-22,3618.0,Decorative Fences
176,2021-06-23,3618.0,Decorative Fences
177,2021-06-24,2766.0,Decorative Fences
178,2021-06-25,2681.0,Decorative Fences
179,2021-06-26,2381.0,Decorative Fences
180,2021-06-27,2381.0,Decorative Fences
181,2021-06-28,3788.0,Decorative Fences
182,2021-06-29,3055.0,Decorative Fences
183,2021-06-30,3055.0,Decorative Fences
184,2021-07-01,3618.0,Decorative Fences
185,2021-07-02,3747.0,Decorative Fences
186,2021-07-03,3747.0,Decorative Fences
187,2021-07-04,3467.0,Decorative Fences
188,2021-07-05,3467.0,Decorative Fences
189,2021-07-06,3467.0,Decorative Fences
190,2021-07-07,3818.0,Decorative Fences
191,2021-07-08,3818.0,Decorative Fences
192,2021-07-09,2796.0,Decorative Fences
193,2021-07-10,4090.0,Decorative Fences
